participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2112.0	1465.0	6560.0	3.461	0.606	0.14	0.029	31.0	2.9	132.0	131.0	26.2778	5.6357	-0.0279	45.4429	45.4707	4.6627	2.9623	0.515	2.3424	4.6078	2.2655
8454119	2109.0	1397.0	6437.0	3.615	0.715	0.131	0.039	28.0	3.2	132.0	131.0	23.1334	6.345	-11.6603	43.451	55.1113	3.6459	3.0552	0.4672	2.55	4.3892	1.8392
11407866	1916.0	1388.0	6920.0	3.654	0.793	0.131	0.031	26.0	2.7	132.0	131.0	24.5297	6.5159	4.442	48.1485	43.7066	3.7646	2.6808	0.4064	2.2177	4.4945	2.2768
11574123	1841.0	1278.0	6367.0	3.46	0.86	0.146	0.039	35.0	3.0	132.0	131.0	23.7747	7.2051	-15.7346	52.454	68.1886	3.2997	2.6032	0.3032	2.2072	3.6334	1.4262
16684978	1501.0	1013.0	5120.0	3.624	0.695	0.15	0.048	29.0	2.9	132.0	131.0	22.6376	6.8719	-9.9656	43.8659	53.8315	3.2942	2.9746	0.3825	2.5083	4.3352	1.827
25354225	1671.0	1150.0	5395.0	2.991	1.003	0.158	0.062	37.0	4.5	132.0	131.0	23.459	11.3188	-41.4366	65.0005	106.4372	2.0726	3.0165	0.4918	2.4261	4.5861	2.16
25811472	1877.0	1286.0	6156.0	3.393	1.05	0.148	0.054	39.0	4.2	132.0	131.0	21.9774	6.8906	-15.9472	41.1862	57.1333	3.1895	3.1079	0.6291	2.3776	4.7586	2.3809
27876862	1523.0	1053.0	5342.0	3.651	0.688	0.135	0.033	25.0	2.2	132.0	131.0	24.3412	6.7008	-10.4426	41.242	51.6846	3.6326	2.6624	0.2481	2.2364	3.2405	1.004
29811890	1730.0	1212.0	6392.0	3.644	0.797	0.141	0.045	33.0	3.1	132.0	131.0	26.3726	7.7295	-11.5892	49.8044	61.3936	3.4119	2.7432	0.3182	2.3426	3.6749	1.3323
31361606	1251.0	945.0	4667.0	3.599	0.742	0.155	0.048	20.0	2.7	132.0	131.0	25.8957	7.1366	-4.7635	55.8304	60.5939	3.6286	2.7721	0.3142	2.3712	3.6229	1.2517
32938469	1540.0	1123.0	6130.0	3.823	0.692	0.149	0.044	31.0	2.5	132.0	131.0	22.5243	6.3819	-2.7298	42.2057	44.9356	3.5294	2.8369	0.3764	2.4285	4.1096	1.6811
36895554	1538.0	1057.0	5012.0	3.42	0.816	0.149	0.054	27.0	3.5	132.0	131.0	24.168	7.6444	-14.7144	51.4	66.1144	3.1615	2.9535	0.4271	2.1389	4.029	1.8902
37329051	1623.0	1149.0	5946.0	3.361	0.773	0.15	0.05	29.0	3.6	132.0	131.0	22.5291	7.929	-22.5754	51.2296	73.805	2.8414	3.0658	0.2344	2.7036	3.7025	0.9989
