participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	747.0	539.0	2043.0	2.841	0.746	0.145	0.039	10.0	1.2	173.0	172.0	26.7501	6.8883	-15.776	49.8034	65.5793	3.8834	2.4658	0.1197	2.2559	2.8614	0.6056
8454119	1021.0	583.0	2028.0	2.665	0.989	0.133	0.055	19.0	2.2	173.0	172.0	20.1867	10.0492	-12.9271	48.4449	61.372	2.0088	2.5989	0.0503	2.5084	2.8488	0.3405
11407866	883.0	598.0	3200.0	3.398	0.818	0.15	0.057	20.0	2.1	173.0	172.0	22.4143	8.4337	-35.1969	44.9161	80.113	2.6577	2.4195	0.1212	2.2459	2.8052	0.5593
11574123	671.0	473.0	2606.0	3.497	0.653	0.167	0.066	15.0	1.7	173.0	172.0	22.3564	8.652	-20.9806	45.4854	66.466	2.5839	2.3559	0.0652	2.2408	2.4954	0.2545
16684978	564.0	371.0	1690.0	3.305	0.684	0.134	0.037	9.0	0.9	173.0	172.0	23.0681	6.4121	3.0663	42.6175	39.5512	3.5976	2.653	0.1185	2.5167	2.9807	0.4641
25354225	536.0	348.0	1336.0	2.756	0.741	0.159	0.07	15.0	1.3	173.0	172.0	23.0786	9.1181	-8.6542	49.0008	57.6551	2.5311	2.7042	0.1865	2.4062	3.0209	0.6147
25811472	639.0	449.0	2255.0	3.299	0.736	0.149	0.043	13.0	1.2	173.0	172.0	23.8645	5.911	-2.1636	42.4908	44.6544	4.0373	2.6061	0.1272	2.4205	2.9539	0.5334
27876862	557.0	399.0	1834.0	3.117	0.788	0.143	0.036	10.0	1.0	173.0	172.0	24.0023	6.079	4.079	38.0749	33.9959	3.9484	2.4279	0.0881	2.1868	2.6408	0.454
29811890	568.0	416.0	2187.0	3.519	0.737	0.155	0.047	14.0	1.2	173.0	172.0	27.0066	7.1533	7.0191	51.8116	44.7925	3.7754	2.5095	0.1273	2.3426	2.7508	0.4082
31361606	579.0	422.0	1833.0	3.148	0.664	0.177	0.061	14.0	1.7	173.0	172.0	26.5055	6.7365	5.0916	44.3772	39.2857	3.9346	2.4156	0.0603	2.2966	2.6124	0.3159
32938469	809.0	524.0	2565.0	3.288	0.739	0.155	0.057	14.0	2.0	173.0	172.0	22.587	8.3573	-3.7664	50.0923	53.8587	2.7027	2.4693	0.0648	2.2859	2.6262	0.3403
36895554	608.0	381.0	1799.0	2.953	0.94	0.152	0.057	12.0	1.4	173.0	172.0	22.3431	8.1773	-0.7326	47.4661	48.1987	2.7323	2.5212	0.2056	2.125	2.8581	0.7331
37329051	611.0	446.0	2144.0	3.084	0.707	0.154	0.055	16.0	1.3	173.0	172.0	22.3709	8.7377	-23.0706	44.7237	67.7944	2.5603	2.8309	0.0462	2.6807	3.0383	0.3576
37835493	581.0	393.0	1541.0	2.93	0.589	0.123	0.034	7.0	0.8	173.0	172.0	22.8791	6.1334	-10.818	38.2003	49.0183	3.7303	2.5171	0.1389	2.2346	2.8306	0.5961
43606631	715.0	498.0	1970.0	2.76	0.568	0.179	0.049	19.0	1.6	173.0	172.0	22.4736	5.7564	-0.9395	37.4761	38.4156	3.9041	2.4673	0.1222	2.2808	2.7812	0.5004
49408975	729.0	489.0	2473.0	3.512	0.566	0.151	0.05	19.0	1.7	173.0	172.0	24.4279	6.4829	2.623	43.5394	40.9165	3.7681	2.7297	0.1841	2.3977	3.2829	0.8852
51217255	585.0	415.0	2065.0	3.318	0.813	0.14	0.043	9.0	1.0	173.0	172.0	25.7682	6.8699	1.0596	60.0253	58.9657	3.7509	2.5727	0.0439	2.4423	2.7191	0.2767
52306425	719.0	468.0	2083.0	3.477	0.775	0.138	0.035	10.0	1.0	173.0	172.0	25.3476	6.4555	-1.8318	53.9474	55.7792	3.9265	2.4319	0.1347	2.2262	3.0576	0.8314
52835891	623.0	461.0	1773.0	3.012	0.741	0.15	0.055	14.0	1.6	173.0	172.0	26.1253	7.7446	-0.4317	56.6379	57.0696	3.3734	2.5558	0.2111	2.2846	3.1065	0.822
55710183	744.0	510.0	2151.0	3.056	0.789	0.143	0.044	13.0	1.4	173.0	172.0	23.0019	7.6753	-3.5517	44.0657	47.6175	2.9969	2.4476	0.063	2.294	2.5864	0.2924
56162563	856.0	584.0	3183.0	3.671	0.617	0.156	0.042	15.0	1.5	173.0	172.0	24.4258	6.3073	1.3063	41.7061	40.3998	3.8727	2.3729	0.089	2.2317	2.7739	0.5422
60021964	816.0	554.0	2723.0	3.407	0.7	0.151	0.044	13.0	1.6	173.0	172.0	26.675	8.2626	2.5621	51.6039	49.0418	3.2284	2.4737	0.051	2.3609	2.619	0.258
