participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	659.0	434.0	1543.0	2.944	0.353	0.125	0.025	8.0	0.6	140.0	139.0	21.1972	5.172	7.1059	36.8916	29.7857	4.0984	3.3649	0.1333	3.0984	3.8783	0.7799
8454119	1070.0	738.0	2301.0	2.817	0.519	0.118	0.023	15.0	0.9	140.0	139.0	23.8672	6.4596	0.6692	41.694	41.0248	3.6948	3.7037	0.3552	3.1215	4.5278	1.4063
11407866	747.0	523.0	1449.0	2.961	0.445	0.097	0.02	4.0	0.6	140.0	139.0	25.9448	4.6085	7.7919	56.3954	48.6035	5.6298	3.6283	0.1475	3.4589	4.1113	0.6524
11574123	1051.0	642.0	2282.0	2.827	0.642	0.134	0.051	21.0	2.3	140.0	139.0	18.8357	7.5954	-19.5528	38.9928	58.5456	2.4799	3.7138	0.2198	3.4713	4.3516	0.8803
16684978	559.0	365.0	784.0	2.554	0.573	0.118	0.022	5.0	0.6	140.0	139.0	23.6171	4.7804	5.5023	43.8588	38.3565	4.9404	3.4952	0.0809	3.385	3.7355	0.3505
25354225	663.0	450.0	1163.0	2.905	0.434	0.098	0.021	3.0	0.6	140.0	139.0	24.9846	4.5947	8.0699	39.958	31.8881	5.4377	4.174	0.1498	3.9439	4.4425	0.4986
25811472	650.0	441.0	1275.0	2.95	0.469	0.104	0.025	4.0	0.6	140.0	139.0	24.7927	5.0994	0.0617	39.1215	39.0598	4.8619	3.8298	0.1619	3.5644	4.2014	0.637
27876862	585.0	382.0	926.0	2.733	0.484	0.133	0.033	8.0	0.8	140.0	139.0	22.816	6.073	0.3943	43.2511	42.8567	3.757	3.612	0.14	3.2337	3.8721	0.6384
29811890	863.0	565.0	1661.0	2.968	0.497	0.091	0.017	4.0	0.6	140.0	139.0	25.0448	4.499	13.056	38.7346	25.6786	5.5668	4.0387	0.1326	3.8074	4.5338	0.7265
31361606	541.0	368.0	1039.0	2.548	0.5	0.116	0.025	7.0	0.6	140.0	139.0	22.2812	5.1153	6.1558	40.0272	33.8714	4.3558	3.1918	0.067	3.083	3.4872	0.4042
32938469	958.0	620.0	1397.0	2.56	0.38	0.1	0.022	7.0	0.7	140.0	139.0	22.1993	6.2036	-3.5975	34.747	38.3446	3.5785	4.2023	0.3346	3.8076	5.075	1.2673
36895554	536.0	375.0	881.0	2.544	0.427	0.094	0.016	2.0	0.4	140.0	139.0	22.299	4.0902	11.0965	40.4337	29.3372	5.4518	3.6119	0.1739	3.3202	4.0586	0.7385
37329051	916.0	593.0	1616.0	2.772	0.543	0.107	0.034	12.0	1.0	140.0	139.0	21.6879	8.72	-6.0149	44.2551	50.27	2.4871	3.9802	0.1592	3.6942	4.3121	0.6179
37835493	702.0	471.0	1466.0	2.758	0.499	0.127	0.025	8.0	0.7	140.0	139.0	23.3944	5.4752	2.2703	39.192	36.9217	4.2728	3.6526	0.1426	3.3969	4.0077	0.6108
43606631	551.0	371.0	915.0	2.379	0.43	0.144	0.037	9.0	0.8	140.0	139.0	21.7493	5.5001	4.0276	41.018	36.9903	3.9544	3.8561	0.1687	3.5677	4.2325	0.6648
49408975	616.0	422.0	1037.0	2.704	0.379	0.07	0.009	1.0	0.2	140.0	139.0	23.3959	3.7973	13.0025	35.3141	22.3116	6.1612	4.2154	0.1553	3.9055	4.5507	0.6452
51217255	632.0	447.0	1229.0	2.804	0.417	0.101	0.019	3.0	0.5	140.0	139.0	25.0475	4.0616	11.6405	43.3534	31.713	6.1669	3.9296	0.225	3.627	4.514	0.887
52306425	722.0	483.0	1232.0	2.529	0.438	0.112	0.021	5.0	0.6	140.0	139.0	22.515	3.9181	10.7334	42.5284	31.795	5.7464	3.7605	0.1237	3.6452	4.2482	0.603
52835891	371.0	271.0	819.0	2.839	0.352	0.089	0.015	1.0	0.2	140.0	139.0	23.7575	3.9889	11.0587	35.3492	24.2905	5.9559	3.3796	0.0953	3.1978	3.6271	0.4293
55710183	641.0	442.0	1048.0	2.431	0.299	0.116	0.02	7.0	0.5	140.0	139.0	20.4012	3.5649	8.7425	32.8141	24.0716	5.7227	3.86	0.0984	3.6658	4.1027	0.4369
56162563	490.0	330.0	838.0	2.647	0.372	0.111	0.021	4.0	0.4	140.0	139.0	23.8455	4.2039	11.6713	33.2225	21.5511	5.6722	3.4276	0.081	3.2988	3.7862	0.4874
60021964	754.0	485.0	998.0	2.394	0.35	0.092	0.017	5.0	0.6	140.0	139.0	23.4464	4.9299	3.4915	34.5491	31.0576	4.7559	3.8863	0.1618	3.6448	4.4112	0.7664
62582335	608.0	400.0	1315.0	3.089	0.531	0.118	0.025	6.0	0.5	140.0	139.0	22.0549	5.5648	4.5932	37.6369	33.0437	3.9633	3.4355	0.169	3.2536	3.7937	0.54
65198031	607.0	405.0	1253.0	2.761	0.36	0.134	0.033	9.0	0.9	140.0	139.0	21.6854	5.2808	1.3083	34.561	33.2527	4.1065	3.7124	0.1547	3.5009	4.1426	0.6417
70214854	573.0	384.0	1033.0	2.45	0.53	0.145	0.035	8.0	0.8	140.0	139.0	23.4031	4.9618	5.8507	46.7456	40.8949	4.7167	3.6618	0.0827	3.4431	3.8083	0.3652
71851847	433.0	295.0	799.0	2.645	0.47	0.108	0.029	4.0	0.4	140.0	139.0	22.8821	4.8737	9.7506	38.6221	28.8716	4.695	3.7094	0.1834	3.493	4.0697	0.5767
74920331	636.0	430.0	1188.0	2.951	0.352	0.112	0.025	4.0	0.7	140.0	139.0	22.1464	4.5477	10.3019	38.2443	27.9425	4.8698	3.9332	0.1314	3.7391	4.3015	0.5623
77390767	473.0	339.0	788.0	2.518	0.257	0.07	0.009	1.0	0.2	140.0	139.0	24.193	3.7389	10.5903	36.5339	25.9437	6.4707	3.5568	0.0654	3.4238	3.692	0.2682
78982423	465.0	334.0	875.0	2.614	0.35	0.118	0.026	4.0	0.4	140.0	139.0	22.3605	3.9215	5.4874	32.5938	27.1064	5.702	3.7294	0.1505	3.4381	3.9932	0.5551
80982198	628.0	412.0	1317.0	2.835	0.625	0.108	0.022	5.0	0.6	140.0	139.0	24.5529	4.761	8.3651	37.7973	29.4322	5.1571	3.8449	0.1658	3.4808	4.3555	0.8747
82699044	655.0	418.0	1246.0	2.768	0.429	0.115	0.027	6.0	0.6	140.0	139.0	21.7743	5.2186	-1.9935	36.169	38.1625	4.1724	3.7526	0.1202	3.5666	4.1797	0.6131
84407714	627.0	419.0	1145.0	2.695	0.34	0.095	0.018	3.0	0.5	140.0	139.0	21.5718	4.103	9.3522	34.7729	25.4207	5.2576	3.7071	0.1329	3.5508	4.0618	0.511
86226939	611.0	405.0	1290.0	2.774	0.43	0.123	0.026	6.0	0.6	140.0	139.0	21.2742	4.4545	5.7176	36.2875	30.57	4.7759	3.7593	0.1243	3.582	4.0999	0.5178
93800202	598.0	423.0	1174.0	2.925	0.456	0.11	0.022	5.0	0.6	140.0	139.0	25.6507	4.5699	8.9899	38.9628	29.9728	5.613	3.652	0.0745	3.5211	3.8194	0.2983
97005004	664.0	483.0	1427.0	2.993	0.429	0.115	0.023	6.0	0.6	140.0	139.0	24.4955	4.2791	10.7559	34.4141	23.6582	5.7244	4.0532	0.1961	3.6928	4.5701	0.8773
100527940	872.0	604.0	1615.0	2.764	0.46	0.121	0.027	11.0	1.1	140.0	139.0	24.2513	6.537	-11.9219	41.4881	53.41	3.7098	3.8519	0.1573	3.6936	4.6187	0.9251
103652366	752.0	493.0	1384.0	2.662	0.416	0.118	0.024	9.0	0.6	140.0	139.0	20.877	5.1181	5.8914	39.3444	33.453	4.079	3.7254	0.0961	3.5799	3.9695	0.3896
