participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	287.0	196.0	378.0	2.397	0.342	0.123	0.026	2.0	0.2	20.0	19.0	21.1115	3.4705	12.7627	30.4907	17.728	6.0831	2.9149	0.0794	2.8089	3.0982	0.2893
8454119	441.0	285.0	603.0	2.289	0.259	0.11	0.02	4.0	0.3	20.0	19.0	22.633	5.626	6.7376	35.8654	29.1279	4.0229	3.2032	0.1231	2.9051	3.365	0.4599
11407866	310.0	202.0	402.0	2.458	0.276	0.094	0.015	2.0	0.2	20.0	19.0	23.7623	4.0463	9.1716	35.1611	25.9895	5.8726	3.0125	0.0908	2.8318	3.2567	0.4248
11574123	360.0	246.0	428.0	2.105	0.383	0.112	0.024	2.0	0.4	20.0	19.0	23.6839	3.8126	14.5121	38.939	24.4269	6.2119	2.9739	0.1068	2.7498	3.148	0.3983
16684978	263.0	175.0	333.0	2.538	0.364	0.145	0.034	3.0	0.4	20.0	19.0	23.7211	4.931	9.9094	38.2238	28.3144	4.8106	3.1666	0.054	3.0868	3.2973	0.2104
25354225	376.0	260.0	522.0	2.533	0.365	0.109	0.022	2.0	0.4	20.0	19.0	22.8173	4.0349	12.9686	38.9515	25.9829	5.655	3.2751	0.0401	3.1553	3.3904	0.2351
25811472	262.0	176.0	369.0	2.65	0.374	0.13	0.035	3.0	0.3	20.0	19.0	23.5603	6.8817	4.6773	40.789	36.1117	3.4236	3.2425	0.0723	3.0948	3.446	0.3513
27876862	297.0	198.0	353.0	2.455	0.264	0.131	0.032	2.0	0.4	20.0	19.0	23.0977	3.5669	12.6309	34.4051	21.7743	6.4755	2.8528	0.0223	2.8007	2.9272	0.1266
29811890	257.0	168.0	270.0	2.329	0.302	0.11	0.017	2.0	0.2	20.0	19.0	28.7156	3.0072	21.0973	38.8373	17.74	9.5488	3.0621	0.0304	2.9369	3.101	0.1641
31361606	226.0	145.0	301.0	2.213	0.329	0.114	0.023	2.0	0.1	20.0	19.0	20.5123	3.1185	8.1914	26.0971	17.9057	6.5775	2.7757	0.0533	2.6707	2.8651	0.1943
