participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	328.0	198.0	476.0	2.377	0.42	0.1	0.032	3.0	0.4	159.0	158.0	20.2169	5.2367	6.9523	31.6191	24.6668	3.8607	2.9078	0.0824	2.7501	3.0719	0.3218
8454119	689.0	478.0	971.0	2.127	0.428	0.146	0.037	9.0	1.2	159.0	158.0	18.8015	6.9289	-4.5441	31.4319	35.9759	2.7135	2.92	0.1239	2.5446	3.083	0.5384
11407866	418.0	263.0	814.0	2.755	0.397	0.125	0.027	5.0	0.4	159.0	158.0	20.2516	6.6405	3.4121	34.9816	31.5695	3.0497	2.7578	0.0984	2.5956	3.0246	0.429
11574123	434.0	282.0	819.0	2.44	0.448	0.148	0.036	8.0	0.7	159.0	158.0	17.7179	5.7036	3.624	29.965	26.341	3.1065	2.7014	0.1201	2.4319	3.0004	0.5686
16684978	339.0	231.0	592.0	2.266	0.431	0.128	0.026	4.0	0.4	159.0	158.0	19.4733	5.4684	3.589	29.7834	26.1943	3.5611	3.0194	0.0991	2.7464	3.1687	0.4223
25354225	469.0	290.0	830.0	2.598	0.43	0.106	0.022	5.0	0.4	159.0	158.0	19.9885	4.8624	7.7219	36.3028	28.581	4.1108	3.2645	0.2106	2.866	3.6685	0.8025
25811472	417.0	291.0	687.0	2.307	0.313	0.118	0.035	6.0	0.6	159.0	158.0	18.8995	7.6725	0.5913	33.469	32.8777	2.4633	3.1148	0.0866	2.8928	3.3155	0.4227
27876862	287.0	188.0	579.0	2.623	0.307	0.147	0.026	5.0	0.3	159.0	158.0	20.08	4.7845	4.6504	32.0907	27.4403	4.1969	2.8421	0.054	2.6854	2.9281	0.2427
29811890	485.0	307.0	880.0	2.598	0.557	0.104	0.016	4.0	0.4	159.0	158.0	24.4169	6.4827	0.0007	37.9253	37.9246	3.7665	3.0582	0.0917	2.8116	3.2266	0.415
31361606	304.0	198.0	483.0	2.155	0.381	0.127	0.033	4.0	0.4	159.0	158.0	17.5184	5.03	3.4981	27.9238	24.4257	3.4828	2.72	0.0773	2.5989	2.896	0.2971
32938469	386.0	252.0	654.0	2.346	0.38	0.137	0.036	5.0	0.7	159.0	158.0	19.129	6.7899	0.2776	34.9095	34.6319	2.8173	2.8404	0.1459	2.5699	3.1561	0.5862
