participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	224.0	151.0	483.0	2.561	0.468	0.104	0.019	2.0	0.1	157.0	156.0	17.7358	3.4955	9.0813	30.3382	21.2569	5.0739	3.0129	0.0745	2.8274	3.1656	0.3381
8454119	392.0	220.0	597.0	2.456	0.53	0.131	0.051	19.0	1.0	157.0	156.0	19.1919	8.8681	-9.5229	34.1862	43.7091	2.1642	2.9207	0.0747	2.7617	3.1324	0.3707
11407866	214.0	137.0	563.0	3.089	0.465	0.144	0.035	5.0	0.2	157.0	156.0	19.3731	5.5332	5.603	32.1057	26.5028	3.5012	3.0862	0.0863	2.8825	3.2084	0.3259
11574123	243.0	150.0	613.0	2.946	0.421	0.112	0.027	3.0	0.3	157.0	156.0	17.752	5.8871	0.9506	33.4809	32.5303	3.0154	3.1589	0.0463	3.057	3.2504	0.1934
16684978	214.0	142.0	321.0	2.75	0.529	0.129	0.024	2.0	0.2	157.0	156.0	21.4566	4.8289	5.2068	37.9265	32.7197	4.4433	2.8372	0.0556	2.7554	3.0382	0.2828
25354225	228.0	156.0	433.0	2.795	0.561	0.146	0.048	4.0	0.2	157.0	156.0	22.7155	5.0739	8.1486	37.4114	29.2628	4.4769	3.1195	0.0713	2.9961	3.23	0.2339
25811472	312.0	177.0	511.0	2.425	0.52	0.127	0.071	10.0	1.1	157.0	156.0	15.9569	8.3249	-4.5014	34.1603	38.6617	1.9168	3.1475	0.1046	3.0012	3.4218	0.4206
27876862	239.0	148.0	671.0	3.058	0.347	0.162	0.039	4.0	0.5	157.0	156.0	20.9737	5.4733	9.0034	37.1963	28.1929	3.832	2.9505	0.0622	2.7877	3.0729	0.2851
29811890	437.0	244.0	562.0	2.105	0.643	0.156	0.048	8.0	0.9	157.0	156.0	11.5393	8.5485	-5.4595	33.8958	39.3553	1.3499	3.2786	0.1061	3.0577	3.5175	0.4598
31361606	160.0	89.0	367.0	2.806	0.252	0.126	0.03	2.0	0.2	157.0	156.0	14.3176	3.1979	5.5249	26.5575	21.0325	4.4772	2.7571	0.0477	2.6497	2.8578	0.2081
32938469	260.0	181.0	743.0	2.912	0.455	0.15	0.03	5.0	0.3	157.0	156.0	18.5673	5.5791	-7.8202	31.0674	38.8876	3.328	3.1578	0.1718	2.8626	3.4525	0.5899
36895554	270.0	187.0	733.0	2.845	0.474	0.169	0.065	7.0	0.7	157.0	156.0	17.7864	6.3774	3.1785	39.1644	35.9859	2.789	2.9911	0.1009	2.8048	3.2199	0.4151
37329051	291.0	173.0	856.0	2.942	0.663	0.149	0.08	9.0	1.3	157.0	156.0	15.5557	8.0141	-66.2793	34.5043	100.7836	1.941	3.2942	0.1074	3.0875	3.5183	0.4308
37835493	296.0	179.0	619.0	2.538	0.381	0.115	0.029	5.0	0.3	157.0	156.0	17.0608	4.0652	4.942	27.8652	22.9232	4.1968	2.9082	0.0862	2.7502	3.139	0.3888
43606631	218.0	146.0	377.0	2.299	0.259	0.17	0.045	4.0	0.4	157.0	156.0	21.229	4.6853	9.9701	36.7033	26.7332	4.531	3.1289	0.0543	2.9612	3.2055	0.2443
49408975	242.0	163.0	554.0	2.62	0.555	0.106	0.023	3.0	0.2	157.0	156.0	16.2554	3.6856	6.7814	26.4112	19.6298	4.4105	3.3976	0.1586	2.9466	3.6134	0.6668
51217255	279.0	167.0	616.0	2.911	0.561	0.127	0.034	3.0	0.3	157.0	156.0	20.3839	6.4885	5.5139	37.2491	31.7353	3.1415	2.8887	0.088	2.7253	3.0356	0.3103
52306425	259.0	174.0	436.0	2.253	0.34	0.117	0.021	3.0	0.2	157.0	156.0	21.3225	4.5116	11.4863	33.8334	22.3471	4.7261	3.3561	0.0408	3.2442	3.4504	0.2062
52835891	225.0	156.0	460.0	2.618	0.317	0.11	0.019	2.0	0.2	157.0	156.0	18.8031	3.7047	1.6105	28.2101	26.5996	5.0755	2.752	0.0917	2.5712	3.0002	0.429
55710183	361.0	228.0	617.0	2.357	0.37	0.104	0.017	4.0	0.3	157.0	156.0	18.1403	4.3383	3.0493	30.4105	27.3613	4.1814	3.3024	0.0943	3.0743	3.5288	0.4545
56162563	295.0	206.0	702.0	2.647	0.352	0.109	0.035	4.0	0.4	157.0	156.0	19.3055	5.3322	1.5745	30.2435	28.669	3.6205	3.0157	0.1266	2.7994	3.2343	0.4348
60021964	359.0	219.0	899.0	3.181	0.477	0.143	0.034	7.0	0.5	157.0	156.0	18.9965	5.2054	5.3331	36.2696	30.9365	3.6494	3.102	0.1407	2.8237	3.3179	0.4942
62582335	193.0	108.0	433.0	3.28	0.531	0.144	0.05	4.0	0.3	157.0	156.0	18.5719	7.21	0.4566	33.4542	32.9975	2.5758	3.0024	0.0654	2.8104	3.0811	0.2707
65198031	342.0	198.0	642.0	2.737	0.511	0.13	0.032	5.0	0.4	157.0	156.0	18.4438	6.8465	4.8246	37.0708	32.2462	2.6939	2.9923	0.1079	2.8185	3.2005	0.382
70214854	241.0	156.0	453.0	2.505	0.377	0.162	0.041	5.0	0.4	157.0	156.0	20.6677	5.7935	0.2083	32.8364	32.6281	3.5674	2.9718	0.061	2.8197	3.1198	0.3001
71851847	367.0	218.0	858.0	3.169	0.385	0.133	0.029	6.0	0.5	157.0	156.0	21.245	7.1435	2.8582	36.08	33.2218	2.974	3.1108	0.1759	2.8418	3.3988	0.557
74920331	208.0	146.0	488.0	2.69	0.433	0.118	0.027	2.0	0.2	157.0	156.0	19.286	3.3978	8.9458	28.9543	20.0085	5.676	3.1849	0.0306	3.0801	3.2481	0.168
77390767	212.0	136.0	387.0	2.69	0.45	0.149	0.038	3.0	0.3	157.0	156.0	21.2768	5.3143	5.8161	32.9438	27.1277	4.0037	2.9679	0.0454	2.8925	3.0996	0.2071
78982423	220.0	152.0	368.0	2.32	0.291	0.116	0.027	2.0	0.2	157.0	156.0	19.7703	4.9854	3.3514	29.4701	26.1187	3.9656	2.7801	0.0897	2.631	2.9439	0.3129
80982198	259.0	169.0	516.0	2.471	0.559	0.133	0.029	4.0	0.2	157.0	156.0	21.2104	4.3433	8.6623	32.3004	23.6381	4.8835	2.9998	0.0929	2.8304	3.2131	0.3827
82699044	258.0	191.0	665.0	2.717	0.366	0.162	0.036	4.0	0.3	157.0	156.0	18.2586	5.5136	6.88	32.4798	25.5998	3.3115	2.9568	0.1274	2.8198	3.2516	0.4318
