participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	242.0	157.0	335.0	2.126	0.39	0.15	0.029	3.0	0.3	153.0	152.0	17.5646	4.4264	8.4684	31.1932	22.7248	3.9682	3.115	0.0893	2.9481	3.2681	0.3201
8454119	245.0	154.0	375.0	2.458	0.322	0.11	0.027	3.0	0.2	153.0	152.0	22.4507	5.8567	3.1813	33.5938	30.4125	3.8333	3.4448	0.1905	3.1312	3.8556	0.7245
11407866	319.0	213.0	680.0	2.529	0.63	0.101	0.017	2.0	0.3	153.0	152.0	19.4216	4.0098	8.0876	30.5664	22.4788	4.8435	3.1574	0.0525	3.0634	3.3276	0.2642
11574123	236.0	158.0	470.0	2.487	0.593	0.153	0.029	4.0	0.3	153.0	152.0	21.371	4.7515	8.5796	38.8229	30.2433	4.4977	3.2043	0.1085	3.0458	3.4452	0.3994
16684978	222.0	127.0	317.0	2.359	0.488	0.164	0.036	5.0	0.2	153.0	152.0	19.3979	5.9418	6.2806	31.0082	24.7275	3.2647	3.3297	0.0204	3.2456	3.3639	0.1182
25354225	235.0	140.0	496.0	2.447	0.512	0.125	0.034	4.0	0.3	153.0	152.0	17.4764	3.9976	8.3499	26.2037	17.8538	4.3717	3.2347	0.0453	3.1622	3.328	0.1659
25811472	259.0	165.0	555.0	2.455	0.359	0.131	0.032	4.0	0.4	153.0	152.0	16.3123	3.5241	8.4735	26.9115	18.438	4.6288	3.3873	0.103	3.1861	3.6218	0.4357
27876862	164.0	107.0	447.0	2.657	0.525	0.154	0.031	3.0	0.2	153.0	152.0	14.9529	4.0349	4.683	25.6001	20.917	3.7059	2.8535	0.0244	2.7894	2.9109	0.1215
29811890	285.0	170.0	643.0	2.544	0.347	0.122	0.025	5.0	0.3	153.0	152.0	20.0175	4.1888	9.655	32.9807	23.3257	4.7788	3.041	0.0337	2.935	3.1162	0.1812
31361606	245.0	156.0	338.0	2.17	0.369	0.133	0.031	4.0	0.3	153.0	152.0	19.5124	5.9806	4.0483	42.3101	38.2618	3.2626	2.8214	0.0166	2.7676	2.8553	0.0878
32938469	352.0	218.0	668.0	2.227	0.554	0.153	0.056	9.0	0.8	153.0	152.0	15.034	6.7273	-8.5844	30.8752	39.4596	2.2348	3.2096	0.0587	3.1345	3.3913	0.2568
36895554	224.0	136.0	387.0	2.133	0.374	0.124	0.027	4.0	0.2	153.0	152.0	14.4104	4.044	3.6125	25.5776	21.9651	3.5634	3.0636	0.0463	2.9492	3.1644	0.2151
37329051	195.0	133.0	484.0	2.455	0.449	0.163	0.025	4.0	0.2	153.0	152.0	19.7553	3.4767	10.8362	28.8255	17.9893	5.6822	3.4855	0.0512	3.3503	3.5682	0.2179
37835493	211.0	131.0	448.0	2.425	0.54	0.129	0.029	3.0	0.2	153.0	152.0	15.3977	4.2149	4.8406	26.7592	21.9187	3.6531	3.0409	0.0532	2.8734	3.1468	0.2734
43606631	167.0	107.0	327.0	2.346	0.34	0.163	0.03	3.0	0.2	153.0	152.0	17.5158	3.5858	10.589	30.7328	20.1437	4.8848	3.045	0.0775	2.9398	3.2005	0.2608
49408975	220.0	140.0	428.0	2.3	0.467	0.205	0.052	9.0	0.6	153.0	152.0	16.1102	6.0674	-0.9902	27.7534	28.7435	2.6552	3.074	0.028	3.0175	3.1212	0.1037
51217255	240.0	143.0	364.0	2.121	0.539	0.151	0.049	5.0	0.6	153.0	152.0	18.3817	6.0014	0.8306	33.5476	32.7169	3.0629	3.1206	0.0512	3.0574	3.2445	0.1872
52306425	255.0	157.0	454.0	2.253	0.272	0.12	0.021	5.0	0.2	153.0	152.0	16.7984	4.4443	4.9912	30.4585	25.4673	3.7798	3.1312	0.0533	3.0585	3.3304	0.2719
52835891	211.0	132.0	590.0	2.89	0.37	0.126	0.034	4.0	0.3	153.0	152.0	18.025	5.1694	-7.2008	28.7825	35.9833	3.4869	3.0348	0.0612	2.8332	3.1403	0.307
55710183	212.0	132.0	387.0	2.305	0.38	0.167	0.037	5.0	0.3	153.0	152.0	18.0876	3.8044	5.729	30.139	24.4099	4.7544	2.8716	0.0427	2.7681	2.9685	0.2005
56162563	255.0	157.0	497.0	2.407	0.396	0.143	0.038	5.0	0.3	153.0	152.0	17.5948	4.8094	4.911	31.0107	26.0997	3.6584	3.0831	0.0446	2.9665	3.1712	0.2048
60021964	281.0	174.0	465.0	2.396	0.397	0.124	0.027	6.0	0.2	153.0	152.0	17.7523	6.1165	3.2671	30.9325	27.6654	2.9024	3.1061	0.0388	3.0216	3.1759	0.1543
62582335	248.0	148.0	456.0	2.286	0.463	0.142	0.034	3.0	0.3	153.0	152.0	15.2061	4.0698	6.0752	24.7815	18.7063	3.7364	2.9398	0.0281	2.8912	3.0052	0.1139
65198031	203.0	143.0	497.0	2.546	0.425	0.153	0.033	4.0	0.3	153.0	152.0	18.9415	3.6648	6.1842	28.106	21.9218	5.1685	2.9915	0.0685	2.9063	3.18	0.2737
70214854	177.0	108.0	346.0	2.419	0.303	0.163	0.043	4.0	0.3	153.0	152.0	19.1007	3.7356	11.061	29.206	18.145	5.1131	2.805	0.0723	2.6995	2.9458	0.2463
71851847	232.0	141.0	468.0	2.356	0.294	0.15	0.043	6.0	0.4	153.0	152.0	18.1908	5.2921	3.1362	33.4446	30.3084	3.4374	3.2503	0.0712	3.1268	3.3778	0.251
74920331	221.0	141.0	430.0	2.349	0.513	0.142	0.032	4.0	0.3	153.0	152.0	16.157	4.9563	4.2415	28.7001	24.4587	3.2599	3.065	0.048	2.9952	3.1906	0.1954
77390767	246.0	162.0	452.0	2.317	0.424	0.154	0.036	4.0	0.4	153.0	152.0	19.9573	7.3094	-2.4647	34.5718	37.0365	2.7303	2.9096	0.0463	2.8143	2.9815	0.1672
78982423	213.0	126.0	331.0	2.16	0.388	0.131	0.028	4.0	0.3	153.0	152.0	16.9356	4.3788	5.7059	26.9012	21.1953	3.8676	3.1246	0.0724	2.9812	3.2572	0.276
80982198	227.0	154.0	591.0	2.708	0.516	0.164	0.045	6.0	0.3	153.0	152.0	18.2873	5.4472	0.0244	29.3541	29.3298	3.3572	3.323	0.033	3.2448	3.4255	0.1807
82699044	235.0	129.0	477.0	2.624	0.29	0.121	0.028	3.0	0.2	153.0	152.0	16.579	4.2616	7.3407	27.8981	20.5574	3.8903	2.8584	0.0161	2.8121	2.9104	0.0983
84407714	159.0	111.0	353.0	2.409	0.587	0.171	0.042	5.0	0.3	153.0	152.0	16.1188	4.692	0.0575	29.5309	29.4734	3.4354	2.7901	0.0644	2.6931	2.936	0.243
86226939	193.0	137.0	473.0	2.503	0.507	0.156	0.036	4.0	0.3	153.0	152.0	16.5585	4.969	5.5205	30.6139	25.0934	3.3324	2.9304	0.0352	2.8781	3.0141	0.136
93800202	206.0	116.0	510.0	2.903	0.418	0.115	0.035	3.0	0.2	153.0	152.0	19.7664	3.9561	8.0671	30.3726	22.3055	4.9964	3.0303	0.0711	2.9305	3.1572	0.2267
97005004	331.0	198.0	634.0	2.462	0.442	0.153	0.034	6.0	0.4	153.0	152.0	18.6561	5.0852	4.1778	32.6842	28.5064	3.6687	3.4367	0.0608	3.2915	3.573	0.2814
100527940	276.0	180.0	760.0	2.823	0.542	0.137	0.035	4.0	0.4	153.0	152.0	16.4566	4.8637	4.7994	31.2739	26.4745	3.3836	3.4006	0.0715	3.2505	3.5889	0.3383
103652366	175.0	96.0	418.0	2.708	0.435	0.155	0.036	3.0	0.3	153.0	152.0	16.1845	3.3261	5.9808	25.7935	19.8127	4.8659	2.9834	0.0191	2.9364	3.0404	0.104
