participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	304.0	191.0	640.0	2.556	0.283	0.133	0.028	5.0	0.3	17.0	16.0	16.0402	4.3774	3.8006	29.6123	25.8116	3.6643	2.9293	0.0648	2.8213	3.0763	0.255
8454119	216.0	134.0	418.0	2.467	0.309	0.1	0.02	2.0	0.2	17.0	16.0	19.1866	5.3981	7.4801	31.8312	24.351	3.5543	3.3118	0.0551	3.2191	3.4436	0.2245
11407866	298.0	186.0	555.0	2.419	0.478	0.13	0.028	5.0	0.3	17.0	16.0	18.5786	5.0757	6.4092	36.6233	30.2141	3.6603	3.0726	0.0497	2.9089	3.2359	0.3271
11574123	301.0	188.0	525.0	2.423	0.372	0.095	0.012	2.0	0.2	17.0	16.0	20.1946	4.1227	11.6566	30.6263	18.9697	4.8984	3.0605	0.0352	2.954	3.1143	0.1603
16684978	239.0	148.0	394.0	2.209	0.352	0.14	0.027	4.0	0.3	17.0	16.0	16.9778	4.0077	8.6911	28.7578	20.0667	4.2363	3.2762	0.0498	3.144	3.3618	0.2178
25354225	288.0	181.0	544.0	2.487	0.352	0.099	0.018	3.0	0.2	17.0	16.0	17.6872	4.3726	6.7288	30.7857	24.057	4.0451	3.2473	0.0455	3.1439	3.3426	0.1988
25811472	225.0	152.0	528.0	2.763	0.326	0.111	0.018	2.0	0.1	17.0	16.0	20.6323	4.3361	9.4441	33.5187	24.0745	4.7583	3.3074	0.0795	3.1383	3.4575	0.3193
27876862	214.0	138.0	396.0	2.505	0.288	0.124	0.027	2.0	0.2	17.0	16.0	21.0612	3.373	13.1427	31.5452	18.4025	6.2441	2.8574	0.0267	2.7945	2.9448	0.1503
29811890	204.0	133.0	326.0	2.271	0.32	0.06	0.006	0.0	0.1	17.0	16.0	25.4729	3.7643	13.5431	34.3696	20.8265	6.7669	3.05	0.0157	3.017	3.0922	0.0752
31361606	197.0	137.0	232.0	1.698	0.339	0.101	0.016	1.0	0.1	17.0	16.0	18.0742	2.8349	9.6451	26.2941	16.649	6.3757	2.762	0.0103	2.7422	2.7971	0.0549
32938469	514.0	264.0	705.0	2.064	0.482	0.112	0.036	6.0	0.6	17.0	16.0	14.6948	6.611	-0.8815	34.6187	35.5002	2.2228	3.1094	0.1258	2.8007	3.3182	0.5175
36895554	318.0	191.0	436.0	2.146	0.276	0.131	0.021	4.0	0.3	17.0	16.0	16.5811	4.642	4.0193	26.8922	22.8728	3.572	2.9762	0.085	2.8026	3.1188	0.3162
37329051	214.0	146.0	446.0	2.58	0.297	0.116	0.021	2.0	0.2	17.0	16.0	20.6698	3.1774	11.8725	28.8816	17.009	6.5052	3.3814	0.0758	3.2609	3.5434	0.2825
37835493	286.0	196.0	552.0	2.43	0.361	0.13	0.022	4.0	0.3	17.0	16.0	16.0021	4.095	5.9692	27.1308	21.1616	3.9078	2.901	0.0624	2.7145	3.0591	0.3445
43606631	163.0	106.0	295.0	2.288	0.264	0.119	0.017	2.0	0.1	17.0	16.0	19.3655	4.143	8.161	28.2544	20.0934	4.6742	3.1686	0.0765	3.0152	3.307	0.2917
49408975	170.0	129.0	348.0	2.345	0.452	0.065	0.007	0.0	0.0	17.0	16.0	19.2787	3.1027	11.5681	28.2688	16.7008	6.2135	3.1031	0.0413	3.0273	3.1999	0.1726
51217255	176.0	122.0	333.0	2.336	0.321	0.101	0.014	1.0	0.1	17.0	16.0	21.9477	3.9286	12.6627	33.0861	20.4234	5.5867	3.0931	0.0694	2.9704	3.2554	0.285
52306425	233.0	159.0	373.0	2.279	0.266	0.141	0.029	3.0	0.2	17.0	16.0	19.3685	4.7103	4.753	32.4335	27.6806	4.112	3.1118	0.0453	3.058	3.2013	0.1434
52835891	191.0	129.0	415.0	2.675	0.423	0.092	0.02	1.0	0.1	17.0	16.0	19.5086	3.7256	8.8977	27.5734	18.6758	5.2363	2.9363	0.0665	2.8538	3.0662	0.2124
55710183	214.0	143.0	403.0	2.361	0.328	0.103	0.021	2.0	0.2	17.0	16.0	19.2273	4.0669	6.1025	29.9345	23.8319	4.7278	2.9031	0.085	2.7293	3.0989	0.3696
56162563	298.0	190.0	509.0	2.335	0.273	0.129	0.024	3.0	0.3	17.0	16.0	19.2206	4.5041	6.3236	37.2926	30.969	4.2674	3.032	0.0606	2.9228	3.1504	0.2276
60021964	271.0	171.0	545.0	2.531	0.285	0.096	0.019	2.0	0.2	17.0	16.0	19.6102	4.3849	7.6161	30.6428	23.0267	4.4722	3.0325	0.0724	2.8941	3.1575	0.2634
