participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	651.0	420.0	1162.0	2.421	0.461	0.119	0.022	8.0	0.6	50.0	49.0	19.4445	4.4846	5.7762	31.2684	25.4922	4.3358	3.1463	0.1744	2.689	3.4686	0.7796
8454119	374.0	251.0	864.0	2.707	0.501	0.149	0.047	11.0	0.8	50.0	49.0	25.3953	7.6171	-11.6117	40.6037	52.2154	3.334	3.4836	0.0833	3.2604	3.6297	0.3693
11407866	441.0	309.0	995.0	2.705	0.495	0.124	0.022	7.0	0.3	50.0	49.0	26.2495	4.6204	5.7302	37.8388	32.1086	5.6812	3.1426	0.1056	2.8989	3.3681	0.4692
11574123	468.0	293.0	681.0	2.084	0.51	0.106	0.019	7.0	0.3	50.0	49.0	25.3707	4.4842	9.4399	40.4594	31.0195	5.6578	2.993	0.0755	2.8321	3.1198	0.2877
16684978	484.0	310.0	742.0	2.234	0.409	0.14	0.032	7.0	0.6	50.0	49.0	23.285	5.4357	9.3961	39.2858	29.8897	4.2837	3.3634	0.0304	3.2259	3.4456	0.2197
25354225	411.0	285.0	1231.0	3.12	0.418	0.135	0.026	7.0	0.4	50.0	49.0	24.3773	4.5636	9.6558	38.1694	28.5135	5.3416	3.2327	0.1942	2.9042	3.6502	0.746
25811472	541.0	354.0	1217.0	2.828	0.421	0.126	0.022	8.0	0.5	50.0	49.0	21.7548	5.9323	6.1277	38.3866	32.2589	3.6672	3.4706	0.1333	3.1515	3.7313	0.5798
27876862	412.0	285.0	841.0	2.467	0.522	0.142	0.031	5.0	0.7	50.0	49.0	22.3768	4.508	6.3457	36.4398	30.0941	4.9638	2.6733	0.053	2.592	2.8158	0.2238
29811890	366.0	252.0	728.0	2.324	0.627	0.123	0.021	4.0	0.2	50.0	49.0	24.9631	3.4774	13.4107	36.4527	23.042	7.1787	2.9537	0.159	2.5853	3.3822	0.7968
31361606	408.0	273.0	964.0	2.682	0.481	0.151	0.034	8.0	0.5	50.0	49.0	21.5617	4.0899	6.9583	31.6875	24.7291	5.2719	3.0186	0.0551	2.895	3.1881	0.2931
32938469	467.0	291.0	930.0	2.451	0.447	0.151	0.047	10.0	0.8	50.0	49.0	19.1017	6.6431	-4.8514	40.0467	44.8981	2.8754	3.4746	0.1378	3.2288	3.7038	0.475
36895554	418.0	267.0	1077.0	2.987	0.491	0.152	0.043	9.0	0.6	50.0	49.0	23.592	5.7847	-1.3095	39.4018	40.7113	4.0783	3.1592	0.1284	2.9607	3.4643	0.5035
