participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	715.0	473.0	1571.0	2.77	0.397	0.123	0.021	13.0	0.6	164.0	163.0	20.1455	5.6858	0.2086	35.9616	35.753	3.5431	2.7879	0.0796	2.6437	2.9681	0.3244
8454119	953.0	607.0	2342.0	3.369	0.582	0.125	0.031	16.0	1.2	164.0	163.0	21.635	7.1848	-3.8227	37.1518	40.9746	3.0112	3.0934	0.0979	2.9211	3.3234	0.4023
11407866	562.0	409.0	1684.0	3.468	0.465	0.142	0.031	9.0	0.6	164.0	163.0	21.9786	5.5306	8.444	36.2553	27.8113	3.974	2.9284	0.0669	2.7744	3.1252	0.3508
11574123	645.0	437.0	1499.0	2.872	0.398	0.1	0.017	9.0	0.5	164.0	163.0	20.6555	4.763	3.7321	34.4232	30.6912	4.3366	2.6993	0.0418	2.6109	2.808	0.1971
16684978	605.0	393.0	1146.0	2.685	0.422	0.123	0.036	8.0	0.7	164.0	163.0	20.5638	4.8802	2.8664	34.8292	31.9628	4.2137	2.8148	0.0495	2.6534	2.8999	0.2464
25354225	613.0	417.0	1532.0	3.262	0.55	0.143	0.032	13.0	0.8	164.0	163.0	20.8656	6.4278	0.0887	36.3067	36.218	3.2461	2.7448	0.0295	2.6889	2.8066	0.1177
25811472	676.0	445.0	1721.0	3.293	0.602	0.137	0.03	11.0	0.8	164.0	163.0	20.7063	5.664	1.6846	35.3611	33.6764	3.6557	2.8976	0.0299	2.7788	2.982	0.2031
27876862	477.0	326.0	1153.0	2.786	0.525	0.153	0.035	13.0	0.8	164.0	163.0	20.0597	6.3079	2.4785	34.6738	32.1953	3.1801	2.6289	0.0207	2.5863	2.676	0.0898
29811890	838.0	557.0	2065.0	3.348	0.488	0.14	0.027	16.0	0.7	164.0	163.0	21.3965	5.4512	2.9287	37.0972	34.1684	3.9251	3.017	0.0469	2.883	3.1234	0.2404
31361606	474.0	335.0	1081.0	3.14	0.54	0.129	0.034	6.0	0.7	164.0	163.0	21.6203	6.2043	0.3205	39.5319	39.2115	3.4847	2.4504	0.0403	2.371	2.5401	0.1691
32938469	500.0	337.0	1285.0	3.565	0.435	0.142	0.028	7.0	0.6	164.0	163.0	22.9706	5.7463	1.2235	36.9035	35.6801	3.9975	2.8906	0.0461	2.7574	2.9774	0.2201
36895554	461.0	323.0	1159.0	3.047	0.689	0.14	0.034	9.0	0.7	164.0	163.0	19.3266	6.4884	0.6588	34.4637	33.8049	2.9786	2.611	0.0516	2.5018	2.7674	0.2657
37329051	692.0	457.0	1714.0	3.202	0.431	0.153	0.032	13.0	0.9	164.0	163.0	22.6848	6.2992	0.9328	34.5539	33.6212	3.6012	2.9491	0.0342	2.8106	3.0002	0.1895
37835493	693.0	452.0	1608.0	3.036	0.564	0.143	0.045	14.0	1.4	164.0	163.0	21.1849	7.0464	-33.8966	35.4778	69.3743	3.0065	2.7558	0.0379	2.639	2.8389	0.1999
43606631	566.0	381.0	1200.0	2.95	0.351	0.102	0.036	4.0	0.9	164.0	163.0	22.1892	4.961	-20.2874	44.3366	64.624	4.4727	2.6792	0.104	2.4191	2.8517	0.4325
49408975	572.0	377.0	1304.0	3.277	0.699	0.117	0.021	6.0	0.5	164.0	163.0	21.0539	6.5403	5.3123	44.3217	39.0094	3.2191	2.6445	0.0825	2.5002	2.9011	0.4009
51217255	577.0	376.0	1347.0	3.038	0.506	0.14	0.041	12.0	0.8	164.0	163.0	21.0298	6.8523	3.8415	39.2012	35.3597	3.069	2.8742	0.1083	2.6696	3.0675	0.3979
52306425	589.0	424.0	1406.0	2.629	0.644	0.126	0.027	11.0	0.8	164.0	163.0	20.133	6.137	-6.6244	37.5565	44.1809	3.2806	2.8026	0.1048	2.6525	3.0562	0.4037
52835891	579.0	403.0	1246.0	3.124	0.547	0.126	0.032	9.0	0.8	164.0	163.0	22.8199	6.0475	-4.1688	42.4922	46.661	3.7735	2.5223	0.0344	2.394	2.6208	0.2268
55710183	934.0	671.0	2001.0	2.805	0.482	0.139	0.033	13.0	1.3	164.0	163.0	21.4674	5.1517	3.6822	35.0604	31.3782	4.1671	2.9236	0.1335	2.7202	3.248	0.5278
56162563	683.0	508.0	1991.0	3.239	0.538	0.116	0.026	7.0	0.7	164.0	163.0	22.8901	5.0295	3.9663	40.4645	36.4983	4.5511	2.8623	0.0711	2.7244	3.1174	0.3929
