participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	689.0	484.0	1394.0	2.413	0.549	0.138	0.026	11.0	0.9	90.0	89.0	24.3182	5.5813	-1.6346	37.5408	39.1754	4.357	2.3345	0.1013	2.1274	2.5867	0.4594
8454119	828.0	522.0	1448.0	2.646	0.487	0.149	0.056	17.0	2.5	90.0	89.0	22.9923	8.5369	-3.4512	39.2793	42.7304	2.6933	2.539	0.0954	2.3011	2.846	0.5449
11407866	696.0	476.0	1309.0	2.731	0.396	0.111	0.024	6.0	0.7	90.0	89.0	28.5916	4.755	7.4494	41.2071	33.7577	6.013	2.4453	0.1542	2.1699	2.6325	0.4626
11574123	660.0	468.0	1365.0	2.573	0.576	0.127	0.026	8.0	0.7	90.0	89.0	25.2949	6.5561	3.6463	38.5703	34.924	3.8582	2.3301	0.1398	2.0612	2.5673	0.506
16684978	647.0	417.0	908.0	2.13	0.511	0.142	0.055	10.0	1.5	90.0	89.0	18.4124	10.4686	-13.4765	39.5086	52.9851	1.7588	2.5066	0.0799	2.3503	2.8551	0.5048
25354225	795.0	459.0	1538.0	2.945	0.862	0.146	0.051	15.0	1.6	90.0	89.0	19.6564	9.3566	-2.1925	42.3603	44.5528	2.1008	2.539	0.1378	2.2208	2.9399	0.7191
25811472	689.0	472.0	1590.0	2.732	0.458	0.14	0.039	13.0	1.0	90.0	89.0	24.7523	7.2066	0.8363	42.691	41.8546	3.4347	2.4463	0.0757	2.2941	2.6269	0.3328
27876862	490.0	340.0	917.0	2.506	0.478	0.152	0.032	9.0	0.7	90.0	89.0	22.5695	6.5635	5.6043	37.6269	32.0226	3.4386	2.289	0.0514	2.1688	2.3926	0.2238
29811890	755.0	461.0	1102.0	2.391	0.498	0.134	0.042	11.0	1.6	90.0	89.0	21.209	9.0134	-13.3953	39.4926	52.8879	2.3531	2.2794	0.1179	2.1058	2.525	0.4192
31361606	564.0	377.0	874.0	2.213	0.414	0.132	0.035	8.0	0.6	90.0	89.0	22.7313	8.0924	-25.2537	39.1808	64.4345	2.809	2.4807	0.0953	2.1578	2.7144	0.5566
32938469	731.0	502.0	1666.0	2.526	0.68	0.156	0.058	13.0	1.9	90.0	89.0	15.0869	7.9033	-3.615	34.682	38.2971	1.9089	2.6496	0.1743	2.339	2.9233	0.5843
36895554	545.0	365.0	838.0	2.222	0.486	0.105	0.019	5.0	0.5	90.0	89.0	23.7707	5.1135	9.2458	35.0903	25.8445	4.6486	2.5901	0.1726	2.2284	2.8239	0.5955
37329051	649.0	425.0	1336.0	2.658	0.587	0.126	0.03	11.0	0.8	90.0	89.0	23.8862	6.2002	-0.8313	35.565	36.3963	3.8525	2.6492	0.2208	2.1674	3.0341	0.8667
37835493	617.0	385.0	1278.0	2.706	0.405	0.129	0.028	9.0	0.7	90.0	89.0	23.1642	6.2281	2.5373	38.0589	35.5216	3.7193	2.2458	0.0838	2.0517	2.4167	0.3651
43606631	538.0	358.0	950.0	2.342	0.462	0.16	0.038	11.0	0.9	90.0	89.0	24.8204	5.8684	8.0999	38.7266	30.6267	4.2295	2.3034	0.0714	2.137	2.5825	0.4455
49408975	587.0	398.0	1339.0	2.732	0.503	0.129	0.028	10.0	0.6	90.0	89.0	21.914	5.9756	4.3247	36.7638	32.4391	3.6673	2.5295	0.1803	2.2449	2.8661	0.6211
51217255	689.0	448.0	1274.0	2.638	0.486	0.134	0.028	14.0	0.7	90.0	89.0	25.3123	5.1757	8.9397	37.3099	28.3702	4.8906	2.2334	0.1315	2.01	2.6295	0.6195
52306425	664.0	471.0	1054.0	2.197	0.382	0.143	0.036	9.0	1.0	90.0	89.0	25.0584	5.9648	1.2016	40.3458	39.1442	4.2011	2.4341	0.0739	2.2842	2.633	0.3488
52835891	564.0	394.0	1320.0	2.71	0.54	0.135	0.037	7.0	0.9	90.0	89.0	25.8484	6.279	3.742	40.9771	37.2351	4.1166	2.4328	0.0995	2.2119	2.6351	0.4231
55710183	684.0	482.0	1265.0	2.333	0.542	0.147	0.041	12.0	1.1	90.0	89.0	23.0406	6.4049	-5.0204	38.9654	43.9858	3.5973	2.581	0.1475	2.2804	2.7521	0.4717
56162563	789.0	528.0	1554.0	2.599	0.588	0.136	0.03	11.0	0.9	90.0	89.0	25.7002	5.3422	-0.3486	36.9112	37.2598	4.8108	2.3933	0.15	2.1631	2.6685	0.5054
60021964	767.0	493.0	1507.0	2.669	0.488	0.135	0.03	12.0	0.9	90.0	89.0	24.3063	6.3424	4.8475	43.9041	39.0565	3.8324	2.5009	0.1455	2.2124	2.7786	0.5662
62582335	625.0	431.0	1413.0	2.769	0.561	0.142	0.036	10.0	0.9	90.0	89.0	23.9108	6.7941	-4.0282	38.8148	42.843	3.5193	2.3671	0.1059	2.1998	2.5691	0.3693
65198031	668.0	464.0	1054.0	2.181	0.395	0.13	0.028	9.0	0.8	90.0	89.0	23.059	6.1958	3.3267	35.1351	31.8084	3.7217	2.3966	0.1316	2.197	2.6721	0.4751
70214854	519.0	341.0	869.0	2.465	0.418	0.145	0.037	8.0	0.8	90.0	89.0	27.3305	7.1704	5.2941	43.5978	38.3037	3.8115	2.1999	0.0624	2.0712	2.4227	0.3514
71851847	740.0	495.0	1417.0	2.596	0.506	0.129	0.032	8.0	1.0	90.0	89.0	26.1662	6.3187	6.3628	38.2502	31.8874	4.1411	2.3902	0.1552	2.122	2.5699	0.448
74920331	653.0	447.0	1199.0	2.511	0.452	0.124	0.023	7.0	0.7	90.0	89.0	26.9552	3.6773	7.2767	37.2491	29.9724	7.3302	2.5129	0.1636	2.1371	2.7479	0.6108
77390767	659.0	433.0	1326.0	2.545	0.68	0.152	0.058	15.0	1.7	90.0	89.0	22.8558	7.7558	-10.4644	41.3506	51.815	2.9469	2.3909	0.0991	2.2091	2.6059	0.3968
78982423	519.0	358.0	898.0	2.491	0.447	0.141	0.031	6.0	0.7	90.0	89.0	25.1311	4.8671	9.3429	40.7711	31.4282	5.1634	2.2272	0.1308	2.0526	2.5167	0.464
80982198	653.0	436.0	1201.0	2.596	0.487	0.131	0.028	9.0	0.8	90.0	89.0	25.3262	7.2148	-1.0525	41.0779	42.1304	3.5103	2.5995	0.1827	2.2412	2.8474	0.6062
82699044	744.0	488.0	1242.0	2.348	0.422	0.127	0.031	11.0	0.9	90.0	89.0	23.0722	6.2828	1.8321	36.0525	34.2204	3.6723	2.5401	0.106	2.2881	2.8142	0.5261
84407714	731.0	477.0	1273.0	2.446	0.455	0.128	0.04	11.0	1.3	90.0	89.0	22.6539	8.0059	-2.6428	36.1229	38.7657	2.8296	2.3314	0.0769	2.1647	2.4793	0.3146
86226939	581.0	400.0	1139.0	2.534	0.545	0.142	0.041	9.0	0.8	90.0	89.0	24.3113	6.3477	3.2545	42.2126	38.958	3.8299	2.3076	0.1056	2.1472	2.5201	0.3729
93800202	456.0	308.0	1018.0	2.682	0.526	0.125	0.036	6.0	0.7	90.0	89.0	22.9232	6.4997	5.6861	37.3079	31.6218	3.5268	2.6374	0.1289	2.4176	2.8737	0.4561
97005004	761.0	495.0	1527.0	2.865	0.6	0.125	0.029	9.0	0.9	90.0	89.0	27.1668	5.8646	-0.1526	46.5693	46.7219	4.6323	2.5181	0.1191	2.2186	2.7341	0.5155
