participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	545.0	369.0	850.0	2.657	0.402	0.097	0.016	2.0	0.4	180.0	179.0	26.5716	3.4344	14.855	36.7969	21.9419	7.737	2.1145	0.0462	2.0496	2.2356	0.1861
8454119	638.0	445.0	1237.0	3.208	0.347	0.09	0.017	3.0	0.4	180.0	179.0	27.6427	5.5089	10.9915	40.5476	29.5561	5.0178	2.3488	0.0197	2.3161	2.3998	0.0838
11407866	471.0	325.0	834.0	2.898	0.46	0.086	0.015	2.0	0.2	180.0	179.0	28.664	3.2196	17.5228	37.4404	19.9177	8.9029	2.0822	0.0241	2.0406	2.163	0.1225
11574123	463.0	323.0	966.0	2.992	0.501	0.105	0.017	3.0	0.3	180.0	179.0	26.0641	5.1585	9.9945	40.7748	30.7803	5.0527	1.9319	0.0275	1.8798	2.0701	0.1903
16684978	407.0	272.0	869.0	3.006	0.411	0.115	0.02	5.0	0.4	180.0	179.0	23.042	6.9052	0.472	37.0023	36.5303	3.3369	1.9923	0.044	1.9033	2.1025	0.1992
25354225	444.0	307.0	994.0	3.457	0.574	0.106	0.023	3.0	0.5	180.0	179.0	25.7634	5.015	3.1579	40.0965	36.9387	5.1373	2.1093	0.0746	2.0008	2.2749	0.2741
25811472	547.0	364.0	1035.0	3.239	0.477	0.093	0.018	2.0	0.4	180.0	179.0	27.4183	3.9397	12.1446	37.9932	25.8486	6.9595	2.2984	0.0318	2.1731	2.3721	0.199
27876862	328.0	230.0	704.0	3.114	0.526	0.119	0.024	2.0	0.3	180.0	179.0	26.7931	4.8245	13.7949	41.9746	28.1797	5.5535	1.9176	0.0371	1.8145	2.0054	0.1909
29811890	482.0	340.0	1003.0	3.066	0.549	0.108	0.024	3.0	0.5	180.0	179.0	27.4313	6.083	4.2352	41.1378	36.9026	4.5095	2.0365	0.025	1.9518	2.1032	0.1514
31361606	394.0	281.0	715.0	2.666	0.401	0.105	0.022	2.0	0.4	180.0	179.0	25.626	4.1312	11.5182	34.1989	22.6807	6.2031	2.0083	0.0514	1.8613	2.0864	0.2251
32938469	414.0	286.0	872.0	2.981	0.646	0.103	0.018	3.0	0.3	180.0	179.0	24.1644	5.6091	8.4248	38.7529	30.3281	4.3081	2.0759	0.0233	2.0261	2.157	0.1309
36895554	476.0	326.0	1064.0	3.227	0.429	0.119	0.026	4.0	0.5	180.0	179.0	24.6041	5.5038	8.3162	38.822	30.5058	4.4704	2.1501	0.0897	2.0342	2.3237	0.2896
37329051	401.0	275.0	679.0	2.937	0.372	0.086	0.013	1.0	0.2	180.0	179.0	27.9856	2.8691	19.4546	36.1986	16.744	9.7542	2.1093	0.0367	2.0568	2.1894	0.1326
37835493	482.0	330.0	771.0	2.663	0.415	0.1	0.019	2.0	0.4	180.0	179.0	25.6357	3.271	15.2261	34.5845	19.3584	7.8373	1.9853	0.0691	1.8718	2.1042	0.2324
43606631	508.0	366.0	1235.0	2.823	0.448	0.15	0.033	7.0	0.7	180.0	179.0	22.912	5.3733	8.7072	37.0113	28.304	4.264	2.1038	0.0484	2.0017	2.202	0.2003
49408975	510.0	336.0	783.0	2.9	0.505	0.089	0.014	2.0	0.3	180.0	179.0	25.3872	3.3146	13.8071	35.3676	21.5605	7.6593	2.0973	0.0307	2.0365	2.1918	0.1553
51217255	412.0	268.0	802.0	3.039	0.477	0.089	0.014	2.0	0.2	180.0	179.0	27.0059	4.1486	14.5457	37.2084	22.6627	6.5096	1.9514	0.0522	1.8628	2.1038	0.241
52306425	477.0	311.0	763.0	2.645	0.57	0.122	0.03	4.0	0.5	180.0	179.0	25.4556	4.3752	12.7123	36.6621	23.9498	5.8182	2.1563	0.045	2.0197	2.2495	0.2298
52835891	389.0	266.0	618.0	2.866	0.411	0.094	0.018	1.0	0.3	180.0	179.0	27.7816	3.8433	15.2814	38.6419	23.3605	7.2287	2.0733	0.0564	1.9959	2.2017	0.2058
55710183	538.0	359.0	899.0	2.654	0.355	0.107	0.02	5.0	0.4	180.0	179.0	25.6614	4.8123	7.217	37.7548	30.5378	5.3325	2.1174	0.0277	2.0201	2.2199	0.1998
56162563	426.0	291.0	664.0	2.862	0.441	0.108	0.021	2.0	0.3	180.0	179.0	28.7878	4.4387	15.9612	41.9727	26.0115	6.4856	2.0341	0.0203	1.9948	2.1325	0.1377
60021964	494.0	334.0	1135.0	3.265	0.502	0.113	0.02	4.0	0.4	180.0	179.0	26.4693	4.4979	11.9346	36.331	24.3963	5.8848	1.9947	0.0756	1.8874	2.1432	0.2559
62582335	397.0	274.0	823.0	3.006	0.4	0.125	0.019	5.0	0.4	180.0	179.0	24.1694	5.1403	11.6509	35.6679	24.017	4.7019	1.9666	0.0185	1.9245	2.0517	0.1272
65198031	501.0	332.0	851.0	2.743	0.436	0.092	0.016	3.0	0.3	180.0	179.0	24.3984	4.4354	11.6954	33.7784	22.083	5.5009	2.1149	0.0368	2.0425	2.2347	0.1922
70214854	517.0	361.0	1054.0	2.88	0.443	0.104	0.018	3.0	0.3	180.0	179.0	27.0549	5.6936	7.3833	43.2823	35.899	4.7518	2.091	0.0573	1.985	2.1793	0.1943
71851847	456.0	295.0	694.0	2.979	0.398	0.093	0.018	2.0	0.3	180.0	179.0	29.1709	3.948	17.9943	40.0997	22.1054	7.3887	1.985	0.0474	1.8909	2.0644	0.1736
74920331	414.0	286.0	843.0	2.945	0.541	0.132	0.026	4.0	0.5	180.0	179.0	25.1335	5.237	12.3694	35.5013	23.1319	4.7993	2.0299	0.0428	1.9468	2.1398	0.1931
77390767	425.0	277.0	981.0	2.927	0.454	0.121	0.025	7.0	0.4	180.0	179.0	23.602	5.8166	8.4613	39.5412	31.0799	4.0577	1.9304	0.0328	1.8693	2.0088	0.1394
78982423	450.0	310.0	947.0	2.792	0.446	0.107	0.016	4.0	0.3	180.0	179.0	23.4303	5.4139	3.9415	37.6156	33.6742	4.3278	1.8799	0.0424	1.7967	2.0029	0.2062
80982198	497.0	348.0	1055.0	3.129	0.491	0.095	0.015	3.0	0.3	180.0	179.0	25.5329	5.0069	6.8212	37.5825	30.7613	5.0995	2.023	0.0353	1.9764	2.0883	0.1119
82699044	482.0	319.0	808.0	2.918	0.415	0.106	0.019	3.0	0.4	180.0	179.0	28.2662	4.1833	11.8188	38.9056	27.0867	6.757	2.0509	0.0899	1.922	2.2621	0.3401
84407714	435.0	288.0	888.0	3.009	0.504	0.13	0.034	7.0	0.6	180.0	179.0	22.7142	6.406	3.3777	35.7592	32.3815	3.5457	1.9209	0.0369	1.8518	2.0672	0.2154
86226939	485.0	342.0	1231.0	3.068	0.452	0.144	0.034	5.0	0.7	180.0	179.0	24.238	5.3136	6.1247	34.8616	28.7369	4.5615	2.0248	0.0229	1.9529	2.0909	0.138
93800202	395.0	254.0	1056.0	3.86	0.455	0.127	0.043	5.0	0.7	180.0	179.0	26.4021	6.5774	8.4092	41.8046	33.3954	4.0141	1.8675	0.0518	1.8015	1.9585	0.157
97005004	420.0	304.0	945.0	3.134	0.452	0.127	0.03	4.0	0.4	180.0	179.0	25.7472	5.7098	1.5449	41.1645	39.6196	4.5093	2.3467	0.0553	2.1349	2.4229	0.288
100527940	453.0	314.0	939.0	3.156	0.512	0.106	0.021	3.0	0.3	180.0	179.0	26.2703	5.6615	8.6441	39.2393	30.5952	4.6402	2.096	0.0675	1.9959	2.2984	0.3026
103652366	479.0	331.0	1205.0	3.066	0.639	0.138	0.026	7.0	0.6	180.0	179.0	23.5079	5.0603	8.0799	33.3549	25.275	4.6455	2.1232	0.0704	1.9687	2.2435	0.2749
105914514	409.0	299.0	966.0	3.363	0.806	0.094	0.017	2.0	0.3	180.0	179.0	19.0399	6.0666	2.6309	38.9827	36.3518	3.1385	2.0663	0.0563	2.0175	2.2391	0.2217
107578676	592.0	387.0	1347.0	3.211	0.697	0.095	0.018	4.0	0.4	180.0	179.0	26.0486	4.7291	10.5272	39.2776	28.7504	5.5081	2.1902	0.0661	2.0738	2.3028	0.229
108828000	328.0	235.0	640.0	3.219	0.391	0.098	0.023	1.0	0.3	180.0	179.0	27.2465	4.7088	10.1291	39.7247	29.5956	5.7864	1.9554	0.0221	1.8867	1.9914	0.1046
113335479	452.0	311.0	830.0	2.945	0.44	0.102	0.022	2.0	0.4	180.0	179.0	27.2503	4.3321	10.7181	39.6947	28.9766	6.2904	2.0688	0.0359	2.0148	2.1793	0.1645
115784129	539.0	364.0	1150.0	2.94	0.546	0.135	0.028	6.0	0.6	180.0	179.0	23.6604	6.0747	4.4444	38.6802	34.2358	3.8949					
119126177	415.0	297.0	685.0	2.768	0.464	0.108	0.023	2.0	0.4	180.0	179.0	27.5773	4.5148	12.37	40.8987	28.5287	6.1082	1.9054	0.0166	1.8621	1.9592	0.0971
121697273	597.0	388.0	1175.0	2.95	0.559	0.119	0.023	6.0	0.5	180.0	179.0	25.5357	5.703	9.4689	36.5502	27.0812	4.4776	2.1123	0.0552	2.011	2.2294	0.2184
130118047	468.0	312.0	794.0	2.791	0.39	0.111	0.022	3.0	0.4	180.0	179.0	27.5297	5.0071	8.8819	39.8933	31.0115	5.4981	2.1292	0.0441	2.0467	2.2422	0.1955
131655018	529.0	372.0	1049.0	2.817	0.33	0.092	0.018	4.0	0.3	180.0	179.0	24.4725	5.6634	4.2912	40.5004	36.2092	4.3212	2.1331	0.0155	2.0965	2.1866	0.0901
134279804	547.0	359.0	1048.0	3.017	0.395	0.082	0.01	3.0	0.2	180.0	179.0	26.3144	5.1009	7.1019	40.5268	33.4249	5.1587	1.9812	0.0856	1.8773	2.1418	0.2644
138434806	538.0	376.0	865.0	2.681	0.353	0.108	0.025	3.0	0.6	180.0	179.0	25.4182	3.9141	13.5224	35.8062	22.2837	6.494	2.2479	0.0524	2.1425	2.3589	0.2164
154667058	687.0	457.0	1753.0	3.108	0.558	0.116	0.025	8.0	0.6	180.0	179.0	23.814	5.717	9.6219	42.3563	32.7344	4.1655	2.209	0.0908	2.0678	2.4299	0.362
158779019	443.0	292.0	916.0	3.089	0.506	0.115	0.028	5.0	0.5	180.0	179.0	23.8926	4.4816	7.6768	33.9555	26.2787	5.3313	2.0998	0.079	1.9902	2.2311	0.2409
162526644	438.0	301.0	1106.0	3.126	0.492	0.124	0.039	7.0	0.6	180.0	179.0	24.0308	5.5705	6.3906	34.8104	28.4197	4.3139	2.23	0.0164	2.1817	2.2647	0.083
163259093	413.0	280.0	796.0	2.903	0.331	0.104	0.02	4.0	0.3	180.0	179.0	27.8486	5.168	9.6422	39.5703	29.9281	5.3887	1.9651	0.0665	1.8434	2.1495	0.3061
176129790	414.0	299.0	719.0	2.679	0.38	0.117	0.024	4.0	0.5	180.0	179.0	26.877	4.5443	5.9736	36.6089	30.6353	5.9144	2.1602	0.0345	1.9684	2.2476	0.2792
177928631	479.0	329.0	948.0	2.917	0.404	0.114	0.028	4.0	0.4	180.0	179.0	25.4604	4.7261	8.7138	36.8948	28.181	5.3872	2.1818	0.0854	2.0591	2.3462	0.2871
182017409	697.0	484.0	1731.0	3.134	0.601	0.141	0.041	16.0	1.2	180.0	179.0	22.3871	7.1418	-16.8189	39.6134	56.4323	3.1346	2.2078	0.0684	2.0742	2.3504	0.2762
189913356	391.0	281.0	929.0	3.292	0.772	0.126	0.033	3.0	0.6	180.0	179.0	20.6257	6.0461	2.7103	32.8938	30.1835	3.4114	2.1032	0.0317	2.0442	2.1759	0.1317
190100766	466.0	301.0	848.0	2.994	0.412	0.095	0.02	3.0	0.4	180.0	179.0	28.3619	4.4169	13.7083	40.1576	26.4494	6.4212	2.0447	0.032	1.95	2.0924	0.1424
192039987	450.0	331.0	908.0	3.355	0.646	0.112	0.029	2.0	0.6	180.0	179.0	16.9949	6.7692	-0.7325	36.4908	37.2233	2.5106	2.0636	0.0548	2.0005	2.2007	0.2002
192271174	397.0	275.0	754.0	2.925	0.491	0.106	0.022	2.0	0.4	180.0	179.0	24.7907	4.5416	9.3236	35.387	26.0634	5.4585	1.8102	0.0471	1.7342	1.9108	0.1766
192413932	460.0	325.0	850.0	2.896	0.42	0.105	0.019	2.0	0.4	180.0	179.0	26.0424	4.8166	4.1682	37.2229	33.0547	5.4069	2.105	0.0397	2.0258	2.2266	0.2007
194293030	479.0	325.0	1022.0	2.86	0.433	0.109	0.022	4.0	0.4	180.0	179.0	25.2025	5.2594	13.3027	37.3882	24.0856	4.7919	2.1867	0.0375	2.1065	2.2704	0.1639
194324018	602.0	379.0	1096.0	2.892	0.402	0.089	0.013	4.0	0.3	180.0	179.0	26.2213	3.83	15.7023	36.3795	20.6771	6.8462	2.1074	0.0724	1.994	2.2527	0.2587
195168692	518.0	383.0	1359.0	3.078	0.527	0.144	0.035	6.0	0.8	180.0	179.0	24.8577	5.3825	9.6164	37.1908	27.5744	4.6182	2.219	0.0655	2.1272	2.3909	0.2638
198051119	404.0	277.0	639.0	2.625	0.359	0.11	0.026	3.0	0.4	180.0	179.0	25.7663	4.754	8.9011	37.7559	28.8548	5.4199	1.932	0.0488	1.8729	2.0515	0.1786
199547104	570.0	388.0	1115.0	3.063	0.389	0.089	0.013	2.0	0.3	180.0	179.0	27.2916	3.7485	15.5765	40.4834	24.9069	7.2807	2.1254	0.0312	2.0514	2.2409	0.1894
199809850	419.0	290.0	692.0	2.803	0.408	0.103	0.022	2.0	0.4	180.0	179.0	24.2566	4.1588	13.5467	35.3837	21.837	5.8327	1.958	0.0499	1.8746	2.0466	0.172
200066829	361.0	240.0	580.0	2.899	0.522	0.097	0.015	2.0	0.2	180.0	179.0	27.1786	3.084	17.2293	35.1396	17.9102	8.8128	1.9982	0.0407	1.9247	2.0966	0.1719
