participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1167.0	765.0	2711.0	2.773	0.479	0.143	0.031	20.0	1.4	78.0	77.0	23.5075	5.8497	6.5658	43.025	36.4592	4.0186	2.8555	0.202	2.4194	3.5083	1.0889
8454119	1496.0	879.0	3058.0	2.754	0.752	0.14	0.054	34.0	3.4	78.0	77.0	18.9789	9.022	-12.9547	37.1299	50.0846	2.1036	3.3345	0.4717	2.6426	4.6138	1.9712
11407866	1076.0	711.0	3032.0	3.274	0.643	0.132	0.026	17.0	1.1	78.0	77.0	23.626	6.6999	2.0869	40.3273	38.2405	3.5263	3.4336	0.4712	2.5435	4.3497	1.8062
11574123	1254.0	808.0	3277.0	3.084	0.575	0.134	0.028	21.0	1.4	78.0	77.0	24.3301	5.6944	7.0623	40.2129	33.1506	4.2726	2.6503	0.2305	2.3506	3.5087	1.1581
16684978	1098.0	713.0	2700.0	2.846	0.583	0.151	0.043	19.0	1.9	78.0	77.0	21.2909	6.8151	3.8889	49.0532	45.1643	3.1241	3.2178	0.3975	2.6275	4.3154	1.6878
25354225	1376.0	773.0	2621.0	2.715	0.863	0.132	0.05	20.0	3.0	78.0	77.0	17.9813	9.4561	-20.8798	41.8094	62.6892	1.9016	2.9955	0.3057	2.4854	3.8631	1.3776
25811472	1233.0	841.0	3002.0	2.857	0.533	0.143	0.035	21.0	1.7	78.0	77.0	23.7546	6.9841	1.1079	42.8757	41.7678	3.4012	2.8704	0.2924	2.3827	3.803	1.4203
27876862	888.0	551.0	1994.0	2.814	0.534	0.129	0.028	13.0	1.0	78.0	77.0	22.3629	5.8674	4.2168	36.6702	32.4534	3.8114	2.624	0.1338	2.3718	3.0174	0.6456
29811890	1462.0	861.0	3362.0	3.024	0.741	0.127	0.034	23.0	2.0	78.0	77.0	21.6823	9.4605	-7.1274	44.0737	51.2012	2.2919	2.7665	0.3334	2.3275	3.7831	1.4557
31361606	1006.0	633.0	2402.0	3.0	0.562	0.144	0.037	16.0	1.6	78.0	77.0	22.9451	6.5585	5.8711	42.193	36.322	3.4985	2.8861	0.2501	2.3946	3.5246	1.13
