participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	973.0	633.0	1904.0	2.572	0.481	0.153	0.034	19.0	1.5	86.0	85.0	21.6142	6.6554	2.2562	37.8982	35.642	3.2476	2.9602	0.2281	2.5546	3.4419	0.8874
8454119	1390.0	880.0	2513.0	2.521	0.51	0.124	0.03	21.0	1.5	86.0	85.0	20.765	7.341	-8.7304	38.5627	47.2931	2.8286	3.1568	0.1878	2.6833	3.5109	0.8276
11407866	956.0	663.0	2752.0	3.084	0.555	0.125	0.023	17.0	0.9	86.0	85.0	25.8269	5.444	6.4791	37.7237	31.2446	4.7441	2.9151	0.2533	2.458	3.3052	0.8473
11574123	1121.0	722.0	2293.0	2.69	0.407	0.133	0.027	20.0	1.3	86.0	85.0	23.636	6.298	2.1886	37.0662	34.8776	3.7529	2.7748	0.1976	2.4044	3.3254	0.921
16684978	984.0	629.0	1897.0	2.409	0.568	0.144	0.041	17.0	1.8	86.0	85.0	19.5588	7.554	-1.192	39.7903	40.9823	2.5892	3.131	0.2927	2.5166	3.7439	1.2274
25354225	1586.0	898.0	2150.0	2.15	0.546	0.123	0.045	22.0	3.2	86.0	85.0	14.8532	9.4057	-6.8279	40.5319	47.3598	1.5792	3.1554	0.3048	2.6892	3.6257	0.9365
25811472	1024.0	702.0	2562.0	2.907	0.534	0.154	0.031	21.0	1.4	86.0	85.0	23.1942	6.196	3.6573	36.8931	33.2358	3.7434	2.8934	0.2354	2.4349	3.293	0.8582
27876862	742.0	495.0	1476.0	2.504	0.502	0.125	0.024	10.0	0.8	86.0	85.0	23.3488	5.8804	1.423	35.9272	34.5042	3.9706	2.5597	0.1774	2.3184	2.907	0.5886
29811890	1563.0	945.0	2599.0	2.558	0.697	0.126	0.039	16.0	2.5	86.0	85.0	20.1379	10.6059	-4.7925	41.7478	46.5403	1.8988	2.9231	0.3127	2.4531	3.8486	1.3955
31361606	933.0	599.0	2179.0	2.817	0.654	0.132	0.031	14.0	1.1	86.0	85.0	21.5202	5.4834	-0.726	35.921	36.647	3.9246	2.867	0.1534	2.5014	3.0746	0.5733
32938469	1148.0	718.0	1605.0	2.179	0.547	0.136	0.051	18.0	2.7	86.0	85.0	16.0407	9.4769	-23.7319	34.1984	57.9303	1.6926	3.0675	0.1892	2.8297	3.6107	0.781
36895554	866.0	565.0	1649.0	2.415	0.564	0.13	0.032	14.0	1.1	86.0	85.0	20.0835	8.1536	-2.3335	38.4043	40.7379	2.4631	3.1547	0.1481	2.7521	3.4229	0.6707
37329051	912.0	640.0	2095.0	2.587	0.555	0.143	0.036	17.0	1.4	86.0	85.0	21.3731	6.5187	1.3354	37.5941	36.2587	3.2787	3.2972	0.1774	2.9643	3.6666	0.7023
37835493	867.0	563.0	1734.0	2.61	0.518	0.117	0.022	11.0	0.7	86.0	85.0	22.6981	5.5648	1.5611	38.4468	36.8857	4.0789	2.624	0.1452	2.3659	2.8707	0.5049
43606631	936.0	634.0	1505.0	2.155	0.393	0.148	0.035	16.0	1.3	86.0	85.0	21.0248	6.3858	0.8472	34.8912	34.0439	3.2924	2.9065	0.2211	2.4196	3.3479	0.9283
