participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	366.0	246.0	987.0	3.038	0.381	0.153	0.026	7.0	0.4	35.0	34.0	22.9931	5.0481	10.8718	37.3763	26.5045	4.5548	2.9951	0.2671	2.4544	3.3723	0.9179
8454119	315.0	223.0	985.0	3.11	0.431	0.159	0.048	7.0	0.8	35.0	34.0	21.1771	5.87	5.6917	37.3545	31.6629	3.6077	3.4695	0.2637	2.9431	3.9497	1.0065
11407866	279.0	196.0	1027.0	3.723	0.41	0.145	0.03	4.0	0.3	35.0	34.0	25.261	4.3396	13.0147	35.7286	22.7139	5.8211	2.7089	0.1798	2.4593	3.1855	0.7262
11574123	303.0	197.0	962.0	3.506	0.569	0.151	0.036	7.0	0.5	35.0	34.0	23.4911	6.7602	-1.3563	37.8075	39.1638	3.4749	2.9174	0.2951	2.4296	3.4466	1.017
16684978	241.0	168.0	763.0	3.289	0.41	0.161	0.04	5.0	0.4	35.0	34.0	22.9003	5.3367	8.1384	34.7127	26.5743	4.2911	2.7716	0.1567	2.3607	2.9994	0.6387
25354225	298.0	221.0	1143.0	3.553	0.44	0.165	0.043	9.0	0.6	35.0	34.0	21.7785	7.0718	4.1821	40.4254	36.2432	3.0796	2.5923	0.2159	2.2163	3.015	0.7987
25811472	346.0	222.0	989.0	3.517	0.5	0.128	0.025	4.0	0.4	35.0	34.0	22.881	6.013	8.5584	39.3875	30.829	3.8053	2.9373	0.317	2.3024	3.3712	1.0688
27876862	240.0	149.0	717.0	3.392	0.449	0.138	0.034	3.0	0.3	35.0	34.0	23.7124	5.2614	10.4153	38.4362	28.021	4.5069	2.5427	0.1735	2.2775	2.8006	0.523
29811890	288.0	212.0	1101.0	3.659	0.424	0.139	0.044	4.0	0.4	35.0	34.0	26.3923	5.3774	11.0771	38.4701	27.393	4.908	2.8339	0.1923	2.5355	3.192	0.6565
31361606	233.0	153.0	629.0	3.355	0.681	0.141	0.029	2.0	0.3	35.0	34.0	26.0183	5.4206	10.4167	44.3584	33.9417	4.7999	2.3141	0.1399	2.0851	2.5094	0.4243
32938469	279.0	180.0	738.0	3.23	0.567	0.119	0.035	5.0	0.3	35.0	34.0	23.5475	5.1352	10.0772	34.3432	24.266	4.5855	3.1646	0.2515	2.6834	3.5351	0.8517
36895554	391.0	258.0	920.0	3.139	0.375	0.2	0.053	11.0	1.1	35.0	34.0	21.1198	6.2053	4.5742	39.0044	34.4302	3.4035	2.7656	0.1959	2.4459	3.0493	0.6034
37329051	387.0	245.0	1111.0	3.543	0.501	0.164	0.045	10.0	0.8	35.0	34.0	22.655	5.6357	5.9827	33.9468	27.9641	4.0199	2.7579	0.2225	2.3009	3.0556	0.7547
37835493	345.0	235.0	971.0	3.426	0.421	0.136	0.027	4.0	0.4	35.0	34.0	23.4483	5.4841	9.5746	36.5802	27.0056	4.2757	2.5363	0.1762	2.2444	2.8419	0.5976
43606631	246.0	171.0	630.0	2.821	0.569	0.149	0.038	4.0	0.3	35.0	34.0	21.6431	6.2726	6.4259	43.1598	36.7339	3.4504	2.8697	0.1155	2.5141	2.9755	0.4614
49408975	387.0	248.0	1068.0	3.43	0.5	0.16	0.042	8.0	0.7	35.0	34.0	21.5865	6.2041	6.897	35.3665	28.4695	3.4794	2.6143	0.2837	2.1567	3.1502	0.9935
51217255	247.0	179.0	809.0	3.439	0.433	0.122	0.028	2.0	0.3	35.0	34.0	24.6557	4.3335	13.9426	38.9613	25.0187	5.6896	3.0659	0.2375	2.6507	3.3988	0.7481
52306425	368.0	256.0	1060.0	3.238	0.472	0.176	0.049	9.0	0.8	35.0	34.0	21.8331	6.5016	3.6663	38.2486	34.5824	3.3581	2.776	0.1888	2.4224	3.1095	0.6871
52835891	225.0	157.0	597.0	3.103	0.329	0.142	0.045	3.0	0.4	35.0	34.0	22.5327	5.59	7.1476	35.2228	28.0751	4.0309	2.6466	0.21	2.1607	2.9528	0.7921
55710183	372.0	253.0	865.0	2.836	0.478	0.172	0.046	8.0	0.8	35.0	34.0	22.0052	5.6794	4.5002	38.0358	33.5356	3.8746	2.8431	0.2107	2.5266	3.1564	0.6298
56162563	283.0	200.0	758.0	3.202	0.368	0.138	0.022	3.0	0.3	35.0	34.0	24.89	5.0131	12.02	35.9563	23.9362	4.965	2.8455	0.2303	2.493	3.1862	0.6932
60021964	342.0	211.0	1030.0	3.78	0.639	0.131	0.034	5.0	0.4	35.0	34.0	25.1466	6.2434	8.4981	38.3735	29.8754	4.0277	2.7135	0.2185	2.3614	3.0987	0.7372
62582335	423.0	278.0	794.0	2.842	0.462	0.125	0.023	4.0	0.6	35.0	34.0	23.5918	5.2524	9.518	34.2524	24.7344	4.4916	2.6473	0.1279	2.4526	2.9363	0.4836
65198031	289.0	195.0	771.0	3.128	0.341	0.157	0.05	5.0	0.5	35.0	34.0	22.7427	5.7778	6.0444	36.9504	30.906	3.9362	2.8405	0.265	2.4203	3.205	0.7847
70214854	321.0	207.0	537.0	2.504	0.937	0.152	0.043	6.0	0.4	35.0	34.0	21.9013	9.4624	0.0	34.8924	34.8924	2.3146	2.5464	0.134	2.2099	2.7526	0.5427
71851847	307.0	197.0	886.0	3.417	0.41	0.154	0.034	5.0	0.5	35.0	34.0	23.8866	5.0079	10.2256	35.4759	25.2503	4.7698	2.6745	0.2715	2.1484	3.1256	0.9771
74920331	282.0	202.0	889.0	3.254	0.376	0.156	0.03	6.0	0.3	35.0	34.0	21.344	5.1306	7.0233	32.9545	25.9312	4.1601	2.7077	0.2361	2.1756	3.0661	0.8905
77390767	323.0	214.0	817.0	3.211	0.503	0.16	0.035	8.0	0.4	35.0	34.0	24.2249	6.5116	5.6265	38.2703	32.6437	3.7203	2.5515	0.1852	2.2799	2.9783	0.6985
78982423	273.0	170.0	754.0	3.27	0.383	0.149	0.044	4.0	0.5	35.0	34.0	23.2285	5.9411	5.4792	36.5935	31.1144	3.9098	2.7809	0.2348	2.2921	3.066	0.7739
80982198	430.0	286.0	1099.0	2.992	1.089	0.193	0.061	13.0	1.3	35.0	34.0	19.6811	7.9707	-1.9933	40.1514	42.1447	2.4692	2.9842	0.2897	2.4293	3.4124	0.9831
82699044	362.0	235.0	1087.0	3.217	0.589	0.146	0.04	6.0	0.8	35.0	34.0	21.8066	6.5071	-0.87	35.9518	36.8217	3.3512	2.7125	0.2209	2.3479	3.0286	0.6807
84407714	242.0	162.0	651.0	3.237	0.317	0.164	0.035	4.0	0.4	35.0	34.0	21.0682	4.784	7.4663	31.4297	23.9634	4.4039	2.7837	0.3004	2.2847	3.2159	0.9312
86226939	221.0	139.0	673.0	3.406	0.458	0.164	0.043	4.0	0.4	35.0	34.0	23.0203	5.7329	7.7016	36.1413	28.4398	4.0155	2.8858	0.241	2.4394	3.3193	0.8798
93800202	223.0	151.0	763.0	3.603	0.367	0.148	0.045	4.0	0.4	35.0	34.0	23.3849	5.359	10.6187	37.4362	26.8175	4.3637	2.7226	0.213	2.333	3.1153	0.7823
97005004	398.0	267.0	1107.0	3.282	0.502	0.126	0.03	5.0	0.5	35.0	34.0	23.1922	5.389	6.3587	41.1848	34.8261	4.3036	3.2464	0.1976	2.7779	3.5933	0.8154
100527940	346.0	232.0	1177.0	3.853	0.572	0.154	0.054	8.0	0.7	35.0	34.0	22.8799	6.8937	-6.3236	39.1937	45.5173	3.319	2.9219	0.2066	2.5636	3.4086	0.845
103652366	243.0	177.0	913.0	3.446	0.438	0.154	0.043	4.0	0.5	35.0	34.0	21.6145	4.8661	4.235	32.9603	28.7253	4.4418	3.1448	0.2284	2.582	3.6216	1.0396
105914514	304.0	220.0	1184.0	3.726	0.567	0.167	0.059	8.0	0.7	35.0	34.0	21.8765	7.164	2.7925	39.6059	36.8134	3.0537	3.347	0.2566	2.9042	3.8816	0.9774
