participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	689.0	450.0	1368.0	2.91	0.431	0.124	0.025	8.0	0.7	63.0	62.0	25.1395	5.0046	11.4692	37.715	26.2458	5.0233	2.1712	0.0523	2.0316	2.3102	0.2786
8454119	913.0	622.0	2210.0	3.136	0.601	0.126	0.03	11.0	1.1	63.0	62.0	24.3692	5.8818	3.402	38.7374	35.3353	4.1432	2.3403	0.0306	2.2814	2.3969	0.1155
11407866	669.0	437.0	1537.0	3.306	0.475	0.105	0.02	6.0	0.5	63.0	62.0	27.0521	5.5562	7.3941	38.3182	30.9241	4.8688	2.0423	0.016	2.0119	2.1273	0.1154
11574123	605.0	397.0	1450.0	3.295	0.505	0.124	0.03	7.0	0.7	63.0	62.0	26.6496	5.5769	10.5647	40.395	29.8302	4.7786	2.0372	0.0386	1.9524	2.1395	0.187
16684978	440.0	322.0	1035.0	3.05	0.466	0.138	0.041	7.0	0.5	63.0	62.0	25.7935	5.6401	7.8695	38.2396	30.3701	4.5733	2.0783	0.032	1.9773	2.1603	0.183
25354225	529.0	357.0	1376.0	3.495	0.647	0.119	0.032	6.0	0.7	63.0	62.0	26.045	6.3623	7.2738	41.538	34.2642	4.0936	2.213	0.0508	2.0365	2.3111	0.2746
25811472	737.0	511.0	2026.0	3.344	0.502	0.127	0.028	9.0	0.7	63.0	62.0	24.9007	5.1523	9.4259	39.6793	30.2534	4.8329	2.3545	0.0489	2.2505	2.4684	0.2179
27876862	432.0	286.0	996.0	3.159	0.593	0.125	0.037	5.0	0.7	63.0	62.0	25.9322	6.6822	0.7729	39.3833	38.6104	3.8808	2.0118	0.0452	1.9269	2.104	0.1771
29811890	598.0	413.0	1423.0	3.359	0.458	0.115	0.029	6.0	0.8	63.0	62.0	26.7826	6.4082	0.1326	44.4379	44.3053	4.1794	2.0011	0.064	1.879	2.12	0.241
31361606	481.0	333.0	1133.0	3.299	0.546	0.128	0.027	5.0	0.6	63.0	62.0	25.1431	6.0133	7.4117	43.2344	35.8227	4.1813	2.0167	0.0319	1.9615	2.09	0.1285
32938469	593.0	413.0	1813.0	3.41	0.735	0.118	0.025	7.0	0.6	63.0	62.0	23.4817	5.3855	7.2558	38.7823	31.5265	4.3602	2.1807	0.0605	2.089	2.316	0.2271
36895554	526.0	353.0	1179.0	3.155	0.49	0.113	0.028	6.0	0.5	63.0	62.0	24.008	5.5138	5.7257	38.0667	32.341	4.3542	2.2526	0.042	2.1551	2.3647	0.2096
37329051	537.0	363.0	1303.0	3.339	0.535	0.114	0.028	6.0	0.6	63.0	62.0	26.1024	5.1817	6.5127	37.829	31.3163	5.0374	2.1668	0.0315	2.0675	2.2457	0.1783
37835493	606.0	394.0	1183.0	2.989	0.438	0.11	0.021	5.0	0.6	63.0	62.0	24.9714	4.6672	7.8653	37.6427	29.7774	5.3504	2.0769	0.0514	1.9085	2.1753	0.2668
43606631	526.0	346.0	910.0	2.614	0.419	0.124	0.026	5.0	0.6	63.0	62.0	25.307	4.847	6.3616	43.1511	36.7895	5.2212	2.1546	0.0325	2.0932	2.2195	0.1263
49408975	594.0	420.0	1700.0	3.32	0.576	0.134	0.032	10.0	0.7	63.0	62.0	21.8667	6.2506	0.9495	38.1545	37.205	3.4983	2.1766	0.0422	2.0735	2.2569	0.1834
51217255	528.0	350.0	1324.0	3.439	0.678	0.124	0.034	6.0	0.9	63.0	62.0	26.4302	5.8173	3.9061	39.1371	35.2309	4.5434	2.0276	0.0429	1.9379	2.1335	0.1956
52306425	560.0	390.0	982.0	2.597	0.442	0.099	0.017	3.0	0.4	63.0	62.0	26.1732	3.6714	13.7702	37.4712	23.701	7.129	2.2043	0.035	2.0683	2.3197	0.2514
52835891	506.0	338.0	1269.0	3.255	0.642	0.101	0.027	4.0	0.5	63.0	62.0	25.2038	4.5863	9.8637	38.8671	29.0034	5.4955	2.1337	0.0347	2.0169	2.2042	0.1873
55710183	719.0	474.0	1502.0	2.893	0.396	0.117	0.025	8.0	0.7	63.0	62.0	23.7372	5.3626	6.9256	39.8069	32.8813	4.4264	2.1509	0.0406	2.0787	2.2883	0.2095
56162563	521.0	348.0	1031.0	2.854	0.639	0.112	0.024	4.0	0.5	63.0	62.0	25.9264	5.1951	1.5759	40.8422	39.2664	4.9906	2.0792	0.0331	2.0093	2.1568	0.1476
60021964	585.0	393.0	1424.0	3.139	0.65	0.12	0.022	7.0	0.5	63.0	62.0	26.5115	5.4491	9.4156	40.6085	31.1928	4.8653	2.1445	0.0417	1.9985	2.2604	0.2619
62582335	493.0	359.0	1434.0	3.337	0.681	0.163	0.045	14.0	0.7	63.0	62.0	22.9455	7.8573	-13.7615	42.484	56.2456	2.9203	2.0162	0.0459	1.9103	2.1475	0.2372
65198031	565.0	381.0	1391.0	3.192	0.63	0.13	0.032	6.0	0.7	63.0	62.0	24.9071	5.2382	7.7371	43.2595	35.5224	4.7549	2.1761	0.038	2.0876	2.2776	0.19
70214854	762.0	503.0	1868.0	3.282	0.514	0.139	0.032	9.0	1.1	63.0	62.0	26.8723	6.4072	8.7537	44.9171	36.1634	4.1941	2.1691	0.0254	2.0887	2.2404	0.1517
71851847	557.0	374.0	1338.0	3.241	0.42	0.12	0.036	7.0	0.8	63.0	62.0	25.9896	5.8352	6.466	39.09	32.6241	4.4539	2.0466	0.0347	1.9483	2.1098	0.1615
74920331	538.0	367.0	1087.0	2.832	0.411	0.121	0.029	6.0	0.6	63.0	62.0	24.9605	4.7069	7.3114	36.8643	29.5529	5.3029	2.0677	0.0582	1.9693	2.1811	0.2118
77390767	451.0	319.0	931.0	2.966	0.456	0.123	0.024	3.0	0.5	63.0	62.0	27.1282	5.5328	8.6732	45.3079	36.6347	4.9032	2.0013	0.0319	1.9459	2.109	0.1631
78982423	614.0	409.0	1404.0	2.897	0.509	0.139	0.028	8.0	0.8	63.0	62.0	24.5659	4.4945	12.0137	38.9655	26.9518	5.4658	1.9859	0.0366	1.8733	2.0529	0.1796
80982198	650.0	433.0	1524.0	3.342	0.498	0.153	0.039	13.0	1.1	63.0	62.0	24.0761	6.818	5.3374	40.9297	35.5923	3.5312	2.0876	0.0291	1.9859	2.1633	0.1774
