participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	304.0	216.0	875.0	3.101	0.419	0.139	0.036	6.0	0.4	181.0	180.0	23.3871	5.1727	5.1704	35.0578	29.8874	4.5213	2.1505	0.0438	2.0391	2.3029	0.2638
8454119	374.0	260.0	1221.0	3.319	0.595	0.129	0.035	6.0	0.6	181.0	180.0	23.8755	6.2781	6.4479	36.7116	30.2637	3.803	2.3602	0.0351	2.2621	2.4261	0.1641
11407866	300.0	236.0	1159.0	3.51	0.479	0.152	0.047	6.0	0.6	181.0	180.0	21.9195	5.5207	2.6115	34.173	31.5614	3.9704	2.05	0.0237	1.9953	2.113	0.1177
11574123	300.0	204.0	996.0	3.352	0.592	0.14	0.028	4.0	0.4	181.0	180.0	24.1641	6.0715	0.0	38.3896	38.3896	3.9799	1.9688	0.0532	1.8794	2.1272	0.2478
16684978	208.0	144.0	433.0	3.27	0.562	0.13	0.014	2.0	0.2	181.0	180.0	28.6203	4.0314	12.5826	36.25	23.6674	7.0994	1.9433	0.0361	1.8592	2.0652	0.2059
25354225	267.0	178.0	826.0	3.81	0.627	0.151	0.039	4.0	0.4	181.0	180.0	23.4179	6.2103	5.6492	38.9241	33.2748	3.7708	2.058	0.077	1.9188	2.2829	0.3641
25811472	295.0	199.0	1028.0	3.279	0.618	0.147	0.046	6.0	0.6	181.0	180.0	22.8779	5.6561	3.1447	34.0654	30.9207	4.0448	2.357	0.0364	2.2455	2.401	0.1554
27876862	204.0	144.0	815.0	3.642	0.457	0.147	0.036	3.0	0.4	181.0	180.0	23.8744	6.2468	5.979	35.5361	29.557	3.8218	1.9612	0.0553	1.8308	2.0686	0.2378
29811890	296.0	210.0	1198.0	3.913	0.517	0.136	0.037	5.0	0.4	181.0	180.0	22.8397	5.9508	5.3688	36.6748	31.3061	3.8381	2.0754	0.0399	1.9913	2.1785	0.1872
31361606	224.0	159.0	740.0	3.219	0.503	0.136	0.031	4.0	0.3	181.0	180.0	21.9549	5.9178	-14.3259	35.1383	49.4641	3.71	1.9615	0.0559	1.8259	2.0674	0.2415
