participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	545.0	375.0	1025.0	2.853	0.336	0.118	0.027	5.0	0.5	61.0	60.0	24.3864	5.5364	6.6551	34.8385	28.1834	4.4048	2.045	0.0145	2.0174	2.0914	0.0741
8454119	728.0	489.0	1531.0	2.931	0.329	0.103	0.016	8.0	0.5	61.0	60.0	24.8719	5.9937	6.1019	39.6543	33.5524	4.1497	2.4651	0.0736	2.3552	2.629	0.2738
11407866	471.0	330.0	667.0	2.662	0.366	0.1	0.014	2.0	0.3	61.0	60.0	29.0398	3.3759	19.1467	37.3579	18.2112	8.6021	2.1501	0.0727	2.0312	2.3127	0.2815
11574123	455.0	305.0	886.0	2.889	0.383	0.111	0.025	5.0	0.4	61.0	60.0	25.4908	5.3874	11.3407	39.3859	28.0451	4.7316	1.9362	0.0568	1.8719	2.0871	0.2151
16684978	377.0	270.0	671.0	2.841	0.412	0.11	0.02	2.0	0.3	61.0	60.0	26.4693	4.5409	14.5772	38.4916	23.9143	5.8291	1.964	0.0406	1.9059	2.063	0.157
25354225	430.0	313.0	798.0	3.104	0.439	0.096	0.015	2.0	0.3	61.0	60.0	28.5974	3.8185	15.8594	42.3521	26.4927	7.4892	2.0682	0.0312	2.0112	2.167	0.1558
25811472	635.0	428.0	1372.0	2.949	0.475	0.126	0.03	11.0	0.8	61.0	60.0	22.919	6.3259	4.7829	34.7502	29.9673	3.6231	2.1962	0.0367	2.1283	2.2937	0.1653
27876862	372.0	265.0	651.0	2.734	0.417	0.101	0.016	2.0	0.3	61.0	60.0	26.7613	5.32	12.9334	39.5306	26.5972	5.0303	1.9391	0.0597	1.8148	2.0285	0.2137
29811890	480.0	331.0	994.0	3.1	0.497	0.1	0.02	2.0	0.4	61.0	60.0	26.3929	5.9192	9.3297	41.209	31.8793	4.4588	2.15	0.0557	1.9686	2.2934	0.3248
31361606	451.0	317.0	947.0	2.751	0.494	0.137	0.033	7.0	0.7	61.0	60.0	23.0839	5.66	4.5169	36.6653	32.1485	4.0784	1.9263	0.0847	1.7967	2.1187	0.322
32938469	447.0	301.0	932.0	2.94	0.633	0.105	0.02	4.0	0.3	61.0	60.0	23.2606	5.914	5.3121	34.8601	29.5481	3.9332	2.0621	0.0456	2.0205	2.2511	0.2306
36895554	561.0	377.0	1111.0	3.135	0.34	0.103	0.02	4.0	0.5	61.0	60.0	24.4252	5.2533	7.7456	36.3613	28.6157	4.6495	2.0343	0.0287	1.9815	2.1435	0.162
37329051	516.0	339.0	1024.0	2.937	0.352	0.117	0.023	7.0	0.5	61.0	60.0	24.308	5.5401	8.6978	35.2702	26.5724	4.3877	2.1094	0.0357	2.0286	2.2098	0.1812
37835493	463.0	333.0	926.0	2.831	0.441	0.131	0.029	4.0	0.5	61.0	60.0	24.8145	4.6463	10.517	35.5042	24.9872	5.3407	1.9608	0.0664	1.8681	2.0825	0.2143
43606631	591.0	389.0	1064.0	2.674	0.391	0.11	0.024	6.0	0.5	61.0	60.0	23.0489	5.6632	6.1971	40.0295	33.8325	4.07	2.0342	0.0291	1.9881	2.1247	0.1366
49408975	491.0	344.0	970.0	3.04	0.488	0.091	0.018	2.0	0.3	61.0	60.0	24.4339	3.8016	13.0262	35.5217	22.4954	6.4273	1.9916	0.0296	1.9409	2.0654	0.1244
51217255	413.0	282.0	899.0	3.21	0.421	0.111	0.023	3.0	0.4	61.0	60.0	26.3676	6.2451	10.4918	39.7855	29.2938	4.2222	1.9655	0.0707	1.8776	2.0975	0.2199
52306425	502.0	349.0	773.0	2.736	0.341	0.109	0.019	2.0	0.4	61.0	60.0	26.408	4.2815	11.1458	38.4153	27.2695	6.1679	2.0951	0.0455	2.0244	2.2176	0.1932
52835891	373.0	265.0	599.0	2.758	0.346	0.104	0.024	2.0	0.3	61.0	60.0	26.5669	5.1829	9.943	43.1454	33.2024	5.1259	2.0296	0.0089	2.0087	2.0709	0.0622
55710183	513.0	343.0	926.0	2.816	0.398	0.116	0.021	6.0	0.4	61.0	60.0	23.1113	5.0887	9.9256	37.1718	27.2463	4.5417	2.1362	0.0973	2.0162	2.386	0.3699
56162563	553.0	349.0	1059.0	2.962	0.388	0.106	0.019	5.0	0.4	61.0	60.0	26.6691	5.685	11.1697	39.8918	28.722	4.6912	2.0651	0.0677	1.8986	2.2168	0.3182
60021964	384.0	288.0	776.0	3.033	0.52	0.117	0.018	4.0	0.2	61.0	60.0	26.9475	4.6419	10.9606	35.6692	24.7086	5.8053	1.9864	0.0761	1.8441	2.1027	0.2587
62582335	386.0	264.0	797.0	3.086	0.364	0.117	0.019	5.0	0.3	61.0	60.0	25.0745	5.099	9.7204	35.6889	25.9685	4.9175	2.0767	0.0728	1.9667	2.2195	0.2528
65198031	568.0	376.0	1004.0	2.662	0.42	0.103	0.019	5.0	0.4	61.0	60.0	22.9377	5.1753	10.4629	34.9519	24.4889	4.4322	2.0793	0.0354	2.0076	2.1794	0.1718
