participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	792.0	511.0	1655.0	2.612	0.47	0.122	0.022	10.0	0.8	84.0	83.0	22.5677	4.0588	7.1793	34.9499	27.7706	5.5602	3.6981	0.1925	3.1778	4.0266	0.8488
8454119	1745.0	1124.0	3228.0	2.831	0.493	0.107	0.021	15.0	1.8	84.0	83.0	23.9733	7.036	-10.2242	38.4678	48.692	3.4072	4.4767	0.2196	3.8943	4.9403	1.0461
11407866	1020.0	672.0	2468.0	2.911	0.557	0.117	0.025	14.0	1.0	84.0	83.0	23.4638	6.4901	6.7297	38.7478	32.0182	3.6153	3.7186	0.2545	3.2258	4.1229	0.8971
11574123	1088.0	687.0	2661.0	3.056	0.517	0.128	0.028	13.0	1.3	84.0	83.0	22.197	5.2992	-4.547	35.5017	40.0487	4.1887	3.7296	0.2386	3.1714	4.3774	1.2061
16684978	767.0	477.0	1250.0	2.474	0.552	0.126	0.036	8.0	1.1	84.0	83.0	20.7882	8.0325	-5.3795	38.2172	43.5967	2.588	3.7121	0.1275	3.3472	3.9659	0.6187
25354225	1521.0	878.0	2570.0	2.736	0.611	0.127	0.054	25.0	4.3	84.0	83.0	16.3871	9.2844	-7.261	34.9211	42.1821	1.765	3.6815	0.1582	3.3127	4.0417	0.7289
25811472	936.0	580.0	1910.0	2.772	0.608	0.121	0.023	13.0	1.1	84.0	83.0	22.1282	6.2859	3.9205	36.2747	32.3542	3.5203	3.7766	0.1424	3.4726	4.0984	0.6258
27876862	651.0	445.0	1564.0	3.076	0.45	0.171	0.049	15.0	1.5	84.0	83.0	21.9145	6.6763	5.8964	37.0184	31.122	3.2824	3.3895	0.184	2.9095	3.6298	0.7204
29811890	1083.0	635.0	2335.0	3.085	0.572	0.129	0.037	16.0	1.6	84.0	83.0	20.3193	7.4044	-2.9971	40.0677	43.0648	2.7442	4.0698	0.3367	3.3005	4.5212	1.2207
31361606	710.0	467.0	1746.0	2.866	0.568	0.131	0.033	14.0	1.0	84.0	83.0	21.8859	5.5724	0.0026	33.5933	33.5907	3.9275	3.5262	0.245	3.0439	3.9276	0.8837
32938469	1007.0	623.0	1983.0	2.618	0.577	0.117	0.04	12.0	1.5	84.0	83.0	19.0898	8.0451	-3.4525	35.9935	39.446	2.3729	4.0408	0.2828	3.5159	4.5587	1.0428
36895554	1023.0	692.0	2567.0	2.945	0.641	0.12	0.026	12.0	1.0	84.0	83.0	21.5573	5.9014	-1.3004	40.6032	41.9036	3.6529	3.6343	0.2227	3.2814	4.1797	0.8983
37329051	778.0	538.0	2077.0	2.939	0.756	0.137	0.033	13.0	1.0	84.0	83.0	22.9616	6.1031	-3.49	39.5447	43.0347	3.7623	3.9727	0.2071	3.5032	4.2941	0.7909
37835493	804.0	518.0	1547.0	2.666	0.591	0.121	0.024	10.0	0.8	84.0	83.0	22.8207	4.8231	6.2917	35.2407	28.949	4.7316	3.192	0.1711	2.8341	3.4207	0.5867
43606631	613.0	395.0	1180.0	2.481	0.397	0.129	0.03	8.0	0.7	84.0	83.0	20.4772	4.7559	9.0476	36.3977	27.3501	4.3056	3.6837	0.2252	3.4102	4.2009	0.7907
49408975	874.0	580.0	1964.0	2.787	0.609	0.129	0.024	12.0	0.9	84.0	83.0	20.8337	6.0157	4.0765	37.1293	33.0528	3.4632	3.3825	0.1636	3.0036	3.928	0.9245
51217255	811.0	518.0	1955.0	3.019	0.493	0.117	0.022	9.0	0.7	84.0	83.0	23.7129	4.758	8.6788	35.771	27.0921	4.9838	3.5921	0.1404	2.9994	3.7876	0.7882
52306425	969.0	584.0	1600.0	2.548	0.481	0.107	0.021	9.0	0.7	84.0	83.0	23.4028	4.7408	5.6909	36.6734	30.9825	4.9364	3.849	0.1966	3.4374	4.1479	0.7106
52835891	732.0	510.0	1461.0	2.536	0.513	0.142	0.039	10.0	1.3	84.0	83.0	21.5363	7.342	-13.4955	37.8699	51.3653	2.9333	3.221	0.243	2.9575	3.7198	0.7624
55710183	871.0	580.0	1676.0	2.61	0.509	0.134	0.033	14.0	1.1	84.0	83.0	20.8154	5.7236	4.9549	39.0739	34.1189	3.6368	3.735	0.1909	3.4145	4.1947	0.7802
56162563	683.0	460.0	1570.0	2.849	0.565	0.137	0.026	10.0	0.7	84.0	83.0	24.8501	4.0929	11.5314	40.0158	28.4844	6.0715	3.5042	0.156	3.1795	3.7208	0.5413
60021964	1026.0	677.0	2376.0	2.885	0.549	0.141	0.032	15.0	1.2	84.0	83.0	24.0937	5.0519	7.5967	38.7635	31.1667	4.7692	3.6488	0.1402	3.3892	3.9181	0.529
62582335	796.0	546.0	1255.0	2.551	0.414	0.097	0.013	4.0	0.5	84.0	83.0	25.9487	4.093	8.1261	39.4898	31.3638	6.3398	3.0392	0.0591	2.8866	3.269	0.3824
65198031	1140.0	757.0	2274.0	2.564	0.547	0.114	0.027	13.0	1.1	84.0	83.0	19.184	6.0205	-1.9239	41.9233	43.8471	3.1864	3.7475	0.2326	3.2606	4.2016	0.941
70214854	1215.0	772.0	2585.0	2.78	0.575	0.117	0.03	13.0	1.4	84.0	83.0	25.3958	4.6051	6.1295	40.5456	34.4161	5.5148	3.337	0.2401	2.915	3.9232	1.0081
71851847	1098.0	715.0	2646.0	2.885	0.671	0.124	0.026	16.0	1.4	84.0	83.0	24.649	6.6002	-7.2736	38.7796	46.0532	3.7346	3.5631	0.2336	3.0304	4.0223	0.9919
74920331	813.0	514.0	1305.0	2.615	0.381	0.113	0.021	7.0	0.7	84.0	83.0	25.3824	3.906	10.8016	34.519	23.7174	6.4982	3.3285	0.0875	3.1428	3.5034	0.3606
