participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	271.0	195.0	634.0	2.661	0.416	0.14	0.031	6.0	0.3	34.0	33.0	19.2631	5.7065	5.0619	32.9471	27.8852	3.3757	3.3762	0.0746	3.108	3.5012	0.3932
8454119	243.0	164.0	780.0	3.069	0.458	0.131	0.033	5.0	0.3	34.0	33.0	18.6804	5.9335	1.2057	29.5742	28.3684	3.1483	3.9288	0.1952	3.3673	4.2164	0.8491
11407866	370.0	248.0	947.0	3.125	0.384	0.143	0.028	7.0	0.5	34.0	33.0	21.3258	5.0202	3.5194	31.428	27.9085	4.248	3.2613	0.1153	3.0271	3.4747	0.4476
11574123	297.0	180.0	707.0	2.966	0.48	0.131	0.027	5.0	0.3	34.0	33.0	21.038	4.7595	7.9476	33.0559	25.1083	4.4202	3.3218	0.1376	2.8976	3.5729	0.6753
16684978	289.0	193.0	628.0	2.814	0.512	0.167	0.041	5.0	0.6	34.0	33.0	21.0986	6.2675	1.2151	34.4156	33.2005	3.3663	3.0331	0.1092	2.7967	3.2267	0.43
25354225	259.0	161.0	682.0	3.388	0.419	0.126	0.028	4.0	0.3	34.0	33.0	19.8507	5.8055	7.6874	34.232	26.5446	3.4193	3.0565	0.1701	2.8216	3.4093	0.5877
25811472	330.0	224.0	952.0	3.152	0.543	0.16	0.032	8.0	0.5	34.0	33.0	19.0361	5.4492	3.9461	32.8305	28.8844	3.4934	3.4994	0.13	3.209	3.7615	0.5525
27876862	200.0	133.0	548.0	3.195	0.542	0.156	0.034	5.0	0.3	34.0	33.0	18.7787	6.5941	0.9276	32.0146	31.087	2.8478	2.8723	0.0489	2.7551	2.9413	0.1861
29811890	330.0	239.0	1000.0	3.204	0.373	0.135	0.027	5.0	0.5	34.0	33.0	22.1221	5.7606	1.947	33.5987	31.6517	3.8402	3.3129	0.0917	3.1644	3.5216	0.3572
31361606	184.0	146.0	533.0	3.328	0.376	0.116	0.032	2.0	0.2	34.0	33.0	23.2278	5.4696	4.8978	32.7638	27.866	4.2467	2.508	0.0548	2.4463	2.6555	0.2093
32938469	306.0	202.0	971.0	3.244	0.448	0.154	0.042	5.0	0.6	34.0	33.0	22.0723	5.5432	0.0443	32.6055	32.5612	3.9819	3.6119	0.0641	3.4636	3.7576	0.294
36895554	207.0	140.0	623.0	3.41	0.498	0.159	0.037	3.0	0.3	34.0	33.0	21.6836	4.7653	8.2851	31.5225	23.2374	4.5503	3.038	0.0755	2.8902	3.1798	0.2896
37329051	234.0	157.0	694.0	3.386	0.539	0.146	0.03	4.0	0.3	34.0	33.0	22.449	5.9394	8.3897	34.048	25.6583	3.7797	3.0358	0.0772	2.8721	3.2641	0.3921
37835493	225.0	156.0	524.0	2.767	0.539	0.135	0.026	3.0	0.3	34.0	33.0	19.9164	5.0103	3.4311	30.9512	27.5201	3.9751	2.8462	0.0536	2.7263	3.0054	0.279
43606631	241.0	154.0	558.0	2.895	0.602	0.141	0.024	3.0	0.2	34.0	33.0	20.2783	5.191	7.6544	32.4519	24.7976	3.9065	2.9295	0.0535	2.7835	3.0369	0.2534
49408975	272.0	169.0	749.0	3.312	0.365	0.159	0.042	6.0	0.4	34.0	33.0	21.2535	5.4515	7.1998	33.6259	26.4261	3.8987	3.0127	0.1688	2.7245	3.2968	0.5723
51217255	316.0	196.0	770.0	2.924	0.447	0.153	0.029	7.0	0.4	34.0	33.0	18.9964	5.6815	4.1507	32.281	28.1303	3.3436	3.265	0.0449	3.1624	3.3651	0.2027
52306425	331.0	212.0	675.0	2.743	0.376	0.138	0.029	6.0	0.4	34.0	33.0	20.4798	6.1855	7.0555	36.5204	29.4649	3.3109	3.0674	0.0917	2.8793	3.2639	0.3846
52835891	215.0	145.0	617.0	3.324	0.48	0.141	0.033	5.0	0.2	34.0	33.0	20.0917	6.2001	6.521	35.0804	28.5594	3.2406	2.8583	0.1083	2.6815	3.1117	0.4302
55710183	289.0	187.0	758.0	3.153	0.389	0.134	0.037	5.0	0.4	34.0	33.0	20.4734	4.6829	10.762	34.0135	23.2515	4.3719	3.1411	0.0308	3.0604	3.1971	0.1367
56162563	283.0	192.0	756.0	3.09	0.392	0.137	0.023	4.0	0.3	34.0	33.0	23.2828	4.5291	11.9299	33.8921	21.9622	5.1407	3.1559	0.0788	2.9744	3.3199	0.3454
60021964	293.0	201.0	738.0	3.144	0.507	0.113	0.023	3.0	0.2	34.0	33.0	22.6263	4.6343	6.1989	34.2367	28.0378	4.8824	3.1281	0.0919	2.9033	3.3181	0.4147
62582335	293.0	191.0	800.0	3.317	0.418	0.142	0.026	4.0	0.3	34.0	33.0	22.54	5.1404	8.1345	36.1454	28.0109	4.3849	3.0127	0.1101	2.8398	3.2888	0.4489
65198031	231.0	159.0	556.0	2.769	0.402	0.15	0.047	6.0	0.5	34.0	33.0	18.6436	6.2511	-0.5256	32.7288	33.2544	2.9824	3.2312	0.1155	2.9423	3.4578	0.5155
70214854	230.0	143.0	468.0	3.119	0.287	0.152	0.026	4.0	0.3	34.0	33.0	24.2787	4.823	12.6645	35.0527	22.3882	5.034	2.7889	0.0549	2.6402	2.9145	0.2744
71851847	185.0	138.0	662.0	3.489	0.486	0.154	0.045	5.0	0.4	34.0	33.0	21.0907	6.6909	5.4593	36.4566	30.9973	3.1522	3.1357	0.1751	2.6978	3.4022	0.7044
74920331	243.0	174.0	619.0	2.919	0.283	0.131	0.024	4.0	0.3	34.0	33.0	21.4226	5.327	3.3817	33.6456	30.2639	4.0215	3.0445	0.1044	2.8023	3.2457	0.4434
77390767	274.0	196.0	863.0	3.075	0.414	0.176	0.053	8.0	0.6	34.0	33.0	21.3013	7.3568	-6.5203	39.2415	45.7619	2.8955	3.1619	0.1421	2.864	3.3745	0.5104
78982423	213.0	138.0	567.0	2.994	0.446	0.143	0.027	4.0	0.2	34.0	33.0	22.0647	5.1801	5.6197	34.4802	28.8605	4.2595	2.9807	0.0715	2.7656	3.1244	0.3588
80982198	269.0	177.0	842.0	3.242	0.427	0.148	0.028	5.0	0.3	34.0	33.0	19.8415	5.0083	-1.0872	32.161	33.2483	3.9617	3.313	0.1067	2.9439	3.4501	0.5062
82699044	279.0	195.0	749.0	3.204	0.469	0.131	0.033	4.0	0.5	34.0	33.0	20.6033	5.3519	3.9052	31.4344	27.5292	3.8497	3.0605	0.0809	2.9566	3.2605	0.3039
84407714	242.0	152.0	670.0	3.05	0.415	0.15	0.041	5.0	0.4	34.0	33.0	18.587	5.3852	1.6587	31.5013	29.8427	3.4515	3.2698	0.1086	3.0413	3.5057	0.4643
86226939	222.0	150.0	551.0	2.727	0.555	0.151	0.034	4.0	0.3	34.0	33.0	19.2681	5.2689	2.6117	30.5887	27.977	3.6569	3.1392	0.0704	2.9131	3.2741	0.361
93800202	180.0	107.0	518.0	3.379	0.432	0.132	0.027	4.0	0.2	34.0	33.0	19.0625	5.351	2.8155	31.5808	28.7652	3.5624	2.9259	0.0923	2.7636	3.0982	0.3346
97005004	335.0	225.0	827.0	2.831	0.534	0.14	0.033	5.0	0.4	34.0	33.0	20.2293	5.9954	1.3011	34.4515	33.1504	3.3741	3.5902	0.0627	3.419	3.7803	0.3613
100527940	294.0	207.0	918.0	3.128	0.389	0.142	0.035	6.0	0.5	34.0	33.0	19.6496	6.0475	-13.2644	31.0844	44.3488	3.2492	3.4571	0.1402	3.1407	3.6656	0.5249
103652366	211.0	130.0	633.0	3.46	0.558	0.141	0.049	3.0	0.3	34.0	33.0	20.0197	4.7166	8.4618	30.9125	22.4507	4.2445	3.5047	0.0423	3.3962	3.6171	0.2209
105914514	257.0	171.0	855.0	3.383	0.489	0.152	0.041	5.0	0.4	34.0	33.0	18.1476	4.405	4.1687	28.9904	24.8217	4.1198	3.726	0.0655	3.6029	3.8755	0.2726
107578676	390.0	249.0	1193.0	3.372	0.682	0.119	0.027	7.0	0.4	34.0	33.0	22.4034	6.3924	0.3787	38.3327	37.954	3.5047	4.0446	0.1391	3.5618	4.3082	0.7464
108828000	227.0	164.0	606.0	2.861	0.399	0.164	0.045	5.0	0.3	34.0	33.0	18.4415	4.6846	4.5846	29.7919	25.2073	3.9366	2.9312	0.056	2.7939	3.0291	0.2352
113335479	309.0	201.0	730.0	2.837	0.35	0.156	0.053	7.0	0.6	34.0	33.0	18.4588	5.8067	6.1215	31.3136	25.192	3.1789	3.2803	0.0863	3.169	3.4626	0.2936
115784129	368.0	233.0	698.0	2.324	0.476	0.137	0.043	5.0	0.7	34.0	33.0	15.9255	6.2718	-5.8417	31.8642	37.7059	2.5392					
119126177	274.0	175.0	741.0	3.423	0.487	0.15	0.037	5.0	0.4	34.0	33.0	20.543	5.1085	8.2527	32.768	24.5154	4.0213	2.9205	0.102	2.692	3.187	0.495
121697273	327.0	232.0	953.0	3.066	0.467	0.14	0.03	5.0	0.4	34.0	33.0	22.1229	5.9882	6.6884	36.2733	29.5849	3.6944	3.477	0.0738	3.2829	3.6604	0.3775
130118047	250.0	177.0	726.0	2.89	0.476	0.152	0.043	8.0	0.3	34.0	33.0	17.6993	6.3147	-1.6262	29.03	30.6561	2.8029	2.9148	0.1728	2.5845	3.2892	0.7046
131655018	228.0	153.0	551.0	2.753	0.417	0.139	0.036	5.0	0.3	34.0	33.0	18.3499	5.3053	1.9329	30.7148	28.7819	3.4588	3.1174	0.1268	2.7555	3.2418	0.4863
134279804	249.0	171.0	737.0	2.947	0.473	0.14	0.03	5.0	0.3	34.0	33.0	18.2793	5.2688	4.3643	31.9404	27.5761	3.4693	3.0496	0.1095	2.7748	3.219	0.4442
138434806	275.0	174.0	657.0	3.038	0.442	0.151	0.041	4.0	0.5	34.0	33.0	19.4347	4.8611	7.3869	32.6754	25.2885	3.998	3.0739	0.0591	2.9232	3.2417	0.3184
154667058	367.0	231.0	841.0	3.007	0.452	0.135	0.025	5.0	0.4	34.0	33.0	23.1184	4.3244	12.9171	34.9851	22.0681	5.346	3.4603	0.18	2.997	3.8121	0.8151
158779019	259.0	174.0	635.0	2.881	0.436	0.153	0.037	5.0	0.4	34.0	33.0	21.1348	6.013	-6.183	32.7128	38.8958	3.5148	3.3788	0.0982	3.1086	3.5233	0.4147
162526644	240.0	160.0	778.0	3.348	0.502	0.151	0.052	6.0	0.5	34.0	33.0	21.0938	5.9275	7.2471	37.1064	29.8593	3.5587	3.2195	0.055	3.0843	3.3188	0.2344
163259093	272.0	172.0	739.0	3.233	0.353	0.157	0.04	6.0	0.5	34.0	33.0	22.4624	5.9984	4.0975	34.2684	30.1709	3.7447	3.1019	0.0542	2.958	3.2102	0.2522
176129790	262.0	168.0	636.0	2.862	0.648	0.134	0.019	4.0	0.2	34.0	33.0	21.9509	5.4936	7.5847	38.287	30.7023	3.9957	3.0349	0.0716	2.7503	3.1529	0.4027
177928631	292.0	196.0	727.0	2.999	0.339	0.169	0.041	6.0	0.5	34.0	33.0	19.139	5.6852	3.8425	33.0544	29.2119	3.3665	3.1543	0.0665	3.0238	3.2711	0.2473
182017409	361.0	250.0	872.0	2.808	0.504	0.133	0.042	6.0	0.6	34.0	33.0	20.7262	6.0552	-9.9298	31.587	41.5168	3.4229	3.5461	0.0796	3.3787	3.8776	0.499
189913356	242.0	144.0	625.0	3.134	0.503	0.134	0.041	5.0	0.3	34.0	33.0	17.865	5.6549	3.0685	35.1348	32.0663	3.1592	3.6799	0.1399	3.2661	3.9244	0.6583
190100766	234.0	152.0	566.0	3.083	0.296	0.146	0.03	4.0	0.3	34.0	33.0	22.1742	5.6892	6.354	34.7753	28.4213	3.8976	3.0015	0.1064	2.8237	3.3118	0.4881
192039987	197.0	127.0	434.0	2.896	0.874	0.156	0.071	3.0	0.5	34.0	33.0	16.2094	7.1061	-2.9715	33.173	36.1445	2.2811	2.4033	0.0478	2.3166	2.517	0.2004
192271174	232.0	154.0	502.0	2.763	0.385	0.113	0.019	2.0	0.2	34.0	33.0	23.038	5.209	-0.0007	34.459	34.4597	4.4227	2.6274	0.0474	2.5301	2.7182	0.1881
192413932	374.0	251.0	1052.0	2.997	0.404	0.132	0.026	7.0	0.4	34.0	33.0	18.4943	6.2523	-12.0542	34.6165	46.6707	2.958	3.5456	0.1344	3.2818	3.768	0.4862
194293030	289.0	188.0	698.0	3.043	0.342	0.153	0.045	7.0	0.6	34.0	33.0	20.4426	7.5138	-9.4297	34.0346	43.4643	2.7207	2.8709	0.0611	2.7503	3.071	0.3207
194324018	329.0	215.0	852.0	3.224	0.625	0.145	0.04	5.0	0.6	34.0	33.0	20.7146	6.1912	5.3176	37.2983	31.9807	3.3458	3.3303	0.146	3.0396	3.5704	0.5308
195168692	272.0	193.0	627.0	2.877	0.433	0.157	0.03	4.0	0.3	34.0	33.0	22.5371	5.7778	6.6741	35.6282	28.954	3.9006	2.9714	0.1522	2.817	3.3467	0.5296
198051119	221.0	136.0	468.0	2.588	0.469	0.123	0.027	5.0	0.2	34.0	33.0	17.0257	6.6862	3.4779	29.4836	26.0056	2.5464	2.6237	0.0834	2.4633	2.7595	0.2962
199547104	282.0	186.0	786.0	3.242	0.371	0.132	0.024	4.0	0.4	34.0	33.0	20.8536	4.9779	0.3241	34.1894	33.8652	4.1892	3.0694	0.0938	2.8789	3.2789	0.4
199809850	257.0	169.0	650.0	3.135	0.431	0.116	0.028	3.0	0.2	34.0	33.0	21.8843	4.8835	5.3904	33.8416	28.4512	4.4813	2.852	0.0874	2.6975	3.059	0.3615
200066829	218.0	146.0	535.0	3.347	0.414	0.161	0.033	3.0	0.3	34.0	33.0	23.4644	5.4734	11.4929	37.2162	25.7234	4.287	2.9784	0.0577	2.8746	3.1346	0.26
210534092	310.0	203.0	733.0	3.05	0.299	0.145	0.029	6.0	0.3	34.0	33.0	20.9711	5.3293	3.9338	36.1057	32.1719	3.935	3.3036	0.1051	3.0963	3.5223	0.426
211169351	316.0	205.0	824.0	3.012	0.551	0.134	0.031	5.0	0.5	34.0	33.0	20.5489	4.7444	7.7577	33.2703	25.5126	4.3312	3.2527	0.1525	2.9593	3.5188	0.5595
219325366	323.0	231.0	916.0	3.159	0.51	0.139	0.034	5.0	0.5	34.0	33.0	22.3869	6.0282	3.4006	39.1219	35.7213	3.7137	3.4211	0.0817	3.2344	3.6178	0.3834
221853583	322.0	205.0	704.0	2.793	0.388	0.135	0.032	7.0	0.4	34.0	33.0	19.0353	6.6299	1.3695	36.0316	34.6621	2.8711	3.3373	0.1416	3.0651	3.6839	0.6188
225017631	305.0	188.0	789.0	3.093	0.406	0.15	0.043	8.0	0.5	34.0	33.0	17.9513	6.5668	3.4513	34.4724	31.0212	2.7336	3.6271	0.1602	3.2903	3.9223	0.632
228519096	241.0	151.0	683.0	3.275	0.618	0.156	0.043	6.0	0.3	34.0	33.0	20.2045	5.8423	0.9643	32.7355	31.7712	3.4583	3.2152	0.061	3.089	3.348	0.2589
232853819	266.0	175.0	728.0	3.18	0.357	0.112	0.023	4.0	0.3	34.0	33.0	20.3069	4.9376	8.7219	34.4244	25.7026	4.1127	3.22	0.0971	3.012	3.4449	0.433
233205461	302.0	204.0	794.0	3.03	0.41	0.129	0.039	7.0	0.4	34.0	33.0	18.502	5.8884	2.9484	31.3602	28.4118	3.1421	3.4782	0.1015	3.2416	3.6647	0.4231
233932345	311.0	194.0	742.0	2.76	0.475	0.178	0.043	8.0	0.5	34.0	33.0	17.9027	5.7814	4.3829	33.3481	28.9652	3.0966	3.0931	0.0695	2.9006	3.2182	0.3176
234528430	194.0	137.0	486.0	3.165	0.408	0.14	0.041	2.0	0.3	34.0	33.0	21.784	5.3308	7.2488	31.4217	24.1729	4.0864	3.056	0.0861	2.8315	3.314	0.4825
235478560	322.0	223.0	751.0	2.825	0.332	0.148	0.024	4.0	0.4	34.0	33.0	22.9825	4.4733	8.7147	35.8971	27.1824	5.1377	3.0639	0.0684	2.8951	3.1639	0.2688
248138276	240.0	147.0	619.0	2.986	0.289	0.159	0.041	7.0	0.3	34.0	33.0	19.3717	5.8008	4.108	31.3322	27.2241	3.3395	3.0348	0.0601	2.8779	3.1199	0.242
248585929	272.0	186.0	698.0	3.03	0.416	0.132	0.027	4.0	0.4	34.0	33.0	20.789	5.8739	3.3011	34.2516	30.9505	3.5392					
250211156	288.0	187.0	829.0	3.203	0.685	0.157	0.033	6.0	0.4	34.0	33.0	21.45	6.4077	4.4751	38.1171	33.642	3.3475	3.2706	0.1174	2.9502	3.4338	0.4835
253771324	227.0	176.0	650.0	2.935	0.535	0.173	0.037	5.0	0.5	34.0	33.0	18.8835	5.6055	4.4346	34.6211	30.1864	3.3688	3.486	0.2026	3.1172	3.8359	0.7186
254383703	265.0	175.0	798.0	3.449	0.601	0.145	0.045	5.0	0.4	34.0	33.0	22.2369	5.0828	4.5664	33.2937	28.7273	4.3749	3.2345	0.1033	3.0429	3.4787	0.4358
255089519	227.0	143.0	563.0	3.021	0.266	0.157	0.04	4.0	0.4	34.0	33.0	21.8444	5.8447	4.7157	34.8184	30.1027	3.7374	3.1394	0.0896	2.9266	3.3239	0.3973
255246595	387.0	243.0	878.0	2.927	0.431	0.184	0.047	10.0	0.9	34.0	33.0	20.4484	7.3684	2.9729	35.3633	32.3904	2.7751	3.2925	0.0787	3.0782	3.4677	0.3895
261887422	263.0	176.0	669.0	2.901	0.508	0.141	0.034	5.0	0.4	34.0	33.0	21.2803	5.2828	0.2947	31.9968	31.7021	4.0282	3.5497	0.1063	3.2582	3.6973	0.4391
263354790	332.0	216.0	807.0	2.833	0.49	0.147	0.032	8.0	0.5	34.0	33.0	19.2007	5.1228	4.6886	30.9795	26.2909	3.7481	3.6061	0.1088	3.2836	3.8262	0.5426
