participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	811.0	538.0	1840.0	2.573	0.623	0.159	0.044	20.0	1.4	73.0	72.0	22.3385	5.8888	-0.1051	41.7951	41.9003	3.7934	2.3041	0.0744	2.1316	2.4225	0.2909
8454119	991.0	656.0	2938.0	3.281	0.589	0.148	0.038	17.0	1.4	73.0	72.0	24.2415	7.4816	-2.2924	43.615	45.9074	3.2402	2.3989	0.0613	2.2621	2.5528	0.2907
11407866	801.0	551.0	2374.0	3.156	0.683	0.157	0.043	16.0	1.4	73.0	72.0	24.0513	6.2474	3.25	41.4057	38.1557	3.8498	2.1962	0.0467	2.0875	2.3019	0.2143
11574123	653.0	445.0	1788.0	3.009	0.628	0.169	0.038	15.0	1.0	73.0	72.0	25.9457	5.9382	6.0626	41.0767	35.0141	4.3693	2.4009	0.069	2.2937	2.5438	0.25
16684978	600.0	400.0	1146.0	2.377	0.696	0.164	0.044	13.0	1.3	73.0	72.0	19.0816	7.288	-0.5632	33.6333	34.1965	2.6182	2.3325	0.0449	2.2542	2.4508	0.1965
25354225	572.0	379.0	1939.0	3.227	0.728	0.146	0.044	15.0	0.8	73.0	72.0	21.9844	8.394	-4.1966	41.429	45.6256	2.6191	2.5258	0.0996	2.3096	2.7944	0.4848
25811472	707.0	489.0	2036.0	3.074	0.732	0.173	0.053	22.0	1.6	73.0	72.0	21.777	7.115	-4.4389	36.8116	41.2505	3.0607	2.4349	0.0529	2.3165	2.5647	0.2482
27876862	597.0	394.0	1595.0	3.085	0.53	0.153	0.035	12.0	0.9	73.0	72.0	25.3914	6.6325	7.289	39.7806	32.4916	3.8283	2.0627	0.0404	2.0087	2.1386	0.1299
29811890	731.0	515.0	2148.0	3.064	0.749	0.156	0.042	17.0	1.2	73.0	72.0	25.23	6.7803	-2.186	39.3535	41.5395	3.7211	2.2024	0.073	2.0705	2.3965	0.326
31361606	737.0	501.0	1927.0	3.006	0.807	0.183	0.06	17.0	2.2	73.0	72.0	23.9223	7.8734	-0.9679	41.0996	42.0675	3.0384	2.1411	0.0684	2.025	2.2875	0.2625
32938469	811.0	566.0	2575.0	2.999	0.767	0.183	0.076	20.0	3.1	73.0	72.0	20.762	7.2949	-15.7909	39.2091	55.0	2.8461	2.5271	0.1621	2.1367	2.8589	0.7222
36895554	668.0	447.0	1841.0	3.07	0.53	0.169	0.047	15.0	1.3	73.0	72.0	23.2023	6.6429	3.2129	39.2296	36.0166	3.4928	2.2349	0.0413	2.1209	2.3378	0.2169
37329051	612.0	446.0	1944.0	2.958	0.733	0.186	0.071	23.0	2.0	73.0	72.0	21.7164	8.0679	-6.2533	39.8324	46.0857	2.6917	2.4756	0.0907	2.3187	2.6726	0.3539
37835493	704.0	459.0	1702.0	2.834	0.658	0.144	0.039	14.0	1.0	73.0	72.0	24.2306	6.0686	3.8867	40.0031	36.1164	3.9928	2.3363	0.0765	2.2116	2.4732	0.2616
43606631	555.0	390.0	1239.0	2.393	0.596	0.177	0.055	15.0	1.4	73.0	72.0	21.4685	7.2039	0.9379	43.0396	42.1017	2.9801	2.3687	0.0467	2.3055	2.5046	0.1991
49408975	547.0	389.0	1750.0	3.034	0.671	0.177	0.061	16.0	1.7	73.0	72.0	22.3803	6.5325	-20.0672	35.8039	55.8712	3.426	2.2438	0.0673	2.1272	2.4236	0.2964
51217255	643.0	424.0	1863.0	3.319	0.492	0.163	0.043	16.0	1.1	73.0	72.0	26.8829	6.2801	7.5377	44.5745	37.0368	4.2806	2.1555	0.0676	2.0351	2.3714	0.3363
52306425	744.0	482.0	1721.0	2.726	0.762	0.162	0.052	14.0	1.7	73.0	72.0	22.9539	8.6597	-3.801	41.0888	44.8898	2.6507	2.3839	0.0644	2.268	2.5212	0.2532
52835891	555.0	412.0	1831.0	3.098	0.7	0.156	0.043	10.0	1.0	73.0	72.0	25.341	7.151	1.8487	41.7374	39.8887	3.5437	2.1365	0.1006	1.9757	2.3638	0.3881
55710183	669.0	473.0	1653.0	2.638	0.553	0.162	0.041	13.0	1.1	73.0	72.0	22.7653	6.9404	-17.9861	39.3109	57.297	3.2801	2.3716	0.0542	2.2754	2.5234	0.248
56162563	749.0	507.0	1764.0	2.812	0.626	0.16	0.042	18.0	1.2	73.0	72.0	27.437	6.9607	7.1808	44.2332	37.0524	3.9417	2.2131	0.0839	2.0818	2.3885	0.3067
60021964	729.0	531.0	2126.0	2.906	0.55	0.16	0.04	18.0	1.3	73.0	72.0	23.5789	7.0016	3.247	40.3494	37.1023	3.3677	2.2565	0.1105	2.0583	2.5268	0.4685
62582335	651.0	449.0	1986.0	3.195	0.497	0.172	0.059	19.0	1.5	73.0	72.0	23.5518	6.5117	-8.073	38.2509	46.3239	3.6168	2.2785	0.0708	2.1576	2.4559	0.2983
65198031	590.0	434.0	1364.0	2.5	0.664	0.168	0.044	14.0	1.1	73.0	72.0	23.2592	6.6947	-0.6871	38.285	38.9721	3.4743	2.3339	0.0446	2.2287	2.4456	0.2169
70214854	628.0	410.0	1617.0	2.817	0.65	0.161	0.051	13.0	1.2	73.0	72.0	26.2855	6.9328	5.6243	41.3074	35.683	3.7915	2.2722	0.0684	2.1096	2.394	0.2844
71851847	721.0	485.0	2123.0	3.154	0.582	0.152	0.044	15.0	1.2	73.0	72.0	26.0604	6.4498	-13.6578	38.8953	52.5532	4.0405	2.2443	0.101	2.0811	2.4006	0.3195
74920331	594.0	396.0	1493.0	2.89	0.547	0.15	0.038	12.0	0.9	73.0	72.0	24.4229	5.7357	3.2527	39.0409	35.7882	4.2581	2.3381	0.0734	2.2144	2.462	0.2476
77390767	601.0	398.0	1449.0	2.95	0.606	0.16	0.051	16.0	1.4	73.0	72.0	22.9691	7.3099	2.0565	41.2797	39.2232	3.1422	2.2343	0.0716	2.1281	2.3741	0.246
78982423	638.0	431.0	1535.0	2.825	0.615	0.17	0.044	18.0	1.0	73.0	72.0	24.2994	6.8805	5.3001	41.7818	36.4817	3.5316	2.1576	0.0692	1.9977	2.2517	0.254
80982198	727.0	505.0	2294.0	3.254	0.598	0.197	0.077	25.0	2.5	73.0	72.0	25.1722	8.1309	-0.6662	44.702	45.3683	3.0959	2.4076	0.0802	2.2755	2.6152	0.3397
82699044	906.0	608.0	1984.0	2.661	0.628	0.187	0.058	26.0	2.1	73.0	72.0	20.772	8.6372	-3.6852	41.0459	44.7311	2.4049	2.3305	0.0483	2.2282	2.4963	0.2682
84407714	598.0	442.0	1632.0	2.87	0.467	0.161	0.042	14.0	0.8	73.0	72.0	23.181	5.894	4.7298	34.8518	30.122	3.933	2.1034	0.0357	2.0487	2.1765	0.1278
86226939	619.0	406.0	1679.0	3.088	0.768	0.161	0.052	13.0	1.1	73.0	72.0	21.5929	7.8982	-6.2953	37.2026	43.4978	2.7339	2.2198	0.0863	2.0837	2.365	0.2812
93800202	539.0	396.0	2130.0	3.215	0.699	0.181	0.064	13.0	1.4	73.0	72.0	22.2125	7.7273	-3.7865	43.9762	47.7627	2.8745	2.4217	0.0926	2.2174	2.7125	0.4951
97005004	824.0	573.0	2363.0	3.03	0.535	0.145	0.037	19.0	1.1	73.0	72.0	23.5974	7.4457	-7.5868	43.8702	51.457	3.1693	2.4347	0.1174	2.2051	2.6844	0.4793
100527940	695.0	483.0	2473.0	3.588	0.691	0.182	0.063	19.0	2.2	73.0	72.0	23.3558	7.6168	4.2173	38.4223	34.205	3.0664	2.4082	0.0864	2.2869	2.6003	0.3134
103652366	583.0	408.0	1702.0	2.902	0.668	0.157	0.042	12.0	1.2	73.0	72.0	23.1346	7.1763	-9.5532	43.1989	52.7522	3.2238	2.2837	0.0438	2.2115	2.3976	0.1861
105914514	826.0	535.0	1855.0	2.659	0.749	0.163	0.061	17.0	2.3	73.0	72.0	15.6252	6.7226	-5.4466	34.4463	39.8929	2.3243	2.5326	0.0776	2.3838	2.7252	0.3415
107578676	889.0	609.0	2436.0	3.141	0.595	0.159	0.039	17.0	1.5	73.0	72.0	26.2601	7.4872	0.254	43.6004	43.3464	3.5073	2.423	0.0818	2.268	2.5953	0.3273
108828000	667.0	448.0	2165.0	3.376	0.69	0.174	0.048	19.0	1.2	73.0	72.0	23.7718	6.5922	4.0673	38.8566	34.7894	3.606	2.1523	0.0552	2.0719	2.2916	0.2198
113335479	729.0	532.0	1847.0	2.673	0.707	0.148	0.045	13.0	1.3	73.0	72.0	20.177	6.6422	-9.9966	40.127	50.1236	3.0377	2.4561	0.0858	2.3065	2.6451	0.3386
115784129	719.0	486.0	1315.0	2.231	0.546	0.143	0.037	10.0	1.1	73.0	72.0	22.5049	6.6669	2.7036	42.0502	39.3467	3.3756					
119126177	647.0	438.0	1834.0	3.221	0.718	0.166	0.045	17.0	1.0	73.0	72.0	24.7771	6.8633	1.245	41.6199	40.3749	3.6101	2.2707	0.1	2.1015	2.4497	0.3482
