participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	759.0	484.0	1638.0	2.408	0.898	0.169	0.074	23.0	2.7	91.0	90.0	20.5756	9.8565	-11.2058	38.6795	49.8853	2.0875	2.1464	0.0481	2.0257	2.33	0.3043
8454119	863.0	546.0	1717.0	2.549	0.887	0.167	0.061	23.0	1.9	91.0	90.0	22.4665	9.6979	-19.1545	56.3827	75.5372	2.3166	2.2655	0.0536	2.1669	2.444	0.2771
11407866	799.0	559.0	2127.0	2.895	0.786	0.151	0.053	17.0	1.7	91.0	90.0	23.1183	8.7331	-3.291	42.3276	45.6186	2.6472	2.1389	0.0455	2.0319	2.2465	0.2145
11574123	527.0	367.0	1514.0	3.011	0.528	0.15	0.038	11.0	0.8	91.0	90.0	24.1362	6.1807	3.1218	38.814	35.6922	3.9051	2.3135	0.0258	2.2539	2.3818	0.1279
16684978	577.0	376.0	1201.0	2.426	0.675	0.159	0.063	15.0	1.3	91.0	90.0	22.3054	8.0629	-4.4599	40.334	44.7939	2.7664	2.2994	0.0263	2.2224	2.3643	0.1419
25354225	641.0	463.0	2426.0	3.456	0.766	0.144	0.043	13.0	1.3	91.0	90.0	24.0093	8.2769	-15.345	48.8474	64.1923	2.9008	2.2596	0.0809	2.1153	2.4698	0.3545
25811472	829.0	528.0	1545.0	2.572	1.061	0.171	0.066	15.0	2.4	91.0	90.0	18.1361	9.8142	-12.3833	39.5559	51.9391	1.8479	2.2666	0.0479	2.1669	2.4087	0.2417
27876862	472.0	345.0	1448.0	3.078	0.788	0.177	0.06	15.0	1.4	91.0	90.0	23.3347	7.1226	-10.2232	41.4697	51.6929	3.2762	2.0456	0.0259	1.9744	2.1001	0.1257
29811890	863.0	580.0	2005.0	2.816	0.787	0.157	0.042	16.0	1.6	91.0	90.0	24.6929	8.6639	-8.2969	53.1227	61.4195	2.8501	2.1244	0.0619	1.9734	2.2798	0.3065
31361606	790.0	526.0	1553.0	2.583	0.608	0.14	0.043	13.0	1.1	91.0	90.0	21.0695	9.0437	-21.4535	41.7947	63.2481	2.3298	2.1415	0.054	2.0424	2.3763	0.3339
32938469	698.0	484.0	2235.0	3.44	0.818	0.177	0.071	17.0	2.1	91.0	90.0	21.4624	9.033	-1.5126	43.9139	45.4265	2.376	2.2542	0.1216	2.0118	2.5583	0.5465
36895554	622.0	431.0	2019.0	3.119	0.654	0.14	0.034	12.0	1.0	91.0	90.0	23.6648	6.3715	2.929	41.9797	39.0507	3.7142	2.1323	0.073	1.9496	2.2675	0.3179
37329051	678.0	452.0	1914.0	3.212	0.996	0.17	0.058	16.0	1.7	91.0	90.0	21.6968	8.2258	-2.504	39.5122	42.0163	2.6376	2.3254	0.0888	2.1442	2.5022	0.358
37835493	736.0	492.0	1406.0	2.322	0.753	0.142	0.036	13.0	1.2	91.0	90.0	23.423	6.0024	4.9573	46.7315	41.7742	3.9023	2.2279	0.0421	2.1598	2.345	0.1852
43606631	678.0	436.0	1327.0	2.343	0.545	0.127	0.031	12.0	0.9	91.0	90.0	24.0063	6.203	-17.3035	43.8537	61.1572	3.8701	2.2735	0.0281	2.2095	2.3508	0.1413
49408975	650.0	459.0	1971.0	2.905	1.046	0.151	0.047	11.0	1.3	91.0	90.0	21.7291	7.6945	-2.7105	42.4672	45.1777	2.824	2.1459	0.0465	2.0696	2.3158	0.2462
51217255	717.0	491.0	1818.0	2.929	0.562	0.13	0.026	11.0	0.8	91.0	90.0	25.8041	5.2652	7.4718	39.7868	32.315	4.9009	2.1446	0.0391	2.0102	2.2325	0.2223
52306425	886.0	500.0	1360.0	2.193	0.735	0.16	0.079	20.0	3.3	91.0	90.0	20.5683	9.0506	-4.7527	47.235	51.9877	2.2726	2.3107	0.0331	2.242	2.4053	0.1632
52835891	630.0	466.0	1908.0	2.97	0.555	0.175	0.052	16.0	1.8	91.0	90.0	24.6501	7.4439	-4.1423	47.4135	51.5558	3.3115	2.0048	0.0602	1.903	2.1871	0.2841
55710183	685.0	459.0	1979.0	2.809	0.75	0.156	0.039	17.0	1.1	91.0	90.0	23.2014	8.6572	-0.9278	42.8271	43.7548	2.68	2.2621	0.0445	2.12	2.4057	0.2857
56162563	796.0	549.0	2187.0	2.918	0.773	0.162	0.051	18.0	1.9	91.0	90.0	24.8373	9.2671	-56.2352	42.9646	99.1998	2.6802	2.0881	0.0686	1.9594	2.299	0.3397
60021964	779.0	524.0	2096.0	2.895	0.639	0.167	0.049	23.0	1.4	91.0	90.0	22.3575	7.3828	2.1615	37.8808	35.7193	3.0283	2.14	0.0652	2.0153	2.2833	0.268
62582335	810.0	516.0	1699.0	2.607	0.746	0.147	0.046	16.0	1.7	91.0	90.0	22.6437	7.963	-6.9721	39.2243	46.1964	2.8436	2.2299	0.0543	2.1037	2.3478	0.2442
65198031	680.0	445.0	1713.0	2.937	0.713	0.151	0.055	14.0	1.7	91.0	90.0	23.5561	7.5094	-12.9431	44.2091	57.1522	3.1369	2.1852	0.0726	2.0257	2.3619	0.3362
70214854	703.0	477.0	2064.0	3.058	0.735	0.179	0.069	17.0	2.1	91.0	90.0	26.3801	9.4315	-0.0846	57.0543	57.1388	2.797	2.0869	0.0723	1.9552	2.2957	0.3405
71851847	775.0	526.0	1960.0	2.958	0.941	0.154	0.051	15.0	1.7	91.0	90.0	24.9907	9.1585	-7.2805	48.6177	55.8981	2.7287	2.0983	0.0704	1.9157	2.2887	0.373
74920331	712.0	452.0	1696.0	2.875	0.574	0.157	0.048	20.0	1.5	91.0	90.0	23.4282	7.958	-7.6175	40.8411	48.4587	2.944	2.2095	0.0669	2.0964	2.3643	0.2679
77390767	794.0	521.0	1842.0	2.664	0.66	0.149	0.049	16.0	1.8	91.0	90.0	24.0773	8.2355	-11.1688	42.1452	53.314	2.9236	2.1744	0.0524	2.0667	2.2967	0.23
78982423	613.0	415.0	1902.0	3.326	0.841	0.165	0.053	18.0	1.6	91.0	90.0	24.4669	7.9306	5.3113	45.1606	39.8493	3.0851	1.9965	0.0668	1.8751	2.1005	0.2254
80982198	783.0	548.0	1792.0	2.697	0.717	0.169	0.062	26.0	1.8	91.0	90.0	22.2234	8.9292	-10.8678	40.6576	51.5253	2.4888	2.3743	0.0753	2.2129	2.5296	0.3167
82699044	782.0	505.0	1750.0	2.693	0.585	0.143	0.048	31.0	1.3	91.0	90.0	22.4126	6.3899	-5.1492	38.3339	43.4831	3.5075	2.2549	0.0348	2.1613	2.3462	0.1849
84407714	699.0	478.0	2080.0	3.178	0.712	0.147	0.036	16.0	1.2	91.0	90.0	23.2564	6.5065	3.1231	40.1174	36.9943	3.5743	2.095	0.0355	1.9912	2.175	0.1837
86226939	681.0	461.0	2113.0	3.446	0.725	0.152	0.061	16.0	1.6	91.0	90.0	24.2063	9.1467	-20.2077	42.7168	62.9244	2.6464	2.0299	0.0554	1.9555	2.2228	0.2672
93800202	713.0	506.0	1530.0	2.4	0.724	0.15	0.044	11.0	1.6	91.0	90.0	20.4308	8.0453	-12.5222	40.6097	53.1319	2.5395	2.3003	0.0744	2.1423	2.4754	0.3332
97005004	796.0	504.0	2109.0	2.987	0.805	0.127	0.041	12.0	1.3	91.0	90.0	23.3385	9.1861	-4.5562	53.5554	58.1116	2.5406	2.1158	0.056	2.0122	2.3464	0.3341
100527940	749.0	485.0	2325.0	3.186	0.907	0.174	0.073	18.0	2.7	91.0	90.0	23.4945	8.2593	-14.1937	46.0208	60.2145	2.8446	2.25	0.0321	2.1637	2.361	0.1973
103652366	699.0	452.0	1571.0	2.513	0.912	0.156	0.066	16.0	2.2	91.0	90.0	17.897	9.1246	-7.8158	38.721	46.5369	1.9614	2.2818	0.0327	2.2121	2.3752	0.1631
105914514	1047.0	677.0	2473.0	2.754	0.943	0.164	0.067	20.0	3.3	91.0	90.0	13.7729	7.2046	-26.3438	34.4067	60.7505	1.9117	2.3473	0.1363	2.1093	2.6396	0.5303
107578676	894.0	566.0	2002.0	2.519	0.819	0.161	0.062	19.0	2.6	91.0	90.0	21.0833	8.5962	-6.6867	43.5991	50.2858	2.4526	2.2538	0.0446	2.1417	2.4263	0.2846
108828000	622.0	454.0	1756.0	2.958	0.672	0.175	0.051	21.0	1.4	91.0	90.0	23.2608	7.5964	0.8254	40.9034	40.0779	3.0621	2.1198	0.042	2.0212	2.2232	0.202
113335479	688.0	493.0	1960.0	2.768	0.774	0.187	0.065	16.0	2.2	91.0	90.0	21.3685	8.0478	-15.843	39.7008	55.5437	2.6552	2.3894	0.0606	2.2967	2.5782	0.2815
115784129	839.0	534.0	1470.0	2.216	0.646	0.142	0.045	14.0	1.4	91.0	90.0	21.7127	8.7604	-70.2262	46.934	117.1601	2.4785					
119126177	717.0	454.0	1740.0	2.892	0.953	0.162	0.055	19.0	1.7	91.0	90.0	22.3223	9.0041	-7.2307	46.3547	53.5853	2.4791	2.182	0.0579	2.0635	2.3623	0.2988
121697273	868.0	524.0	1644.0	2.572	0.655	0.15	0.078	16.0	2.8	91.0	90.0	21.9584	9.3628	-25.4632	42.3054	67.7686	2.3453	2.1615	0.0416	2.0819	2.288	0.2061
130118047	838.0	560.0	1741.0	2.506	0.701	0.13	0.037	11.0	1.4	91.0	90.0	25.4799	7.3799	-0.7448	39.9181	40.6629	3.4526	2.2014	0.0451	2.0948	2.3496	0.2548
131655018	647.0	436.0	1594.0	2.763	0.635	0.146	0.035	13.0	1.1	91.0	90.0	25.6465	8.673	-21.896	49.8135	71.7095	2.957	2.2846	0.0403	2.205	2.4203	0.2153
134279804	735.0	500.0	1804.0	2.582	0.609	0.159	0.05	17.0	1.7	91.0	90.0	23.4426	6.545	-5.1596	40.1314	45.291	3.5818	2.2097	0.047	2.116	2.3342	0.2183
138434806	765.0	508.0	1516.0	2.351	0.543	0.14	0.048	12.0	1.6	91.0	90.0	23.1185	7.6048	-2.5394	43.4859	46.0253	3.04	2.1393	0.0293	2.0801	2.2198	0.1397
154667058	1012.0	604.0	1635.0	2.062	0.729	0.145	0.062	21.0	3.0	91.0	90.0	18.8396	8.9814	-17.2438	42.2318	59.4756	2.0976	2.5026	0.059	2.3366	2.7089	0.3723
158779019	646.0	440.0	1698.0	2.886	0.576	0.157	0.041	17.0	1.2	91.0	90.0	24.1756	6.1916	5.6821	40.0348	34.3527	3.9046	2.2331	0.0412	2.1536	2.3472	0.1936
162526644	820.0	584.0	1719.0	2.355	0.854	0.187	0.07	16.0	3.0	91.0	90.0	16.6465	7.7912	-15.2418	34.3018	49.5436	2.1366	2.4102	0.0288	2.3641	2.494	0.1298
163259093	609.0	415.0	2077.0	3.144	0.689	0.148	0.044	15.0	1.2	91.0	90.0	26.0213	6.33	2.18	48.7273	46.5473	4.1108	2.1623	0.028	2.088	2.2323	0.1442
176129790	711.0	484.0	1837.0	2.778	0.935	0.152	0.055	11.0	1.7	91.0	90.0	20.4638	7.3685	-2.7402	39.1231	41.8633	2.7772	2.1746	0.0691	2.0159	2.3061	0.2902
