participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	728.0	512.0	1947.0	2.943	0.57	0.134	0.033	13.0	1.1	89.0	88.0	25.461	6.6199	3.5578	38.7316	35.1738	3.8461	2.1702	0.0662	2.0206	2.2989	0.2783
8454119	817.0	535.0	2084.0	3.094	0.69	0.153	0.055	16.0	1.8	89.0	88.0	23.8603	8.5895	-8.5851	48.4741	57.0592	2.7779	2.2295	0.056	2.1139	2.456	0.3421
11407866	787.0	514.0	2055.0	2.924	0.729	0.112	0.031	12.0	1.1	89.0	88.0	24.355	7.882	-6.9116	39.8199	46.7315	3.0899	2.1726	0.1015	2.0519	2.3863	0.3344
11574123	613.0	425.0	1572.0	2.931	0.481	0.135	0.032	8.0	1.0	89.0	88.0	27.7956	5.5078	3.3135	40.7684	37.4549	5.0466	2.2546	0.0343	2.1708	2.3357	0.1649
16684978	526.0	368.0	1768.0	3.227	0.579	0.165	0.046	13.0	1.0	89.0	88.0	23.9328	6.7574	6.6726	40.0278	33.3552	3.5417	2.2411	0.0429	2.1232	2.2943	0.1711
25354225	570.0	400.0	1763.0	3.337	0.88	0.163	0.041	17.0	0.9	89.0	88.0	25.5071	7.7775	-0.6483	46.8122	47.4604	3.2796	2.1599	0.0578	2.0993	2.3267	0.2274
25811472	630.0	438.0	1756.0	3.277	0.594	0.119	0.023	7.0	0.6	89.0	88.0	25.1801	4.9065	8.2514	40.1779	31.9265	5.132	2.3038	0.0264	2.2345	2.366	0.1315
27876862	487.0	360.0	1444.0	2.793	0.589	0.154	0.059	12.0	1.4	89.0	88.0	23.593	5.908	0.9879	40.2762	39.2883	3.9934	2.007	0.027	1.933	2.0836	0.1506
29811890	706.0	490.0	2258.0	3.396	0.522	0.138	0.028	12.0	1.0	89.0	88.0	26.2379	6.4278	0.92	40.3679	39.4478	4.0819	2.0886	0.0501	2.003	2.1948	0.1918
31361606	619.0	437.0	1677.0	2.69	0.636	0.154	0.048	13.0	1.2	89.0	88.0	22.7328	7.707	-6.3177	42.1236	48.4413	2.9496	2.0695	0.0129	2.044	2.1152	0.0712
32938469	689.0	470.0	2176.0	3.001	0.864	0.136	0.04	9.0	1.3	89.0	88.0	21.7111	6.289	3.3667	42.4839	39.1172	3.4522	2.1503	0.0882	2.0227	2.359	0.3363
