participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1022.0	684.0	1904.0	2.784	0.838	0.157	0.054	21.0	2.4	92.0	91.0	26.0175	8.4978	-12.8613	60.4387	73.3001	3.0617	2.4195	0.1543	2.1661	2.8192	0.6531
8454119	1173.0	777.0	2564.0	3.125	0.79	0.138	0.051	16.0	2.3	92.0	91.0	25.2871	7.3631	-25.3395	46.838	72.1775	3.4343	2.57	0.1921	2.2273	3.1483	0.9211
11407866	1223.0	834.0	3269.0	3.405	0.673	0.137	0.031	23.0	1.9	92.0	91.0	27.2284	7.1177	-13.1637	45.6721	58.8357	3.8255	2.4473	0.1466	2.1922	2.809	0.6167
11574123	1221.0	825.0	2602.0	3.069	0.477	0.136	0.028	17.0	1.4	92.0	91.0	26.3424	6.4421	3.7463	39.7511	36.0048	4.0891	2.4007	0.1124	2.2717	2.757	0.4853
16684978	814.0	557.0	1817.0	2.924	0.697	0.173	0.051	19.0	1.8	92.0	91.0	24.2615	9.6168	-11.5283	47.9676	59.4959	2.5228	2.5245	0.1493	2.3322	2.9247	0.5925
25354225	1121.0	737.0	2558.0	3.291	0.556	0.122	0.032	14.0	1.3	92.0	91.0	27.6114	6.5195	0.0175	44.9415	44.924	4.2352	2.4234	0.1795	2.1807	2.7983	0.6175
25811472	1168.0	800.0	2881.0	3.299	0.579	0.137	0.033	17.0	1.7	92.0	91.0	25.2916	7.2695	5.3145	40.276	34.9615	3.4792	2.5828	0.2963	2.2038	3.3326	1.1288
27876862	736.0	526.0	1889.0	3.217	0.641	0.154	0.043	13.0	1.3	92.0	91.0	27.1951	6.6168	4.7817	42.1801	37.3984	4.11	2.2129	0.1229	2.0706	2.5051	0.4345
29811890	1222.0	866.0	2781.0	2.919	0.795	0.14	0.04	26.0	2.3	92.0	91.0	26.5274	8.736	-36.3925	43.5244	79.9169	3.0366	2.313	0.1363	2.1071	2.6582	0.5511
31361606	1033.0	726.0	2477.0	2.989	0.628	0.152	0.041	19.0	2.0	92.0	91.0	25.1986	7.7252	-0.2073	43.8841	44.0914	3.2619	2.4942	0.3118	2.1169	3.1607	1.0438
32938469	896.0	614.0	2481.0	3.25	0.717	0.162	0.057	15.0	2.4	92.0	91.0	24.2753	7.1438	-4.2823	41.8012	46.0835	3.3981	2.5698	0.2715	2.2213	3.2669	1.0456
36895554	1018.0	701.0	2637.0	3.586	0.583	0.136	0.036	13.0	1.7	92.0	91.0	26.5322	6.2893	5.0099	41.1698	36.1599	4.2186	2.3909	0.1833	2.1402	2.8584	0.7182
37329051	1187.0	806.0	2956.0	3.251	0.56	0.143	0.047	23.0	2.5	92.0	91.0	25.4897	7.7539	-5.6289	45.6495	51.2784	3.2873	2.751	0.2587	2.3952	3.2312	0.836
37835493	1324.0	850.0	2464.0	2.546	0.607	0.139	0.037	21.0	2.3	92.0	91.0	22.6377	6.5816	-3.5047	37.7989	41.3036	3.4395	2.3043	0.0873	2.1875	2.555	0.3675
43606631	1052.0	717.0	1825.0	2.462	0.573	0.152	0.04	16.0	1.9	92.0	91.0	25.2692	6.5944	3.7896	41.0595	37.2698	3.8319	2.3738	0.1057	2.233	2.6602	0.4271
49408975	1023.0	712.0	2419.0	3.084	0.706	0.135	0.031	14.0	1.5	92.0	91.0	25.7079	5.8028	2.0759	41.9834	39.9074	4.4302	2.4584	0.1422	2.1533	2.7904	0.6371
51217255	909.0	625.0	2218.0	3.221	0.51	0.14	0.034	14.0	1.3	92.0	91.0	26.1155	6.657	4.917	42.0598	37.1428	3.923	2.4489	0.2079	2.1436	2.9188	0.7752
52306425	1405.0	950.0	2842.0	2.839	0.556	0.146	0.04	20.0	2.2	92.0	91.0	26.0834	7.0184	-0.3886	42.8369	43.2255	3.7164	2.5574	0.1573	2.3238	2.9193	0.5956
52835891	1022.0	717.0	2415.0	2.994	0.645	0.119	0.028	10.0	1.1	92.0	91.0	26.8018	5.5979	3.3272	41.659	38.3318	4.7878	2.2654	0.1272	2.0108	2.6224	0.6116
55710183	1044.0	711.0	2217.0	2.783	0.525	0.133	0.034	14.0	1.7	92.0	91.0	25.8353	6.0827	5.3511	40.0023	34.6512	4.2474	2.4941	0.1377	2.2633	2.7993	0.536
56162563	1002.0	693.0	2379.0	3.082	0.467	0.134	0.033	14.0	1.4	92.0	91.0	27.6939	6.4739	-8.1451	47.005	55.1501	4.2778	2.3302	0.2045	2.02	2.6998	0.6798
60021964	1194.0	849.0	2958.0	3.226	0.625	0.138	0.027	22.0	1.4	92.0	91.0	26.934	7.0071	1.9788	43.9844	42.0056	3.8438	2.4768	0.1899	2.1691	2.9403	0.7712
62582335	1010.0	661.0	2293.0	3.084	0.698	0.136	0.046	17.0	2.1	92.0	91.0	24.9487	8.6564	-11.0688	42.5632	53.632	2.8821	2.4357	0.1179	2.2034	2.8412	0.6378
65198031	1120.0	775.0	2660.0	3.231	0.646	0.141	0.033	14.0	1.8	92.0	91.0	28.0574	7.296	4.1889	47.6356	43.4467	3.8456	2.4487	0.2401	2.1461	2.9695	0.8235
70214854	939.0	636.0	2002.0	2.94	0.631	0.14	0.028	15.0	1.2	92.0	91.0	29.0353	6.6919	2.5647	47.3821	44.8173	4.3389	2.2487	0.1373	2.0568	2.5592	0.5024
71851847	1225.0	830.0	2850.0	3.135	0.454	0.126	0.03	18.0	1.5	92.0	91.0	25.98	7.3637	4.9256	42.9365	38.0109	3.5281	2.6066	0.2201	2.1415	3.1667	1.0251
74920331	1147.0	792.0	2589.0	2.939	0.517	0.134	0.033	14.0	1.6	92.0	91.0	26.0606	5.4264	6.6987	41.0755	34.3769	4.8026	2.4205	0.1989	2.1634	2.8225	0.6591
77390767	1123.0	785.0	2634.0	2.918	0.557	0.151	0.039	19.0	1.8	92.0	91.0	25.0139	7.1721	5.6642	45.9703	40.3062	3.4877	2.4859	0.182	2.2341	2.8668	0.6327
78982423	980.0	648.0	1762.0	2.617	0.732	0.135	0.05	14.0	2.1	92.0	91.0	23.3142	7.7237	-6.8685	43.5679	50.4364	3.0185	2.217	0.1655	1.994	2.5494	0.5554
80982198	1059.0	736.0	2565.0	3.212	0.571	0.143	0.032	17.0	1.6	92.0	91.0	26.4428	7.2426	-4.132	41.6471	45.7791	3.651	2.5912	0.1734	2.3708	3.0552	0.6844
82699044	1056.0	719.0	2183.0	2.705	0.638	0.141	0.035	17.0	1.6	92.0	91.0	24.8544	7.0078	-13.0652	45.279	58.3442	3.5467	2.5182	0.1457	2.2749	2.8041	0.5292
84407714	1146.0	808.0	2812.0	3.194	0.501	0.134	0.032	17.0	1.4	92.0	91.0	24.8754	6.0411	3.0352	37.4925	34.4573	4.1177	2.2984	0.1233	2.1353	2.6619	0.5266
86226939	923.0	659.0	2352.0	3.47	0.635	0.136	0.03	11.0	1.2	92.0	91.0	27.4783	6.8492	2.7872	43.0627	40.2754	4.0119	2.3051	0.2243	1.9887	2.8853	0.8966
93800202	832.0	574.0	2133.0	3.194	0.721	0.127	0.039	17.0	1.4	92.0	91.0	25.2339	7.3996	-3.3493	47.8861	51.2354	3.4102	2.3979	0.1563	2.2003	2.9283	0.728
97005004	1268.0	864.0	2742.0	2.959	0.749	0.135	0.044	27.0	2.5	92.0	91.0	25.9936	8.7016	-10.6673	44.4472	55.1145	2.9872	2.5941	0.22	2.1526	2.9746	0.822
100527940	1013.0	703.0	2665.0	3.482	0.682	0.146	0.043	16.0	1.8	92.0	91.0	26.1592	7.6329	-4.1582	41.7006	45.8588	3.4272	2.4362	0.1603	2.2566	2.7415	0.4849
