participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1779.0	980.0	3044.0	2.335	0.392	0.119	0.028	20.0	1.9	52.0	51.0	16.5243	4.1776	4.2468	31.3578	27.111	3.9555	3.3016	0.378	2.3784	4.5828	2.2044
8454119	1132.0	746.0	3022.0	2.882	0.636	0.15	0.032	26.0	1.4	52.0	51.0	23.5303	7.1459	0.809	51.269	50.46	3.2928	4.0023	0.2875	2.9031	4.8525	1.9494
11407866	1527.0	916.0	3194.0	2.478	0.52	0.137	0.039	25.0	2.5	52.0	51.0	18.5126	5.7412	-6.6361	34.4958	41.1319	3.2245	3.5433	0.4114	2.516	4.8759	2.3599
11574123	1357.0	805.0	2561.0	2.267	0.489	0.138	0.034	29.0	2.1	52.0	51.0	16.174	5.2659	-12.5436	29.3012	41.8449	3.0715	3.5994	0.5248	2.6231	5.0428	2.4197
16684978	1508.0	818.0	2359.0	2.172	0.409	0.126	0.031	21.0	1.8	52.0	51.0	15.7174	4.5534	-2.1138	28.3985	30.5124	3.4518	3.4814	0.4474	2.566	4.9239	2.3579
25354225	1642.0	786.0	2678.0	2.384	0.564	0.114	0.04	29.0	2.5	52.0	51.0	14.2591	5.5155	-10.2415	29.8645	40.106	2.5853	3.8903	0.5225	2.7191	5.3785	2.6594
25811472	1636.0	1016.0	4055.0	2.82	0.479	0.133	0.032	24.0	1.8	52.0	51.0	19.0717	5.1209	-1.3861	35.2693	36.6553	3.7243	3.8644	0.4432	2.7393	5.3525	2.6132
27876862	855.0	543.0	1881.0	2.563	0.426	0.151	0.037	16.0	1.3	52.0	51.0	22.7364	5.1836	-2.3048	42.7826	45.0873	4.3863	3.2754	0.1866	2.6136	3.8073	1.1937
29811890	1592.0	776.0	2416.0	2.328	0.557	0.118	0.033	22.0	2.0	52.0	51.0	16.2586	6.1058	-9.0601	40.9651	50.0252	2.6628	3.6961	0.5774	2.5165	5.3257	2.8092
31361606	1172.0	729.0	2421.0	2.377	0.439	0.138	0.033	18.0	1.6	52.0	51.0	16.1175	4.4635	0.5213	34.4935	33.9723	3.6109	3.48	0.3986	2.4761	4.4564	1.9803
32938469	1097.0	665.0	1980.0	2.352	0.743	0.13	0.037	21.0	1.5	52.0	51.0	21.1505	7.5331	-3.2014	40.4094	43.6108	2.8077	3.6074	0.2288	3.2082	4.3012	1.0931
36895554	1321.0	853.0	2859.0	2.452	0.518	0.156	0.038	29.0	1.9	52.0	51.0	18.3852	5.8161	-1.0223	37.4084	38.4307	3.1611	3.5433	0.437	2.5774	4.7465	2.1692
37329051	1179.0	763.0	2600.0	2.513	0.646	0.146	0.036	25.0	1.9	52.0	51.0	19.1985	5.672	-4.9773	34.7999	39.7772	3.3848	3.7322	0.3739	2.813	4.8741	2.061
37835493	1488.0	875.0	2923.0	2.482	0.491	0.134	0.035	23.0	1.9	52.0	51.0	16.4823	4.4195	1.2973	32.5668	31.2695	3.7295	3.4589	0.3496	2.6351	4.7884	2.1533
43606631	1348.0	759.0	2471.0	2.367	0.434	0.128	0.032	17.0	1.6	52.0	51.0	16.1748	4.0928	5.3944	37.1099	31.7155	3.952	3.4407	0.4098	2.5447	4.7717	2.227
49408975	1425.0	904.0	3099.0	2.477	0.541	0.13	0.026	20.0	1.5	52.0	51.0	17.3	4.5183	1.8119	30.3367	28.5248	3.8289	3.5304	0.4901	2.8082	4.9911	2.1829
51217255	1422.0	816.0	2770.0	2.41	0.552	0.127	0.031	23.0	1.6	52.0	51.0	16.9813	4.3305	0.7464	35.571	34.8246	3.9213	3.5254	0.5526	2.5097	5.2932	2.7835
52306425	1573.0	879.0	2356.0	2.026	0.458	0.119	0.03	22.0	1.9	52.0	51.0	14.9229	4.1754	-5.933	30.8861	36.819	3.574	3.6936	0.4383	2.3957	5.0007	2.605
52835891	1328.0	806.0	2650.0	2.43	0.435	0.124	0.027	18.0	1.6	52.0	51.0	17.0176	4.6207	4.249	31.1088	26.8598	3.6829	3.1904	0.4273	2.415	4.195	1.78
55710183	1336.0	867.0	2682.0	2.332	0.453	0.139	0.03	22.0	1.5	52.0	51.0	18.8421	5.0538	-0.5266	37.8996	38.4261	3.7283	3.6574	0.5333	2.5238	5.2761	2.7524
56162563	1364.0	868.0	3124.0	2.637	0.495	0.136	0.026	23.0	1.4	52.0	51.0	20.817	4.5741	4.9473	36.0777	31.1304	4.551	3.5649	0.4469	2.6501	5.0843	2.4342
60021964	1340.0	778.0	2963.0	2.637	0.571	0.122	0.026	17.0	1.2	52.0	51.0	18.2638	3.7014	-1.33	30.0238	31.3538	4.9343	3.4702	0.4337	2.4659	4.6955	2.2296
62582335	1210.0	733.0	2574.0	2.499	0.554	0.139	0.037	22.0	1.6	52.0	51.0	17.1756	5.1409	-6.5607	37.506	44.0667	3.341	3.5005	0.4138	2.6326	4.7009	2.0683
65198031	1581.0	901.0	3058.0	2.494	0.507	0.122	0.028	18.0	1.8	52.0	51.0	14.7993	4.9098	-1.5963	33.2461	34.8424	3.0143	3.4762	0.4361	2.531	4.6794	2.1484
70214854	1180.0	779.0	2376.0	2.371	0.517	0.154	0.037	24.0	1.9	52.0	51.0	20.8419	5.8496	-0.2947	36.8758	37.1705	3.5629	3.2227	0.3029	2.5411	3.9253	1.3842
71851847	1439.0	845.0	2937.0	2.46	0.527	0.133	0.029	23.0	1.7	52.0	51.0	18.975	4.227	2.5172	34.9274	32.4102	4.489	3.5248	0.4195	2.6125	5.0615	2.449
74920331	1536.0	844.0	2621.0	2.298	0.512	0.115	0.027	19.0	1.7	52.0	51.0	14.7971	4.1858	-0.961	33.1313	34.0922	3.5351	3.513	0.5522	2.2548	5.1493	2.8945
77390767	1576.0	781.0	2413.0	2.211	0.482	0.115	0.03	21.0	1.8	52.0	51.0	15.3735	4.5132	-3.4526	33.2731	36.7257	3.4063	3.4603	0.5442	2.5389	4.8601	2.3212
78982423	1199.0	753.0	2343.0	2.29	0.516	0.134	0.028	15.0	1.3	52.0	51.0	18.2193	4.2133	2.7812	32.7964	30.0152	4.3243	3.4769	0.427	2.4384	4.7683	2.3299
80982198	1538.0	958.0	3713.0	2.657	0.608	0.141	0.039	31.0	2.5	52.0	51.0	17.659	4.6793	0.2807	37.9232	37.6425	3.7739	3.7289	0.4653	2.7686	5.0618	2.2931
82699044	1890.0	1002.0	3293.0	2.384	0.551	0.117	0.031	27.0	2.4	52.0	51.0	16.3667	4.4557	-4.4111	27.5359	31.947	3.6732	3.4628	0.4483	2.4931	4.8714	2.3783
84407714	1344.0	806.0	2598.0	2.383	0.551	0.126	0.028	20.0	1.4	52.0	51.0	16.5072	4.5092	-1.8009	31.6401	33.4411	3.6608	3.3467	0.408	2.5383	4.6047	2.0665
86226939	1258.0	706.0	2392.0	2.443	0.491	0.128	0.029	20.0	1.4	52.0	51.0	16.1892	4.0045	1.3375	30.6547	29.3172	4.0428	3.5418	0.5003	2.4355	4.8196	2.3841
93800202	1375.0	649.0	2159.0	2.351	0.532	0.123	0.052	24.0	3.1	52.0	51.0	15.277	7.0234	-5.5103	32.5025	38.0127	2.1752	3.5298	0.4138	2.7623	4.568	1.8057
97005004	1731.0	1038.0	3600.0	2.514	0.7	0.13	0.028	30.0	2.0	52.0	51.0	18.2691	5.3634	0.1661	37.2795	37.1133	3.4063	4.0697	0.5718	2.5509	5.5934	3.0424
100527940	1642.0	933.0	2809.0	2.272	0.479	0.138	0.04	26.0	2.6	52.0	51.0	15.3407	6.2272	-1.6982	36.0635	37.7616	2.4635	3.9069	0.3798	2.9525	5.1603	2.2078
103652366	1545.0	672.0	2522.0	2.604	0.504	0.09	0.023	18.0	1.3	52.0	51.0	16.2516	4.5925	-3.5187	35.2242	38.7429	3.5387	3.3932	0.3873	2.5895	4.6219	2.0323
105914514	1660.0	1041.0	3229.0	2.221	0.655	0.143	0.045	26.0	3.1	52.0	51.0	14.727	5.3091	-5.6521	30.6212	36.2733	2.7739	3.8145	0.5488	2.9457	6.0077	3.062
107578676	1720.0	1069.0	4091.0	2.715	0.617	0.143	0.04	33.0	2.7	52.0	51.0	21.403	6.485	-5.0663	40.1678	45.2341	3.3004	4.0114	0.658	2.9353	6.4296	3.4943
108828000	1335.0	762.0	2501.0	2.361	0.463	0.12	0.031	15.0	1.6	52.0	51.0	14.4989	4.2983	-3.9243	31.0448	34.9691	3.3732	3.3633	0.4913	2.361	4.5691	2.2081
113335479	1878.0	1036.0	3817.0	2.583	0.618	0.115	0.037	27.0	2.4	52.0	51.0	16.5774	5.7479	-8.0163	35.0818	43.098	2.8841	3.8099	0.418	2.8469	5.5695	2.7226
115784129	2080.0	1081.0	2716.0	2.028	0.523	0.115	0.038	26.0	3.4	52.0	51.0	16.6498	5.9878	-20.0249	35.8928	55.9177	2.7806					
119126177	1963.0	968.0	3374.0	2.488	0.621	0.109	0.036	24.0	2.8	52.0	51.0	15.0184	4.6529	-2.1455	33.6924	35.8379	3.2277	3.5708	0.5988	2.3945	4.9345	2.54
121697273	1425.0	921.0	3009.0	2.419	0.449	0.147	0.034	28.0	2.1	52.0	51.0	21.8276	5.917	4.8352	40.3973	35.5621	3.689	3.5958	0.4848	2.9478	5.241	2.2932
130118047	1605.0	866.0	2976.0	2.507	0.584	0.114	0.027	20.0	1.7	52.0	51.0	17.2838	4.4552	-0.0447	31.8559	31.9006	3.8794	3.6343	0.3925	2.5398	4.942	2.4022
131655018	1786.0	983.0	2943.0	2.357	0.398	0.118	0.028	22.0	2.1	52.0	51.0	15.4563	4.4205	2.4736	32.1129	29.6392	3.4965	3.4827	0.6023	2.3955	4.9959	2.6004
134279804	1513.0	841.0	2568.0	2.206	0.49	0.126	0.034	21.0	2.0	52.0	51.0	15.5587	5.1148	-6.292	34.8623	41.1543	3.0419	3.3163	0.453	2.4297	4.9746	2.5449
