participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	875.0	595.0	1475.0	2.559	0.331	0.129	0.025	8.0	1.1	39.0	38.0	23.7042	4.4027	9.317	35.3728	26.0558	5.384	2.4602	0.1101	2.1505	2.7354	0.5849
8454119	792.0	538.0	1346.0	2.792	0.482	0.121	0.032	7.0	0.9	39.0	38.0	27.0462	5.5481	5.1555	41.5811	36.4256	4.8748	3.4313	0.3612	2.7894	3.9292	1.1398
11407866	908.0	632.0	1715.0	2.874	0.394	0.104	0.02	8.0	0.8	39.0	38.0	25.8117	5.3231	5.8704	37.1713	31.3009	4.849	2.4976	0.2128	1.9958	3.2209	1.2251
11574123	692.0	471.0	1290.0	2.757	0.576	0.131	0.031	9.0	1.0	39.0	38.0	26.0392	6.0383	3.9995	38.6651	34.6656	4.3123	2.6388	0.1377	2.2243	3.0117	0.7873
16684978	725.0	491.0	1258.0	2.591	0.474	0.134	0.027	9.0	1.1	39.0	38.0	24.4707	5.0392	4.3872	38.4198	34.0325	4.8561	2.4409	0.0878	2.1829	2.6081	0.4252
25354225	767.0	527.0	1596.0	2.981	0.475	0.128	0.031	10.0	1.2	39.0	38.0	25.4893	4.9105	9.3122	38.2098	28.8976	5.1907	2.4758	0.1091	2.2118	2.9586	0.7468
25811472	899.0	602.0	1585.0	2.704	0.399	0.111	0.021	9.0	0.8	39.0	38.0	25.209	5.024	1.0634	36.3813	35.3179	5.0177	2.8669	0.137	2.4387	3.1047	0.6661
27876862	414.0	280.0	798.0	2.822	0.448	0.14	0.032	6.0	0.5	39.0	38.0	24.859	6.6493	7.905	39.3132	31.4082	3.7386	2.4247	0.1615	2.0389	2.6958	0.6569
29811890	674.0	470.0	1524.0	2.839	0.582	0.144	0.029	14.0	0.8	39.0	38.0	24.8067	6.3607	3.6476	36.7484	33.1007	3.9	2.4939	0.0514	2.2823	2.6177	0.3355
31361606	573.0	411.0	1034.0	2.628	0.494	0.121	0.02	5.0	0.6	39.0	38.0	25.0794	4.5678	10.8468	39.1746	28.3279	5.4904	2.2411	0.0986	2.0607	2.5576	0.4969
32938469	558.0	379.0	954.0	2.699	0.387	0.133	0.042	10.0	0.7	39.0	38.0	22.7395	6.0516	7.5636	37.7142	30.1506	3.7576	3.0338	0.1029	2.7663	3.2376	0.4713
36895554	768.0	537.0	1335.0	2.647	0.38	0.132	0.031	6.0	1.0	39.0	38.0	23.9456	4.1812	7.2951	35.5179	28.2229	5.727	2.5395	0.1501	2.2211	2.7976	0.5765
37329051	656.0	442.0	1380.0	2.918	0.52	0.131	0.036	10.0	1.0	39.0	38.0	25.7763	5.9699	5.455	39.6047	34.1497	4.3177	2.4777	0.0804	2.2402	2.6257	0.3855
37835493	870.0	588.0	1410.0	2.561	0.406	0.128	0.034	11.0	1.3	39.0	38.0	24.6331	5.7958	-4.1672	38.8274	42.9946	4.2502	2.4496	0.1302	1.9373	2.6042	0.6669
