participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	516.0	352.0	807.0	2.652	0.36	0.09	0.016	3.0	0.2	42.0	41.0	22.766	4.0446	12.1223	33.1063	20.984	5.6288	2.1492	0.0405	2.1129	2.3137	0.2008
8454119	624.0	419.0	839.0	2.594	0.38	0.116	0.021	4.0	0.6	42.0	41.0	25.9033	5.1817	9.9933	39.4329	29.4396	4.999	2.7976	0.0687	2.7088	3.0594	0.3506
11407866	529.0	364.0	1078.0	2.99	0.426	0.107	0.02	4.0	0.3	42.0	41.0	24.9976	4.4348	14.0967	36.2056	22.109	5.6367	2.0158	0.0631	1.9347	2.1961	0.2614
11574123	418.0	266.0	759.0	2.976	0.345	0.123	0.029	4.0	0.5	42.0	41.0	25.4378	5.401	12.869	45.6568	32.7878	4.7099	2.2571	0.0769	2.0598	2.3986	0.3388
16684978	341.0	224.0	558.0	2.965	0.371	0.12	0.031	3.0	0.4	42.0	41.0	24.4509	5.5124	8.6584	38.4818	29.8234	4.4356	2.1564	0.0589	1.992	2.2688	0.2768
25354225	451.0	321.0	872.0	3.047	0.408	0.122	0.027	3.0	0.6	42.0	41.0	25.5906	4.9025	12.0483	37.7068	25.6585	5.2199	2.3041	0.0295	2.1945	2.4061	0.2116
25811472	494.0	337.0	849.0	2.952	0.435	0.118	0.023	4.0	0.5	42.0	41.0	24.191	5.3577	9.4484	35.5512	26.1028	4.5152	2.3875	0.1236	2.2398	2.5853	0.3454
27876862	466.0	298.0	733.0	2.357	0.457	0.136	0.037	8.0	0.7	42.0	41.0	22.8682	6.3687	3.1977	36.7325	33.5348	3.5907	2.1139	0.1096	1.8615	2.2966	0.4351
29811890	555.0	366.0	1227.0	2.929	0.494	0.126	0.028	7.0	0.6	42.0	41.0	24.096	6.1468	4.6646	37.9974	33.3328	3.9201	2.3664	0.0504	2.2727	2.4889	0.2162
31361606	376.0	257.0	599.0	2.793	0.436	0.124	0.028	3.0	0.4	42.0	41.0	23.4994	5.0628	9.1505	36.3618	27.2113	4.6416	2.0666	0.0335	2.0022	2.1672	0.165
32938469	513.0	333.0	804.0	2.86	0.341	0.111	0.022	4.0	0.5	42.0	41.0	24.8109	5.5948	10.1953	38.2707	28.0754	4.4347	2.7644	0.0734	2.5925	2.95	0.3575
36895554	466.0	294.0	617.0	2.798	0.318	0.106	0.023	2.0	0.5	42.0	41.0	24.2425	4.2606	9.1236	34.8492	25.7256	5.6899	2.2165	0.0294	2.171	2.2855	0.1145
37329051	428.0	294.0	904.0	3.083	0.487	0.102	0.019	3.0	0.3	42.0	41.0	25.2746	5.2245	8.2312	36.4211	28.1899	4.8377	2.3097	0.0486	2.209	2.4137	0.2047
37835493	378.0	260.0	584.0	2.52	0.475	0.107	0.022	2.0	0.3	42.0	41.0	22.9178	5.158	8.7441	34.4794	25.7353	4.4432	2.0735	0.0551	1.9602	2.169	0.2088
43606631	418.0	280.0	511.0	2.341	0.348	0.112	0.028	3.0	0.4	42.0	41.0	22.6601	4.4535	11.3165	34.3682	23.0517	5.0882	2.1825	0.024	2.1465	2.2756	0.1292
49408975	478.0	330.0	737.0	2.738	0.309	0.106	0.018	3.0	0.3	42.0	41.0	23.8039	4.0087	11.273	34.8022	23.5292	5.9381	2.433	0.0452	2.3561	2.5373	0.1812
51217255	353.0	241.0	517.0	2.714	0.401	0.113	0.024	2.0	0.3	42.0	41.0	25.57	4.3469	7.6879	34.3607	26.6728	5.8823	2.0912	0.0548	2.0284	2.2307	0.2023
52306425	563.0	378.0	993.0	2.828	0.357	0.128	0.03	5.0	0.6	42.0	41.0	23.649	5.0867	10.7333	35.8784	25.1451	4.6492	2.0808	0.0522	1.9924	2.18	0.1876
52835891	359.0	250.0	545.0	2.802	0.388	0.112	0.025	2.0	0.3	42.0	41.0	25.2301	4.7814	8.184	38.8284	30.6444	5.2767	2.1036	0.0431	1.9905	2.1957	0.2051
55710183	452.0	328.0	937.0	2.726	0.499	0.146	0.029	6.0	0.6	42.0	41.0	21.2354	4.4392	6.0031	34.0964	28.0933	4.7836	2.2274	0.0511	2.0822	2.3363	0.2541
56162563	398.0	283.0	667.0	2.773	0.447	0.118	0.023	3.0	0.4	42.0	41.0	25.8788	5.1001	13.0796	38.2337	25.1541	5.0741	2.1313	0.051	2.0446	2.3374	0.2928
60021964	433.0	286.0	655.0	2.562	0.4	0.111	0.021	3.0	0.3	42.0	41.0	24.4714	4.7124	9.9048	35.3711	25.4662	5.193	2.2158	0.0748	2.1124	2.3714	0.2591
62582335	364.0	255.0	557.0	2.835	0.374	0.095	0.019	1.0	0.3	42.0	41.0	25.1906	3.8578	10.6867	33.4802	22.7935	6.5297	2.1562	0.0373	2.1158	2.2599	0.1442
65198031	499.0	334.0	841.0	2.549	0.373	0.14	0.03	6.0	0.6	42.0	41.0	19.4106	4.9169	6.6398	30.4043	23.7645	3.9477	2.1293	0.0478	2.0277	2.2596	0.2319
70214854	453.0	298.0	934.0	2.81	0.406	0.117	0.024	4.0	0.5	42.0	41.0	24.5368	6.083	9.8695	40.7275	30.858	4.0337	2.0847	0.0486	2.02	2.1947	0.1747
71851847	400.0	285.0	656.0	2.755	0.405	0.096	0.014	2.0	0.2	42.0	41.0	26.3375	4.3475	14.2233	35.6225	21.3992	6.0581	2.1381	0.0495	2.0652	2.271	0.2059
74920331	412.0	297.0	745.0	2.616	0.396	0.134	0.032	3.0	0.6	42.0	41.0	23.6133	3.8291	12.1325	33.5286	21.396	6.1667	2.1169	0.0492	2.0464	2.232	0.1856
77390767	425.0	297.0	837.0	2.693	0.435	0.109	0.018	4.0	0.3	42.0	41.0	23.3131	4.051	14.4708	35.6198	21.1489	5.7549	2.0141	0.0801	1.8928	2.2064	0.3136
78982423	441.0	310.0	893.0	2.673	0.415	0.147	0.03	6.0	0.6	42.0	41.0	22.6513	5.1594	9.387	39.4574	30.0705	4.3903	2.0333	0.0627	1.8265	2.1922	0.3657
80982198	575.0	388.0	1327.0	3.14	0.537	0.104	0.019	5.0	0.5	42.0	41.0	24.3634	4.8367	9.3312	36.0586	26.7274	5.0372	2.2382	0.0583	2.1075	2.3833	0.2757
82699044	498.0	344.0	756.0	2.579	0.369	0.098	0.017	2.0	0.3	42.0	41.0	22.7899	4.4904	10.1192	35.4014	25.2822	5.0753	2.0914	0.0219	2.0135	2.1495	0.136
84407714	391.0	267.0	569.0	2.472	0.342	0.134	0.03	5.0	0.4	42.0	41.0	22.232	5.7037	2.4045	34.5106	32.1061	3.8978	2.1127	0.0377	2.039	2.253	0.214
86226939	464.0	327.0	754.0	2.497	0.3	0.129	0.03	5.0	0.6	42.0	41.0	21.5395	4.3167	6.2879	31.6236	25.3357	4.9897	2.2977	0.056	2.1857	2.3879	0.2022
93800202	367.0	246.0	765.0	3.415	0.457	0.128	0.031	3.0	0.5	42.0	41.0	26.1866	5.4563	11.247	39.1419	27.8949	4.7993	2.0507	0.0481	1.9776	2.2481	0.2705
97005004	505.0	334.0	728.0	2.94	0.44	0.104	0.031	3.0	0.5	42.0	41.0	26.7679	4.6074	-4.5151	36.7396	41.2547	5.8098	2.5213	0.0789	2.3968	2.7324	0.3356
100527940	428.0	304.0	724.0	2.811	0.438	0.137	0.038	5.0	0.5	42.0	41.0	25.9032	5.1774	8.2488	38.3534	30.1046	5.0031	2.3755	0.0502	2.2092	2.5114	0.3021
103652366	406.0	290.0	743.0	2.742	0.533	0.134	0.027	4.0	0.4	42.0	41.0	23.0915	5.5419	7.1324	33.9817	26.8493	4.1667	2.2994	0.0326	2.2499	2.3695	0.1196
105914514	350.0	255.0	663.0	3.041	0.747	0.119	0.031	3.0	0.3	42.0	41.0	20.1766	5.4499	6.3189	33.0473	26.7283	3.7022	2.5982	0.1463	2.3405	2.7934	0.4529
107578676	415.0	286.0	682.0	2.708	0.437	0.118	0.036	4.0	0.4	42.0	41.0	26.6661	4.7462	6.632	38.2737	31.6417	5.6184	2.458	0.0701	2.3138	2.6045	0.2907
108828000	380.0	253.0	707.0	2.786	0.38	0.127	0.024	5.0	0.3	42.0	41.0	21.9234	5.0805	4.0374	34.8912	30.8537	4.3152	1.9967	0.0547	1.8337	2.089	0.2553
113335479	484.0	356.0	792.0	2.664	0.396	0.13	0.027	3.0	0.6	42.0	41.0	24.26	4.0293	13.0757	37.9614	24.8857	6.0209	2.3242	0.0898	2.1287	2.4711	0.3424
115784129	559.0	381.0	947.0	2.473	0.411	0.122	0.03	5.0	0.7	42.0	41.0	18.9843	5.9896	3.6265	32.0105	28.384	3.1695					
119126177	525.0	330.0	1079.0	2.963	0.576	0.125	0.031	9.0	0.6	42.0	41.0	22.5215	5.3549	6.5948	36.4158	29.8211	4.2058	2.0975	0.0561	1.9101	2.182	0.2719
121697273	459.0	308.0	762.0	2.903	0.389	0.121	0.025	3.0	0.5	42.0	41.0	27.2254	5.5307	13.2966	39.7248	26.4283	4.9226	2.2086	0.0344	2.1446	2.2692	0.1245
130118047	489.0	333.0	970.0	3.147	0.57	0.108	0.023	3.0	0.4	42.0	41.0	25.4353	4.6426	15.9659	42.305	26.3391	5.4787	2.3256	0.0718	2.2083	2.5121	0.3039
131655018	619.0	412.0	1344.0	2.809	0.38	0.115	0.025	7.0	0.6	42.0	41.0	19.0832	5.1483	6.0013	32.6578	26.6566	3.7067	2.2441	0.0465	2.1119	2.3245	0.2127
134279804	489.0	323.0	862.0	2.653	0.414	0.131	0.027	6.0	0.4	42.0	41.0	22.4365	5.0545	8.689	34.742	26.053	4.439	2.1349	0.0375	2.0415	2.214	0.1725
138434806	498.0	321.0	884.0	2.695	0.413	0.143	0.03	7.0	0.6	42.0	41.0	21.5651	5.0729	8.9178	35.9778	27.06	4.2511	2.1571	0.0677	2.0358	2.3317	0.2959
154667058	670.0	428.0	1211.0	2.737	0.34	0.109	0.023	7.0	0.7	42.0	41.0	23.9346	4.2316	12.4834	35.9685	23.4851	5.6561	2.5221	0.1102	2.3721	2.7197	0.3475
158779019	368.0	269.0	604.0	2.561	0.514	0.106	0.022	2.0	0.3	42.0	41.0	23.5984	3.491	12.6083	34.2403	21.632	6.7598	2.3651	0.1048	2.1961	2.5561	0.36
162526644	444.0	308.0	860.0	3.088	0.544	0.111	0.019	3.0	0.4	42.0	41.0	24.947	4.659	4.7976	35.6337	30.8361	5.3546	2.3513	0.0768	2.2398	2.5133	0.2735
163259093	397.0	279.0	804.0	2.798	0.519	0.152	0.04	5.0	0.7	42.0	41.0	23.006	5.0555	7.3461	39.3232	31.9772	4.5507	2.028	0.0776	1.884	2.1804	0.2964
176129790	489.0	321.0	826.0	2.724	0.349	0.117	0.022	5.0	0.5	42.0	41.0	23.4898	5.6394	10.3106	37.6386	27.328	4.1653	2.2513	0.1	2.0673	2.4405	0.3732
177928631	470.0	309.0	716.0	2.493	0.416	0.136	0.035	6.0	0.6	42.0	41.0	21.3601	4.6141	8.8171	33.1043	24.2872	4.6293	2.2571	0.0317	2.152	2.3233	0.1713
182017409	714.0	468.0	1332.0	2.803	0.443	0.1	0.018	8.0	0.5	42.0	41.0	22.444	5.4943	2.2409	35.7775	33.5366	4.085	2.3901	0.0567	2.2363	2.5345	0.2982
189913356	420.0	310.0	609.0	2.579	0.361	0.136	0.032	3.0	0.6	42.0	41.0	21.3616	4.8659	1.957	33.1137	31.1567	4.39	2.6183	0.0562	2.4874	2.7456	0.2582
190100766	416.0	274.0	770.0	2.809	0.481	0.14	0.036	6.0	0.6	42.0	41.0	24.8359	5.9629	9.3672	40.8182	31.451	4.1651	2.1474	0.0473	2.0172	2.2736	0.2564
192039987	352.0	267.0	607.0	2.727	0.533	0.152	0.045	3.0	0.8	42.0	41.0	15.3404	6.0154	0.1479	28.6987	28.5507	2.5502	2.237	0.0567	2.1868	2.3869	0.2001
192271174	344.0	242.0	602.0	2.984	0.359	0.103	0.024	2.0	0.2	42.0	41.0	22.9641	4.8988	11.5774	33.7623	22.1848	4.6877	1.9325	0.0628	1.8571	2.0769	0.2198
192413932	588.0	401.0	1414.0	3.063	0.431	0.123	0.026	6.0	0.6	42.0	41.0	22.3961	4.4273	9.7187	33.966	24.2473	5.0586	2.3004	0.1163	2.1317	2.5438	0.4121
194293030	512.0	328.0	874.0	2.685	0.354	0.131	0.036	6.0	0.6	42.0	41.0	23.8999	4.792	12.3646	37.9517	25.5871	4.9875	2.1679	0.026	2.0671	2.2297	0.1626
194324018	572.0	384.0	977.0	2.588	0.447	0.132	0.024	7.0	0.6	42.0	41.0	24.852	4.5968	11.0172	35.5686	24.5514	5.4064	2.1782	0.0682	1.9861	2.3316	0.3455
195168692	445.0	310.0	853.0	2.7	0.445	0.142	0.031	9.0	0.5	42.0	41.0	23.4788	4.9056	8.133	36.0016	27.8686	4.7862	2.2892	0.0614	2.1169	2.4104	0.2934
198051119	509.0	340.0	816.0	2.382	0.391	0.126	0.027	6.0	0.5	42.0	41.0	23.172	4.9682	8.5525	39.7723	31.2198	4.664	2.2037	0.0387	2.0511	2.2987	0.2477
199547104	531.0	366.0	781.0	2.458	0.295	0.126	0.023	5.0	0.5	42.0	41.0	23.9351	5.0188	8.4419	38.5023	30.0604	4.7691	2.2702	0.0311	2.2109	2.3869	0.176
199809850	439.0	310.0	621.0	2.481	0.419	0.102	0.02	2.0	0.3	42.0	41.0	22.7033	5.0024	11.4573	37.0344	25.5771	4.5385	2.1667	0.0564	2.0732	2.349	0.2758
200066829	344.0	235.0	523.0	2.388	0.474	0.124	0.028	3.0	0.3	42.0	41.0	22.4184	4.3895	10.3624	31.322	20.9595	5.1073	2.0389	0.0721	1.9592	2.2181	0.2589
210534092	443.0	325.0	886.0	2.868	0.448	0.144	0.033	4.0	0.7	42.0	41.0	24.4146	4.754	14.4217	39.4228	25.001	5.1356	2.2237	0.0568	2.1202	2.3398	0.2196
211169351	547.0	356.0	889.0	2.729	0.423	0.106	0.026	3.0	0.5	42.0	41.0	22.1605	4.8641	10.6649	33.5556	22.8907	4.5559	2.1893	0.0885	2.0672	2.4369	0.3697
219325366	488.0	332.0	832.0	2.756	0.361	0.12	0.026	3.0	0.5	42.0	41.0	21.5779	5.2025	7.6203	36.5055	28.8852	4.1476	2.2918	0.045	2.2237	2.3874	0.1637
221853583	467.0	316.0	750.0	2.839	0.367	0.115	0.023	3.0	0.4	42.0	41.0	23.828	5.0696	11.3558	35.3088	23.953	4.7002	2.1312	0.0663	2.0513	2.2644	0.2132
225017631	354.0	252.0	680.0	3.159	0.491	0.129	0.032	3.0	0.4	42.0	41.0	24.1194	5.9533	6.7464	37.3501	30.6038	4.0514	2.4032	0.1672	2.0572	2.666	0.6088
228519096	565.0	391.0	1507.0	3.244	0.542	0.126	0.029	6.0	0.6	42.0	41.0	21.822	4.2372	9.691	33.4681	23.7771	5.1501	2.3733	0.1215	2.1142	2.5661	0.4519
232853819	452.0	314.0	918.0	2.827	0.462	0.139	0.031	5.0	0.6	42.0	41.0	21.5603	4.6794	8.1023	32.1593	24.0571	4.6075	2.2767	0.0488	2.1588	2.3551	0.1963
233205461	758.0	499.0	1419.0	2.827	0.503	0.124	0.03	8.0	0.8	42.0	41.0	23.5616	4.8231	5.8122	36.5265	30.7143	4.8852	2.3658	0.1092	2.166	2.5831	0.4171
233932345	369.0	254.0	564.0	2.721	0.342	0.084	0.012	1.0	0.1	42.0	41.0	21.043	4.4091	6.6355	34.5192	27.8838	4.7727	2.0306	0.0579	1.9161	2.2063	0.2901
234528430	393.0	257.0	694.0	2.744	0.54	0.111	0.024	3.0	0.4	42.0	41.0	23.8448	4.4827	9.4062	33.1215	23.7153	5.3193	1.9968	0.0835	1.8801	2.1676	0.2875
235478560	541.0	356.0	896.0	2.481	0.375	0.118	0.019	6.0	0.4	42.0	41.0	24.7841	5.3275	12.1748	41.3244	29.1496	4.6521	2.1055	0.04	1.9766	2.2102	0.2336
248138276	376.0	248.0	805.0	2.974	0.384	0.129	0.038	4.0	0.5	42.0	41.0	19.7983	4.7547	7.508	34.449	26.9409	4.164	2.0481	0.0697	1.8872	2.1598	0.2726
248585929	509.0	347.0	1108.0	2.913	0.554	0.108	0.022	4.0	0.4	42.0	41.0	22.9327	4.6736	9.5871	38.3762	28.7891	4.9069					
250211156	573.0	391.0	1158.0	2.852	0.596	0.118	0.025	4.0	0.5	42.0	41.0	23.0444	5.3171	8.8295	35.7659	26.9364	4.334	2.3825	0.0858	2.1943	2.5337	0.3394
253771324	460.0	310.0	820.0	2.788	0.466	0.114	0.029	3.0	0.5	42.0	41.0	21.9508	4.807	8.2805	36.5488	28.2683	4.5664	2.2316	0.0846	2.0991	2.4455	0.3464
