participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1617.0	1129.0	1696.0	1.474	0.321	0.092	0.016	9.0	1.1	10.0	9.0	18.174	3.8508	5.8039	33.3493	27.5454	4.7196	3.1352	0.4428	2.3349	4.3644	2.0295
8454119	1770.0	1198.0	2920.0	2.414	0.52	0.107	0.017	16.0	1.3	10.0	9.0	26.2169	5.2615	-13.2042	49.8479	63.0522	4.9828	3.7147	0.3912	2.5808	4.4875	1.9067
11407866	1702.0	1129.0	1924.0	1.639	0.414	0.098	0.018	12.0	1.2	10.0	9.0	18.1078	4.3463	-1.7384	32.0447	33.7831	4.1662	3.3582	0.4634	2.4705	4.5497	2.0792
11574123	1300.0	922.0	1446.0	1.519	0.376	0.089	0.017	9.0	1.0	10.0	9.0	18.1363	4.2405	-1.6051	28.9206	30.5257	4.2769	3.5299	0.5385	2.5502	4.8244	2.2742
16684978	1438.0	1003.0	1414.0	1.402	0.342	0.093	0.017	7.0	1.2	10.0	9.0	19.0091	4.2581	2.2141	36.7254	34.5113	4.4643	3.3676	0.4922	2.5238	4.6229	2.0991
25354225	1579.0	1056.0	1600.0	1.488	0.387	0.097	0.018	12.0	1.2	10.0	9.0	16.9506	5.01	-3.6853	29.909	33.5944	3.3834	3.7198	0.5391	2.5943	5.364	2.7697
25811472	1866.0	1286.0	2175.0	1.604	0.379	0.092	0.017	11.0	1.3	10.0	9.0	17.5187	3.7383	5.8709	29.0413	23.1705	4.6863	3.692	0.4865	2.6493	4.7807	2.1313
27876862	957.0	656.0	1348.0	2.297	0.469	0.137	0.031	10.0	1.2	10.0	9.0	24.6924	4.9108	4.1131	48.2574	44.1443	5.0282	3.1722	0.2275	2.5401	3.553	1.0129
29811890	1645.0	1084.0	1780.0	1.636	0.398	0.1	0.02	11.0	1.4	10.0	9.0	16.9078	4.7725	2.2468	32.2193	29.9725	3.5428	3.598	0.5478	2.4452	5.1968	2.7516
31361606	1383.0	960.0	1508.0	1.51	0.324	0.092	0.015	9.0	1.0	10.0	9.0	17.0011	4.1898	3.3376	27.821	24.4834	4.0577	3.3404	0.4935	2.3384	4.4004	2.062
32938469	1300.0	853.0	1980.0	2.296	0.524	0.122	0.025	15.0	1.4	10.0	9.0	24.246	6.6818	1.1089	39.9262	38.8173	3.6287	3.493	0.2218	3.0164	4.1761	1.1598
36895554	1572.0	1101.0	1732.0	1.503	0.341	0.107	0.022	12.0	1.4	10.0	9.0	15.3328	4.4437	-3.4716	29.9538	33.4254	3.4504	3.3779	0.4531	2.5625	4.4789	1.9164
37329051	1310.0	890.0	1617.0	1.633	0.412	0.096	0.022	16.0	1.1	10.0	9.0	18.3849	4.7641	-5.009	29.5431	34.5521	3.8591	3.6282	0.4605	2.5964	4.616	2.0196
37835493	1613.0	1084.0	1646.0	1.486	0.325	0.095	0.016	9.0	1.2	10.0	9.0	16.5985	3.8977	1.9401	27.8439	25.9038	4.2585	3.3527	0.3957	2.6051	4.3963	1.7913
43606631	1432.0	974.0	1515.0	1.509	0.371	0.107	0.021	13.0	1.3	10.0	9.0	16.8188	3.8206	2.9295	29.4395	26.51	4.4021	3.3154	0.4464	2.4434	4.5914	2.148
49408975	1627.0	1152.0	1847.0	1.59	0.378	0.091	0.017	11.0	1.2	10.0	9.0	16.0612	3.9894	2.0907	29.2766	27.186	4.026	3.4674	0.4972	2.6881	4.9162	2.2281
51217255	1641.0	1124.0	1784.0	1.553	0.38	0.084	0.013	8.0	0.9	10.0	9.0	17.2379	3.7382	3.1655	31.1048	27.9393	4.6113	3.4214	0.5844	2.4259	4.8239	2.398
52306425	1729.0	1157.0	1565.0	1.365	0.316	0.087	0.015	10.0	1.0	10.0	9.0	16.685	4.3409	-3.8336	30.131	33.9646	3.8436	3.5262	0.5691	2.3429	4.6809	2.338
