participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	594.0	403.0	1675.0	3.133	0.45	0.141	0.039	10.0	1.0	95.0	94.0	20.4531	5.2765	2.8178	31.9276	29.1099	3.8763	3.2271	0.5552	2.4751	4.2757	1.8006
8454119	712.0	447.0	1873.0	3.292	0.493	0.134	0.037	12.0	1.0	95.0	94.0	20.0799	6.346	-1.2999	35.638	36.9379	3.1642	3.576	0.5929	2.8429	4.9535	2.1106
11407866	604.0	402.0	1987.0	3.563	0.488	0.16	0.046	16.0	0.9	95.0	94.0	21.6908	5.6295	3.5628	35.621	32.0582	3.8531	3.2823	0.5797	2.4738	4.3499	1.8761
11574123	549.0	361.0	1766.0	3.756	0.458	0.136	0.026	7.0	0.7	95.0	94.0	21.7977	5.6241	6.9909	37.7082	30.7173	3.8757	3.0557	0.596	2.2838	4.0091	1.7252
16684978	422.0	299.0	1419.0	3.127	0.497	0.164	0.058	12.0	1.0	95.0	94.0	17.116	6.9393	-11.929	32.7544	44.6834	2.4665	3.2486	0.3859	2.4408	4.3608	1.92
25354225	708.0	412.0	2005.0	3.018	0.908	0.135	0.07	15.0	2.1	95.0	94.0	16.1373	7.8236	-7.7178	36.2724	43.9902	2.0627	2.9236	0.354	2.3922	3.5392	1.1469
25811472	593.0	390.0	1891.0	3.374	0.567	0.142	0.042	11.0	1.0	95.0	94.0	20.6982	6.0529	1.3205	34.46	33.1395	3.4196	3.5687	0.5496	2.8853	4.4694	1.5841
27876862	336.0	223.0	991.0	3.244	0.489	0.145	0.053	5.0	0.7	95.0	94.0	20.8408	5.7206	5.3693	36.05	30.6807	3.6431	2.6041	0.2855	2.1794	3.0041	0.8246
29811890	633.0	410.0	1935.0	3.405	0.541	0.139	0.038	10.0	0.9	95.0	94.0	21.5776	5.6972	5.6868	41.9599	36.273	3.7874	2.7926	0.3202	2.3321	3.5293	1.1972
31361606	576.0	395.0	1286.0	2.565	0.527	0.127	0.031	8.0	0.7	95.0	94.0	20.5434	5.1048	5.7681	35.3232	29.5552	4.0243	3.1059	0.3866	2.356	3.7559	1.3999
32938469	467.0	329.0	1702.0	3.36	0.632	0.183	0.093	15.0	1.8	95.0	94.0	17.4104	6.4107	-1.1141	35.8901	37.0041	2.7158	3.3185	0.6637	2.4743	4.2637	1.7893
36895554	595.0	385.0	1698.0	3.15	0.459	0.147	0.038	12.0	1.1	95.0	94.0	19.0821	6.2991	0.1754	37.7745	37.599	3.0293	2.8777	0.2259	2.3392	3.6551	1.3159
37329051	542.0	364.0	1767.0	3.346	0.518	0.171	0.07	16.0	1.7	95.0	94.0	18.6518	6.12	-2.3302	45.1193	47.4495	3.0477	3.2391	0.366	2.6703	4.5167	1.8465
37835493	623.0	391.0	1480.0	2.811	0.632	0.111	0.048	11.0	1.1	95.0	94.0	17.6716	6.6216	-3.8846	39.9689	43.8535	2.6688	2.9188	0.4337	2.3753	3.7567	1.3814
43606631	516.0	305.0	1061.0	2.564	0.468	0.12	0.039	8.0	0.7	95.0	94.0	16.6041	7.1836	-6.2258	37.6544	43.8802	2.3114	2.9365	0.4367	2.4108	4.0579	1.6472
49408975	466.0	310.0	1585.0	3.492	0.418	0.156	0.037	11.0	0.7	95.0	94.0	18.7923	5.4985	2.7634	33.8897	31.1263	3.4177	3.146	0.5051	2.5072	4.1544	1.6472
51217255	466.0	310.0	1323.0	3.206	0.533	0.145	0.04	7.0	0.7	95.0	94.0	20.5554	4.9749	5.6603	35.2022	29.5419	4.1318	2.9898	0.6867	2.3155	4.5132	2.1977
52306425	638.0	424.0	1626.0	2.984	0.58	0.166	0.056	18.0	1.6	95.0	94.0	18.5312	6.9954	-4.2067	34.0391	38.2458	2.6491	2.9977	0.4815	2.3631	4.0865	1.7233
52835891	405.0	276.0	1339.0	3.618	0.514	0.141	0.048	7.0	0.8	95.0	94.0	19.1755	6.54	-14.1192	39.3467	53.4659	2.932	2.8747	0.3345	2.4105	3.3352	0.9246
55710183	546.0	350.0	1544.0	3.265	0.482	0.141	0.036	10.0	0.9	95.0	94.0	20.2003	5.7166	1.0628	33.0757	32.0129	3.5336	3.0054	0.3345	2.3823	3.5873	1.205
56162563	597.0	405.0	1952.0	3.53	0.446	0.143	0.033	9.0	0.9	95.0	94.0	22.4277	5.0632	7.4166	40.049	32.6323	4.4295	3.2142	0.6577	2.3943	4.3131	1.9189
60021964	493.0	322.0	1605.0	3.425	0.436	0.129	0.034	8.0	0.6	95.0	94.0	19.5275	4.4156	4.0845	31.9064	27.8219	4.4223	3.2395	0.579	2.6267	4.2709	1.6442
62582335	616.0	395.0	1677.0	3.105	0.505	0.151	0.042	14.0	1.0	95.0	94.0	19.6465	5.9535	0.9648	35.298	34.3331	3.3	2.8708	0.4024	2.3762	3.8025	1.4263
65198031	488.0	330.0	1415.0	3.174	0.599	0.116	0.03	8.0	0.4	95.0	94.0	20.0685	5.8435	-6.4985	33.0743	39.5728	3.4344	2.9403	0.4718	2.3138	3.875	1.5612
70214854	371.0	241.0	1181.0	3.516	0.519	0.118	0.034	7.0	0.3	95.0	94.0	21.935	5.8011	1.7083	36.7405	35.0322	3.7812	2.8194	0.3337	2.2558	3.2703	1.0145
71851847	507.0	333.0	1548.0	3.632	0.574	0.14	0.036	8.0	0.7	95.0	94.0	19.4011	5.4494	6.467	33.3198	26.8527	3.5602	3.1603	0.5561	2.5117	4.0543	1.5426
74920331	428.0	285.0	1405.0	3.545	0.46	0.14	0.031	6.0	0.5	95.0	94.0	21.246	4.0361	4.2127	33.859	29.6462	5.2641	2.9326	0.4448	2.3716	3.544	1.1724
77390767	609.0	370.0	1540.0	3.05	0.48	0.13	0.03	10.0	0.8	95.0	94.0	21.4007	5.7535	6.3359	34.266	27.93	3.7196	3.0165	0.3793	2.4231	3.7147	1.2917
78982423	424.0	273.0	1537.0	3.495	0.595	0.124	0.028	8.0	0.5	95.0	94.0	18.554	5.9016	3.4869	32.9061	29.4192	3.1439	2.8653	0.2798	2.2441	3.2061	0.962
80982198	678.0	441.0	2031.0	3.175	0.517	0.138	0.046	17.0	1.1	95.0	94.0	19.3547	6.8007	0.0368	37.8521	37.8154	2.846	3.2584	0.3591	2.5777	4.1484	1.5707
82699044	658.0	413.0	1904.0	3.145	0.372	0.136	0.034	10.0	0.9	95.0	94.0	20.678	4.9591	1.846	33.3297	31.4837	4.1697	3.0699	0.3655	2.458	3.7453	1.2873
84407714	445.0	307.0	1527.0	3.348	0.576	0.148	0.038	7.0	0.7	95.0	94.0	19.562	5.1047	-1.4183	31.327	32.7453	3.8322	2.8143	0.4956	2.2965	3.7529	1.4564
86226939	546.0	345.0	1562.0	3.199	0.539	0.123	0.034	11.0	0.7	95.0	94.0	18.9545	7.6867	-9.7163	37.5055	47.2218	2.4659	3.3195	0.613	2.4064	4.2003	1.794
93800202	478.0	287.0	1366.0	3.352	0.477	0.123	0.039	10.0	0.8	95.0	94.0	19.6029	6.2737	3.5362	38.4204	34.8843	3.1246	3.1861	0.7439	2.2021	4.2588	2.0568
97005004	652.0	442.0	2096.0	3.479	0.532	0.132	0.037	9.0	0.9	95.0	94.0	19.7072	6.0187	1.8144	37.4932	35.6787	3.2743	3.2379	0.3176	2.5695	4.0725	1.503
100527940	522.0	340.0	1976.0	3.785	0.522	0.14	0.037	9.0	0.7	95.0	94.0	18.6986	6.1013	0.2303	34.6554	34.4251	3.0647	3.3173	0.7214	2.3354	4.7153	2.3799
103652366	547.0	359.0	1440.0	3.066	0.644	0.152	0.044	11.0	1.0	95.0	94.0	19.1961	5.4005	-13.6278	33.0293	46.6571	3.5545	3.0896	0.4442	2.6143	3.9259	1.3116
105914514	461.0	314.0	1366.0	3.27	0.704	0.156	0.064	10.0	1.1	95.0	94.0	15.672	6.4891	-15.7988	32.8854	48.6842	2.4151	2.3254	0.4123	1.8962	3.4635	1.5673
107578676	874.0	569.0	3022.0	3.652	0.499	0.14	0.035	14.0	1.2	95.0	94.0	22.636	5.9742	-2.6863	38.6769	41.3632	3.7889	3.5096	0.6208	2.6026	4.6302	2.0276
108828000	428.0	275.0	1377.0	3.602	0.532	0.162	0.047	9.0	1.0	95.0	94.0	18.1149	4.8087	1.7965	33.9738	32.1773	3.7671	2.9047	0.427	2.3757	3.6595	1.2838
113335479	590.0	393.0	1855.0	3.293	0.656	0.151	0.051	12.0	1.4	95.0	94.0	17.7202	6.5011	-9.0121	34.1534	43.1655	2.7257	3.5387	0.793	2.5238	5.0454	2.5215
115784129	821.0	498.0	1822.0	2.808	0.646	0.143	0.051	17.0	1.8	95.0	94.0	19.4954	6.9582	-7.0252	40.8045	47.8297	2.8018					
119126177	625.0	401.0	1679.0	3.123	0.618	0.16	0.058	14.0	1.7	95.0	94.0	17.7155	6.1358	-1.3123	36.2781	37.5904	2.8872	3.1594	0.5025	2.5443	4.0003	1.456
121697273	576.0	344.0	1518.0	3.022	0.682	0.119	0.048	11.0	1.1	95.0	94.0	19.7852	7.3789	-14.856	35.1016	49.9576	2.6813	3.3933	0.8002	2.4614	4.599	2.1376
130118047	555.0	364.0	1862.0	3.461	0.372	0.13	0.032	8.0	0.7	95.0	94.0	21.0765	4.7983	6.5694	33.6061	27.0367	4.3925	3.4735	0.7121	2.5709	4.5565	1.9856
131655018	593.0	361.0	1528.0	3.009	0.677	0.141	0.055	11.0	1.4	95.0	94.0	18.5537	7.7195	-25.8544	51.2466	77.101	2.4035	3.114	0.3163	2.6884	3.6896	1.0012
134279804	523.0	358.0	1443.0	3.045	0.587	0.115	0.039	6.0	0.8	95.0	94.0	19.3424	5.6494	-0.2099	31.251	31.4609	3.4238	3.2766	0.5566	2.3205	3.9797	1.6592
138434806	558.0	349.0	1270.0	2.772	0.65	0.158	0.068	12.0	1.8	95.0	94.0	16.7106	7.6485	-13.0924	33.2538	46.3461	2.1848	2.7831	0.279	2.4518	3.3381	0.8863
154667058	827.0	539.0	2081.0	2.738	0.597	0.134	0.041	16.0	1.2	95.0	94.0	20.9813	5.5226	-2.2798	35.8485	38.1283	3.7992	3.1377	0.2732	2.6796	3.8023	1.1227
158779019	589.0	403.0	1699.0	2.976	0.487	0.122	0.035	10.0	0.9	95.0	94.0	21.6674	4.7415	5.3539	33.328	27.9741	4.5697	2.7924	0.2807	2.4061	3.4567	1.0506
162526644	525.0	346.0	1609.0	3.253	0.589	0.13	0.031	8.0	0.7	95.0	94.0	19.1348	4.5445	3.3639	31.3109	27.947	4.2105	3.4113	0.6497	2.6668	4.4836	1.8168
163259093	500.0	324.0	1520.0	3.379	0.572	0.143	0.043	8.0	0.9	95.0	94.0	21.0707	5.4824	3.642	36.4591	32.8171	3.8434	2.878	0.3979	2.2474	3.7538	1.5064
176129790	549.0	364.0	1516.0	2.975	0.573	0.155	0.054	12.0	1.4	95.0	94.0	16.7216	6.3148	-4.1046	30.0057	34.1103	2.648	3.0699	0.2866	2.4318	3.6908	1.259
177928631	551.0	345.0	1159.0	2.728	0.64	0.136	0.038	9.0	0.9	95.0	94.0	17.9894	6.3791	-4.5701	33.3092	37.8794	2.8201	2.8744	0.2855	2.5005	3.704	1.2035
182017409	548.0	360.0	1755.0	3.5	0.501	0.146	0.036	11.0	0.8	95.0	94.0	19.092	5.0777	1.4604	34.4954	33.035	3.7599	3.4652	0.6187	2.3175	4.7986	2.4812
189913356	429.0	276.0	1225.0	3.177	0.835	0.146	0.059	9.0	0.9	95.0	94.0	17.3902	6.7679	0.0003	40.1859	40.1855	2.5695	2.8107	0.3194	2.3186	3.6979	1.3793
190100766	558.0	348.0	1689.0	3.425	0.464	0.149	0.043	10.0	0.9	95.0	94.0	20.2418	5.3393	1.5718	34.4798	32.908	3.7911	3.0016	0.2892	2.611	3.7084	1.0973
192039987	432.0	311.0	1222.0	3.016	0.934	0.184	0.059	9.0	1.1	95.0	94.0	16.9404	6.6046	-2.0462	40.8155	42.8617	2.5649	2.7482	0.5351	2.0812	3.8433	1.7622
192271174	428.0	278.0	1123.0	2.992	0.949	0.149	0.049	6.0	0.9	95.0	94.0	16.8485	5.4166	1.2963	29.8779	28.5816	3.1105	2.7706	0.3966	2.2832	3.345	1.0618
192413932	685.0	444.0	1927.0	3.103	0.669	0.146	0.042	12.0	1.1	95.0	94.0	20.374	7.4288	0.8791	52.7502	51.8711	2.7426	3.2951	0.6665	2.5665	4.8018	2.2352
194293030	615.0	357.0	1440.0	2.906	0.559	0.13	0.061	12.0	1.2	95.0	94.0	17.6558	7.2197	-9.953	35.0895	45.0426	2.4455	3.018	0.6279	2.2774	4.0915	1.8141
194324018	668.0	449.0	1911.0	2.989	0.586	0.131	0.033	9.0	0.9	95.0	94.0	20.5419	4.2858	8.9746	33.8099	24.8353	4.7931	3.0441	0.4732	2.4961	3.8331	1.337
195168692	659.0	408.0	1526.0	2.712	0.591	0.132	0.047	10.0	1.2	95.0	94.0	20.0171	6.0088	2.17	37.1604	34.9904	3.3313	3.1969	0.1404	2.9301	3.4423	0.5122
198051119	589.0	332.0	1115.0	2.458	0.437	0.136	0.036	23.0	0.8	95.0	94.0	18.8215	5.415	1.203	33.5194	32.3164	3.4758	2.682	0.2573	2.3392	3.1786	0.8394
199547104	549.0	378.0	1578.0	3.151	0.445	0.122	0.028	9.0	0.6	95.0	94.0	20.0613	5.3244	0.8209	33.0064	32.1855	3.7678	3.0079	0.5607	2.4284	3.9365	1.5081
199809850	610.0	392.0	1514.0	2.939	0.42	0.16	0.053	11.0	1.7	95.0	94.0	16.4795	6.5001	-16.826	30.2093	47.0353	2.5353	2.9597	0.4292	2.2229	3.5312	1.3083
200066829	446.0	301.0	1451.0	3.254	0.626	0.127	0.03	5.0	0.6	95.0	94.0	18.9618	4.0996	3.1858	30.9499	27.7641	4.6253	2.7772	0.4023	2.24	4.418	2.178
210534092	648.0	427.0	1862.0	3.182	0.61	0.134	0.046	12.0	1.2	95.0	94.0	19.2871	6.406	-6.1283	36.4576	42.5859	3.0108	3.5882	0.4164	2.7024	4.2299	1.5275
211169351	685.0	449.0	1881.0	3.035	0.596	0.151	0.036	12.0	1.0	95.0	94.0	20.15	4.6267	8.1588	35.9593	27.8005	4.3551	2.9539	0.3671	2.5306	3.7644	1.2337
219325366	531.0	358.0	1518.0	3.251	0.449	0.152	0.037	12.0	0.8	95.0	94.0	21.6447	5.4764	5.574	35.0465	29.4725	3.9523	3.0817	0.7831	2.2035	4.2676	2.0641
221853583	570.0	387.0	1518.0	2.977	0.523	0.15	0.062	10.0	1.4	95.0	94.0	17.3227	6.9508	-1.5272	37.1132	38.6404	2.4922	3.2838	0.3034	2.5038	3.971	1.4672
225017631	564.0	379.0	1899.0	3.23	0.559	0.147	0.062	11.0	1.5	95.0	94.0	18.903	6.7372	-13.8536	40.098	53.9516	2.8058	3.3098	0.5533	2.4751	4.3356	1.8605
228519096	580.0	361.0	1629.0	3.174	0.585	0.133	0.039	7.0	1.0	95.0	94.0	21.2627	4.593	1.6002	35.5631	33.9629	4.6294	2.9999	0.251	2.6558	3.7892	1.1333
232853819	685.0	439.0	1725.0	3.031	0.457	0.163	0.048	16.0	1.4	95.0	94.0	18.9041	5.5749	-5.2193	33.8643	39.0837	3.3909	2.8248	0.2802	2.3109	3.3683	1.0573
233205461	632.0	415.0	2020.0	3.322	0.471	0.135	0.036	9.0	0.8	95.0	94.0	21.0691	4.8987	4.7546	36.2454	31.4908	4.3009	3.4167	0.3262	3.0471	4.3992	1.3521
233932345	635.0	388.0	1406.0	2.806	0.437	0.113	0.031	8.0	0.7	95.0	94.0	17.6983	6.5366	1.3115	32.4711	31.1597	2.7076	3.1118	0.5328	2.3785	3.771	1.3926
234528430	575.0	388.0	1730.0	3.041	0.51	0.151	0.038	9.0	0.9	95.0	94.0	17.6852	5.2529	1.3349	32.669	31.3341	3.3667	3.1433	0.4839	2.4203	4.2801	1.8598
235478560	500.0	320.0	1354.0	3.017	0.631	0.135	0.04	9.0	0.8	95.0	94.0	19.0636	6.7828	3.0469	41.5236	38.4768	2.8106	3.1954	0.4519	2.4366	3.8103	1.3737
248138276	509.0	316.0	1576.0	3.399	0.479	0.128	0.032	8.0	0.7	95.0	94.0	19.2344	5.5255	-2.1668	33.9349	36.1016	3.481	2.7838	0.4089	2.2799	3.6356	1.3556
248585929	590.0	372.0	1612.0	3.121	0.622	0.12	0.034	7.0	0.8	95.0	94.0	20.6013	5.2215	5.9149	36.4733	30.5584	3.9455					
250211156	689.0	452.0	2064.0	3.394	0.506	0.134	0.034	11.0	1.0	95.0	94.0	21.7227	6.4477	1.9112	36.534	34.6228	3.3691	3.4138	0.715	2.3832	4.8305	2.4472
253771324	486.0	348.0	1558.0	3.641	0.629	0.148	0.042	10.0	0.9	95.0	94.0	20.287	6.1777	3.2532	34.045	30.7918	3.2839	2.9786	0.2908	2.5269	3.7749	1.248
254383703	470.0	329.0	1407.0	3.172	0.605	0.147	0.038	7.0	0.8	95.0	94.0	19.3281	5.7379	2.4312	31.577	29.1457	3.3685	3.1123	0.4195	2.5303	4.065	1.5347
255089519	498.0	343.0	1434.0	3.117	0.463	0.147	0.03	8.0	0.7	95.0	94.0	20.4758	4.5677	-2.3747	33.9441	36.3188	4.4827	3.144	0.5156	2.3986	4.2947	1.8962
255246595	765.0	496.0	1775.0	2.79	0.445	0.122	0.038	16.0	1.1	95.0	94.0	19.5513	5.9087	-16.0152	36.5983	52.6134	3.3089	3.1377	0.5701	2.4435	4.3388	1.8953
261887422	589.0	397.0	1549.0	3.027	0.417	0.141	0.029	10.0	0.7	95.0	94.0	22.1308	5.3687	7.9072	34.2599	26.3527	4.1222	3.1862	0.5161	2.4763	4.5424	2.0662
263354790	561.0	367.0	1892.0	3.459	0.66	0.155	0.049	11.0	1.2	95.0	94.0	19.7663	5.6522	1.7283	34.0124	32.2842	3.4971	3.2792	0.5293	2.4895	4.0766	1.5871
265721632	498.0	318.0	1123.0	2.637	0.87	0.175	0.101	14.0	2.4	95.0	94.0	14.1566	8.077	-34.0475	35.3252	69.3727	1.7527	3.0859	0.4738	2.3985	4.3343	1.9358
272468530	676.0	437.0	1352.0	2.482	0.697	0.141	0.051	11.0	1.6	95.0	94.0	15.7932	8.7166	-14.0846	34.6768	48.7614	1.8118	3.1105	0.5454	2.3704	3.9953	1.6248
272785799	363.0	235.0	1150.0	3.541	0.461	0.14	0.046	6.0	0.6	95.0	94.0	20.6728	5.1121	5.3636	37.263	31.8994	4.0439	3.0556	0.797	2.1954	4.1673	1.9719
273547252	462.0	310.0	1485.0	3.497	0.558	0.13	0.031	8.0	0.5	95.0	94.0	23.2225	6.1473	5.285	38.083	32.7981	3.7777	3.1134	0.7433	2.2761	4.1278	1.8517
276761217	570.0	373.0	1446.0	3.146	0.61	0.148	0.057	11.0	1.5	95.0	94.0	21.0934	5.9071	-5.148	35.5104	40.6584	3.5708	3.0541	0.5908	2.455	4.1982	1.7433
277233792	801.0	476.0	2248.0	3.155	0.538	0.127	0.056	16.0	1.6	95.0	94.0	18.7089	7.6256	-1.8975	46.3639	48.2615	2.4534					
277985884	547.0	347.0	1327.0	2.823	0.626	0.131	0.049	11.0	1.2	95.0	94.0	17.3825	6.6118	-2.6386	35.5906	38.2292	2.629	3.2441	0.7096	2.2222	4.1388	1.9166
278814796	466.0	308.0	1197.0	2.775	0.63	0.145	0.042	9.0	0.8	95.0	94.0	16.5074	5.2989	-0.3944	41.1698	41.5641	3.1152	2.8453	0.3485	2.3464	3.3246	0.9782
281446151	350.0	260.0	1276.0	3.383	0.592	0.164	0.041	7.0	0.5	95.0	94.0	21.5045	5.8562	6.2909	36.7826	30.4917	3.6721	3.126	0.5853	2.3019	4.3018	1.9999
283366029	503.0	304.0	1509.0	3.548	0.323	0.17	0.042	15.0	0.9	95.0	94.0	19.5366	5.4981	3.0285	34.7702	31.7417	3.5533	2.9226	0.5525	2.228	3.8611	1.6331
287967180	582.0	383.0	1463.0	2.752	0.425	0.157	0.043	17.0	1.1	95.0	94.0	17.6022	5.3402	2.8436	33.2609	30.4173	3.2961	2.9317	0.2585	2.3397	3.8566	1.5169
292946269	643.0	423.0	1775.0	3.19	0.466	0.141	0.036	11.0	1.0	95.0	94.0	20.8446	6.1399	0.6241	33.3565	32.7324	3.3949	3.3823	0.4413	2.6253	4.0672	1.4419
292969238	763.0	486.0	1849.0	2.875	0.531	0.132	0.03	13.0	0.9	95.0	94.0	22.3784	5.6112	2.5139	37.8324	35.3186	3.9882	3.4582	0.6235	2.7962	4.7781	1.9819
296947353	705.0	473.0	2350.0	3.498	0.428	0.131	0.043	11.0	1.5	95.0	94.0	21.0072	6.0921	-9.7439	35.4212	45.1651	3.4482	3.1299	0.5872	2.4774	4.5808	2.1034
299894413	567.0	391.0	2140.0	3.753	0.639	0.138	0.045	11.0	0.8	95.0	94.0	20.1084	5.8447	5.8241	36.5182	30.6941	3.4404	3.5854	0.6738	2.7441	4.5568	1.8128
300988508	510.0	329.0	1311.0	2.777	0.525	0.125	0.042	10.0	1.0	95.0	94.0	18.867	5.9847	-2.6089	34.3444	36.9532	3.1525	3.2305	0.5432	2.2238	3.9219	1.6981
306816217	582.0	407.0	2038.0	3.638	0.542	0.15	0.046	11.0	1.1	95.0	94.0	22.3829	6.2184	2.6248	45.8017	43.1769	3.5995	3.1554	0.5534	2.4604	4.393	1.9326
