participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	523.0	331.0	915.0	2.248	0.381	0.131	0.025	6.0	0.7	37.0	36.0	16.0055	3.5838	5.5327	28.4946	22.9619	4.4661	2.4636	0.041	2.3585	2.523	0.1644
8454119	749.0	546.0	1682.0	2.388	0.567	0.145	0.035	14.0	1.0	37.0	36.0	21.2704	8.3797	-21.5314	39.9223	61.4537	2.5383	2.8752	0.3221	2.5619	3.7782	1.2163
11407866	628.0	399.0	1334.0	2.737	0.428	0.132	0.025	9.0	0.7	37.0	36.0	19.3488	4.5612	3.3851	32.6039	29.2188	4.242	2.5545	0.0442	2.438	2.6624	0.2244
11574123	328.0	239.0	707.0	2.376	0.437	0.124	0.026	3.0	0.4	37.0	36.0	18.0766	4.1753	3.7921	29.6279	25.8358	4.3294	2.6071	0.0416	2.5002	2.6774	0.1771
16684978	352.0	234.0	638.0	2.328	0.541	0.115	0.027	3.0	0.4	37.0	36.0	15.5605	4.3993	1.8108	24.573	22.7622	3.5371	2.5147	0.0227	2.4596	2.5786	0.119
25354225	437.0	293.0	1073.0	2.799	0.477	0.13	0.029	6.0	0.6	37.0	36.0	19.2092	5.051	6.3362	35.8617	29.5255	3.8031	2.5878	0.0451	2.4871	2.7889	0.3018
25811472	638.0	399.0	1186.0	2.557	0.402	0.129	0.038	7.0	1.0	37.0	36.0	18.4354	7.5951	-3.2889	44.9841	48.2731	2.4273	2.7437	0.0767	2.6064	2.902	0.2955
27876862	320.0	233.0	745.0	2.653	0.44	0.193	0.048	9.0	0.6	37.0	36.0	23.0793	6.5838	7.3928	37.4667	30.0739	3.5055	2.4903	0.0382	2.4185	2.5966	0.178
29811890	405.0	259.0	882.0	2.754	0.361	0.151	0.047	6.0	0.7	37.0	36.0	21.2851	6.6545	1.9645	39.3799	37.4155	3.1986	2.4971	0.0243	2.4396	2.5559	0.1163
31361606	403.0	275.0	756.0	2.202	0.324	0.134	0.033	6.0	0.6	37.0	36.0	15.4038	4.9632	3.4752	28.5009	25.0257	3.1036	2.3947	0.0459	2.3047	2.5174	0.2128
32938469	505.0	331.0	1256.0	2.619	0.839	0.167	0.062	16.0	1.3	37.0	36.0	19.0403	7.5549	-3.6102	44.4444	48.0545	2.5203	3.0161	0.0619	2.906	3.2392	0.3332
36895554	502.0	334.0	911.0	2.232	0.311	0.123	0.025	5.0	0.6	37.0	36.0	15.8811	4.3256	3.2183	33.2029	29.9846	3.6714	2.6287	0.0518	2.516	2.7402	0.2243
37329051	449.0	284.0	898.0	2.556	0.359	0.131	0.034	6.0	0.6	37.0	36.0	23.0136	5.6029	2.4034	38.9324	36.529	4.1075	2.6012	0.0453	2.5148	2.7728	0.258
37835493	624.0	356.0	1055.0	2.347	0.427	0.109	0.025	7.0	0.6	37.0	36.0	16.694	4.7151	3.0023	28.2353	25.233	3.5406	2.6353	0.0725	2.519	2.7815	0.2625
43606631	541.0	352.0	841.0	2.06	0.441	0.122	0.023	6.0	0.5	37.0	36.0	17.0831	4.7657	1.4534	30.0597	28.6063	3.5846	2.5073	0.061	2.3888	2.6449	0.2561
49408975	445.0	291.0	1019.0	2.683	0.445	0.126	0.033	5.0	0.6	37.0	36.0	16.9528	4.2691	5.9855	28.7595	22.774	3.9711	2.7315	0.0428	2.6256	2.8285	0.2029
51217255	527.0	342.0	993.0	2.359	0.415	0.115	0.022	6.0	0.5	37.0	36.0	17.5872	4.7113	6.1122	31.0175	24.9053	3.733	2.5171	0.0575	2.4153	2.6509	0.2356
52306425	568.0	361.0	1003.0	2.308	0.381	0.09	0.017	4.0	0.5	37.0	36.0	15.2045	3.5334	5.1747	26.2975	21.1228	4.3031	2.5337	0.0677	2.3759	2.7186	0.3427
52835891	441.0	286.0	847.0	2.361	0.387	0.111	0.025	4.0	0.5	37.0	36.0	15.0909	4.0003	4.0179	32.9939	28.976	3.7724	2.5402	0.0549	2.3994	2.6244	0.225
55710183	454.0	306.0	857.0	2.34	0.333	0.113	0.029	5.0	0.5	37.0	36.0	16.7853	4.1844	1.16	29.2698	28.1098	4.0114	2.558	0.0671	2.4303	2.7793	0.3489
56162563	460.0	320.0	950.0	2.392	0.441	0.098	0.014	2.0	0.4	37.0	36.0	18.9083	4.9572	7.0101	36.9252	29.915	3.8143	2.6209	0.0543	2.5124	2.7831	0.2707
60021964	404.0	263.0	830.0	2.593	0.575	0.121	0.024	4.0	0.3	37.0	36.0	22.43	4.6149	8.0502	37.0369	28.9867	4.8603	2.4522	0.0404	2.3525	2.5561	0.2036
62582335	510.0	346.0	1016.0	2.405	0.426	0.105	0.019	4.0	0.4	37.0	36.0	17.2039	4.9224	1.5627	32.6749	31.1123	3.495	2.5017	0.0403	2.432	2.6495	0.2176
65198031	566.0	339.0	1000.0	2.318	0.359	0.106	0.022	5.0	0.5	37.0	36.0	14.5819	3.8512	-5.7867	25.4264	31.2131	3.7863	2.5366	0.0435	2.4309	2.7473	0.3163
70214854	386.0	292.0	895.0	2.397	0.427	0.128	0.021	4.0	0.4	37.0	36.0	19.0694	4.2737	4.2453	31.9308	27.6856	4.4621	2.3695	0.0381	2.284	2.5535	0.2694
71851847	462.0	313.0	932.0	2.489	0.544	0.157	0.028	7.0	0.6	37.0	36.0	21.5929	5.1773	8.4307	41.923	33.4923	4.1707	2.5212	0.0397	2.4181	2.6389	0.2208
74920331	471.0	318.0	866.0	2.262	0.535	0.126	0.023	5.0	0.5	37.0	36.0	18.0786	3.464	9.6829	32.6021	22.9192	5.219	2.3347	0.0518	2.2669	2.4832	0.2163
