participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	708.0	487.0	1123.0	2.412	0.384	0.099	0.018	4.0	0.5	38.0	37.0	21.8831	3.7893	12.3606	34.2654	21.9048	5.775	2.4944	0.039	2.3825	2.6	0.2175
8454119	911.0	631.0	1709.0	2.674	0.464	0.123	0.027	10.0	0.9	38.0	37.0	24.9347	5.6737	4.4008	40.4811	36.0804	4.3948	3.412	0.2448	2.839	3.8998	1.0608
11407866	729.0	520.0	1223.0	2.597	0.357	0.075	0.01	2.0	0.3	38.0	37.0	24.1729	3.0815	14.4347	33.9801	19.5453	7.8444	2.5373	0.094	2.2259	2.6734	0.4476
11574123	518.0	348.0	956.0	2.524	0.587	0.112	0.021	4.0	0.4	38.0	37.0	24.2258	4.2539	10.8421	40.1824	29.3403	5.695	2.6663	0.0887	2.4516	3.0647	0.6131
16684978	545.0	372.0	842.0	2.316	0.503	0.095	0.015	4.0	0.4	38.0	37.0	21.6265	4.0658	8.0476	33.6698	25.6223	5.3191	2.5069	0.0471	2.392	2.7081	0.3162
25354225	611.0	401.0	975.0	2.669	0.399	0.08	0.011	3.0	0.3	38.0	37.0	24.6555	3.6975	15.0504	40.1596	25.1092	6.6681	2.5306	0.0673	2.3798	2.6487	0.2689
25811472	956.0	653.0	1685.0	2.73	0.5	0.105	0.016	8.0	0.7	38.0	37.0	23.8345	4.763	5.346	35.8318	30.4858	5.0041	2.8029	0.1259	2.5871	3.0478	0.4607
27876862	480.0	336.0	1031.0	2.609	0.494	0.153	0.038	10.0	0.8	38.0	37.0	21.9019	6.0355	3.9081	36.6213	32.7131	3.6288	2.4545	0.0645	2.2428	2.5619	0.3191
29811890	600.0	407.0	1017.0	2.473	0.497	0.12	0.031	7.0	0.6	38.0	37.0	24.3742	5.6338	3.8127	47.3199	43.5072	4.3264	2.5409	0.0387	2.4919	2.703	0.2111
31361606	510.0	356.0	784.0	2.329	0.377	0.071	0.009	1.0	0.2	38.0	37.0	21.5863	3.4347	11.4409	33.7869	22.3461	6.2848	2.3413	0.0876	2.1158	2.5008	0.385
32938469	580.0	367.0	1214.0	2.85	0.599	0.134	0.031	8.0	0.8	38.0	37.0	23.296	6.6865	2.3939	41.0194	38.6254	3.484	3.0654	0.0759	2.9142	3.1881	0.2739
36895554	685.0	450.0	1037.0	2.409	0.508	0.108	0.021	6.0	0.6	38.0	37.0	22.3089	4.1126	8.6436	34.2529	25.6093	5.4245	2.6167	0.094	2.3708	2.7407	0.3699
37329051	569.0	387.0	1044.0	2.695	0.502	0.11	0.02	4.0	0.4	38.0	37.0	27.8317	5.0979	-10.0639	45.5793	55.6432	5.4594	2.588	0.0836	2.3926	2.793	0.4004
37835493	730.0	488.0	1035.0	2.329	0.407	0.085	0.015	3.0	0.4	38.0	37.0	23.1837	3.8103	9.4309	33.5949	24.1641	6.0844	2.544	0.0834	2.2534	2.7588	0.5054
43606631	633.0	417.0	851.0	2.171	0.434	0.118	0.021	6.0	0.5	38.0	37.0	22.8039	4.3171	7.3471	35.8556	28.5085	5.2822	2.5036	0.082	2.1637	2.6024	0.4387
49408975	660.0	422.0	1090.0	2.495	0.455	0.104	0.02	5.0	0.6	38.0	37.0	20.7682	3.8737	9.0921	39.1871	30.095	5.3613	2.7317	0.1028	2.4744	2.8459	0.3715
51217255	686.0	460.0	1039.0	2.564	0.413	0.083	0.011	2.0	0.3	38.0	37.0	25.6964	3.5109	12.8667	37.3006	24.4339	7.319	2.5752	0.0759	2.3387	2.7359	0.3972
52306425	776.0	525.0	1094.0	2.36	0.294	0.074	0.011	2.0	0.3	38.0	37.0	23.3152	3.6311	10.8094	36.8995	26.0901	6.421	2.5106	0.1117	2.1966	2.7317	0.5351
52835891	614.0	418.0	934.0	2.505	0.335	0.079	0.011	2.0	0.3	38.0	37.0	23.1281	3.8659	12.6859	34.7384	22.0525	5.9826	2.5025	0.1422	2.1723	2.6954	0.5231
55710183	678.0	464.0	957.0	2.32	0.321	0.085	0.012	2.0	0.3	38.0	37.0	23.4552	3.8051	12.1218	34.2831	22.1613	6.1641	2.5477	0.0854	2.2921	2.7423	0.4501
56162563	645.0	429.0	907.0	2.206	0.418	0.082	0.016	4.0	0.4	38.0	37.0	23.1046	3.7008	11.7473	32.9691	21.2218	6.2432	2.62	0.0545	2.4683	2.7702	0.3019
60021964	606.0	400.0	889.0	2.28	0.508	0.098	0.018	4.0	0.4	38.0	37.0	24.4329	3.9741	4.2465	36.4711	32.2246	6.148	2.6394	0.0998	2.4923	2.9112	0.4189
62582335	746.0	510.0	1394.0	2.785	0.518	0.104	0.02	7.0	0.5	38.0	37.0	24.2287	4.8692	10.1118	36.289	26.1772	4.9759	2.5477	0.0707	2.3436	2.7085	0.3649
65198031	735.0	500.0	1078.0	2.293	0.351	0.095	0.014	4.0	0.5	38.0	37.0	21.3609	4.0266	10.7912	35.4954	24.7042	5.3049	2.544	0.0739	2.3403	2.7167	0.3764
70214854	598.0	395.0	818.0	2.184	0.385	0.107	0.02	5.0	0.5	38.0	37.0	24.8987	5.1491	0.5612	41.1664	40.6052	4.8356	2.3249	0.0967	2.0611	2.4548	0.3937
71851847	660.0	443.0	1002.0	2.509	0.364	0.12	0.02	7.0	0.6	38.0	37.0	27.8017	5.1123	8.5491	47.1223	38.5732	5.4382	2.5206	0.0829	2.3119	2.6798	0.3679
