participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1399.0	917.0	2100.0	2.431	0.374	0.089	0.014	8.0	0.8	97.0	96.0	20.8769	4.0396	2.0566	33.0979	31.0413	5.168	3.1733	0.207	2.4123	3.3999	0.9875
8454119	1352.0	957.0	2686.0	2.525	0.59	0.118	0.023	10.0	1.3	97.0	96.0	21.7929	5.7399	6.2562	44.6785	38.4223	3.7967	3.7004	0.2963	2.8815	4.0015	1.12
11407866	1157.0	833.0	2155.0	2.754	0.452	0.103	0.019	8.0	0.8	97.0	96.0	27.7735	4.3336	11.5607	38.1602	26.5995	6.4088	2.8928	0.2053	2.5683	3.4595	0.8912
11574123	1120.0	772.0	1930.0	2.721	0.478	0.099	0.018	6.0	0.8	97.0	96.0	27.647	4.4641	12.8987	40.6198	27.7211	6.1931	3.1465	0.2398	2.4563	3.4391	0.9828
16684978	1183.0	809.0	2440.0	2.964	0.474	0.115	0.024	9.0	1.1	97.0	96.0	23.5802	4.3841	11.124	35.9547	24.8306	5.3785	3.1251	0.1384	2.82	3.4202	0.6002
25354225	1291.0	897.0	2860.0	2.975	0.502	0.112	0.024	14.0	1.2	97.0	96.0	25.1066	4.6566	6.3947	37.5475	31.1529	5.3916	3.2197	0.1416	2.8796	3.5575	0.6779
25811472	1435.0	971.0	2417.0	2.773	0.397	0.096	0.016	8.0	0.9	97.0	96.0	26.2417	3.63	13.956	37.888	23.9319	7.2291	3.5158	0.2403	2.9596	3.8559	0.8963
27876862	774.0	513.0	1038.0	2.542	0.742	0.167	0.058	15.0	1.8	97.0	96.0	17.4409	5.2529	-4.9921	33.5505	38.5426	3.3202	3.0383	0.1932	2.4106	3.2875	0.8768
29811890	1037.0	709.0	1593.0	2.596	0.42	0.089	0.013	4.0	0.6	97.0	96.0	26.463	4.5699	4.3636	39.0281	34.6645	5.7908	3.0794	0.2397	2.6066	3.5492	0.9426
31361606	1084.0	774.0	2145.0	2.711	0.472	0.105	0.017	8.0	0.8	97.0	96.0	23.5724	4.2431	11.3945	44.1825	32.788	5.5554	3.0754	0.2142	2.451	3.3517	0.9008
32938469	1190.0	730.0	1798.0	2.278	0.544	0.112	0.026	10.0	1.3	97.0	96.0	20.4235	7.3311	2.7547	39.7724	37.0177	2.7859	3.3165	0.1306	2.9494	3.5355	0.5861
36895554	1079.0	739.0	2060.0	2.807	0.418	0.113	0.023	9.0	1.1	97.0	96.0	25.1509	4.6786	7.8999	36.6399	28.74	5.3757	3.0304	0.1791	2.4942	3.1969	0.7028
37329051	1043.0	744.0	2077.0	2.581	0.578	0.102	0.021	8.0	1.1	97.0	96.0	27.6138	5.6833	-4.2285	42.4945	46.723	4.8587	3.1023	0.1522	2.8591	3.543	0.6839
37835493	1231.0	850.0	1971.0	2.443	0.359	0.105	0.019	9.0	0.9	97.0	96.0	23.1401	4.1471	8.4368	36.0029	27.566	5.5798	3.01	0.1603	2.6044	3.3923	0.7879
43606631	1326.0	860.0	1958.0	2.36	0.371	0.105	0.021	11.0	1.1	97.0	96.0	20.5776	4.8657	6.0876	36.4612	30.3736	4.2291	3.0981	0.24	2.4083	3.4158	1.0074
49408975	940.0	628.0	1495.0	2.657	0.409	0.086	0.014	4.0	0.5	97.0	96.0	23.9882	3.5437	10.7495	34.2081	23.4586	6.7692	3.0756	0.1796	2.7531	3.3665	0.6134
51217255	1339.0	897.0	2644.0	2.89	0.44	0.108	0.021	10.0	1.1	97.0	96.0	24.9036	4.9415	6.8466	42.1867	35.3402	5.0396	2.9239	0.3486	2.2592	3.3615	1.1023
52306425	1544.0	1022.0	2510.0	2.718	0.355	0.114	0.021	13.0	1.3	97.0	96.0	24.1151	4.478	10.0439	35.2866	25.2427	5.3852	3.2533	0.2403	2.7022	3.6265	0.9242
52835891	950.0	670.0	1749.0	2.667	0.493	0.108	0.02	5.0	0.8	97.0	96.0	25.077	4.6806	10.7677	44.1086	33.3409	5.3576	3.0029	0.1896	2.6238	3.3812	0.7574
55710183	1157.0	787.0	1925.0	2.647	0.381	0.11	0.021	9.0	1.0	97.0	96.0	25.8592	4.142	14.1658	37.5605	23.3947	6.2432	3.2659	0.0905	3.0067	3.5014	0.4947
56162563	1268.0	859.0	2293.0	2.534	0.404	0.103	0.018	10.0	0.8	97.0	96.0	23.74	5.279	12.3693	38.6143	26.245	4.4971	3.1959	0.219	2.5398	3.4546	0.9148
60021964	1009.0	671.0	1585.0	2.792	0.421	0.089	0.017	4.0	0.6	97.0	96.0	28.174	3.3646	15.5404	40.3791	24.8387	8.3736	3.1604	0.2145	2.7751	3.6278	0.8527
62582335	937.0	651.0	1689.0	2.782	0.369	0.117	0.025	8.0	0.9	97.0	96.0	26.2825	4.8988	8.1177	37.1994	29.0817	5.3651	2.7862	0.1987	2.5866	3.4459	0.8593
65198031	1084.0	729.0	1647.0	2.585	0.401	0.097	0.018	5.0	0.7	97.0	96.0	20.821	5.0214	5.6705	32.6666	26.9961	4.1465	2.929	0.2401	2.506	3.5122	1.0062
70214854	926.0	639.0	1451.0	2.554	0.355	0.112	0.02	7.0	0.7	97.0	96.0	28.7687	4.7935	14.1177	41.7437	27.626	6.0016	2.9226	0.151	2.6393	3.2701	0.6308
71851847	960.0	676.0	1542.0	2.635	0.326	0.086	0.013	4.0	0.5	97.0	96.0	30.3178	3.6422	19.2758	46.0966	26.8208	8.3241	2.902	0.2308	2.4881	3.3518	0.8637
74920331	1246.0	833.0	1969.0	2.689	0.324	0.098	0.017	6.0	0.9	97.0	96.0	23.4313	4.1916	11.0373	36.1118	25.0745	5.5901	3.0591	0.1097	2.8317	3.3027	0.471
77390767	1058.0	725.0	1747.0	2.665	0.483	0.111	0.019	7.0	0.9	97.0	96.0	22.7511	4.8231	8.3552	35.5872	27.232	4.7171	3.0195	0.2072	2.5821	3.3377	0.7557
78982423	1212.0	807.0	2017.0	2.723	0.385	0.105	0.02	8.0	0.9	97.0	96.0	22.2297	4.0673	8.1573	34.6565	26.4992	5.4655	2.8029	0.2232	2.3417	3.1358	0.7942
80982198	1197.0	817.0	2118.0	2.711	0.43	0.106	0.019	11.0	0.9	97.0	96.0	25.5276	4.9584	7.6496	39.659	32.0095	5.1483	3.3785	0.2781	2.7278	3.6725	0.9448
82699044	1502.0	1029.0	2320.0	2.468	0.365	0.11	0.018	11.0	1.1	97.0	96.0	23.9081	3.9325	9.8367	34.6517	24.815	6.0796	3.1198	0.1364	2.6672	3.3057	0.6385
84407714	1056.0	721.0	1785.0	2.645	0.465	0.099	0.018	7.0	0.7	97.0	96.0	23.5039	4.3089	10.3092	35.9882	25.679	5.4548	2.9344	0.2286	2.5588	3.2648	0.706
86226939	1095.0	734.0	1664.0	2.539	0.358	0.101	0.018	7.0	0.8	97.0	96.0	22.5448	3.9086	10.9635	33.6189	22.6554	5.768	3.1567	0.2313	2.727	3.487	0.7601
