participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1107.0	698.0	2107.0	2.681	0.514	0.111	0.021	9.0	1.0	56.0	55.0	19.8949	4.602	8.1653	43.6231	35.4577	4.3231	2.4887	0.2631	2.1453	3.2692	1.1239
8454119	1092.0	735.0	1579.0	2.114	0.588	0.118	0.025	11.0	1.1	56.0	55.0	21.1164	5.7559	1.1629	39.1369	37.9739	3.6687	2.9485	0.2445	2.6715	3.7652	1.0937
11407866	1241.0	908.0	3243.0	2.98	0.708	0.114	0.024	12.0	1.1	56.0	55.0	26.3016	5.163	-13.7662	42.0633	55.8295	5.0943	2.4582	0.1712	2.145	3.0968	0.9518
11574123	760.0	525.0	1482.0	2.59	0.448	0.108	0.021	5.0	0.7	56.0	55.0	25.4654	5.0253	9.8217	41.9258	32.1041	5.0675	2.7892	0.266	2.3495	3.1905	0.841
16684978	777.0	555.0	1516.0	2.552	0.483	0.129	0.024	9.0	0.6	56.0	55.0	21.8215	5.2695	-17.2891	34.9883	52.2774	4.1411	2.766	0.2181	2.3141	3.1539	0.8398
25354225	795.0	564.0	2063.0	3.072	0.551	0.139	0.033	9.0	1.1	56.0	55.0	24.2353	5.5705	9.2428	45.937	36.6942	4.3506	2.8587	0.2664	2.2847	3.3052	1.0206
25811472	1428.0	1002.0	3257.0	2.837	0.497	0.121	0.027	14.0	1.6	56.0	55.0	22.3555	5.4281	5.2879	37.1473	31.8594	4.1185	3.049	0.3132	2.5532	3.7693	1.216
27876862	728.0	493.0	1025.0	1.889	0.444	0.152	0.03	11.0	1.0	56.0	55.0	20.4767	5.2201	6.6591	35.4629	28.8038	3.9226	2.6528	0.2114	2.3048	3.0467	0.7419
29811890	852.0	538.0	1605.0	2.74	0.605	0.106	0.024	7.0	0.7	56.0	55.0	21.7484	5.7301	-11.2784	37.0363	48.3147	3.7955	2.743	0.163	2.4332	3.2326	0.7994
31361606	899.0	612.0	2075.0	2.727	0.64	0.119	0.02	8.0	0.8	56.0	55.0	20.6285	4.6099	9.3032	37.3968	28.0936	4.4748	2.6854	0.3344	2.1623	3.4452	1.2829
32938469	832.0	556.0	1175.0	2.033	0.577	0.117	0.025	9.0	0.9	56.0	55.0	18.6924	5.582	0.8274	36.7525	35.9251	3.3487	2.897	0.0952	2.7143	3.2107	0.4964
36895554	840.0	569.0	1872.0	2.82	0.556	0.114	0.027	6.0	0.9	56.0	55.0	22.667	5.2524	8.972	36.5876	27.6156	4.3155	2.6288	0.2178	2.2953	3.0262	0.7309
37329051	833.0	590.0	1613.0	2.492	0.605	0.13	0.025	13.0	0.9	56.0	55.0	26.8899	6.056	7.6592	49.7578	42.0987	4.4402	2.8428	0.2411	2.485	3.488	1.003
37835493	769.0	523.0	1603.0	2.758	0.509	0.111	0.023	5.0	0.6	56.0	55.0	22.6206	5.0506	3.7656	37.4338	33.6682	4.4788	2.5788	0.1761	2.2755	3.0555	0.78
43606631	1266.0	772.0	2155.0	2.503	0.441	0.118	0.029	13.0	1.5	56.0	55.0	17.3615	5.3874	0.6356	34.0132	33.3776	3.2226	2.6624	0.2796	2.2832	3.2948	1.0116
49408975	771.0	522.0	2010.0	3.07	0.57	0.144	0.032	10.0	0.9	56.0	55.0	22.4821	4.8198	8.2383	38.6825	30.4442	4.6645	2.8449	0.2081	2.5227	3.2309	0.7082
51217255	1050.0	716.0	2344.0	2.832	0.688	0.126	0.027	11.0	1.1	56.0	55.0	23.3402	5.14	0.1606	41.5937	41.4332	4.5409	2.601	0.2164	2.241	3.2849	1.0439
52306425	1031.0	694.0	2121.0	2.766	0.516	0.106	0.024	7.0	0.9	56.0	55.0	20.7885	4.2223	7.903	33.7812	25.8782	4.9235	2.6611	0.3567	2.1705	3.4028	1.2324
52835891	757.0	519.0	1604.0	2.735	0.619	0.121	0.03	7.0	0.8	56.0	55.0	24.5586	4.382	7.295	37.824	30.529	5.6044	2.575	0.1574	2.1997	2.8446	0.6448
55710183	879.0	625.0	2067.0	2.813	0.687	0.123	0.027	8.0	1.0	56.0	55.0	22.827	4.6908	9.9463	37.8007	27.8544	4.8664	2.7554	0.2628	2.3112	3.2227	0.9115
56162563	763.0	548.0	1685.0	2.66	0.536	0.111	0.024	6.0	0.8	56.0	55.0	24.5442	5.3688	9.067	41.0888	32.0218	4.5716	2.5143	0.1641	2.2966	3.1251	0.8285
60021964	1046.0	726.0	2204.0	2.708	0.615	0.115	0.023	9.0	1.0	56.0	55.0	23.2758	5.0607	4.9802	43.1339	38.1537	4.5993	2.5907	0.2345	2.3189	3.4158	1.0969
62582335	684.0	494.0	1640.0	2.945	0.535	0.112	0.02	5.0	0.6	56.0	55.0	23.4122	5.7058	2.1738	45.2105	43.0367	4.1032	2.5689	0.1505	2.2924	2.9546	0.6622
65198031	893.0	571.0	1614.0	2.515	0.616	0.125	0.034	8.0	1.3	56.0	55.0	14.97	5.306	1.5991	31.6314	30.0323	2.8213	2.5768	0.2934	2.1743	3.1776	1.0033
70214854	664.0	454.0	1428.0	2.557	0.615	0.114	0.027	5.0	0.6	56.0	55.0	24.6237	6.4162	7.7671	44.4337	36.6666	3.8377	2.5395	0.1824	2.2349	2.9174	0.6824
71851847	953.0	644.0	1749.0	2.457	0.491	0.123	0.023	10.0	0.9	56.0	55.0	27.1433	5.0979	11.8247	42.131	30.3063	5.3244	2.6353	0.2698	2.2121	3.1903	0.9782
74920331	937.0	644.0	1838.0	2.548	0.556	0.125	0.023	9.0	0.9	56.0	55.0	23.2221	5.1795	7.7466	39.5449	31.7984	4.4835	2.5659	0.2655	2.1831	3.0463	0.8632
77390767	1020.0	698.0	1758.0	2.495	0.583	0.106	0.019	8.0	0.8	56.0	55.0	21.2098	4.6238	7.9265	35.6386	27.7121	4.5871	2.6677	0.123	2.4197	3.0268	0.6071
78982423	988.0	644.0	2075.0	2.812	0.48	0.125	0.025	9.0	1.0	56.0	55.0	20.1508	4.8618	5.7589	36.9173	31.1584	4.1447	2.6219	0.2476	2.1881	3.2107	1.0225
80982198	1046.0	717.0	2557.0	2.926	0.663	0.116	0.024	11.0	1.0	56.0	55.0	26.1191	5.0623	6.3338	39.6319	33.2981	5.1595	2.745	0.2715	2.3413	3.6215	1.2803
82699044	1190.0	816.0	1970.0	2.365	0.52	0.097	0.014	8.0	0.7	56.0	55.0	21.5257	4.4675	8.5873	36.3611	27.7738	4.8183	2.6338	0.2793	2.2302	3.2305	1.0003
84407714	970.0	644.0	1731.0	2.539	0.572	0.112	0.021	8.0	0.8	56.0	55.0	20.289	4.185	10.1532	34.0515	23.8983	4.848	2.6254	0.2439	2.1704	3.158	0.9875
86226939	868.0	587.0	1483.0	2.494	0.416	0.113	0.02	7.0	0.7	56.0	55.0	21.6703	4.4391	6.964	35.5345	28.5705	4.8817	2.6918	0.2167	2.3124	3.2579	0.9455
93800202	774.0	534.0	1820.0	3.357	0.564	0.127	0.033	8.0	1.2	56.0	55.0	23.0621	6.7174	-4.4627	41.1854	45.6481	3.4332	2.7136	0.2346	2.2834	3.182	0.8986
97005004	1182.0	803.0	2249.0	2.666	0.508	0.118	0.027	14.0	1.1	56.0	55.0	24.9447	5.2292	6.0441	40.9414	34.8972	4.7703	3.139	0.2546	2.6513	3.7836	1.1322
100527940	979.0	668.0	2109.0	2.897	0.491	0.136	0.029	13.0	1.2	56.0	55.0	24.758	6.0462	9.2185	40.4059	31.1874	4.0948	3.0014	0.2884	2.5798	3.6836	1.1038
103652366	1023.0	645.0	1701.0	2.508	0.487	0.121	0.022	11.0	1.0	56.0	55.0	21.3289	5.5287	1.5847	34.8515	33.2668	3.8579	2.6539	0.1992	2.369	3.1151	0.746
105914514	903.0	598.0	2079.0	2.398	0.89	0.15	0.064	16.0	2.4	56.0	55.0	16.4629	5.7914	0.5579	32.1334	31.5755	2.8427	3.1334	0.1866	2.8016	3.4835	0.6819
107578676	945.0	656.0	2109.0	2.707	0.672	0.124	0.025	10.0	1.0	56.0	55.0	26.6928	5.2523	11.7533	41.6034	29.8501	5.0821	2.9467	0.188	2.5726	3.3107	0.7381
108828000	977.0	620.0	1877.0	2.68	0.609	0.132	0.038	12.0	1.5	56.0	55.0	18.2832	5.1973	-4.8969	35.7403	40.6372	3.5178	2.5595	0.3039	2.1429	3.3027	1.1598
113335479	1019.0	682.0	2203.0	2.968	0.608	0.115	0.028	7.0	1.2	56.0	55.0	22.4343	6.0132	-10.886	38.4792	49.3652	3.7308	2.8366	0.2398	2.3859	3.5109	1.125
115784129	1255.0	837.0	1905.0	2.235	0.443	0.12	0.028	11.0	1.3	56.0	55.0	19.9822	4.8795	5.0502	33.4878	28.4376	4.0952					
119126177	1470.0	1031.0	3376.0	2.879	0.477	0.125	0.029	16.0	1.9	56.0	55.0	21.8069	6.7744	-17.9354	39.0695	57.0049	3.219	2.7523	0.365	2.2511	3.6977	1.4466
121697273	844.0	575.0	1834.0	2.749	0.566	0.116	0.023	8.0	0.7	56.0	55.0	28.2744	5.6804	13.013	41.6897	28.6767	4.9776	2.7483	0.1755	2.3989	3.1879	0.7889
130118047	812.0	563.0	1786.0	2.647	0.683	0.118	0.023	9.0	0.7	56.0	55.0	24.4711	3.9602	13.1683	41.4185	28.2502	6.1792	2.7691	0.2467	2.3748	3.3623	0.9876
131655018	789.0	560.0	1519.0	2.396	0.63	0.123	0.032	8.0	0.8	56.0	55.0	19.2139	4.4651	4.4105	33.4836	29.073	4.3031	2.4681	0.1359	2.2533	2.8231	0.5698
134279804	1022.0	722.0	2021.0	2.557	0.456	0.112	0.019	8.0	0.8	56.0	55.0	21.8851	4.43	-0.7111	36.0155	36.7266	4.9402	2.5236	0.2106	2.2422	3.108	0.8657
138434806	914.0	608.0	1611.0	2.66	0.414	0.119	0.025	8.0	0.9	56.0	55.0	21.7593	6.0103	7.0269	38.3352	31.3083	3.6203	2.8015	0.1563	2.4536	3.23	0.7765
154667058	1169.0	791.0	2395.0	2.603	0.585	0.115	0.027	12.0	1.2	56.0	55.0	22.6989	5.1757	7.3599	44.3622	37.0024	4.3857	3.2796	0.3931	2.6649	3.943	1.2781
158779019	1502.0	991.0	3113.0	2.721	0.542	0.115	0.022	14.0	1.4	56.0	55.0	20.8722	4.0576	8.1858	33.9466	25.7607	5.144	2.8691	0.2775	2.4975	3.6238	1.1263
