participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1134.0	753.0	2429.0	2.962	0.485	0.125	0.03	15.0	1.4	79.0	78.0	21.6621	5.0069	-11.5998	32.7779	44.3777	4.3264	4.5788	0.467	3.7564	5.301	1.5446
8454119	852.0	547.0	1272.0	2.237	0.471	0.122	0.03	13.0	1.0	79.0	78.0	19.7684	6.3955	0.6831	35.5634	34.8803	3.091	5.3618	0.4167	4.2606	5.8911	1.6306
11407866	1064.0	704.0	2410.0	3.149	0.419	0.124	0.028	14.0	1.3	79.0	78.0	23.4027	5.4805	0.9829	34.4695	33.4866	4.2701	5.0323	0.3701	3.8618	5.6032	1.7414
11574123	934.0	622.0	2119.0	2.985	0.449	0.12	0.023	10.0	0.9	79.0	78.0	23.7841	5.2018	1.7018	39.2043	37.5025	4.5723	4.6863	0.3098	3.9187	5.2455	1.3268
16684978	739.0	495.0	1497.0	2.63	0.52	0.108	0.022	9.0	0.7	79.0	78.0	20.2848	5.5229	-4.0372	35.3895	39.4267	3.6728	4.4963	0.2024	3.9936	4.7245	0.7308
25354225	980.0	653.0	2639.0	3.181	0.526	0.125	0.031	16.0	1.1	79.0	78.0	23.6215	6.6103	1.1717	38.4096	37.2379	3.5735	4.5862	0.303	4.0547	5.3744	1.3197
25811472	1376.0	912.0	3294.0	3.139	0.519	0.118	0.027	17.0	1.4	79.0	78.0	23.8069	5.5146	5.0562	37.1446	32.0883	4.3171	4.8863	0.3518	4.1072	5.5659	1.4587
27876862	731.0	517.0	1693.0	3.166	0.719	0.146	0.038	12.0	1.0	79.0	78.0	20.8625	5.9427	0.3494	34.7772	34.4278	3.5106	3.8455	0.212	3.4081	4.3259	0.9178
29811890	1114.0	772.0	2606.0	2.909	0.422	0.11	0.022	17.0	0.8	79.0	78.0	23.3035	6.0958	3.1729	40.6948	37.5219	3.8229	5.0313	0.5162	3.7822	5.9891	2.207
31361606	749.0	516.0	1618.0	2.802	0.479	0.113	0.023	7.0	0.7	79.0	78.0	22.8633	4.82	7.9158	36.7156	28.7998	4.7434	4.5398	0.2437	4.061	4.9398	0.8787
32938469	1751.0	1090.0	3855.0	2.906	0.489	0.132	0.042	32.0	2.9	79.0	78.0	19.5418	7.5276	-2.5132	38.4315	40.9447	2.596	4.9429	0.4228	4.0924	5.613	1.5206
36895554	876.0	602.0	2018.0	3.047	0.499	0.126	0.025	10.0	0.9	79.0	78.0	23.0926	5.2207	5.8126	35.6759	29.8634	4.4233	4.4643	0.3186	3.7082	4.8622	1.154
37329051	982.0	669.0	2017.0	2.891	0.496	0.131	0.024	12.0	1.1	79.0	78.0	24.2081	5.2514	7.6556	35.9653	28.3097	4.6098	4.9212	0.3774	4.2327	5.5138	1.2811
37835493	927.0	614.0	1833.0	2.847	0.407	0.104	0.023	10.0	0.9	79.0	78.0	21.3867	4.8265	4.5221	36.3437	31.8217	4.4311	4.2287	0.481	3.5276	5.1633	1.6357
43606631	836.0	537.0	1464.0	2.535	0.4	0.112	0.022	9.0	0.8	79.0	78.0	19.5367	4.7403	2.8892	35.0841	32.1949	4.1214	4.8021	0.2905	4.3034	5.3052	1.0019
49408975	943.0	652.0	2488.0	3.027	0.535	0.12	0.03	13.0	1.1	79.0	78.0	21.3645	5.3407	2.5971	34.5528	31.9557	4.0003	4.558	0.2876	3.7818	5.0054	1.2236
51217255	910.0	608.0	1905.0	3.079	0.445	0.112	0.023	10.0	0.8	79.0	78.0	24.962	5.3574	-8.9374	37.6821	46.6195	4.6593	4.9129	0.2707	4.2612	5.3459	1.0847
52306425	1141.0	779.0	2441.0	3.033	0.375	0.116	0.02	13.0	0.9	79.0	78.0	23.5956	5.1105	4.7722	35.7715	30.9992	4.6171	4.8834	0.4064	4.0543	5.4493	1.395
52835891	956.0	635.0	2048.0	3.141	0.413	0.115	0.024	9.0	0.9	79.0	78.0	23.0764	6.1585	-4.1377	36.1268	40.2645	3.7471	4.1538	0.2001	3.702	4.4549	0.7529
55710183	1092.0	727.0	2186.0	2.729	0.437	0.122	0.026	14.0	1.1	79.0	78.0	21.7294	4.9396	2.58	35.6965	33.1165	4.399	4.9497	0.3534	4.1716	5.723	1.5513
56162563	1025.0	692.0	2137.0	2.925	0.396	0.106	0.021	8.0	0.9	79.0	78.0	24.0115	4.2055	9.5489	35.8088	26.2599	5.7096	5.0397	0.3479	4.3507	5.5253	1.1746
