participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1042.0	697.0	1837.0	2.444	0.394	0.125	0.027	10.0	1.3	43.0	42.0	21.8196	3.776	9.464	32.3803	22.9163	5.7785	3.0117	0.1739	2.6594	3.3937	0.7343
8454119	496.0	354.0	712.0	2.022	0.42	0.128	0.025	7.0	0.7	43.0	42.0	27.8203	4.92	5.4484	39.7363	34.2879	5.6545	2.9417	0.1416	2.7836	3.5146	0.7309
11407866	694.0	461.0	1320.0	2.617	0.439	0.119	0.023	9.0	0.7	43.0	42.0	25.0851	4.4994	6.4347	41.6217	35.187	5.5753	2.9484	0.1566	2.7006	3.4497	0.7492
11574123	530.0	366.0	1239.0	2.775	0.771	0.157	0.051	9.0	1.1	43.0	42.0	25.5167	6.4545	1.9569	40.6977	38.7407	3.9533	2.8203	0.1153	2.6868	3.1697	0.4828
16684978	549.0	371.0	1151.0	2.479	0.505	0.154	0.035	10.0	0.8	43.0	42.0	23.0512	6.3208	-5.7808	37.6346	43.4153	3.6469	3.0328	0.1919	2.7737	3.3986	0.6249
25354225	441.0	294.0	688.0	2.277	0.522	0.098	0.013	3.0	0.2	43.0	42.0	27.054	5.2918	7.8478	41.2196	33.3717	5.1124	2.8648	0.0976	2.708	3.0898	0.3817
25811472	595.0	390.0	1063.0	2.423	0.56	0.123	0.029	7.0	0.6	43.0	42.0	24.3914	5.0459	8.8545	39.4694	30.6149	4.8339	3.2308	0.2152	2.8856	3.6679	0.7823
27876862	342.0	232.0	643.0	2.594	0.46	0.148	0.039	5.0	0.6	43.0	42.0	23.0685	5.6065	7.7878	38.7237	30.9359	4.1146	2.6825	0.093	2.4317	2.8187	0.3869
29811890	579.0	391.0	1376.0	2.648	0.587	0.145	0.026	9.0	0.7	43.0	42.0	26.6654	4.4237	14.2527	38.3129	24.0602	6.0278	2.8211	0.15	2.5728	3.236	0.6633
31361606	452.0	315.0	980.0	2.675	0.454	0.139	0.035	8.0	0.7	43.0	42.0	22.5227	5.0863	8.5638	40.8118	32.248	4.4281	2.8893	0.1849	2.5713	3.2625	0.6913
