participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1074.0	687.0	1803.0	2.386	0.422	0.121	0.027	14.0	1.1	46.0	45.0	20.3821	4.8204	3.2407	32.6103	29.3696	4.2283	2.7749	0.0843	2.5033	3.0183	0.5149
8454119	660.0	457.0	1579.0	2.688	0.666	0.145	0.035	14.0	1.0	46.0	45.0	25.1972	7.1184	2.1946	42.6373	40.4426	3.5397	3.0846	0.1964	2.7483	3.5941	0.8457
11407866	648.0	445.0	1634.0	3.085	0.559	0.152	0.039	12.0	0.9	46.0	45.0	24.4437	5.5465	6.9391	41.3764	34.4374	4.407	2.6542	0.0623	2.5118	2.859	0.3472
11574123	577.0	404.0	1332.0	2.514	0.708	0.158	0.043	15.0	1.2	46.0	45.0	23.1494	7.1656	-23.241	42.6376	65.8786	3.2307	3.0308	0.0763	2.7549	3.212	0.4571
16684978	532.0	365.0	1043.0	2.441	0.766	0.131	0.029	7.0	0.6	46.0	45.0	24.1317	5.9364	6.2896	39.3534	33.0638	4.065	2.8327	0.1067	2.5519	3.1209	0.5689
25354225	450.0	301.0	1405.0	3.142	0.603	0.173	0.061	15.0	0.9	46.0	45.0	23.1127	8.024	-19.1042	40.6348	59.739	2.8804	2.5648	0.0545	2.3876	2.7772	0.3896
25811472	793.0	524.0	1784.0	2.65	0.664	0.142	0.042	15.0	1.3	46.0	45.0	22.2141	6.5381	-10.6008	41.6364	52.2373	3.3977	2.8351	0.0979	2.6253	3.0322	0.407
27876862	398.0	287.0	962.0	2.759	0.52	0.172	0.042	8.0	0.7	46.0	45.0	24.8775	5.1733	10.1453	36.8968	26.7515	4.8088	2.5257	0.0356	2.3858	2.62	0.2342
29811890	624.0	431.0	1318.0	2.611	0.509	0.148	0.033	10.0	0.9	46.0	45.0	27.2003	6.2018	8.9937	44.5435	35.5498	4.3859	2.803	0.0795	2.5327	2.9513	0.4187
31361606	513.0	358.0	1391.0	2.752	0.535	0.17	0.039	14.0	0.8	46.0	45.0	22.668	6.7303	-2.1471	38.7627	40.9098	3.368	2.5971	0.1416	2.385	2.8496	0.4646
32938469	420.0	312.0	1353.0	2.895	0.776	0.15	0.037	8.0	0.6	46.0	45.0	18.6406	6.7543	2.4064	38.5134	36.1069	2.7598	3.2249	0.0544	3.0883	3.3024	0.214
36895554	574.0	395.0	1377.0	2.737	0.544	0.158	0.041	11.0	0.8	46.0	45.0	21.5119	5.0274	3.8859	36.6476	32.7616	4.2789	2.6821	0.0352	2.6206	2.7948	0.1742
37329051	588.0	414.0	1141.0	2.337	0.503	0.146	0.038	12.0	1.1	46.0	45.0	26.3282	6.5209	-1.368	40.2407	41.6087	4.0375	2.8528	0.0626	2.7346	3.0637	0.3292
37835493	744.0	508.0	1613.0	2.694	0.616	0.14	0.037	12.0	0.9	46.0	45.0	22.5748	4.897	0.8928	37.0151	36.1223	4.6099	2.7181	0.0475	2.5286	2.8242	0.2956
43606631	532.0	355.0	994.0	2.316	0.446	0.136	0.033	6.0	0.6	46.0	45.0	20.3569	5.9098	-20.92	35.1134	56.0333	3.4446	2.6088	0.0395	2.5134	2.7161	0.2027
49408975	661.0	441.0	1186.0	2.316	0.557	0.137	0.034	9.0	0.8	46.0	45.0	20.9455	5.1897	-13.0694	34.9706	48.04	4.036	2.911	0.0739	2.7008	3.0167	0.316
51217255	576.0	364.0	1386.0	2.891	0.488	0.123	0.027	8.0	0.7	46.0	45.0	23.2891	5.5051	7.2745	36.3639	29.0894	4.2305	2.6097	0.1118	2.387	2.8756	0.4885
52306425	642.0	433.0	1233.0	2.357	0.481	0.128	0.028	10.0	0.7	46.0	45.0	24.3069	4.5465	8.0905	38.4452	30.3547	5.3463	2.896	0.1523	2.5525	3.1657	0.6133
52835891	497.0	316.0	910.0	2.476	0.581	0.122	0.025	7.0	0.5	46.0	45.0	23.2416	4.1927	10.793	36.0615	25.2685	5.5433	2.7326	0.0616	2.5277	2.8401	0.3124
55710183	540.0	366.0	929.0	2.122	0.585	0.146	0.037	10.0	0.9	46.0	45.0	22.2868	5.9343	3.6042	36.2001	32.5958	3.7556	2.7502	0.063	2.6195	2.9223	0.3028
56162563	612.0	436.0	1228.0	2.484	0.477	0.129	0.028	8.0	0.7	46.0	45.0	26.2871	4.9676	13.243	40.8809	27.6379	5.2917	2.785	0.047	2.6423	2.8898	0.2475
60021964	691.0	462.0	1236.0	2.444	0.59	0.092	0.016	5.0	0.5	46.0	45.0	24.6545	4.7363	10.2628	37.7269	27.4641	5.2054	2.9416	0.0643	2.7651	3.0434	0.2783
62582335	717.0	493.0	1587.0	2.77	0.526	0.124	0.026	8.0	0.8	46.0	45.0	23.9507	5.16	8.622	42.3063	33.6842	4.6416	2.7159	0.092	2.5393	2.892	0.3527
65198031	575.0	399.0	1232.0	2.564	0.505	0.139	0.034	12.0	0.8	46.0	45.0	22.8388	6.4729	-3.6932	38.2932	41.9864	3.5284	2.6003	0.0734	2.4329	2.7361	0.3031
70214854	557.0	380.0	1039.0	2.277	0.456	0.161	0.045	10.0	1.0	46.0	45.0	24.3769	6.5022	1.8788	38.9617	37.0829	3.749	2.5189	0.033	2.404	2.6443	0.2402
71851847	709.0	513.0	1391.0	2.308	0.507	0.149	0.038	17.0	1.4	46.0	45.0	25.1377	7.3145	0.0761	46.6111	46.5351	3.4367	2.7187	0.1251	2.4431	2.983	0.5399
74920331	612.0	441.0	1264.0	2.575	0.546	0.163	0.036	11.0	0.9	46.0	45.0	25.09	5.7855	6.3589	40.8122	34.4533	4.3367	2.4658	0.0873	2.3304	2.7041	0.3737
77390767	574.0	390.0	1216.0	2.591	0.458	0.12	0.032	8.0	0.6	46.0	45.0	20.7056	6.5356	0.9343	53.0196	52.0853	3.1681	2.6767	0.0399	2.5957	2.8302	0.2345
78982423	620.0	410.0	1460.0	2.763	0.637	0.132	0.036	9.0	0.8	46.0	45.0	23.6298	4.606	8.5392	37.7319	29.1926	5.1302	2.9156	0.1557	2.4498	3.1691	0.7193
80982198	679.0	490.0	1590.0	2.577	0.58	0.139	0.038	13.0	1.2	46.0	45.0	21.9977	5.6881	-8.4422	35.0223	43.4646	3.8673	3.2019	0.0688	2.997	3.3321	0.335
82699044	704.0	470.0	1333.0	2.46	0.493	0.134	0.03	11.0	0.9	46.0	45.0	22.5802	5.086	4.7694	38.8202	34.0508	4.4397	2.6062	0.0661	2.4478	2.7835	0.3356
84407714	495.0	363.0	1175.0	2.68	0.553	0.155	0.033	7.0	0.7	46.0	45.0	21.5029	4.4317	8.6702	35.4074	26.7373	4.852	2.6472	0.07	2.4191	2.7864	0.3673
86226939	451.0	332.0	1196.0	2.719	0.476	0.177	0.036	10.0	0.7	46.0	45.0	24.9532	5.0518	5.9316	41.0337	35.1021	4.9394	2.7799	0.0904	2.5797	2.9483	0.3686
93800202	607.0	399.0	1460.0	2.748	0.745	0.134	0.03	10.0	0.7	46.0	45.0	22.0714	4.9033	4.5724	35.0786	30.5062	4.5014	2.9286	0.0739	2.7392	3.0682	0.3289
97005004	815.0	583.0	2427.0	2.944	0.655	0.157	0.047	22.0	1.6	46.0	45.0	25.4766	7.6137	-13.4873	44.2392	57.7265	3.3462	2.8135	0.0964	2.6246	3.0364	0.4118
100527940	568.0	428.0	1616.0	2.955	0.537	0.167	0.045	11.0	0.9	46.0	45.0	21.1366	6.1111	-6.0449	38.7481	44.793	3.4587	2.9575	0.0775	2.7578	3.1595	0.4017
103652366	528.0	368.0	1163.0	2.457	0.546	0.172	0.063	16.0	1.2	46.0	45.0	20.9589	6.4731	1.0431	37.9916	36.9485	3.2378	2.5854	0.0457	2.4678	2.7178	0.25
105914514	585.0	403.0	1913.0	2.977	0.816	0.163	0.062	13.0	1.4	46.0	45.0	16.9039	7.6796	-8.4293	41.2202	49.6495	2.2012	2.9835	0.0936	2.8247	3.2659	0.4411
107578676	784.0	530.0	2122.0	3.037	0.583	0.15	0.038	19.0	1.3	46.0	45.0	23.8179	6.9966	0.5286	44.4372	43.9086	3.4042	3.1216	0.1575	2.7712	3.474	0.7028
108828000	503.0	368.0	1356.0	2.753	0.481	0.154	0.034	9.0	0.7	46.0	45.0	22.5868	5.5524	0.7307	34.3519	33.6212	4.0679	2.6582	0.1532	2.3862	2.9653	0.5791
113335479	898.0	606.0	1701.0	2.44	0.582	0.115	0.025	12.0	0.8	46.0	45.0	20.3858	5.8297	0.337	38.9117	38.5747	3.4969	2.9747	0.0946	2.7724	3.2793	0.5068
115784129	918.0	638.0	1670.0	2.31	0.517	0.146	0.034	12.0	1.3	46.0	45.0	19.4297	4.9577	5.8862	34.6705	28.7843	3.9191					
119126177	547.0	352.0	1296.0	2.89	0.634	0.146	0.036	8.0	0.8	46.0	45.0	21.8115	5.0316	4.4219	37.1407	32.7187	4.3349	2.6152	0.0898	2.3761	2.837	0.461
121697273	742.0	497.0	1281.0	2.331	0.494	0.153	0.036	14.0	1.1	46.0	45.0	27.0068	6.9738	5.219	47.2278	42.0087	3.8726	3.0007	0.0743	2.833	3.183	0.35
130118047	820.0	576.0	1782.0	2.547	0.645	0.145	0.031	14.0	0.9	46.0	45.0	24.8965	5.4123	-9.2157	37.1778	46.3936	4.6	2.8741	0.1333	2.6366	3.2387	0.6021
131655018	641.0	425.0	1330.0	2.426	0.531	0.141	0.036	12.0	0.9	46.0	45.0	17.9518	5.4738	3.6713	32.9592	29.288	3.2796	2.5917	0.0954	2.4015	2.7968	0.3953
134279804	714.0	485.0	1339.0	2.38	0.443	0.132	0.03	9.0	0.8	46.0	45.0	21.9568	4.7591	6.1619	37.6785	31.5166	4.6136	2.8585	0.0551	2.5834	2.9498	0.3665
138434806	654.0	424.0	1358.0	2.558	0.58	0.148	0.038	11.0	0.8	46.0	45.0	20.5096	4.9693	4.9231	36.0685	31.1454	4.1272	2.8629	0.0743	2.7143	3.035	0.3207
154667058	896.0	596.0	2073.0	2.587	0.55	0.15	0.042	19.0	1.6	46.0	45.0	22.5116	6.2433	3.3318	43.0719	39.7401	3.6057	2.7626	0.066	2.6701	2.9967	0.3266
158779019	593.0	403.0	1315.0	2.592	0.526	0.155	0.04	10.0	0.9	46.0	45.0	22.9369	5.3542	6.4548	38.5272	32.0724	4.2839	2.794	0.0571	2.7218	2.9775	0.2557
162526644	604.0	435.0	1553.0	2.836	0.65	0.147	0.034	9.0	0.9	46.0	45.0	23.5288	5.8952	3.392	44.9425	41.5505	3.9912	2.8232	0.0434	2.7031	2.9488	0.2457
163259093	442.0	292.0	1100.0	2.873	0.363	0.164	0.035	9.0	0.6	46.0	45.0	25.6471	4.928	12.2758	40.3231	28.0473	5.2043	2.6439	0.0458	2.5191	2.7969	0.2778
176129790	749.0	541.0	1577.0	2.37	0.619	0.157	0.036	12.0	1.0	46.0	45.0	23.3581	6.1515	-10.8697	43.0704	53.9401	3.7971	2.8452	0.1211	2.637	3.145	0.508
177928631	525.0	348.0	1031.0	2.516	0.459	0.152	0.033	10.0	0.6	46.0	45.0	22.9887	4.9423	10.5712	35.0737	24.5026	4.6514	2.9307	0.172	2.623	3.3533	0.7303
