participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	985.0	638.0	2272.0	2.738	0.522	0.123	0.024	12.0	1.0	68.0	67.0	24.043	3.9292	10.652	40.1686	29.5166	6.1191	3.213	0.2169	2.7888	3.4958	0.707
8454119	1223.0	826.0	2501.0	2.626	0.448	0.117	0.021	11.0	1.0	68.0	67.0	22.6195	5.4385	9.04	40.5818	31.5418	4.1592	3.6653	0.0966	3.2366	3.8631	0.6265
11407866	1164.0	871.0	3202.0	3.008	0.595	0.14	0.028	15.0	1.3	68.0	67.0	24.4609	5.9836	5.8292	38.65	32.8208	4.088	3.4039	0.1269	3.115	3.7248	0.6099
11574123	1064.0	737.0	2535.0	2.857	0.614	0.117	0.022	11.0	0.9	68.0	67.0	25.9269	5.1245	8.858	41.488	32.63	5.0594	3.2109	0.3178	2.4352	3.7793	1.344
16684978	935.0	629.0	2303.0	2.903	0.497	0.124	0.022	11.0	0.9	68.0	67.0	21.4463	5.7493	5.1894	35.447	30.2576	3.7303	3.3842	0.3263	2.7269	3.9133	1.1864
25354225	970.0	621.0	2835.0	3.288	0.565	0.126	0.032	14.0	1.2	68.0	67.0	21.5247	5.1584	-0.8714	34.4351	35.3065	4.1727	3.3948	0.2635	2.6473	3.8142	1.1669
25811472	1249.0	871.0	3615.0	3.122	0.743	0.141	0.038	23.0	1.9	68.0	67.0	23.6399	5.3512	4.247	43.607	39.36	4.4177	3.5642	0.3429	2.7219	4.1023	1.3804
27876862	646.0	432.0	1281.0	3.53	0.729	0.103	0.03	4.0	0.7	68.0	67.0	21.7442	4.286	6.326	36.5708	30.2448	5.0733	3.2031	0.0404	3.0776	3.2869	0.2093
29811890	1356.0	861.0	2586.0	2.869	0.681	0.125	0.05	19.0	2.6	68.0	67.0	20.5026	7.956	-6.3539	38.3537	44.7077	2.577	3.2555	0.2197	2.4149	3.6556	1.2407
31361606	790.0	536.0	1834.0	2.772	0.667	0.134	0.035	11.0	1.3	68.0	67.0	23.6099	5.1953	-10.8855	34.9144	45.7999	4.5445	3.1683	0.1795	2.8296	3.7503	0.9207
32938469	1178.0	808.0	2949.0	2.722	0.559	0.124	0.03	17.0	1.4	68.0	67.0	20.656	6.8213	-0.6608	45.2755	45.9363	3.0281	3.7006	0.1912	3.3412	4.1681	0.8269
36895554	746.0	529.0	1809.0	2.689	0.579	0.117	0.024	10.0	0.7	68.0	67.0	24.7389	4.0837	9.5186	37.4024	27.8837	6.058	2.9866	0.1901	2.5573	3.327	0.7697
37329051	1284.0	916.0	3614.0	2.939	0.633	0.131	0.029	21.0	1.7	68.0	67.0	23.0377	6.4059	2.589	40.8018	38.2128	3.5963	3.8012	0.2436	3.2634	4.4036	1.1402
37835493	1027.0	713.0	2410.0	2.94	0.389	0.15	0.033	19.0	1.2	68.0	67.0	23.7367	5.5167	9.3421	40.8606	31.5184	4.3027	3.0546	0.2145	2.6022	3.4143	0.8121
43606631	845.0	564.0	1867.0	2.595	0.523	0.12	0.024	10.0	0.7	68.0	67.0	20.5949	4.1626	10.2301	34.4056	24.1755	4.9477	3.1984	0.2207	2.7952	3.8436	1.0484
49408975	1131.0	791.0	3477.0	3.328	0.653	0.125	0.026	21.0	1.1	68.0	67.0	21.2938	5.1866	2.5125	35.5094	32.9969	4.1056	3.4242	0.2961	2.7889	3.8712	1.0823
51217255	1114.0	724.0	2808.0	3.072	0.532	0.107	0.018	12.0	0.8	68.0	67.0	24.2026	4.4783	11.5818	41.1024	29.5206	5.4044	3.3443	0.3284	2.4698	3.7257	1.2559
52306425	1548.0	1042.0	3892.0	3.047	0.525	0.133	0.022	20.0	1.4	68.0	67.0	23.8083	4.5576	13.0119	37.3813	24.3693	5.2238	3.5283	0.2324	2.8929	4.2164	1.3235
52835891	914.0	623.0	2796.0	3.203	0.539	0.131	0.027	13.0	1.1	68.0	67.0	23.5423	4.8253	9.9032	38.7534	28.8502	4.8789	3.1188	0.195	2.7475	3.454	0.7065
55710183	1482.0	991.0	3109.0	2.669	0.521	0.123	0.023	18.0	1.4	68.0	67.0	23.6014	4.9344	7.5613	36.2652	28.7039	4.783	3.7012	0.2127	3.1712	4.2039	1.0327
56162563	1075.0	768.0	2819.0	2.781	0.499	0.134	0.026	15.0	1.3	68.0	67.0	26.2165	5.0943	7.1367	43.1457	36.009	5.1462	3.1721	0.3786	2.4527	3.926	1.4733
60021964	1438.0	972.0	3600.0	2.964	0.655	0.118	0.022	17.0	1.2	68.0	67.0	23.9779	4.918	9.4914	38.581	29.0896	4.8755	3.668	0.1645	3.152	4.0542	0.9022
62582335	876.0	606.0	2266.0	2.958	0.601	0.144	0.031	15.0	1.0	68.0	67.0	25.6323	6.1497	3.6915	42.8827	39.1912	4.1681	3.234	0.2002	2.6822	3.5272	0.845
65198031	1382.0	946.0	3186.0	2.947	0.484	0.127	0.024	13.0	1.4	68.0	67.0	21.1868	4.9506	6.5124	36.3129	29.8005	4.2797	3.1923	0.2048	2.5356	3.528	0.9923
70214854	871.0	660.0	2590.0	3.005	0.649	0.146	0.033	15.0	1.1	68.0	67.0	29.3328	6.8726	5.7896	46.2481	40.4585	4.2681	3.0748	0.2014	2.5735	3.3713	0.7978
71851847	1210.0	822.0	3329.0	3.209	0.7	0.113	0.016	13.0	0.9	68.0	67.0	27.173	5.7534	9.9953	42.9532	32.9579	4.723	3.4866	0.2573	3.0035	3.9866	0.9832
74920331	909.0	641.0	2405.0	2.976	0.564	0.121	0.019	9.0	0.9	68.0	67.0	21.5178	4.6302	7.7008	35.8824	28.1817	4.6473	3.425	0.1772	2.8359	3.7804	0.9445
77390767	831.0	546.0	2016.0	2.952	0.523	0.116	0.025	10.0	0.8	68.0	67.0	24.0225	4.7232	1.6267	36.2083	34.5816	5.086	3.2092	0.2915	2.574	3.7654	1.1914
78982423	1132.0	746.0	2412.0	2.775	0.58	0.118	0.022	13.0	1.0	68.0	67.0	23.4054	4.4409	8.1296	37.2852	29.1557	5.2704	3.1012	0.1294	2.8581	3.3334	0.4753
80982198	1050.0	763.0	3238.0	3.188	0.656	0.145	0.031	18.0	1.4	68.0	67.0	25.8325	5.5074	8.4861	39.1695	30.6834	4.6905	3.5989	0.1886	3.2149	3.9103	0.6954
82699044	1377.0	958.0	2907.0	2.664	0.55	0.122	0.023	17.0	1.2	68.0	67.0	23.0619	4.8191	7.8493	35.4863	27.6371	4.7856	3.2772	0.2054	2.7585	3.676	0.9175
84407714	963.0	660.0	2293.0	2.805	0.552	0.111	0.02	10.0	0.6	68.0	67.0	23.2645	4.9505	9.0994	36.0593	26.9599	4.6994	3.2732	0.2116	2.8164	3.7841	0.9677
86226939	831.0	555.0	2180.0	3.202	0.587	0.118	0.023	9.0	0.7	68.0	67.0	20.7486	4.7644	7.6567	36.5152	28.8586	4.3549	3.0816	0.2131	2.6613	3.4108	0.7494
93800202	767.0	498.0	2132.0	3.446	0.594	0.12	0.031	9.0	0.8	68.0	67.0	23.4902	6.2526	4.2279	37.9123	33.6844	3.7569	3.1547	0.2537	2.6077	3.7798	1.172
97005004	1083.0	709.0	2421.0	2.81	0.606	0.112	0.022	14.0	0.8	68.0	67.0	23.6039	5.3645	6.8145	36.3043	29.4898	4.4	3.9399	0.1607	3.4939	4.3068	0.8128
100527940	1120.0	710.0	2792.0	3.089	0.54	0.123	0.044	17.0	1.8	68.0	67.0	22.5774	7.1537	-7.1553	38.2434	45.3987	3.156	3.819	0.2437	3.142	4.1803	1.0383
103652366	1471.0	844.0	3227.0	3.316	0.727	0.105	0.03	15.0	1.9	68.0	67.0	20.6846	5.8837	-1.7249	37.4993	39.2242	3.5156	3.3406	0.2773	2.5565	3.8124	1.2558
105914514	1372.0	889.0	3134.0	2.682	0.672	0.121	0.048	21.0	2.8	68.0	67.0	16.5627	6.972	-23.1909	35.7007	58.8916	2.3756	3.4231	0.2737	2.8462	3.8738	1.0276
107578676	1449.0	972.0	3441.0	2.972	0.603	0.113	0.023	14.0	1.4	68.0	67.0	25.4554	5.549	9.7311	38.5295	28.7983	4.5874	3.7911	0.2541	2.9906	4.2793	1.2887
108828000	783.0	543.0	2368.0	3.316	0.556	0.131	0.029	10.0	0.9	68.0	67.0	20.1545	5.2047	6.1265	32.4311	26.3047	3.8724	3.2229	0.2882	2.5188	3.5929	1.074
113335479	814.0	582.0	2544.0	3.277	0.551	0.113	0.022	8.0	0.6	68.0	67.0	24.3601	4.6652	3.9007	39.6129	35.7122	5.2216	3.1717	0.3109	2.6858	3.8981	1.2123
115784129	1412.0	917.0	2781.0	2.587	0.486	0.106	0.021	14.0	1.0	68.0	67.0	24.0471	5.79	5.9947	40.5671	34.5725	4.1532					
