participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1128.0	748.0	2772.0	3.076	0.419	0.132	0.025	14.0	1.1	71.0	70.0	27.4083	5.1136	7.2062	49.2962	42.09	5.3598	2.3245	0.113	2.1615	2.7849	0.6234
8454119	1307.0	909.0	3318.0	2.831	0.627	0.157	0.048	25.0	2.7	71.0	70.0	27.8189	6.8222	0.8041	44.7095	43.9054	4.0777	2.5004	0.1907	2.1988	3.1426	0.9438
11407866	934.0	667.0	3189.0	3.471	0.755	0.147	0.038	15.0	1.5	71.0	70.0	27.589	6.6243	8.7751	45.5424	36.7673	4.1648	2.2954	0.118	2.0725	2.7225	0.65
11574123	747.0	519.0	2287.0	3.348	0.518	0.126	0.028	8.0	0.8	71.0	70.0	24.8645	5.9352	10.8148	41.5129	30.6981	4.1893	2.3733	0.1245	2.1673	2.8935	0.7262
16684978	944.0	621.0	2958.0	3.418	0.545	0.146	0.036	15.0	1.3	71.0	70.0	24.2979	5.5956	6.4589	45.8862	39.4272	4.3423	2.2545	0.1119	2.0571	2.6253	0.5682
25354225	905.0	573.0	2979.0	3.642	0.643	0.125	0.027	12.0	1.0	71.0	70.0	24.3205	6.244	2.368	43.4686	41.1006	3.895	2.5433	0.1695	2.2867	3.0716	0.785
25811472	934.0	630.0	3119.0	3.913	0.448	0.13	0.026	11.0	1.0	71.0	70.0	24.1359	6.0885	9.9067	42.5968	32.6902	3.9642	2.4189	0.1205	2.24	2.7805	0.5405
27876862	947.0	652.0	2565.0	2.959	0.707	0.139	0.027	16.0	1.1	71.0	70.0	25.124	5.8099	-12.1664	39.9661	52.1326	4.3244	2.1401	0.0898	1.9502	2.335	0.3848
29811890	1097.0	537.0	1991.0	2.732	0.831	0.145	0.099	28.0	4.4	71.0	70.0	13.5795	9.3846	-19.7542	39.8937	59.6478	1.447	2.1996	0.0769	2.0304	2.4161	0.3857
31361606	1024.0	713.0	2996.0	3.16	0.612	0.157	0.037	18.0	1.7	71.0	70.0	25.31	5.7589	7.7309	42.0035	34.2727	4.3949	2.3381	0.1369	2.1339	2.8874	0.7536
32938469	1293.0	867.0	3438.0	2.852	0.796	0.133	0.043	27.0	2.2	71.0	70.0	25.1739	7.1172	0.2496	46.2019	45.9524	3.5371	2.552	0.1533	2.3177	3.0916	0.7739
36895554	1103.0	742.0	2886.0	3.083	0.509	0.144	0.033	18.0	1.4	71.0	70.0	27.7225	5.5731	8.1108	45.0274	36.9165	4.9744	2.2826	0.0867	2.1449	2.6509	0.5061
37329051	1022.0	729.0	2819.0	2.973	0.63	0.14	0.032	19.0	1.2	71.0	70.0	24.6972	5.748	7.9649	38.738	30.7731	4.2967	2.5401	0.1771	2.2954	3.0753	0.7799
37835493	1089.0	743.0	2721.0	2.937	0.537	0.138	0.028	14.0	1.2	71.0	70.0	24.7807	4.3556	8.2412	37.0811	28.8399	5.6894	2.3226	0.0918	2.1364	2.674	0.5376
43606631	891.0	591.0	2095.0	2.732	0.579	0.146	0.031	14.0	1.0	71.0	70.0	25.7346	5.2808	2.7319	39.2335	36.5016	4.8733	2.4445	0.0707	2.2694	2.6786	0.4092
49408975	962.0	641.0	3038.0	3.781	0.536	0.155	0.037	15.0	1.6	71.0	70.0	23.1909	6.0586	7.665	41.3094	33.6444	3.8278	2.39	0.1502	2.162	2.7675	0.6055
51217255	758.0	533.0	2597.0	3.591	0.439	0.134	0.027	10.0	0.9	71.0	70.0	26.5743	4.6517	14.074	40.653	26.579	5.7128	2.2181	0.0995	1.9654	2.4602	0.4948
52306425	1318.0	847.0	3616.0	3.23	0.525	0.136	0.028	19.0	1.5	71.0	70.0	25.0016	5.6119	5.3719	40.5283	35.1564	4.4551	2.4406	0.1511	2.2041	3.0404	0.8363
52835891	960.0	636.0	2946.0	3.41	0.565	0.133	0.032	12.0	1.2	71.0	70.0	27.7772	5.8704	-8.3706	48.5441	56.9147	4.7318	2.3473	0.1534	2.1304	2.8074	0.677
55710183	873.0	611.0	2850.0	3.431	0.677	0.154	0.036	16.0	1.4	71.0	70.0	27.573	6.6101	2.9153	46.8987	43.9834	4.1713	2.5154	0.1592	2.2901	3.0	0.7099
56162563	897.0	616.0	2415.0	2.889	0.77	0.139	0.031	13.0	1.1	71.0	70.0	28.4027	5.2734	13.3087	45.9796	32.671	5.3861	2.2881	0.0992	2.0975	2.627	0.5294
60021964	1100.0	749.0	3349.0	3.449	0.644	0.14	0.032	15.0	1.5	71.0	70.0	26.082	6.0213	7.4931	40.6557	33.1626	4.3316	2.4173	0.1328	2.1613	2.8628	0.7015
62582335	771.0	535.0	2443.0	3.561	0.308	0.146	0.033	15.0	1.0	71.0	70.0	28.0707	5.7901	9.9231	44.0406	34.1175	4.8481	2.36	0.0742	2.2416	2.563	0.3214
65198031	898.0	609.0	2681.0	3.401	0.562	0.131	0.032	9.0	1.3	71.0	70.0	23.7501	6.2401	6.5697	46.7621	40.1925	3.8061	2.2764	0.077	2.1299	2.4497	0.3198
70214854	929.0	649.0	2548.0	2.991	0.535	0.151	0.027	16.0	0.9	71.0	70.0	32.2922	5.412	8.8058	48.5135	39.7077	5.9668	2.2904	0.0569	2.1819	2.4949	0.313
71851847	887.0	615.0	2613.0	3.508	0.497	0.133	0.026	9.0	1.0	71.0	70.0	29.3715	5.7836	14.6255	43.7939	29.1684	5.0784	2.102	0.0902	1.9651	2.5154	0.5502
74920331	917.0	620.0	2380.0	3.284	0.535	0.129	0.027	10.0	1.0	71.0	70.0	25.9755	4.5515	7.8165	37.7914	29.9749	5.707	2.1971	0.0624	2.0529	2.4699	0.4171
77390767	844.0	577.0	2470.0	3.268	0.614	0.113	0.024	9.0	0.8	71.0	70.0	26.8246	5.374	3.1084	43.5969	40.4885	4.9915	2.1898	0.0703	2.036	2.3778	0.3418
78982423	799.0	558.0	2340.0	3.325	0.552	0.138	0.026	10.0	0.8	71.0	70.0	24.3104	5.1942	5.8302	42.6431	36.8129	4.6803	2.2149	0.0788	2.0879	2.4807	0.3928
80982198	1132.0	790.0	3389.0	3.199	0.724	0.15	0.033	24.0	1.5	71.0	70.0	28.3845	5.9431	4.6612	49.0681	44.4069	4.776	2.5589	0.247	2.2348	3.2276	0.9928
82699044	1128.0	782.0	2873.0	2.901	0.582	0.146	0.035	20.0	1.5	71.0	70.0	25.497	5.9189	8.301	43.4224	35.1214	4.3077	2.4804	0.1429	2.2103	2.9499	0.7396
84407714	897.0	607.0	2543.0	3.097	0.742	0.144	0.044	16.0	1.7	71.0	70.0	24.3766	7.1625	-17.4397	42.6057	60.0454	3.4034	2.0721	0.0769	1.9399	2.3732	0.4332
86226939	831.0	553.0	2359.0	3.336	0.552	0.141	0.035	11.0	1.2	71.0	70.0	22.7973	5.9985	6.2845	43.083	36.7985	3.8005	2.3775	0.1124	2.1428	2.6711	0.5282
93800202	1078.0	576.0	2278.0	3.048	0.947	0.131	0.059	29.0	2.8	71.0	70.0	17.8535	11.1735	-9.1728	41.2919	50.4646	1.5978	2.3138	0.116	2.0455	2.6553	0.6098
