participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	876.0	592.0	2130.0	3.004	0.477	0.131	0.025	9.0	1.0	64.0	63.0	25.7993	5.3512	12.5837	40.8987	28.315	4.8212	2.1706	0.0271	2.1088	2.2409	0.1321
8454119	1167.0	802.0	2692.0	2.786	0.636	0.134	0.029	16.0	1.3	64.0	63.0	25.3368	6.1214	0.3442	42.9265	42.5824	4.1391	2.3936	0.1195	2.1936	2.588	0.3943
11407866	807.0	563.0	2298.0	3.282	0.666	0.122	0.026	9.0	0.9	64.0	63.0	26.9832	5.8447	6.4428	43.0103	36.5676	4.6167	2.113	0.0331	2.0235	2.2159	0.1924
11574123	662.0	456.0	1945.0	3.565	0.378	0.124	0.032	7.0	0.8	64.0	63.0	24.6988	7.1512	-0.7104	49.4142	50.1247	3.4538	2.1578	0.0644	2.0124	2.3033	0.2909
16684978	717.0	487.0	1841.0	3.625	0.518	0.136	0.033	8.0	0.9	64.0	63.0	26.7277	6.3671	2.383	41.6983	39.3153	4.1978	2.066	0.0396	1.9402	2.1709	0.2307
25354225	744.0	493.0	2695.0	4.208	0.48	0.151	0.043	15.0	1.2	64.0	63.0	24.1066	7.0022	-0.2455	40.3877	40.6331	3.4427	2.2751	0.0483	2.1503	2.3861	0.2358
25811472	1061.0	721.0	2757.0	3.258	0.709	0.132	0.036	14.0	1.7	64.0	63.0	25.567	5.7478	5.4322	51.7065	46.2743	4.4481	2.2564	0.0355	2.1629	2.3673	0.2045
27876862	724.0	517.0	1674.0	3.265	0.564	0.132	0.027	7.0	0.9	64.0	63.0	26.8737	6.1554	4.7148	43.2341	38.5193	4.3659	1.9652	0.0691	1.8513	2.1529	0.3016
29811890	762.0	488.0	2035.0	3.219	0.852	0.12	0.071	17.0	2.7	64.0	63.0	20.6894	7.4482	-17.4509	45.2911	62.742	2.7778	2.158	0.0447	2.0691	2.3084	0.2393
31361606	911.0	627.0	2074.0	2.886	0.54	0.123	0.027	8.0	1.1	64.0	63.0	24.5528	5.5783	9.6698	45.688	36.0182	4.4015	2.0987	0.03	2.0217	2.1924	0.1707
32938469	1224.0	848.0	3041.0	3.132	0.82	0.129	0.031	18.0	1.7	64.0	63.0	24.762	6.5161	1.8449	45.3622	43.5173	3.8001	2.351	0.0533	2.2645	2.5428	0.2783
36895554	836.0	580.0	2209.0	3.281	0.545	0.12	0.028	8.0	1.0	64.0	63.0	25.6464	5.9012	7.1918	39.5935	32.4017	4.346	2.1873	0.0109	2.1545	2.2195	0.0649
37329051	681.0	479.0	2131.0	3.313	0.688	0.133	0.056	21.0	2.0	64.0	63.0	23.116	7.1727	-9.4315	37.5732	47.0047	3.2228	2.3236	0.0347	2.2332	2.4204	0.1872
37835493	795.0	558.0	1949.0	2.966	0.501	0.128	0.024	7.0	0.9	64.0	63.0	24.3911	5.5598	8.7081	40.4576	31.7495	4.3871	2.1792	0.0295	2.101	2.2525	0.1515
43606631	775.0	501.0	1652.0	2.945	0.573	0.124	0.038	14.0	1.3	64.0	63.0	22.979	8.2229	-29.2652	39.5661	68.8313	2.7945	2.2637	0.0358	2.1288	2.3619	0.2331
49408975	589.0	435.0	1969.0	3.365	0.615	0.134	0.032	9.0	0.7	64.0	63.0	21.3557	5.1193	6.2778	36.8093	30.5315	4.1716	2.2225	0.0457	2.1255	2.3485	0.2229
51217255	618.0	426.0	1793.0	3.502	0.44	0.118	0.027	5.0	0.7	64.0	63.0	26.6685	6.5238	5.0075	43.6533	38.6458	4.0879	2.0534	0.0287	1.9726	2.1072	0.1347
52306425	1064.0	736.0	2438.0	2.984	0.566	0.112	0.021	7.0	0.9	64.0	63.0	25.4565	4.5776	11.5141	39.4489	27.9348	5.5611	2.2223	0.0598	2.097	2.3353	0.2383
52835891	818.0	559.0	2175.0	3.017	0.678	0.13	0.03	10.0	1.1	64.0	63.0	24.7772	5.3221	4.1647	42.9023	38.7376	4.6555	2.1398	0.0437	2.037	2.2461	0.2091
55710183	804.0	562.0	1937.0	2.863	0.636	0.137	0.029	12.0	1.0	64.0	63.0	24.53	6.073	5.5355	40.4762	34.9407	4.0392	2.2999	0.0363	2.2132	2.4555	0.2422
56162563	806.0	550.0	2013.0	3.339	0.497	0.128	0.027	8.0	0.9	64.0	63.0	28.8695	5.422	13.5174	47.315	33.7976	5.3245	2.1342	0.0327	2.0402	2.2223	0.1821
60021964	823.0	566.0	2296.0	3.474	0.483	0.13	0.025	10.0	0.9	64.0	63.0	26.3012	5.705	10.4923	39.9928	29.5005	4.6102	2.1924	0.0259	2.1043	2.2665	0.1622
62582335	631.0	415.0	1641.0	3.361	0.532	0.119	0.034	8.0	0.8	64.0	63.0	24.7959	6.163	-0.2573	39.9149	40.1722	4.0233	2.2182	0.0347	2.1268	2.2859	0.1591
65198031	792.0	539.0	2014.0	3.198	0.42	0.129	0.029	9.0	1.0	64.0	63.0	21.9649	5.6697	5.0439	38.3071	33.2632	3.8741	2.1332	0.0231	2.0598	2.1842	0.1244
70214854	767.0	516.0	1901.0	3.203	0.53	0.13	0.026	8.0	0.8	64.0	63.0	28.4405	6.0852	10.3907	46.892	36.5012	4.6737	2.2054	0.0357	2.1255	2.2792	0.1537
71851847	757.0	540.0	2175.0	3.671	0.55	0.118	0.022	5.0	0.8	64.0	63.0	30.0974	5.8564	13.0178	44.2915	31.2737	5.1392	1.9783	0.0268	1.9215	2.0617	0.1402
74920331	794.0	530.0	2027.0	3.25	0.472	0.113	0.021	6.0	0.7	64.0	63.0	25.3174	5.4698	9.6005	39.981	30.3805	4.6286	2.0867	0.0473	2.032	2.2052	0.1732
77390767	712.0	482.0	1801.0	3.42	0.628	0.135	0.035	9.0	1.1	64.0	63.0	26.8748	6.8376	6.9423	51.4203	44.4781	3.9305	2.0464	0.0389	1.9778	2.1501	0.1722
78982423	773.0	545.0	1837.0	3.095	0.379	0.136	0.031	8.0	1.1	64.0	63.0	23.7796	5.7788	6.1404	38.4622	32.3218	4.1149	2.0789	0.0375	1.9843	2.1642	0.1799
80982198	956.0	648.0	2665.0	3.436	0.572	0.148	0.032	20.0	1.3	64.0	63.0	26.888	6.4128	2.1203	45.3744	43.2541	4.1929	2.2482	0.0308	2.1794	2.4216	0.2423
82699044	985.0	659.0	2236.0	2.992	0.521	0.129	0.027	13.0	1.1	64.0	63.0	25.5033	5.8133	-3.1431	38.9571	42.1001	4.3871	2.2434	0.0581	2.1181	2.3859	0.2678
