participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	230.0	148.0	475.0	2.326	0.584	0.115	0.031	3.0	0.3	25.0	24.0	12.8989	3.7784	3.5361	23.9489	20.4128	3.4138	4.6562	0.0325	4.5907	4.7365	0.1458
8454119	235.0	128.0	408.0	2.328	0.555	0.165	0.075	6.0	0.9	25.0	24.0	15.3321	4.7188	0.3752	25.1279	24.7527	3.2492	5.3586	0.0577	5.2504	5.4771	0.2267
11407866	198.0	122.0	376.0	2.703	0.299	0.129	0.032	3.0	0.2	25.0	24.0	16.1995	4.5204	6.2806	28.1469	21.8662	3.5836	5.0396	0.1795	4.7267	5.2974	0.5707
11574123	180.0	105.0	348.0	2.574	0.283	0.133	0.031	2.0	0.2	25.0	24.0	15.6435	3.3152	2.8674	24.5798	21.7123	4.7188	4.8449	0.1072	4.7348	5.0617	0.3269
16684978	191.0	110.0	305.0	2.397	0.576	0.15	0.042	3.0	0.3	25.0	24.0	14.9664	4.9581	4.5593	29.4226	24.8634	3.0186	4.6442	0.0636	4.4776	4.8065	0.3289
25354225	215.0	117.0	515.0	2.932	0.676	0.152	0.077	5.0	0.4	25.0	24.0	14.8377	6.5473	-16.5294	26.8174	43.3468	2.2662	4.9306	0.0421	4.8295	5.0203	0.1909
25811472	268.0	158.0	507.0	2.555	0.326	0.129	0.029	3.0	0.2	25.0	24.0	13.9387	3.682	2.3887	25.2092	22.8205	3.7857	5.3168	0.0319	5.2275	5.4068	0.1793
27876862	152.0	90.0	274.0	2.759	0.63	0.168	0.052	3.0	0.4	25.0	24.0	14.7593	4.7966	5.007	25.4455	20.4385	3.077	4.1188	0.0147	4.0912	4.1549	0.0636
29811890	244.0	159.0	659.0	2.986	0.42	0.162	0.039	4.0	0.3	25.0	24.0	16.7959	4.1003	6.8572	27.0222	20.165	4.0963	5.364	0.0924	4.8801	5.756	0.8759
31361606	175.0	108.0	305.0	2.279	0.399	0.163	0.027	3.0	0.2	25.0	24.0	15.8921	4.2961	4.1206	27.8945	23.774	3.6992	4.4662	0.039	4.3909	4.5486	0.1576
32938469	224.0	133.0	359.0	2.646	0.366	0.143	0.035	3.0	0.2	25.0	24.0	19.0065	5.7746	7.291	35.0638	27.7728	3.2914	5.3828	0.059	5.2881	5.5194	0.2313
36895554	227.0	119.0	332.0	2.026	0.548	0.156	0.105	7.0	1.1	25.0	24.0	10.0457	10.9596	-38.4492	51.8685	90.3177	0.9166	4.8342	0.0728	4.1996	4.8844	0.6848
37329051	159.0	100.0	405.0	3.211	0.418	0.159	0.032	4.0	0.2	25.0	24.0	18.7126	4.752	6.1531	31.7055	25.5524	3.9378	5.0221	0.1838	4.6698	5.3797	0.7099
37835493	247.0	121.0	312.0	2.06	0.336	0.115	0.039	3.0	0.3	25.0	24.0	11.4366	4.505	-1.0544	23.432	24.4864	2.5387	4.6595	0.0426	4.5594	4.7594	0.2
43606631	242.0	115.0	319.0	2.121	0.35	0.114	0.022	3.0	0.2	25.0	24.0	12.9981	3.3781	4.3742	23.8902	19.516	3.8478	5.0073	0.0727	4.8869	5.201	0.3141
49408975	180.0	108.0	386.0	2.87	0.282	0.135	0.03	3.0	0.2	25.0	24.0	16.9341	3.3215	9.4126	24.2575	14.8449	5.0983	4.7636	0.1719	4.4653	4.9776	0.5123
51217255	241.0	134.0	419.0	2.484	0.582	0.127	0.035	4.0	0.4	25.0	24.0	13.5997	5.229	-0.0618	25.5681	25.6299	2.6008	5.0827	0.2389	4.7657	5.4639	0.6982
52306425	249.0	148.0	478.0	2.514	0.347	0.124	0.027	3.0	0.2	25.0	24.0	13.895	3.6727	4.318	24.9271	20.6091	3.7833	5.0676	0.0617	4.9479	5.1683	0.2203
52835891	226.0	108.0	332.0	2.577	0.65	0.142	0.07	7.0	0.6	25.0	24.0	13.436	5.2511	-1.4527	29.8321	31.2848	2.5587	4.1913	0.084	3.8769	4.4615	0.5846
55710183	206.0	123.0	393.0	2.424	0.287	0.175	0.038	4.0	0.3	25.0	24.0	16.1412	5.148	4.0744	33.7026	29.6282	3.1354	5.2811	0.1046	5.0833	5.6108	0.5275
56162563	195.0	120.0	306.0	2.543	0.441	0.098	0.028	2.0	0.1	25.0	24.0	16.9465	4.2954	5.0827	27.1297	22.047	3.9453	5.1776	0.1664	4.777	5.4178	0.6408
