participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1075.0	706.0	1470.0	2.535	0.377	0.115	0.017	8.0	0.9	118.0	117.0	23.7494	3.2847	12.3124	32.989	20.6766	7.2303	3.4403	0.0431	3.3343	3.525	0.1907
8454119	904.0	577.0	1272.0	2.46	0.349	0.089	0.015	6.0	0.5	118.0	117.0	26.0596	3.742	9.2313	36.8324	27.6011	6.9641	4.1022	0.0639	3.8938	4.1868	0.293
11407866	1214.0	825.0	2306.0	2.624	0.427	0.093	0.018	10.0	1.0	118.0	117.0	23.11	4.3666	7.6501	35.2195	27.5694	5.2925	3.6399	0.0522	3.5375	3.7846	0.2471
11574123	909.0	672.0	1640.0	2.337	0.387	0.129	0.024	10.0	0.9	118.0	117.0	24.6838	3.9996	10.4285	38.0657	27.6372	6.1716	3.4656	0.0617	3.3677	3.6334	0.2657
16684978	1041.0	727.0	1696.0	2.224	0.421	0.098	0.017	6.0	0.8	118.0	117.0	22.8556	3.5217	11.122	36.2967	25.1747	6.49	3.4004	0.0476	3.2792	3.4745	0.1953
25354225	1038.0	698.0	1885.0	2.629	0.457	0.107	0.019	9.0	0.8	118.0	117.0	23.3363	4.4124	9.2975	38.1136	28.8161	5.2888	3.6993	0.0692	3.4607	3.8072	0.3465
25811472	1024.0	715.0	1704.0	2.799	0.444	0.121	0.024	12.0	1.1	118.0	117.0	23.4257	5.8365	0.1711	35.9491	35.778	4.0136	3.8413	0.0679	3.6915	4.0254	0.3339
27876862	536.0	359.0	770.0	2.46	0.378	0.121	0.023	4.0	0.4	118.0	117.0	22.9668	3.4999	13.8896	35.2155	21.3259	6.5621	3.2485	0.0855	2.8498	3.3778	0.528
29811890	1054.0	756.0	1650.0	2.447	0.411	0.146	0.03	13.0	1.5	118.0	117.0	25.7021	5.5564	1.1842	47.4739	46.2897	4.6257	3.5659	0.1005	3.2647	3.6939	0.4291
31361606	905.0	644.0	1736.0	2.573	0.364	0.137	0.023	9.0	1.0	118.0	117.0	21.8627	4.7261	2.485	34.1716	31.6866	4.626	3.3994	0.081	3.1715	3.4862	0.3146
32938469	645.0	430.0	1059.0	2.564	0.439	0.103	0.02	6.0	0.4	118.0	117.0	23.4841	5.6109	4.9188	38.6954	33.7766	4.1854	3.6866	0.023	3.588	3.7538	0.1658
36895554	821.0	571.0	1158.0	2.567	0.311	0.122	0.024	6.0	0.8	118.0	117.0	22.8821	4.1551	6.3972	34.8453	28.4481	5.507	3.5743	0.055	3.4203	3.6798	0.2595
37329051	869.0	613.0	1388.0	2.541	0.408	0.132	0.026	10.0	1.0	118.0	117.0	24.6269	5.6218	9.2316	36.8062	27.5745	4.3806	3.8485	0.0407	3.7074	3.9593	0.2519
37835493	959.0	653.0	1325.0	2.351	0.346	0.131	0.023	10.0	1.0	118.0	117.0	23.2194	4.7484	6.8135	36.2371	29.4236	4.8899	3.4198	0.053	3.2372	3.5187	0.2815
43606631	1078.0	709.0	1566.0	2.212	0.431	0.115	0.022	9.0	0.9	118.0	117.0	20.5891	3.8041	7.7621	32.3997	24.6376	5.4123	3.5094	0.0992	3.0749	3.622	0.547
49408975	931.0	624.0	1328.0	2.267	0.43	0.094	0.015	7.0	0.6	118.0	117.0	22.1754	4.043	3.5501	32.4432	28.8931	5.4849	3.3855	0.0707	3.2327	3.484	0.2513
51217255	1018.0	650.0	1637.0	2.613	0.369	0.117	0.022	12.0	0.9	118.0	117.0	24.0568	5.1088	6.2634	35.4628	29.1993	4.7089	3.515	0.1124	3.2437	3.6652	0.4215
52306425	1175.0	799.0	1972.0	2.37	0.374	0.128	0.019	14.0	1.0	118.0	117.0	22.4328	4.68	7.1357	37.3106	30.1749	4.7934	3.7503	0.0396	3.6542	3.8234	0.1692
52835891	759.0	501.0	1431.0	2.513	0.537	0.103	0.017	6.0	0.6	118.0	117.0	21.8979	3.5414	8.119	32.721	24.6021	6.1834	3.1146	0.0354	3.0622	3.2583	0.1961
55710183	825.0	556.0	1141.0	2.372	0.455	0.127	0.023	9.0	0.7	118.0	117.0	23.3713	4.9486	7.8309	35.9938	28.163	4.7228	3.5042	0.0377	3.4384	3.5841	0.1458
56162563	904.0	587.0	1272.0	2.546	0.334	0.132	0.026	9.0	1.0	118.0	117.0	24.2413	4.5853	7.3289	36.1656	28.8367	5.2868	3.479	0.0356	3.3409	3.5381	0.1972
60021964	1305.0	846.0	2306.0	2.494	0.497	0.097	0.016	14.0	0.9	118.0	117.0	23.9146	4.3075	6.5899	35.3752	28.7853	5.5519	3.5449	0.0498	3.3494	3.5989	0.2495
62582335	852.0	559.0	1164.0	2.496	0.361	0.12	0.02	6.0	0.9	118.0	117.0	24.0419	4.2713	10.1664	34.3688	24.2025	5.6287	3.4515	0.0411	3.3308	3.5279	0.1971
65198031	1286.0	874.0	1859.0	2.444	0.374	0.129	0.026	14.0	1.4	118.0	117.0	22.4598	5.1791	5.486	37.3671	31.8811	4.3366	3.6157	0.0515	3.4522	3.766	0.3139
70214854	649.0	444.0	793.0	2.208	0.44	0.131	0.025	6.0	0.7	118.0	117.0	26.1289	4.9963	6.4872	38.0343	31.5471	5.2296	3.1717	0.062	2.8764	3.2306	0.3542
71851847	1127.0	757.0	2028.0	2.553	0.342	0.13	0.028	17.0	1.3	118.0	117.0	25.0237	4.8135	4.5022	38.5543	34.0521	5.1986	3.6226	0.0649	3.4615	3.7804	0.319
74920331	884.0	608.0	1419.0	2.464	0.405	0.123	0.021	8.0	0.8	118.0	117.0	21.6319	3.988	10.9189	31.7683	20.8494	5.4243	3.5765	0.0649	3.3972	3.7392	0.342
77390767	1459.0	931.0	2543.0	2.292	0.426	0.106	0.023	16.0	1.4	118.0	117.0	20.4501	4.1787	4.4113	32.0743	27.663	4.8939	3.2882	0.0255	3.1837	3.4055	0.2218
