participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	511.0	344.0	996.0	3.099	0.368	0.111	0.022	3.0	0.5	112.0	111.0	22.207	4.4351	8.1783	33.7653	25.587	5.0071	4.2283	0.1817	3.7795	4.6548	0.8753
8454119	556.0	372.0	1029.0	3.182	0.413	0.125	0.025	7.0	0.6	112.0	111.0	22.8758	4.4185	7.8484	35.0889	27.2406	5.1773	4.8493	0.1132	4.2515	5.0835	0.832
11407866	656.0	448.0	1235.0	3.065	0.543	0.099	0.016	3.0	0.5	112.0	111.0	24.9726	4.0157	9.6957	35.6314	25.9357	6.2187	4.2219	0.0913	4.0777	4.5568	0.4791
11574123	467.0	307.0	1003.0	3.355	0.359	0.104	0.021	3.0	0.4	112.0	111.0	23.4795	3.9107	8.5781	35.8277	27.2495	6.0039	4.0819	0.1599	3.7889	4.4326	0.6437
16684978	498.0	328.0	786.0	2.945	0.536	0.119	0.024	4.0	0.5	112.0	111.0	23.0786	4.3214	3.5819	32.3582	28.7763	5.3406	4.3271	0.1696	3.4185	4.5713	1.1528
25354225	537.0	353.0	947.0	3.309	0.539	0.099	0.021	3.0	0.5	112.0	111.0	26.2739	7.8113	4.0773	46.7806	42.7032	3.3635	3.6549	0.2707	3.1915	4.232	1.0406
25811472	553.0	367.0	1134.0	3.283	0.551	0.107	0.02	4.0	0.4	112.0	111.0	23.5357	4.6869	6.1138	36.7365	30.6227	5.0216	4.2859	0.0865	4.1052	4.5781	0.4729
27876862	396.0	258.0	590.0	2.879	0.282	0.122	0.021	3.0	0.4	112.0	111.0	24.7316	3.6919	10.5886	33.0385	22.45	6.6989	3.2673	0.1248	2.9301	3.4854	0.5553
29811890	442.0	304.0	847.0	3.102	0.488	0.109	0.023	4.0	0.5	112.0	111.0	25.0277	5.0954	7.4153	40.0803	32.665	4.9119	3.8674	0.3589	3.3539	4.775	1.421
31361606	508.0	330.0	737.0	2.664	0.368	0.131	0.028	5.0	0.6	112.0	111.0	23.4321	4.7311	7.0392	37.2593	30.2201	4.9528	3.8977	0.1996	3.3058	4.3091	1.0033
32938469	489.0	331.0	996.0	3.142	0.576	0.097	0.015	2.0	0.4	112.0	111.0	24.657	5.9086	5.4089	44.5584	39.1494	4.1731	4.3015	0.1425	4.069	4.8797	0.8107
36895554	517.0	332.0	787.0	2.84	0.474	0.105	0.02	4.0	0.4	112.0	111.0	22.6401	4.2789	9.8808	34.6889	24.808	5.2911	3.5906	0.1051	2.9114	3.8423	0.9309
37329051	377.0	254.0	698.0	3.212	0.353	0.102	0.028	2.0	0.4	112.0	111.0	22.6357	4.6864	6.1867	36.0678	29.8811	4.8301	4.3598	0.2161	3.558	4.8118	1.2537
37835493	510.0	350.0	979.0	3.005	0.539	0.101	0.016	2.0	0.4	112.0	111.0	22.1521	2.8413	12.134	29.7389	17.6049	7.7965	3.8463	0.4549	3.2178	4.5106	1.2928
