participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	490.0	282.0	768.0	3.147	0.647	0.129	0.042	11.0	0.9	119.0	118.0	12.1443	11.2481	0.0	36.4025	36.4025	1.0797	2.7014	0.1201	2.4831	2.9375	0.4544
8454119	391.0	239.0	1079.0	3.367	0.534	0.138	0.036	6.0	0.7	119.0	118.0	18.2685	10.0015	0.0	37.3216	37.3216	1.8266	3.1179	0.126	2.8675	3.3636	0.4961
11407866	393.0	248.0	797.0	3.154	0.719	0.143	0.041	9.0	0.8	119.0	118.0	14.4032	12.1584	0.0	36.9701	36.9701	1.1846	2.576	0.049	2.4796	2.7026	0.223
11574123	386.0	246.0	961.0	3.292	0.77	0.152	0.056	7.0	1.0	119.0	118.0	13.0397	10.7007	-6.3372	33.778	40.1153	1.2186	2.7079	0.0801	2.5111	2.8583	0.3472
16684978	345.0	206.0	762.0	3.231	0.633	0.144	0.05	6.0	0.9	119.0	118.0	14.4987	9.9952	0.0	33.5308	33.5308	1.4506	2.6488	0.0284	2.5566	2.7086	0.1521
25354225	363.0	215.0	913.0	3.268	0.87	0.135	0.068	9.0	1.2	119.0	118.0	13.7453	10.0229	-13.3956	35.1972	48.5928	1.3714	2.7817	0.0943	2.6037	2.9371	0.3334
25811472	442.0	282.0	1259.0	3.47	0.713	0.145	0.045	9.0	0.9	119.0	118.0	17.9006	10.4731	0.0	35.0479	35.0479	1.7092	2.8591	0.0745	2.6871	2.9975	0.3104
27876862	351.0	213.0	865.0	3.2	0.696	0.126	0.044	8.0	0.6	119.0	118.0	16.9783	11.2424	0.0	32.5453	32.5453	1.5102	2.619	0.0499	2.4722	2.7077	0.2355
29811890	382.0	202.0	903.0	3.525	0.645	0.14	0.054	7.0	1.0	119.0	118.0	15.0319	10.5113	0.0	34.9844	34.9844	1.4301	2.7293	0.0752	2.6059	2.8929	0.2871
31361606	283.0	168.0	569.0	2.495	0.854	0.14	0.053	6.0	0.7	119.0	118.0	16.6685	10.0265	-0.4497	44.8949	45.3446	1.6624	2.5717	0.0599	2.4378	2.6987	0.2609
