participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	862.0	565.0	1793.0	2.828	0.433	0.133	0.024	13.0	0.8	19.0	18.0	20.6859	4.9521	6.7983	35.779	28.9807	4.1772	2.6168	0.0998	2.4323	2.8773	0.4451
8454119	1185.0	808.0	2631.0	2.877	0.401	0.121	0.028	19.0	1.3	19.0	18.0	20.38	6.4557	1.3202	36.1109	34.7907	3.1569	2.9637	0.1307	2.6794	3.2093	0.5299
11407866	1135.0	765.0	2563.0	2.985	0.615	0.135	0.031	15.0	1.4	19.0	18.0	21.2686	5.104	5.3098	35.2835	29.9736	4.1671	2.6769	0.1132	2.4225	2.8692	0.4467
11574123	984.0	665.0	2333.0	2.828	0.656	0.128	0.027	16.0	0.9	19.0	18.0	20.3698	5.2699	4.2591	35.0888	30.8297	3.8653	2.799	0.0645	2.6408	2.9236	0.2828
16684978	755.0	505.0	1656.0	2.79	0.494	0.138	0.041	13.0	1.2	19.0	18.0	19.1347	6.3805	-8.9126	39.4303	48.3429	2.999	2.6617	0.0546	2.5449	2.8133	0.2684
25354225	1359.0	897.0	3053.0	2.976	0.659	0.125	0.034	22.0	1.8	19.0	18.0	19.7154	6.352	-3.8635	37.1497	41.0132	3.1038	2.9709	0.0943	2.7851	3.1511	0.366
25811472	1150.0	763.0	2422.0	2.821	0.626	0.134	0.033	18.0	1.6	19.0	18.0	19.4428	5.94	3.4285	46.4979	43.0694	3.2732	2.9229	0.0678	2.69	3.0542	0.3642
27876862	736.0	477.0	1446.0	2.868	0.349	0.136	0.025	11.0	0.7	19.0	18.0	20.8234	4.9755	0.8823	33.8084	32.9261	4.1852	2.519	0.0665	2.3218	2.6394	0.3176
29811890	1363.0	936.0	3397.0	2.91	0.533	0.131	0.03	30.0	1.5	19.0	18.0	21.08	5.8632	0.0934	38.554	38.4606	3.5953	3.036	0.0438	2.9103	3.1535	0.2432
31361606	949.0	614.0	2119.0	2.768	0.623	0.132	0.033	17.0	1.3	19.0	18.0	19.4079	5.919	-4.1683	36.4466	40.615	3.2789	2.4417	0.0344	2.3342	2.5254	0.1912
32938469	969.0	628.0	1780.0	2.6	0.703	0.137	0.027	18.0	1.0	19.0	18.0	19.5989	6.1391	-0.1552	36.116	36.2712	3.1924	2.9431	0.0795	2.6662	3.1518	0.4856
36895554	916.0	610.0	2301.0	3.139	0.528	0.157	0.037	20.0	1.4	19.0	18.0	20.2053	5.7196	4.5843	36.0751	31.4908	3.5326	2.6274	0.0597	2.4836	2.7784	0.2949
37329051	1260.0	886.0	2911.0	2.823	0.53	0.133	0.035	28.0	1.6	19.0	18.0	20.2897	6.0497	0.3688	43.7233	43.3545	3.3538	2.9242	0.0776	2.6912	3.1182	0.427
37835493	1018.0	624.0	2034.0	2.798	0.415	0.128	0.025	18.0	0.9	19.0	18.0	20.2567	5.1012	3.2577	33.5051	30.2475	3.971	2.6863	0.0347	2.5795	2.8271	0.2476
43606631	1038.0	667.0	1600.0	2.116	0.505	0.127	0.031	18.0	1.3	19.0	18.0	17.9899	6.0108	-38.0025	31.4771	69.4796	2.9929	2.6821	0.05	2.5274	2.7979	0.2705
49408975	944.0	582.0	2227.0	3.145	0.461	0.126	0.024	16.0	0.9	19.0	18.0	18.8938	5.115	6.6856	33.6897	27.0041	3.6938	2.6035	0.1056	2.4442	2.8566	0.4124
51217255	1129.0	751.0	2548.0	2.941	0.61	0.149	0.038	22.0	2.0	19.0	18.0	20.3466	6.3392	-4.898	34.5428	39.4408	3.2097	2.7001	0.0343	2.6277	2.8043	0.1766
52306425	930.0	652.0	1655.0	2.685	0.361	0.128	0.025	14.0	0.9	19.0	18.0	21.2998	5.9626	3.4297	34.3433	30.9136	3.5722	2.9403	0.071	2.7469	3.0975	0.3506
