participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	396.0	260.0	871.0	2.879	0.333	0.119	0.019	3.0	0.4	80.0	79.0	21.1537	4.0111	10.8534	31.2118	20.3584	5.2738	3.7269	0.1426	3.5104	4.2498	0.7394
8454119	313.0	200.0	657.0	3.0	0.399	0.113	0.016	3.0	0.2	80.0	79.0	23.6481	3.8407	14.2562	33.0218	18.7655	6.1573	5.0905	0.2471	4.3832	5.6019	1.2187
11407866	354.0	258.0	1052.0	3.019	0.405	0.135	0.024	10.0	0.4	80.0	79.0	20.111	5.3884	7.5688	30.888	23.3192	3.7322	4.42	0.2819	3.7983	5.1744	1.3761
11574123	369.0	252.0	669.0	2.9	0.626	0.115	0.023	3.0	0.4	80.0	79.0	26.5833	4.2709	9.8893	36.7151	26.8258	6.2242	4.2959	0.2142	4.0196	4.8256	0.8059
16684978	336.0	241.0	633.0	2.599	0.496	0.091	0.016	1.0	0.2	80.0	79.0	23.1317	4.1909	14.2096	35.7518	21.5422	5.5195	3.8005	0.1553	3.5064	4.1256	0.6192
25354225	371.0	249.0	658.0	2.715	0.346	0.111	0.02	3.0	0.3	80.0	79.0	23.961	4.7578	9.1119	41.7766	32.6647	5.0361	4.015	0.1061	3.8208	4.2466	0.4258
25811472	334.0	238.0	778.0	2.862	0.683	0.079	0.01	2.0	0.1	80.0	79.0	21.9868	3.3599	9.9125	31.1438	21.2312	6.5439	4.2872	0.2239	3.9722	4.9503	0.9781
27876862	289.0	202.0	453.0	2.498	0.911	0.167	0.041	5.0	0.8	80.0	79.0	21.6239	6.7591	4.8784	33.4667	28.5883	3.1992	3.7138	0.0918	3.3787	3.8727	0.4941
29811890	533.0	351.0	924.0	2.68	0.398	0.109	0.023	5.0	0.4	80.0	79.0	25.8179	4.7995	6.214	34.4981	28.2841	5.3793	4.3767	0.1391	4.0771	4.876	0.7989
31361606	241.0	178.0	443.0	2.468	0.377	0.108	0.023	1.0	0.2	80.0	79.0	24.8795	3.8551	12.4007	35.0313	22.6306	6.4536	3.9456	0.0823	3.7244	4.0827	0.3583
32938469	400.0	261.0	749.0	3.0	0.473	0.125	0.033	4.0	0.6	80.0	79.0	23.8314	6.519	4.8237	39.0791	34.2554	3.6557	4.3859	0.1465	3.9888	4.67	0.6812
36895554	317.0	215.0	782.0	2.969	0.296	0.135	0.029	5.0	0.4	80.0	79.0	20.4593	4.0322	11.1029	32.4913	21.3884	5.074	4.0139	0.1816	3.6451	4.3298	0.6847
37329051	392.0	275.0	894.0	2.784	0.45	0.14	0.024	6.0	0.5	80.0	79.0	25.0976	4.6113	4.7312	35.732	31.0008	5.4427	4.4532	0.1057	4.246	4.7888	0.5428
37835493	327.0	225.0	762.0	2.692	0.302	0.125	0.026	5.0	0.4	80.0	79.0	20.6594	3.3464	9.8582	30.0675	20.2093	6.1735	3.5387	0.1144	3.3473	3.7419	0.3946
43606631	316.0	215.0	600.0	2.492	0.416	0.146	0.021	5.0	0.3	80.0	79.0	20.5091	5.2478	8.8353	33.4587	24.6234	3.9081	4.0097	0.1762	3.698	4.4986	0.8006
49408975	279.0	189.0	506.0	3.068	0.438	0.116	0.023	2.0	0.2	80.0	79.0	25.574	4.1117	10.542	34.7578	24.2158	6.2199	4.0439	0.1141	3.8154	4.3134	0.498
51217255	325.0	225.0	920.0	3.113	0.376	0.126	0.02	4.0	0.3	80.0	79.0	24.2514	3.8365	14.4729	34.669	20.1961	6.3212	4.1358	0.4087	3.7523	5.1004	1.3481
52306425	408.0	276.0	844.0	2.736	0.29	0.119	0.02	5.0	0.3	80.0	79.0	22.9173	5.1305	10.8385	33.1846	22.3461	4.4669	4.3271	0.0649	4.1172	4.5934	0.4762
52835891	417.0	293.0	1110.0	2.96	0.318	0.129	0.025	7.0	0.5	80.0	79.0	20.9783	4.2732	6.7169	31.1136	24.3966	4.9093	3.5409	0.1558	3.3146	3.888	0.5735
55710183	472.0	301.0	1018.0	2.874	0.332	0.144	0.027	7.0	0.5	80.0	79.0	23.1655	4.4174	11.7489	39.9161	28.1672	5.2442	4.2842	0.1647	3.8692	4.8561	0.9868
56162563	408.0	283.0	909.0	2.743	0.302	0.108	0.015	4.0	0.3	80.0	79.0	24.0274	4.585	11.7308	36.5855	24.8548	5.2404	4.2261	0.1404	3.9434	4.6271	0.6837
60021964	464.0	313.0	860.0	2.74	0.353	0.126	0.023	5.0	0.5	80.0	79.0	24.016	4.9438	12.1033	34.8718	22.7685	4.8578	3.9227	0.0723	3.7337	4.0834	0.3497
62582335	312.0	210.0	628.0	2.93	0.341	0.136	0.024	4.0	0.3	80.0	79.0	25.1874	5.6218	12.5209	37.0235	24.5026	4.4803	3.6913	0.1213	3.4903	4.0003	0.51
65198031	482.0	347.0	925.0	2.488	0.364	0.118	0.02	5.0	0.3	80.0	79.0	21.3333	3.7498	9.946	31.8379	21.8919	5.6892	4.1976	0.1902	3.7768	4.4399	0.6631
70214854	375.0	258.0	742.0	2.406	0.571	0.108	0.022	3.0	0.3	80.0	79.0	23.3712	4.3351	9.9675	40.3792	30.4116	5.3912	3.5558	0.1179	3.2662	3.7698	0.5036
71851847	384.0	254.0	956.0	3.312	0.232	0.111	0.023	4.0	0.3	80.0	79.0	24.2659	4.1079	12.0194	35.1555	23.1361	5.9072	4.1634	0.1992	3.9132	4.6633	0.7502
74920331	368.0	256.0	711.0	2.664	0.3	0.103	0.015	2.0	0.3	80.0	79.0	22.9207	3.2291	11.1156	31.7725	20.6569	7.0982	3.6959	0.0717	3.5011	3.7808	0.2797
77390767	337.0	240.0	660.0	2.668	0.327	0.092	0.011	3.0	0.2	80.0	79.0	24.0389	4.4903	10.7525	37.4329	26.6804	5.3535	3.8642	0.0745	3.7124	4.0036	0.2911
78982423	297.0	231.0	649.0	2.635	0.279	0.112	0.019	2.0	0.3	80.0	79.0	19.0166	3.9482	4.2548	29.692	25.4373	4.8165	3.7174	0.2883	3.2905	4.3134	1.0229
80982198	509.0	341.0	1090.0	2.877	0.464	0.121	0.03	5.0	0.6	80.0	79.0	23.9967	4.752	8.4411	33.809	25.3678	5.0498	4.0929	0.1383	3.8356	4.6378	0.8023
82699044	593.0	408.0	1111.0	2.552	0.328	0.118	0.019	6.0	0.5	80.0	79.0	23.0366	5.188	5.4883	34.1224	28.634	4.4404	3.8498	0.1295	3.6396	4.0947	0.4551
