participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	914.0	586.0	1670.0	2.627	0.39	0.135	0.03	11.0	1.1	83.0	82.0	23.1602	6.097	0.5569	35.1692	34.6122	3.7986	3.5944	0.368	3.0368	4.728	1.6912
8454119	1409.0	975.0	3052.0	2.796	0.536	0.128	0.024	16.0	1.5	83.0	82.0	24.1314	5.0555	7.984	38.9489	30.9649	4.7733	4.5327	0.4174	3.6707	5.5209	1.8502
11407866	928.0	644.0	2224.0	2.926	0.486	0.119	0.021	10.0	0.9	83.0	82.0	25.8814	5.3485	4.9439	37.6487	32.7048	4.839	3.3823	0.2512	3.0211	4.4079	1.3868
11574123	956.0	631.0	2217.0	2.793	0.558	0.129	0.022	10.0	0.9	83.0	82.0	25.4461	4.8613	11.1517	37.0784	25.9267	5.2345	3.4402	0.3654	2.948	4.2983	1.3503
16684978	956.0	611.0	2105.0	2.747	0.533	0.13	0.03	14.0	1.1	83.0	82.0	20.8136	5.3257	5.4332	34.369	28.9358	3.9081	3.4222	0.3195	2.9228	4.2648	1.342
25354225	1005.0	657.0	2770.0	3.158	0.586	0.135	0.039	16.0	1.8	83.0	82.0	22.7021	6.68	-17.6527	37.994	55.6467	3.3985	3.3957	0.2199	2.9042	4.1212	1.217
25811472	961.0	635.0	2274.0	3.088	0.475	0.127	0.028	13.0	1.1	83.0	82.0	23.9876	5.7736	3.9511	35.3117	31.3607	4.1547	3.5093	0.3429	3.1182	4.5204	1.4023
27876862	741.0	499.0	1444.0	2.659	0.7	0.171	0.048	16.0	1.4	83.0	82.0	20.2819	7.5649	-1.2812	38.9202	40.2014	2.681	2.9676	0.1566	2.6268	3.3807	0.7539
29811890	791.0	510.0	1484.0	2.745	0.772	0.128	0.043	11.0	1.5	83.0	82.0	23.5975	8.1434	-32.293	37.7159	70.0089	2.8977	3.6932	0.3302	2.9732	4.6648	1.6916
31361606	539.0	368.0	994.0	2.44	0.524	0.133	0.027	9.0	0.5	83.0	82.0	20.7118	6.2671	3.6189	37.827	34.2081	3.3049	3.8945	0.216	3.4932	4.3894	0.8962
32938469	887.0	557.0	1543.0	2.438	0.465	0.148	0.071	22.0	2.4	83.0	82.0	17.9638	8.7966	0.0236	38.4554	38.4318	2.0421	3.869	0.2364	3.496	4.5742	1.0782
36895554	742.0	503.0	1560.0	2.713	0.484	0.126	0.025	9.0	0.7	83.0	82.0	22.9115	4.483	10.4599	34.6625	24.2026	5.1107	3.573	0.2199	2.9725	4.2973	1.3248
37329051	936.0	649.0	2284.0	2.77	0.602	0.153	0.037	18.0	1.6	83.0	82.0	22.1991	6.5907	1.0173	36.3884	35.3711	3.3682	3.7779	0.3249	3.3477	4.612	1.2643
37835493	1058.0	717.0	2309.0	2.823	0.526	0.134	0.027	16.0	1.1	83.0	82.0	22.0963	4.9516	0.8842	34.7415	33.8573	4.4624	3.3379	0.3077	2.8984	4.3946	1.4963
43606631	1035.0	667.0	1786.0	2.289	0.457	0.143	0.03	20.0	1.2	83.0	82.0	21.8409	5.9058	6.4602	37.7778	31.3177	3.6982	3.4816	0.329	2.9745	4.6387	1.6642
49408975	701.0	484.0	1634.0	2.833	0.594	0.12	0.026	8.0	0.6	83.0	82.0	24.0274	4.4923	6.0934	38.3008	32.2074	5.3486	3.4047	0.424	2.8358	4.3417	1.5059
51217255	656.0	408.0	1517.0	2.877	0.535	0.121	0.026	11.0	0.5	83.0	82.0	22.362	5.854	3.6903	35.1028	31.4125	3.8199	4.2661	0.4014	3.5773	5.1463	1.569
52306425	842.0	608.0	1551.0	2.526	0.455	0.149	0.033	15.0	1.1	83.0	82.0	23.5924	7.0902	-8.5905	36.4836	45.0741	3.3275	3.5065	0.3751	3.0529	4.4969	1.444
52835891	752.0	513.0	1610.0	2.771	0.534	0.12	0.025	9.0	0.6	83.0	82.0	23.2224	5.1553	4.36	35.7761	31.416	4.5045	3.2522	0.2027	2.9619	3.862	0.9001
55710183	745.0	484.0	1384.0	2.538	0.483	0.126	0.024	9.0	0.7	83.0	82.0	22.6171	4.3647	10.0151	32.9564	22.9413	5.1818	3.6667	0.3118	3.168	4.6946	1.5266
