participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	304.0	192.0	500.0	2.401	0.387	0.131	0.03	4.0	0.4	160.0	159.0	18.597	5.2966	0.8005	30.0814	29.2809	3.5111	3.0284	0.0702	2.9099	3.2187	0.3088
8454119	402.0	273.0	608.0	2.515	0.453	0.097	0.02	1.0	0.4	160.0	159.0	23.7552	2.0984	15.334	30.0348	14.7009	11.3204	2.8679	0.1009	2.6541	3.1602	0.5061
11407866	357.0	215.0	755.0	2.879	0.485	0.118	0.034	3.0	0.6	160.0	159.0	20.8185	5.6609	-0.5204	31.0932	31.6136	3.6776	2.7915	0.1311	2.4505	2.9271	0.4766
11574123	452.0	282.0	784.0	2.66	0.551	0.143	0.046	7.0	0.8	160.0	159.0	18.8661	6.5193	1.4688	31.9248	30.4561	2.8939	2.8999	0.1201	2.6704	3.1092	0.4388
16684978	289.0	205.0	391.0	2.003	0.283	0.1	0.012	2.0	0.1	160.0	159.0	21.557	3.088	10.3527	28.6657	18.3129	6.9808	3.1187	0.1224	2.8207	3.3482	0.5275
25354225	582.0	329.0	1029.0	2.705	0.629	0.128	0.063	13.0	1.7	160.0	159.0	16.2991	7.9499	-8.1849	31.8462	40.0311	2.0502	3.3213	0.1481	3.0099	3.6414	0.6315
25811472	492.0	260.0	912.0	2.801	0.59	0.113	0.032	6.0	0.8	160.0	159.0	17.6242	6.4549	-6.772	28.0792	34.8512	2.7304	3.0265	0.1249	2.8349	3.2617	0.4267
27876862	294.0	193.0	506.0	2.493	0.47	0.109	0.017	3.0	0.2	160.0	159.0	20.2039	3.8916	10.2187	29.197	18.9783	5.1917	2.8461	0.1078	2.6092	3.1091	0.4999
29811890	688.0	335.0	945.0	2.43	0.548	0.113	0.037	9.0	1.2	160.0	159.0	14.3066	8.499	-10.278	33.7685	44.0465	1.6833	3.1373	0.1429	2.8813	3.4139	0.5327
31361606	245.0	144.0	555.0	2.749	0.369	0.144	0.034	6.0	0.3	160.0	159.0	18.3137	4.9126	6.0469	32.0805	26.0336	3.7279	2.7165	0.0882	2.5382	2.9456	0.4074
32938469	650.0	415.0	985.0	2.223	0.468	0.149	0.054	15.0	1.5	160.0	159.0	17.7838	8.2535	-24.0021	35.095	59.097	2.1547	3.4471	0.2229	3.047	3.8844	0.8374
36895554	389.0	266.0	611.0	2.324	0.415	0.144	0.029	5.0	0.5	160.0	159.0	19.0827	5.1238	6.9452	34.2802	27.335	3.7243	2.8706	0.1536	2.5577	3.1394	0.5817
37329051	361.0	206.0	717.0	2.698	0.414	0.108	0.025	5.0	0.3	160.0	159.0	19.1208	5.1467	1.6403	30.0174	28.3771	3.7152	2.8669	0.176	2.6134	3.379	0.7656
37835493	392.0	274.0	736.0	2.517	0.489	0.15	0.027	7.0	0.4	160.0	159.0	19.6279	4.4882	9.7143	30.9161	21.2018	4.3732	2.911	0.1273	2.5617	3.2569	0.6952
43606631	318.0	206.0	653.0	2.447	0.446	0.174	0.043	8.0	0.5	160.0	159.0	17.852	4.978	6.0799	30.8931	24.8132	3.5862	2.8454	0.0825	2.6804	3.0293	0.3488
49408975	385.0	258.0	698.0	2.48	0.47	0.103	0.015	2.0	0.3	160.0	159.0	20.7419	2.8527	9.8198	28.8354	19.0156	7.271	3.1087	0.1136	2.793	3.4277	0.6347
51217255	309.0	199.0	534.0	2.317	0.407	0.138	0.026	6.0	0.3	160.0	159.0	18.5625	5.0153	6.2319	28.2577	22.0258	3.7012	2.8127	0.0927	2.688	3.068	0.3799
52306425	482.0	320.0	578.0	2.135	0.262	0.143	0.026	6.0	0.6	160.0	159.0	20.9858	4.9241	2.6502	31.6763	29.0261	4.2619	3.4921	0.0339	3.4154	3.613	0.1976
52835891	371.0	248.0	745.0	2.781	0.327	0.126	0.025	4.0	0.4	160.0	159.0	20.3865	4.2671	4.7302	29.0396	24.3094	4.7776	2.8121	0.0763	2.6896	3.1001	0.4104
55710183	430.0	303.0	699.0	2.254	0.325	0.147	0.022	8.0	0.4	160.0	159.0	19.6951	5.8034	0.0536	31.9383	31.8847	3.3937	3.332	0.1115	3.0526	3.6671	0.6145
56162563	349.0	235.0	682.0	2.653	0.279	0.122	0.026	5.0	0.3	160.0	159.0	18.4844	4.1192	7.1797	30.9501	23.7704	4.4873	3.0255	0.0659	2.9059	3.2011	0.2952
60021964	341.0	246.0	584.0	2.224	0.497	0.115	0.016	4.0	0.2	160.0	159.0	20.3923	5.0648	-0.45	27.8265	28.2766	4.0263	3.0215	0.1292	2.7588	3.3817	0.6229
62582335	368.0	232.0	613.0	2.401	0.494	0.13	0.057	10.0	1.3	160.0	159.0	19.3524	7.2989	-22.514	32.9588	55.4729	2.6514	2.9513	0.1091	2.7286	3.2385	0.51
65198031	281.0	197.0	472.0	2.442	0.261	0.129	0.029	2.0	0.3	160.0	159.0	20.0094	3.702	5.4225	28.9833	23.5608	5.4051	2.9541	0.0873	2.7613	3.1065	0.3452
70214854	433.0	278.0	883.0	2.572	0.499	0.162	0.035	9.0	0.6	160.0	159.0	20.2202	4.6897	7.3183	31.35	24.0317	4.3116	2.8938	0.1533	2.6494	3.1771	0.5277
71851847	518.0	347.0	752.0	2.487	0.359	0.087	0.011	2.0	0.3	160.0	159.0	25.0193	2.5094	17.063	35.3524	18.2895	9.9702	3.2894	0.1239	2.866	3.4486	0.5827
74920331	596.0	375.0	877.0	2.243	0.472	0.115	0.022	6.0	0.6	160.0	159.0	19.144	4.6939	4.8814	29.6489	24.7675	4.0785	3.0288	0.2112	2.6365	3.3814	0.7449
77390767	247.0	153.0	366.0	2.166	0.388	0.162	0.055	6.0	0.4	160.0	159.0	16.6013	5.7821	4.088	30.6583	26.5703	2.8712	2.8045	0.0744	2.6859	3.1075	0.4216
78982423	293.0	193.0	590.0	2.505	0.48	0.161	0.04	7.0	0.4	160.0	159.0	18.307	5.2295	1.2172	29.0176	27.8004	3.5007	2.9657	0.1115	2.7831	3.1755	0.3924
80982198	292.0	204.0	477.0	2.491	0.388	0.104	0.017	2.0	0.2	160.0	159.0	23.5254	3.1855	6.3863	32.0012	25.6149	7.3851	3.2386	0.0834	3.1186	3.4857	0.3671
82699044	394.0	258.0	787.0	2.614	0.342	0.145	0.032	5.0	0.6	160.0	159.0	20.485	5.813	5.2732	30.2844	25.0112	3.524	2.9357	0.1449	2.6306	3.2022	0.5715
84407714	281.0	196.0	640.0	2.809	0.532	0.131	0.022	4.0	0.2	160.0	159.0	19.2804	4.2651	4.4719	27.6321	23.1602	4.5205	2.7946	0.1513	2.6017	3.132	0.5302
86226939	331.0	227.0	608.0	2.337	0.376	0.159	0.027	7.0	0.3	160.0	159.0	17.3782	5.2359	6.3526	30.8546	24.502	3.3191	3.1286	0.1108	2.9573	3.3537	0.3964
93800202	362.0	235.0	649.0	2.569	0.542	0.128	0.028	6.0	0.5	160.0	159.0	21.2742	5.4615	0.5662	29.7431	29.177	3.8953	2.8711	0.1254	2.5492	3.1524	0.6032
97005004	541.0	357.0	1025.0	2.643	0.399	0.118	0.035	9.0	0.8	160.0	159.0	21.2374	6.3684	-11.6718	33.2047	44.8765	3.3348	3.3819	0.1576	3.0336	3.5504	0.5168
100527940	441.0	262.0	834.0	2.691	0.468	0.121	0.028	5.0	0.4	160.0	159.0	18.4289	7.6602	-0.8069	33.372	34.1789	2.4058	3.1493	0.1495	2.9183	3.4939	0.5756
103652366	337.0	230.0	786.0	2.953	0.509	0.151	0.03	6.0	0.4	160.0	159.0	20.681	5.8853	2.6795	33.5111	30.8316	3.514	2.8325	0.1081	2.6201	3.0208	0.4007
105914514	467.0	256.0	633.0	2.066	0.524	0.158	0.138	22.0	1.8	160.0	159.0	9.379	4.9468	-11.4728	24.1611	35.6338	1.896	3.3569	0.2252	3.0096	3.7637	0.7541
107578676	726.0	499.0	1349.0	2.54	0.428	0.113	0.024	8.0	0.6	160.0	159.0	21.2017	6.2631	-1.6742	32.0263	33.7005	3.3852	3.8239	0.2454	3.205	4.1527	0.9477
108828000	295.0	173.0	590.0	2.698	0.332	0.143	0.023	6.0	0.2	160.0	159.0	17.7516	4.436	8.1882	29.0638	20.8756	4.0017	3.134	0.1503	2.9436	3.4514	0.5078
113335479	553.0	310.0	918.0	2.848	0.384	0.119	0.026	5.0	0.6	160.0	159.0	20.2056	5.7106	-0.5891	33.3036	33.8927	3.5383	3.1314	0.1027	2.9846	3.5182	0.5336
115784129	512.0	296.0	727.0	2.094	0.429	0.147	0.047	8.0	1.1	160.0	159.0	15.9088	5.6213	-0.4176	30.8393	31.2569	2.8301					
119126177	498.0	339.0	964.0	2.558	0.446	0.115	0.022	5.0	0.4	160.0	159.0	19.3319	3.6586	6.7204	26.7807	20.0604	5.284	3.2428	0.2032	2.8344	3.5938	0.7594
121697273	427.0	282.0	726.0	2.359	0.399	0.099	0.023	3.0	0.3	160.0	159.0	22.3984	3.6938	8.6823	30.9328	22.2505	6.0638	3.0348	0.0651	2.8626	3.2415	0.3789
130118047	434.0	293.0	794.0	2.764	0.56	0.136	0.043	13.0	1.0	160.0	159.0	21.3783	5.5125	-7.6517	30.9803	38.6321	3.8782	3.1873	0.0891	2.8717	3.299	0.4274
131655018	351.0	242.0	574.0	2.425	0.441	0.138	0.034	4.0	0.5	160.0	159.0	20.5408	4.2706	9.0685	31.4066	22.3381	4.8099	3.1026	0.134	2.7691	3.2845	0.5155
134279804	494.0	314.0	944.0	2.611	0.518	0.121	0.024	6.0	0.5	160.0	159.0	19.1057	5.2508	-6.5204	29.0982	35.6186	3.6386	3.2874	0.1148	2.9566	3.4733	0.5167
138434806	525.0	329.0	844.0	2.357	0.424	0.138	0.037	9.0	0.7	160.0	159.0	19.5202	5.4674	0.7341	30.6971	29.963	3.5703	3.4536	0.224	3.0946	3.8344	0.7398
154667058	666.0	351.0	1092.0	2.813	0.454	0.125	0.034	8.0	0.9	160.0	159.0	19.4954	6.2161	2.4686	35.5874	33.1188	3.1363	3.1705	0.2267	2.8219	3.5473	0.7254
158779019	593.0	382.0	1144.0	2.569	0.446	0.144	0.035	10.0	0.9	160.0	159.0	19.0835	5.0492	3.5931	33.3019	29.7088	3.7795	3.191	0.1973	2.8764	3.5539	0.6775
162526644	603.0	369.0	995.0	2.731	0.34	0.094	0.017	4.0	0.5	160.0	159.0	22.4936	4.0583	-2.2588	31.075	33.3337	5.5426	3.6088	0.1426	3.1706	3.7659	0.5952
163259093	290.0	186.0	636.0	2.86	0.463	0.157	0.035	6.0	0.4	160.0	159.0	19.8771	5.4479	7.1434	30.6818	23.5385	3.6486	3.0944	0.1198	2.8797	3.3413	0.4616
176129790	403.0	268.0	845.0	2.978	0.57	0.141	0.025	5.0	0.4	160.0	159.0	20.6424	4.5514	8.4443	33.3342	24.8899	4.5354	2.9842	0.1074	2.8482	3.292	0.4438
177928631	414.0	285.0	905.0	2.779	0.496	0.141	0.027	7.0	0.5	160.0	159.0	20.6971	5.4508	1.9467	33.0407	31.094	3.7971	3.036	0.1313	2.7977	3.3685	0.5708
182017409	806.0	481.0	1276.0	2.435	0.609	0.134	0.04	13.0	1.7	160.0	159.0	17.6317	8.575	-9.2236	32.8425	42.0661	2.0562	3.2728	0.2552	2.7616	3.7122	0.9506
189913356	362.0	231.0	522.0	2.166	0.45	0.112	0.04	5.0	0.5	160.0	159.0	18.0206	4.1217	1.0352	27.4233	26.3881	4.3721	3.2895	0.2067	2.8645	3.5592	0.6947
190100766	496.0	306.0	898.0	2.51	0.341	0.109	0.024	7.0	0.5	160.0	159.0	19.9172	6.5272	-3.9264	33.1614	37.0878	3.0514	3.1398	0.1412	2.8632	3.6058	0.7426
192039987	428.0	268.0	646.0	2.141	0.637	0.177	0.096	8.0	2.0	160.0	159.0	12.3641	5.3581	-2.5114	27.4494	29.9609	2.3076	2.7406	0.1693	2.441	3.0719	0.6309
192271174	375.0	216.0	699.0	2.606	0.421	0.123	0.027	4.0	0.5	160.0	159.0	17.1381	4.2848	4.1187	26.8455	22.7269	3.9998	2.9746	0.1395	2.7333	3.2409	0.5076
192413932	481.0	303.0	886.0	2.551	0.372	0.13	0.047	12.0	1.1	160.0	159.0	19.2059	4.807	0.4312	29.2741	28.843	3.9954	3.2699	0.1211	3.0334	3.5813	0.5479
194293030	380.0	256.0	538.0	2.244	0.408	0.111	0.016	3.0	0.2	160.0	159.0	22.1881	3.3167	11.13	32.6877	21.5577	6.6899	3.0954	0.0497	3.0085	3.258	0.2496
194324018	465.0	316.0	804.0	2.539	0.517	0.151	0.034	7.0	0.7	160.0	159.0	20.6862	5.8535	5.6214	38.1324	32.511	3.534	3.1944	0.2174	2.7857	3.539	0.7533
195168692	512.0	348.0	1040.0	2.645	0.481	0.137	0.035	7.0	0.6	160.0	159.0	21.2039	5.2578	5.3331	34.128	28.7949	4.0329	3.4705	0.1779	3.1342	3.761	0.6267
198051119	316.0	191.0	532.0	2.442	0.508	0.158	0.034	7.0	0.4	160.0	159.0	19.4463	6.1322	7.0232	34.2597	27.2365	3.1712	2.9082	0.0721	2.7505	3.0903	0.3398
199547104	526.0	359.0	840.0	2.384	0.365	0.095	0.015	4.0	0.3	160.0	159.0	23.7186	3.2743	12.6636	33.6815	21.0179	7.2439	3.3431	0.1116	3.0355	3.5598	0.5243
199809850	419.0	258.0	564.0	2.153	0.361	0.121	0.027	4.0	0.5	160.0	159.0	16.3031	4.9222	1.0092	27.0582	26.0489	3.3122	2.8652	0.0796	2.64	3.0768	0.4368
200066829	328.0	223.0	570.0	2.331	0.427	0.14	0.026	4.0	0.3	160.0	159.0	19.0877	5.3391	4.5327	28.7611	24.2283	3.5751	3.0717	0.0972	2.8571	3.2763	0.4193
210534092	413.0	276.0	941.0	2.771	0.443	0.129	0.031	5.0	0.4	160.0	159.0	19.3959	4.826	5.3998	29.3138	23.914	4.019	2.8088	0.1163	2.6417	3.0978	0.4562
211169351	576.0	407.0	969.0	2.333	0.638	0.139	0.026	6.0	0.7	160.0	159.0	21.9802	3.6382	7.9467	30.1755	22.2288	6.0415	3.34	0.1369	3.1038	3.5496	0.4458
219325366	403.0	269.0	736.0	2.399	0.349	0.122	0.024	6.0	0.3	160.0	159.0	19.8171	4.9017	5.4899	28.878	23.3881	4.0429	3.4456	0.1021	3.1909	3.6621	0.4712
