participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	624.0	405.0	968.0	2.44	0.336	0.118	0.019	7.0	0.4	51.0	50.0	19.6594	3.8738	5.9292	32.1396	26.2104	5.0749	3.0719	0.0525	2.9753	3.2505	0.2752
8454119	565.0	382.0	869.0	2.47	0.378	0.099	0.019	4.0	0.4	51.0	50.0	25.1898	4.7072	3.2249	37.7386	34.5137	5.3513	3.4896	0.1749	3.0865	3.8751	0.7885
11407866	754.0	528.0	1332.0	2.476	0.443	0.12	0.021	10.0	0.5	51.0	50.0	21.3232	5.0544	3.6013	32.2665	28.6652	4.2187	3.1748	0.0682	2.9305	3.2607	0.3301
11574123	891.0	596.0	1487.0	2.344	0.586	0.134	0.039	17.0	1.8	51.0	50.0	24.0903	5.3627	-27.9978	40.5983	68.5961	4.4922	3.2122	0.0429	3.1173	3.3829	0.2656
16684978	615.0	410.0	857.0	2.268	0.404	0.168	0.044	11.0	1.1	51.0	50.0	20.9594	5.2783	3.4896	33.9579	30.4684	3.9709	3.3683	0.0796	3.1704	3.48	0.3096
25354225	560.0	377.0	748.0	2.353	0.518	0.114	0.023	4.0	0.5	51.0	50.0	24.4734	4.1814	12.4205	35.5053	23.0848	5.8528	2.8691	0.1184	2.5462	3.1168	0.5705
25811472	979.0	644.0	1963.0	2.686	0.492	0.107	0.019	10.0	0.8	51.0	50.0	21.205	4.6235	4.4261	35.3639	30.9379	4.5864	3.1998	0.0796	2.9848	3.5362	0.5514
27876862	469.0	300.0	756.0	2.397	0.355	0.136	0.031	7.0	0.5	51.0	50.0	21.1821	5.2413	7.0344	36.2556	29.2213	4.0414	2.8295	0.0944	2.6769	3.0654	0.3886
29811890	765.0	524.0	1309.0	2.502	0.329	0.135	0.026	10.0	0.9	51.0	50.0	25.0357	5.5401	2.1085	41.256	39.1475	4.519	3.0932	0.0238	3.0398	3.1708	0.131
31361606	581.0	379.0	1098.0	2.443	0.518	0.115	0.022	6.0	0.6	51.0	50.0	23.1645	3.1578	9.0201	32.2149	23.1948	7.3357	3.0903	0.0861	2.8594	3.2971	0.4377
32938469	460.0	326.0	628.0	2.601	0.424	0.133	0.025	4.0	0.6	51.0	50.0	24.1903	4.1147	5.4988	37.1297	31.6309	5.8791	3.5084	0.0863	3.2944	3.6557	0.3613
36895554	709.0	453.0	1290.0	2.578	0.607	0.125	0.025	8.0	0.8	51.0	50.0	20.9719	4.1498	7.7196	34.2537	26.5341	5.0537	2.825	0.0613	2.6354	2.9773	0.342
37329051	616.0	432.0	1096.0	2.413	0.443	0.121	0.022	7.0	0.5	51.0	50.0	24.1871	5.2798	1.6481	39.906	38.2579	4.5811	3.3612	0.0779	3.0948	3.5134	0.4186
37835493	746.0	513.0	1230.0	2.337	0.44	0.13	0.028	9.0	0.7	51.0	50.0	20.9075	4.2443	5.1212	32.8902	27.769	4.9261	3.0203	0.0802	2.8887	3.209	0.3203
43606631	530.0	366.0	596.0	2.017	0.375	0.121	0.023	4.0	0.5	51.0	50.0	20.9699	3.4244	7.2085	30.4158	23.2074	6.1237	2.8729	0.0951	2.7049	3.0022	0.2973
49408975	560.0	377.0	1088.0	2.493	0.544	0.131	0.027	8.0	0.6	51.0	50.0	18.2146	4.6428	5.3052	34.2618	28.9566	3.9232	3.1238	0.1261	2.8774	3.4465	0.5691
51217255	558.0	392.0	1036.0	2.491	0.316	0.109	0.02	6.0	0.4	51.0	50.0	22.5237	4.5787	6.9336	33.1351	26.2015	4.9192	3.1277	0.1119	2.7622	3.2654	0.5031
52306425	607.0	433.0	969.0	2.242	0.394	0.153	0.041	8.0	1.2	51.0	50.0	18.9444	5.3749	-6.791	31.6913	38.4822	3.5246	3.5554	0.0367	3.3519	3.5951	0.2432
52835891	580.0	377.0	1059.0	2.592	0.383	0.13	0.025	8.0	0.6	51.0	50.0	20.0479	4.5066	2.6098	31.0486	28.4388	4.4486	2.947	0.0449	2.8532	3.0393	0.186
55710183	608.0	403.0	901.0	2.23	0.365	0.128	0.025	8.0	0.6	51.0	50.0	20.2838	3.8289	9.3601	29.4056	20.0454	5.2976	3.0572	0.051	2.9539	3.2139	0.2599
56162563	765.0	493.0	1388.0	2.595	0.408	0.133	0.028	10.0	0.8	51.0	50.0	22.4467	4.7952	8.4574	36.6246	28.1671	4.681	3.0593	0.1091	2.8287	3.2709	0.4422
60021964	757.0	479.0	1335.0	2.557	0.317	0.093	0.019	6.0	0.6	51.0	50.0	21.3062	4.626	6.8552	32.7438	25.8886	4.6058	3.1242	0.0762	2.994	3.2971	0.3032
62582335	630.0	407.0	1002.0	2.455	0.361	0.101	0.023	6.0	0.4	51.0	50.0	22.7366	4.8844	6.0148	34.6294	28.6146	4.655	2.9668	0.0864	2.6949	3.1353	0.4403
65198031	472.0	349.0	829.0	2.218	0.433	0.139	0.026	6.0	0.5	51.0	50.0	21.0071	3.8674	8.6553	35.6072	26.9519	5.4318	3.1117	0.139	2.9314	3.4814	0.55
70214854	530.0	369.0	822.0	2.143	0.38	0.107	0.016	5.0	0.4	51.0	50.0	23.3508	3.8457	9.9046	33.259	23.3544	6.0719	2.8202	0.0638	2.684	2.9749	0.2909
71851847	636.0	429.0	1055.0	2.335	0.491	0.118	0.022	7.0	0.5	51.0	50.0	23.4618	6.1995	-3.0876	36.1469	39.2345	3.7845	3.1798	0.0939	2.9228	3.3181	0.3954
74920331	753.0	510.0	1218.0	2.33	0.441	0.124	0.02	7.0	0.6	51.0	50.0	21.6069	3.3788	0.2744	31.9664	31.692	6.3948	3.1263	0.172	2.8264	3.5849	0.7585
77390767	727.0	461.0	1137.0	2.333	0.372	0.113	0.023	9.0	0.7	51.0	50.0	20.1461	4.9739	3.3656	39.2497	35.884	4.0503	2.9576	0.0863	2.8116	3.3015	0.4899
78982423	665.0	444.0	1292.0	2.379	0.362	0.13	0.022	9.0	0.6	51.0	50.0	19.2469	3.5082	9.1015	31.271	22.1695	5.4863	3.3411	0.0655	3.2048	3.5015	0.2967
80982198	719.0	487.0	1576.0	2.631	0.466	0.141	0.037	15.0	0.9	51.0	50.0	21.1722	5.2214	4.5221	31.8342	27.3121	4.0549	3.5709	0.1003	3.4377	3.8573	0.4196
82699044	595.0	394.0	937.0	2.206	0.321	0.11	0.02	5.0	0.5	51.0	50.0	20.8101	4.5981	4.301	31.4176	27.1167	4.5258	3.1809	0.1823	2.766	3.377	0.611
84407714	588.0	389.0	993.0	2.461	0.474	0.104	0.018	4.0	0.5	51.0	50.0	21.8337	3.0577	8.0575	30.6323	22.5749	7.1406	2.846	0.094	2.6854	3.0441	0.3588
86226939	560.0	396.0	688.0	2.091	0.369	0.129	0.03	7.0	0.6	51.0	50.0	20.8454	5.4119	3.9342	34.6096	30.6754	3.8518	3.0159	0.0687	2.91	3.2015	0.2915
93800202	583.0	402.0	1277.0	2.739	0.553	0.126	0.024	6.0	0.5	51.0	50.0	24.0049	4.1592	6.3454	33.4394	27.094	5.7716	3.0634	0.0244	2.9717	3.1355	0.1638
97005004	990.0	690.0	2034.0	2.599	0.473	0.128	0.026	14.0	1.0	51.0	50.0	23.1645	5.5082	-0.965	37.6244	38.5895	4.2054	3.1393	0.1113	2.8701	3.6505	0.7804
100527940	641.0	452.0	1114.0	2.522	0.467	0.137	0.033	9.0	0.9	51.0	50.0	23.1368	6.4052	-4.1577	38.9311	43.0887	3.6122	3.3657	0.0655	3.1949	3.5157	0.3208
103652366	544.0	376.0	930.0	2.2	0.5	0.116	0.021	6.0	0.5	51.0	50.0	21.734	4.5834	-17.5611	34.034	51.5951	4.7419	2.7299	0.0651	2.6042	3.0086	0.4043
105914514	605.0	413.0	895.0	2.447	0.477	0.094	0.016	5.0	0.3	51.0	50.0	22.413	5.0143	6.3753	34.747	28.3717	4.4698	3.2553	0.0814	3.0602	3.5422	0.4819
107578676	603.0	411.0	1230.0	2.615	0.47	0.137	0.035	12.0	0.7	51.0	50.0	23.59	6.738	3.2116	40.6355	37.424	3.5011	3.36	0.0517	3.1081	3.4256	0.3175
108828000	546.0	358.0	741.0	2.451	0.306	0.118	0.022	4.0	0.5	51.0	50.0	22.9484	3.3719	13.0699	34.691	21.6211	6.8058	3.0411	0.1115	2.8616	3.2344	0.3728
113335479	671.0	462.0	977.0	2.321	0.405	0.102	0.016	6.0	0.3	51.0	50.0	21.8841	3.4708	9.3551	34.2352	24.8801	6.3051	3.3336	0.0797	3.1112	3.5483	0.4371
115784129	685.0	445.0	932.0	2.184	0.381	0.119	0.037	8.0	0.9	51.0	50.0	17.8111	6.1571	-4.0334	38.5565	42.59	2.8928					
119126177	454.0	332.0	753.0	2.373	0.32	0.118	0.016	4.0	0.3	51.0	50.0	21.6144	4.0722	9.3321	32.9452	23.6131	5.3078	3.0653	0.0857	2.8796	3.315	0.4353
121697273	614.0	400.0	809.0	2.307	0.382	0.124	0.022	6.0	0.5	51.0	50.0	23.3892	3.8607	5.1805	36.1955	31.0151	6.0584	3.3749	0.0782	3.1964	3.5702	0.3737
130118047	948.0	625.0	1837.0	2.604	0.43	0.098	0.013	10.0	0.5	51.0	50.0	22.9456	3.8883	5.449	33.0363	27.5873	5.9012	3.2296	0.0399	3.1048	3.3647	0.2599
131655018	530.0	338.0	686.0	2.054	0.34	0.125	0.027	6.0	0.4	51.0	50.0	18.4031	4.6396	6.6962	28.8142	22.1179	3.9666	2.901	0.0421	2.8285	2.9793	0.1508
134279804	668.0	439.0	1098.0	2.312	0.425	0.118	0.024	8.0	0.5	51.0	50.0	18.9038	4.7439	4.1887	29.2007	25.0121	3.9849	3.1312	0.0444	3.0247	3.2212	0.1965
138434806	738.0	485.0	1001.0	2.195	0.384	0.117	0.023	6.0	0.6	51.0	50.0	21.8493	3.454	7.0822	30.9075	23.8253	6.3258	3.1034	0.0544	2.9075	3.3652	0.4577
154667058	816.0	544.0	1467.0	2.387	0.517	0.104	0.02	7.0	0.6	51.0	50.0	21.7889	4.3298	8.751	33.1085	24.3575	5.0323	3.026	0.1133	2.7227	3.3006	0.5778
158779019	839.0	554.0	1462.0	2.243	0.458	0.129	0.031	13.0	1.0	51.0	50.0	20.3929	4.686	-1.6844	34.1357	35.8201	4.3519	3.4131	0.1194	3.0547	3.6541	0.5994
162526644	603.0	386.0	1352.0	2.791	0.5	0.119	0.038	11.0	1.0	51.0	50.0	20.2941	5.5994	-9.2856	34.5496	43.8352	3.6243	3.2205	0.145	2.9225	3.56	0.6374
163259093	561.0	372.0	1003.0	2.429	0.352	0.111	0.03	8.0	0.6	51.0	50.0	22.6632	4.2903	5.9708	35.3819	29.4111	5.2825	2.877	0.1035	2.6909	3.1326	0.4417
176129790	879.0	616.0	1374.0	2.183	0.465	0.115	0.017	7.0	0.7	51.0	50.0	20.9562	4.752	4.6846	34.439	29.7545	4.4099	3.2653	0.0378	3.143	3.3523	0.2093
177928631	640.0	426.0	782.0	2.106	0.287	0.105	0.02	5.0	0.5	51.0	50.0	20.3714	4.0552	3.0763	28.9978	25.9215	5.0236	3.4289	0.1285	3.1413	3.6074	0.4661
182017409	931.0	603.0	1593.0	2.438	0.384	0.119	0.025	11.0	1.0	51.0	50.0	20.6707	6.043	-4.0278	33.0143	37.042	3.4206	3.4004	0.1435	3.1743	3.8186	0.6444
189913356	637.0	406.0	712.0	2.034	0.402	0.106	0.022	5.0	0.5	51.0	50.0	23.1846	5.0022	5.3668	46.3594	40.9926	4.6349	3.1449	0.0765	3.0285	3.2688	0.2403
190100766	827.0	509.0	1294.0	2.411	0.37	0.103	0.022	7.0	0.6	51.0	50.0	22.0536	5.1073	3.2745	37.3487	34.0742	4.3181	3.4498	0.0748	3.2371	3.6252	0.3881
192039987	385.0	260.0	562.0	2.256	0.526	0.132	0.045	5.0	0.8	51.0	50.0	15.7653	4.2583	4.2691	27.902	23.633	3.7022	3.0481	0.0454	2.9233	3.2262	0.303
192271174	593.0	411.0	867.0	2.283	0.291	0.117	0.023	6.0	0.4	51.0	50.0	21.2237	4.4158	6.5954	34.3914	27.796	4.8063	3.3776	0.0694	3.1671	3.5959	0.4287
192413932	809.0	526.0	1212.0	2.201	0.36	0.102	0.021	8.0	0.6	51.0	50.0	19.8471	3.8994	8.2054	30.8173	22.612	5.0897	3.0506	0.0533	2.9636	3.2443	0.2807
194293030	726.0	503.0	1060.0	2.278	0.293	0.09	0.013	5.0	0.4	51.0	50.0	20.474	2.9993	10.094	30.4077	20.3137	6.8263	3.3764	0.0849	3.1167	3.5619	0.4453
194324018	819.0	552.0	1396.0	2.381	0.303	0.122	0.03	10.0	0.8	51.0	50.0	21.3142	4.7586	5.7299	35.2695	29.5397	4.4791	3.0405	0.0522	2.9118	3.2066	0.2947
195168692	547.0	369.0	880.0	2.593	0.431	0.134	0.032	6.0	0.6	51.0	50.0	22.8478	4.9357	5.5674	33.1274	27.56	4.6291	3.4174	0.0792	3.2413	3.527	0.2857
198051119	580.0	382.0	803.0	2.238	0.358	0.118	0.027	6.0	0.5	51.0	50.0	21.1781	3.7569	8.0556	33.3997	25.3441	5.6371	3.1758	0.1098	2.964	3.4416	0.4776
199547104	846.0	530.0	1310.0	2.465	0.323	0.101	0.019	8.0	0.6	51.0	50.0	21.7047	4.4465	5.8179	30.7373	24.9195	4.8813	3.2808	0.1654	2.8719	3.5221	0.6502
199809850	627.0	394.0	1013.0	2.474	0.473	0.132	0.029	8.0	0.6	51.0	50.0	18.2998	5.0654	4.7586	34.7945	30.0359	3.6127	3.2057	0.1306	3.0286	3.5025	0.4739
200066829	648.0	428.0	865.0	2.031	0.437	0.122	0.023	7.0	0.6	51.0	50.0	21.2994	4.543	7.0327	30.9797	23.947	4.6884	3.0769	0.0458	2.9525	3.2078	0.2553
210534092	769.0	512.0	1124.0	2.222	0.426	0.112	0.02	8.0	0.5	51.0	50.0	21.012	4.4216	5.8914	36.7612	30.8699	4.7522	3.0281	0.0612	2.9018	3.1768	0.2751
211169351	1198.0	790.0	2163.0	2.428	0.461	0.123	0.033	16.0	1.8	51.0	50.0	19.0921	4.1716	-0.2803	28.9527	29.233	4.5767	3.1397	0.075	2.9781	3.2993	0.3211
219325366	662.0	417.0	846.0	2.252	0.349	0.095	0.015	4.0	0.4	51.0	50.0	21.4241	3.7436	11.0876	32.3587	21.2711	5.7228	2.9591	0.0726	2.8367	3.1617	0.325
221853583	695.0	493.0	1389.0	2.458	0.504	0.124	0.024	8.0	0.7	51.0	50.0	22.9516	5.0473	6.7579	36.1125	29.3547	4.5473	3.0355	0.1	2.8229	3.1951	0.3722
225017631	795.0	508.0	1247.0	2.215	0.571	0.125	0.04	10.0	1.2	51.0	50.0	21.5951	6.2607	1.5341	36.342	34.8079	3.4493	3.5941	0.0462	3.4665	3.7087	0.2422
228519096	604.0	394.0	692.0	2.203	0.373	0.101	0.017	3.0	0.4	51.0	50.0	21.8154	3.5561	8.7758	33.5928	24.8169	6.1346	3.4078	0.0972	3.2354	3.6007	0.3653
232853819	608.0	415.0	866.0	2.36	0.389	0.109	0.021	4.0	0.5	51.0	50.0	20.3335	3.121	11.9938	31.8055	19.8117	6.515	3.3414	0.1137	2.9811	3.45	0.4689
233205461	628.0	424.0	1042.0	2.53	0.353	0.11	0.019	6.0	0.4	51.0	50.0	22.5761	4.5176	6.6835	33.8708	27.1874	4.9974	3.6055	0.0728	3.3758	3.7607	0.3849
233932345	681.0	423.0	940.0	2.34	0.32	0.103	0.025	6.0	0.6	51.0	50.0	20.4471	4.3525	-1.5509	34.2516	35.8025	4.6978	3.0335	0.0357	2.9366	3.1264	0.1898
234528430	694.0	467.0	980.0	2.22	0.426	0.117	0.019	7.0	0.4	51.0	50.0	20.7016	3.5614	7.3993	30.6997	23.3004	5.8128	3.1603	0.0706	3.0349	3.3629	0.328
235478560	645.0	406.0	1141.0	2.445	0.405	0.139	0.032	10.0	0.8	51.0	50.0	21.4988	4.7994	7.5355	35.8651	28.3296	4.4794	2.8162	0.0761	2.5972	2.9976	0.4004
248138276	551.0	385.0	797.0	2.234	0.369	0.124	0.034	7.0	0.7	51.0	50.0	20.6033	3.9845	9.4322	31.1321	21.6999	5.1709	3.0518	0.1059	2.8468	3.3674	0.5206
248585929	717.0	482.0	1090.0	2.406	0.397	0.108	0.017	5.0	0.5	51.0	50.0	23.1547	3.6757	8.5182	32.9981	24.4799	6.2994					
250211156	716.0	489.0	1096.0	2.239	0.505	0.116	0.02	7.0	0.5	51.0	50.0	23.7641	4.2803	7.1466	37.156	30.0094	5.5519	3.2061	0.1032	2.9776	3.4143	0.4367
253771324	644.0	417.0	894.0	2.376	0.348	0.114	0.02	5.0	0.5	51.0	50.0	19.9326	3.4825	9.266	28.2747	19.0087	5.7237	3.3649	0.0715	3.2132	3.5263	0.3131
254383703	596.0	406.0	1049.0	2.372	0.386	0.121	0.022	8.0	0.5	51.0	50.0	19.4323	4.6499	3.5045	29.4492	25.9447	4.1791	3.452	0.0339	3.356	3.5536	0.1976
255089519	524.0	362.0	634.0	2.139	0.356	0.12	0.023	4.0	0.5	51.0	50.0	20.9263	3.6625	5.7836	32.4193	26.6357	5.7136	2.9503	0.0441	2.8707	3.0407	0.17
255246595	763.0	474.0	1273.0	2.397	0.48	0.113	0.022	9.0	0.6	51.0	50.0	20.6005	4.7531	8.8356	39.8606	31.0251	4.3341	3.332	0.0342	3.2111	3.4456	0.2345
261887422	884.0	589.0	1473.0	2.413	0.345	0.118	0.022	11.0	0.7	51.0	50.0	21.314	4.6247	0.0796	36.4567	36.3771	4.6087	3.3258	0.0663	3.1326	3.4671	0.3345
263354790	815.0	550.0	1272.0	2.406	0.365	0.131	0.028	11.0	0.9	51.0	50.0	21.4754	4.2881	5.9661	32.6821	26.716	5.0081	3.4256	0.0541	3.3317	3.6024	0.2707
265721632	856.0	558.0	1238.0	2.419	0.519	0.106	0.025	6.0	0.8	51.0	50.0	21.8272	6.5651	-2.4334	39.8422	42.2756	3.3247	3.2121	0.0911	2.9968	3.4313	0.4346
272468530	576.0	375.0	884.0	2.134	0.414	0.133	0.026	10.0	0.5	51.0	50.0	20.8742	5.8698	5.524	35.06	29.536	3.5562	3.137	0.0273	3.0359	3.1958	0.1598
272785799	699.0	466.0	1374.0	2.629	0.381	0.135	0.029	11.0	0.9	51.0	50.0	21.5985	5.2871	-7.453	37.3812	44.8341	4.0852	3.0714	0.0988	2.8045	3.2595	0.455
273547252	532.0	345.0	834.0	2.528	0.286	0.107	0.02	4.0	0.4	51.0	50.0	24.5507	3.8267	11.8952	34.7106	22.8154	6.4157	3.4127	0.113	3.1981	3.5947	0.3966
276761217	630.0	424.0	931.0	2.337	0.355	0.13	0.024	8.0	0.6	51.0	50.0	19.7716	4.424	2.1622	29.9909	27.8287	4.4692	3.0872	0.0626	2.9376	3.1863	0.2487
277233792	709.0	470.0	1062.0	2.43	0.438	0.117	0.021	8.0	0.6	51.0	50.0	22.5337	4.6016	7.5568	38.073	30.5163	4.8969					
277985884	554.0	369.0	680.0	2.084	0.328	0.106	0.017	4.0	0.3	51.0	50.0	21.3612	4.2976	7.0908	32.0583	24.9675	4.9705	2.9573	0.1678	2.6926	3.2415	0.5489
278814796	689.0	448.0	1070.0	2.276	0.443	0.097	0.017	5.0	0.4	51.0	50.0	21.005	4.0276	4.7816	29.695	24.9134	5.2153	2.8706	0.0751	2.6413	3.0494	0.4081
281446151	686.0	450.0	1241.0	2.65	0.334	0.085	0.01	5.0	0.2	51.0	50.0	23.2117	2.6922	11.6849	30.8817	19.1968	8.6218	3.2641	0.0257	3.18	3.3594	0.1794
283366029	701.0	467.0	1386.0	2.574	0.557	0.105	0.017	8.0	0.4	51.0	50.0	22.3834	4.8222	8.2841	41.0493	32.7652	4.6417	3.1075	0.0552	2.8746	3.2284	0.3538
287967180	652.0	409.0	1080.0	2.352	0.333	0.113	0.027	8.0	0.5	51.0	50.0	19.7409	3.9613	3.6368	30.093	26.4562	4.9835	3.0616	0.0755	2.8926	3.2379	0.3453
292946269	732.0	479.0	1570.0	2.701	0.566	0.1	0.016	6.0	0.4	51.0	50.0	22.4761	3.5386	5.692	31.7515	26.0595	6.3518	3.3279	0.1333	3.0121	3.5871	0.575
292969238	623.0	426.0	818.0	2.511	0.345	0.12	0.024	5.0	0.7	51.0	50.0	25.3552	5.0483	-18.4514	35.9534	54.4048	5.0225	3.3822	0.1576	3.038	3.5479	0.5099
296947353	1070.0	690.0	1709.0	2.542	0.328	0.108	0.022	9.0	0.8	51.0	50.0	22.7417	4.0812	8.7778	33.5485	24.7707	5.5723	3.3711	0.1523	3.0548	3.6206	0.5658
299894413	839.0	564.0	1312.0	2.533	0.467	0.111	0.019	7.0	0.6	51.0	50.0	24.5532	3.8503	8.7587	34.5138	25.755	6.3769	3.2407	0.1407	3.1306	3.7656	0.635
300988508	686.0	435.0	892.0	2.021	0.336	0.13	0.026	10.0	0.7	51.0	50.0	18.607	4.4506	4.3272	29.5011	25.1739	4.1808	2.9231	0.1062	2.6984	3.1514	0.453
306816217	618.0	441.0	1077.0	2.551	0.387	0.096	0.013	6.0	0.3	51.0	50.0	24.2504	4.1402	4.9273	32.6708	27.7435	5.8573	3.3905	0.0622	3.2154	3.501	0.2856
307169010	803.0	521.0	1454.0	2.447	0.468	0.117	0.024	9.0	0.8	51.0	50.0	20.7665	3.8035	7.3815	31.4862	24.1048	5.4599	3.4378	0.1346	3.1494	3.6653	0.5159
307804547	540.0	355.0	701.0	2.221	0.342	0.134	0.032	6.0	0.6	51.0	50.0	21.5207	3.9925	8.4039	31.0224	22.6185	5.3903	3.1394	0.1058	2.9241	3.4538	0.5297
308228517	615.0	405.0	1184.0	2.408	0.515	0.112	0.02	7.0	0.6	51.0	50.0	26.2351	4.6468	8.1018	40.6218	32.5201	5.6458	2.9221	0.0812	2.7	3.1083	0.4083
309129555	550.0	356.0	977.0	2.438	0.378	0.127	0.029	8.0	0.5	51.0	50.0	20.5799	3.9607	9.1083	30.9097	21.8014	5.196	3.1748	0.0437	2.9539	3.2434	0.2895
310631091	484.0	323.0	718.0	2.417	0.4	0.089	0.012	2.0	0.2	51.0	50.0	25.2843	3.445	9.1036	38.1421	29.0385	7.3395	2.9723	0.0738	2.8657	3.1253	0.2596
316324995	569.0	383.0	810.0	2.425	0.386	0.085	0.014	2.0	0.3	51.0	50.0	28.5505	3.9512	9.8799	43.6748	33.7949	7.2258	3.0585	0.1036	2.8204	3.2618	0.4415
320127697	685.0	492.0	1244.0	2.32	0.467	0.133	0.021	7.0	0.6	51.0	50.0	23.1729	4.1566	7.3274	34.9536	27.6263	5.575	3.316	0.1319	2.9218	3.5439	0.6221
322458406	722.0	452.0	1473.0	2.562	0.418	0.109	0.021	9.0	0.6	51.0	50.0	23.9422	4.7388	-1.4995	37.4351	38.9346	5.0524	3.166	0.1724	2.8128	3.492	0.6792
324718088	496.0	316.0	594.0	2.344	0.352	0.117	0.028	4.0	0.5	51.0	50.0	22.0563	3.5317	12.1155	32.186	20.0705	6.2453	3.0726	0.0565	2.8572	3.3121	0.455
326891280	625.0	396.0	865.0	2.224	0.449	0.124	0.024	7.0	0.5	51.0	50.0	20.0987	3.4003	10.2461	29.967	19.7209	5.9108	3.4509	0.0636	3.3039	3.5674	0.2636
334290435	728.0	486.0	1149.0	2.354	0.317	0.118	0.021	8.0	0.6	51.0	50.0	20.5384	4.6487	4.6937	31.5739	26.8803	4.4181	3.0347	0.0436	2.9446	3.2269	0.2823
334468298	733.0	489.0	985.0	2.29	0.385	0.107	0.02	5.0	0.6	51.0	50.0	20.2861	3.4683	10.6019	30.0307	19.4289	5.8489	2.8093	0.2488	2.5117	3.1747	0.6631
335003211	677.0	424.0	1351.0	2.698	0.503	0.109	0.023	6.0	0.6	51.0	50.0	20.2927	3.7797	6.8403	29.6424	22.8021	5.3688	3.0523	0.0971	2.768	3.247	0.4789
335104664	543.0	357.0	761.0	2.232	0.361	0.108	0.022	5.0	0.4	51.0	50.0	22.072	4.3559	8.3341	32.605	24.2709	5.0671	3.254	0.0223	3.1663	3.2956	0.1292
336426329	637.0	440.0	1197.0	2.388	0.465	0.133	0.028	9.0	0.6	51.0	50.0	22.2632	5.4901	0.8947	34.6291	33.7344	4.0552	3.6427	0.0602	3.5409	3.775	0.234
337120853	632.0	447.0	924.0	2.287	0.474	0.128	0.028	7.0	0.6	51.0	50.0	18.5776	5.5698	-2.9706	32.3425	35.3131	3.3354	3.5061	0.0892	3.1966	3.6195	0.423
340803193	775.0	576.0	1362.0	2.515	0.338	0.115	0.018	6.0	0.6	51.0	50.0	20.0304	3.7742	7.0441	30.9186	23.8745	5.3072	3.3215	0.0269	3.2197	3.3812	0.1616
342333582	869.0	569.0	1612.0	2.629	0.497	0.115	0.024	8.0	0.7	51.0	50.0	20.6995	5.1213	-1.8909	37.4124	39.3033	4.0419	3.0144	0.0867	2.799	3.2659	0.4669
344766746	676.0	448.0	981.0	2.212	0.415	0.108	0.022	5.0	0.7	51.0	50.0	22.8785	4.9724	-0.5729	39.913	40.4859	4.6011	3.0748	0.1094	2.8863	3.3534	0.4671
348711479	850.0	549.0	1339.0	2.216	0.421	0.095	0.016	7.0	0.6	51.0	50.0	20.5995	4.08	0.4598	31.9676	31.5078	5.0489	2.9591	0.0945	2.8071	3.1458	0.3387
348742929	639.0	419.0	1070.0	2.27	0.424	0.139	0.034	8.0	0.8	51.0	50.0	19.6147	4.4843	6.107	34.6578	28.5508	4.3741	3.0186	0.1204	2.7704	3.2526	0.4823
349934174	772.0	509.0	1282.0	2.492	0.424	0.135	0.029	14.0	0.7	51.0	50.0	22.8783	5.9375	-3.1703	34.4211	37.5914	3.8532	3.0994	0.0648	2.9429	3.2361	0.2932
351109165	591.0	398.0	1212.0	2.442	0.499	0.135	0.031	9.0	0.7	51.0	50.0	20.8615	4.8282	6.6887	33.0731	26.3845	4.3207	3.3406	0.1391	2.9221	3.5011	0.5789
352505908	726.0	491.0	1270.0	2.589	0.352	0.114	0.02	8.0	0.6	51.0	50.0	22.5369	4.5564	5.7981	34.0758	28.2777	4.9462	3.0593	0.0312	2.9819	3.1909	0.209
