participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1341.0	847.0	2747.0	2.47	0.629	0.149	0.051	39.0	3.1	94.0	93.0	19.8233	10.2696	-31.1683	38.7431	69.9114	1.9303	2.3058	0.0714	2.0902	2.5264	0.4362
8454119	1604.0	1076.0	2894.0	2.197	0.674	0.152	0.047	34.0	3.1	94.0	93.0	20.0379	8.1279	-27.8338	48.2866	76.1205	2.4653	2.3774	0.1161	2.1401	2.6629	0.5228
11407866	1361.0	878.0	2948.0	2.531	0.655	0.126	0.045	32.0	2.5	94.0	93.0	21.562	8.1047	-21.4235	44.2838	65.7073	2.6604	2.3508	0.073	2.0965	2.5167	0.4203
11574123	1335.0	932.0	2920.0	2.519	0.545	0.14	0.034	29.0	1.9	94.0	93.0	24.4852	7.2811	-5.7074	47.1598	52.8672	3.3629	2.2529	0.0201	2.1967	2.3265	0.1298
16684978	987.0	717.0	2276.0	2.446	0.609	0.176	0.064	30.0	3.0	94.0	93.0	20.6118	7.4195	-10.5328	38.8769	49.4097	2.7781	2.2781	0.0435	2.1409	2.4741	0.3332
25354225	828.0	653.0	2158.0	2.774	0.652	0.17	0.043	24.0	1.6	94.0	93.0	22.5438	8.8301	-29.1794	42.4409	71.6203	2.5531	2.1933	0.06	2.0895	2.3398	0.2503
25811472	1161.0	819.0	2812.0	2.578	0.642	0.15	0.037	35.0	1.7	94.0	93.0	19.9912	8.735	-33.8248	39.7892	73.614	2.2886	2.3396	0.0484	2.2365	2.499	0.2625
27876862	969.0	689.0	1819.0	2.168	0.539	0.153	0.041	30.0	1.7	94.0	93.0	17.531	7.3854	-17.417	34.8829	52.2999	2.3737	2.11	0.0486	2.0146	2.2591	0.2445
29811890	1011.0	806.0	2738.0	2.695	0.675	0.152	0.031	27.0	1.2	94.0	93.0	22.3386	9.2526	-17.064	45.4905	62.5545	2.4143	2.1841	0.0606	2.0513	2.3081	0.2568
31361606	885.0	700.0	2089.0	2.419	0.547	0.175	0.05	36.0	2.2	94.0	93.0	21.8366	7.3601	-13.6737	40.9556	54.6293	2.9669	2.1597	0.0423	2.0679	2.3387	0.2709
32938469	1240.0	852.0	3070.0	2.674	0.679	0.14	0.047	31.0	2.1	94.0	93.0	20.1651	7.4346	-17.534	40.4949	58.0289	2.7123	2.3083	0.1132	2.0749	2.5165	0.4415
36895554	959.0	695.0	2412.0	2.55	0.631	0.157	0.052	28.0	2.1	94.0	93.0	22.8712	7.7243	-17.684	47.913	65.597	2.9609	2.1344	0.0504	2.008	2.2987	0.2907
37329051	1000.0	716.0	2640.0	2.799	0.586	0.158	0.047	28.0	1.6	94.0	93.0	21.9101	7.6655	-6.107	42.4449	48.552	2.8583	2.4499	0.0838	2.2321	2.6339	0.4018
37835493	1315.0	877.0	2307.0	2.15	0.504	0.139	0.024	29.0	1.3	94.0	93.0	19.754	7.1183	-22.4632	36.2215	58.6848	2.7751	2.2017	0.0413	2.1318	2.3492	0.2174
43606631	1213.0	779.0	1999.0	2.141	0.549	0.144	0.044	30.0	2.1	94.0	93.0	21.7093	6.9553	-9.6144	41.346	50.9604	3.1212	2.1982	0.0234	2.1262	2.2894	0.1632
49408975	1072.0	778.0	2345.0	2.421	0.633	0.15	0.046	31.0	1.9	94.0	93.0	20.3068	7.9341	-23.8557	40.3274	64.1831	2.5594	2.2982	0.0473	2.1512	2.4243	0.2731
51217255	1247.0	843.0	2356.0	2.235	0.557	0.139	0.033	37.0	1.8	94.0	93.0	19.3492	7.6038	-11.334	39.0212	50.3553	2.5447	2.1896	0.0236	2.1104	2.2484	0.138
