participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	264.0	183.0	420.0	2.708	0.416	0.125	0.025	2.0	0.2	103.0	102.0	20.9695	3.7886	11.8458	32.3405	20.4947	5.5349	4.8823	0.2143	4.4445	5.2333	0.7887
8454119	331.0	231.0	573.0	2.933	0.369	0.15	0.035	6.0	0.5	103.0	102.0	22.2771	5.8002	-1.5916	34.7252	36.3168	3.8407	5.3742	0.0554	5.153	5.5038	0.3508
11407866	306.0	218.0	448.0	2.655	0.322	0.097	0.013	1.0	0.2	103.0	102.0	22.6495	3.8894	14.1503	33.7034	19.5531	5.8233	5.2493	0.2801	4.8553	5.5591	0.7038
11574123	259.0	183.0	492.0	3.399	0.511	0.125	0.02	2.0	0.2	103.0	102.0	23.5984	4.6755	12.5004	35.6093	23.1089	5.0472	5.0176	0.1946	4.5005	5.2652	0.7647
16684978	201.0	144.0	302.0	2.793	0.399	0.135	0.035	2.0	0.3	103.0	102.0	20.6417	5.4728	5.9439	30.5777	24.6337	3.7717	4.7359	0.0529	4.5377	4.8855	0.3478
25354225	291.0	196.0	545.0	3.058	0.436	0.115	0.027	2.0	0.3	103.0	102.0	20.7464	4.6508	9.3564	31.8243	22.4679	4.4609	5.1483	0.1752	4.7587	5.5315	0.7729
25811472	313.0	203.0	585.0	3.283	0.358	0.118	0.025	3.0	0.2	103.0	102.0	21.7823	5.1036	8.8955	32.2707	23.3752	4.268	5.3786	0.1122	5.2538	5.5618	0.308
27876862	255.0	160.0	459.0	3.666	0.647	0.168	0.062	6.0	0.8	103.0	102.0	21.9405	7.1217	-4.8297	33.3807	38.2104	3.0808	4.1149	0.0192	4.0431	4.1439	0.1008
29811890	298.0	200.0	518.0	3.167	0.485	0.126	0.027	2.0	0.3	103.0	102.0	23.1005	4.4494	9.2138	35.437	26.2232	5.1918	5.6928	0.1697	5.2833	6.1517	0.8684
31361606	213.0	146.0	310.0	2.479	0.32	0.126	0.029	2.0	0.2	103.0	102.0	20.3943	3.5482	11.7154	29.0479	17.3324	5.7478	4.5995	0.1135	4.387	4.856	0.469
32938469	356.0	237.0	676.0	2.868	0.459	0.128	0.029	5.0	0.5	103.0	102.0	20.5089	4.7733	7.1904	33.5972	26.4069	4.2966	5.3716	0.0708	5.2552	5.5682	0.313
36895554	254.0	178.0	375.0	2.731	0.531	0.123	0.023	2.0	0.2	103.0	102.0	22.6076	4.0133	10.7215	31.863	21.1415	5.6332	4.9183	0.0323	4.8494	4.9709	0.1216
37329051	225.0	160.0	418.0	3.43	0.583	0.107	0.016	1.0	0.1	103.0	102.0	25.3166	4.4129	14.2529	36.2078	21.9549	5.737	5.1947	0.2209	4.7616	5.3944	0.6329
37835493	268.0	178.0	398.0	2.819	0.318	0.123	0.025	2.0	0.3	103.0	102.0	21.2727	4.6996	8.6613	30.4562	21.7949	4.5265	4.7903	0.1585	4.4978	4.9954	0.4975
43606631	255.0	186.0	328.0	2.297	0.557	0.128	0.025	2.0	0.3	103.0	102.0	21.5947	4.1229	11.678	31.8886	20.2106	5.2377	5.1379	0.1475	4.9149	5.3961	0.4813
49408975	262.0	176.0	448.0	2.857	0.435	0.098	0.015	2.0	0.1	103.0	102.0	20.4883	3.9257	3.6968	32.1174	28.4206	5.219	4.9347	0.1925	4.4319	5.2604	0.8285
51217255	263.0	186.0	415.0	2.521	0.315	0.123	0.025	2.0	0.3	103.0	102.0	21.3626	3.6154	11.2348	32.2433	21.0085	5.9088	5.2388	0.2163	4.8716	5.6163	0.7447
52306425	293.0	199.0	457.0	2.607	0.359	0.128	0.03	3.0	0.2	103.0	102.0	20.1264	5.104	6.8985	32.3793	25.4808	3.9432	5.1777	0.1026	4.898	5.2902	0.3922
52835891	221.0	155.0	374.0	3.088	0.554	0.112	0.021	1.0	0.2	103.0	102.0	21.1668	3.9196	9.1527	30.7212	21.5685	5.4002	4.3396	0.083	4.1446	4.4362	0.2916
55710183	291.0	190.0	423.0	2.749	0.503	0.137	0.027	3.0	0.4	103.0	102.0	21.9581	4.9982	7.8639	35.6653	27.8014	4.3932	5.47	0.1275	5.2025	5.7246	0.5221
56162563	328.0	221.0	456.0	2.554	0.397	0.119	0.023	3.0	0.2	103.0	102.0	21.7484	3.5568	11.897	30.4293	18.5323	6.1145	5.2067	0.0964	4.8615	5.3462	0.4847
60021964	276.0	191.0	460.0	3.378	0.524	0.11	0.021	1.0	0.2	103.0	102.0	23.2115	4.3335	9.5145	32.9159	23.4014	5.3564	4.7978	0.2485	4.3898	5.0462	0.6564
62582335	249.0	166.0	394.0	2.653	0.441	0.121	0.025	2.0	0.2	103.0	102.0	20.775	3.9927	10.0052	28.4403	18.4351	5.2033	4.8119	0.201	4.5325	5.1868	0.6543
65198031	272.0	185.0	487.0	3.0	0.336	0.106	0.022	2.0	0.2	103.0	102.0	20.4273	3.9832	8.1029	31.4339	23.331	5.1284	4.7815	0.089	4.5023	4.9498	0.4475
70214854	271.0	182.0	429.0	2.708	0.336	0.139	0.031	3.0	0.4	103.0	102.0	23.1295	3.7332	12.2383	31.496	19.2577	6.1957	4.1741	0.0188	4.1361	4.2456	0.1095
71851847	283.0	183.0	496.0	3.216	0.603	0.106	0.019	2.0	0.2	103.0	102.0	24.4161	4.6556	10.3988	36.2493	25.8504	5.2444	5.1148	0.0203	5.0712	5.1663	0.0952
74920331	285.0	193.0	467.0	2.7	0.276	0.116	0.031	3.0	0.3	103.0	102.0	19.3468	4.7819	1.517	32.3268	30.8099	4.0459	5.0998	0.1128	4.7256	5.3306	0.6051
