participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	667.0	431.0	1410.0	3.017	0.43	0.131	0.03	6.0	0.9	101.0	100.0	21.6987	5.8299	1.5888	35.8966	34.3078	3.722	4.629	0.2361	3.9232	5.1555	1.2323
8454119	666.0	457.0	1782.0	3.251	0.51	0.144	0.031	12.0	0.8	101.0	100.0	22.0673	6.5095	1.9598	38.5529	36.5931	3.39	5.0333	0.3613	4.1252	5.5022	1.377
11407866	794.0	538.0	2085.0	3.302	0.455	0.122	0.025	10.0	0.8	101.0	100.0	21.7058	5.5275	3.6374	35.4945	31.8571	3.9269	5.0229	0.3737	4.1199	5.4923	1.3724
11574123	731.0	497.0	1505.0	2.888	0.479	0.151	0.026	12.0	0.8	101.0	100.0	21.3902	6.4974	1.579	36.7531	35.1741	3.2921	4.8785	0.1933	4.4187	5.2317	0.8131
16684978	467.0	329.0	1057.0	2.724	0.384	0.158	0.029	7.0	0.6	101.0	100.0	20.2868	5.1363	6.7563	33.4503	26.694	3.9497	4.7111	0.1466	4.3826	4.9662	0.5835
25354225	727.0	460.0	1751.0	3.216	0.658	0.118	0.037	9.0	1.0	101.0	100.0	21.0693	7.209	-18.5945	35.4494	54.0438	2.9226	5.0884	0.1457	4.4516	5.3324	0.8807
25811472	757.0	541.0	1938.0	3.144	0.567	0.136	0.022	10.0	0.8	101.0	100.0	21.9487	5.3348	8.5807	37.7506	29.1698	4.1142	5.271	0.1512	4.5133	5.5491	1.0358
27876862	440.0	304.0	1146.0	3.047	0.828	0.174	0.06	10.0	1.1	101.0	100.0	18.0609	5.9458	1.43	33.7439	32.3139	3.0376	3.836	0.1066	3.5421	4.1281	0.586
29811890	688.0	434.0	1764.0	3.625	0.5	0.135	0.03	10.0	0.9	101.0	100.0	23.0177	6.2963	3.7306	36.5348	32.8041	3.6558	5.2514	0.3669	4.2153	6.0793	1.864
31361606	490.0	328.0	915.0	2.453	0.481	0.144	0.029	7.0	0.6	101.0	100.0	17.8206	5.4686	-0.3065	31.681	31.9875	3.2587	4.4373	0.0937	4.1411	4.7113	0.5703
32938469	711.0	475.0	1711.0	3.1	0.838	0.153	0.043	12.0	1.5	101.0	100.0	19.0547	8.0663	-0.4241	41.1225	41.5466	2.3623	4.6993	0.4276	4.1504	5.5451	1.3947
36895554	607.0	412.0	1507.0	3.03	0.406	0.172	0.036	13.0	1.0	101.0	100.0	20.0819	5.8159	-1.1229	36.297	37.4199	3.4529	4.7324	0.1896	4.2862	5.0345	0.7483
37329051	576.0	373.0	1466.0	3.539	0.608	0.135	0.025	8.0	0.6	101.0	100.0	24.3546	6.2654	5.6567	39.6122	33.9555	3.8871	4.9975	0.239	4.2585	5.3574	1.0989
37835493	623.0	413.0	1361.0	2.905	0.585	0.138	0.03	8.0	0.8	101.0	100.0	20.1879	5.7977	1.4054	34.568	33.1626	3.4821	4.6132	0.2233	3.8608	5.0034	1.1426
43606631	632.0	414.0	1213.0	2.541	0.34	0.137	0.026	8.0	0.6	101.0	100.0	19.2485	5.0951	2.0128	33.3735	31.3608	3.7778	4.8497	0.3211	4.1173	5.3041	1.1868
49408975	636.0	444.0	1460.0	2.745	0.458	0.108	0.02	7.0	0.5	101.0	100.0	18.8365	4.2466	4.8908	28.9322	24.0414	4.4357	4.7672	0.2172	4.3547	5.2465	0.8918
51217255	641.0	420.0	1349.0	2.872	0.679	0.125	0.027	8.0	0.8	101.0	100.0	21.6019	6.5012	0.3354	34.5341	34.1987	3.3228	5.0423	0.2582	4.6572	5.6591	1.0019
52306425	703.0	493.0	1527.0	2.614	0.448	0.141	0.03	11.0	0.8	101.0	100.0	18.3917	5.3313	-9.9984	31.5375	41.536	3.4498	4.9919	0.1338	4.376	5.2577	0.8817
52835891	537.0	364.0	1300.0	3.062	0.374	0.141	0.031	8.0	0.7	101.0	100.0	19.6888	4.7556	4.4587	44.1886	39.7299	4.1401	4.1389	0.1392	3.8771	4.4043	0.5272
55710183	586.0	388.0	1502.0	3.22	0.461	0.142	0.033	10.0	0.7	101.0	100.0	19.1812	6.3699	2.55	34.877	32.327	3.0112	5.2111	0.3656	4.1664	5.7431	1.5767
56162563	806.0	568.0	2053.0	2.931	0.433	0.142	0.023	13.0	0.9	101.0	100.0	21.1059	4.7272	7.0278	36.6465	29.6187	4.4648	4.8061	0.4575	3.6806	5.4671	1.7866
60021964	653.0	426.0	1829.0	3.674	0.405	0.132	0.023	8.0	0.6	101.0	100.0	22.3923	4.968	8.3727	34.5903	26.2176	4.5073	4.5933	0.1752	4.1149	4.9935	0.8786
62582335	596.0	405.0	1553.0	3.224	0.607	0.143	0.038	12.0	0.9	101.0	100.0	20.3562	7.7789	-7.3014	37.8573	45.1586	2.6169	4.6443	0.2008	4.0191	4.9173	0.8981
65198031	607.0	408.0	1234.0	2.874	0.506	0.126	0.027	8.0	0.6	101.0	100.0	19.8003	5.5402	4.0421	35.6733	31.6312	3.574	4.5815	0.1944	3.9975	4.8513	0.8538
70214854	561.0	382.0	1233.0	2.791	0.491	0.151	0.04	8.0	1.0	101.0	100.0	21.1132	7.1297	6.1228	39.2657	33.1429	2.9613	3.9981	0.1661	3.6342	4.2188	0.5846
71851847	696.0	451.0	1723.0	3.287	0.482	0.125	0.024	8.0	0.7	101.0	100.0	22.3264	6.5687	1.004	40.4663	39.4623	3.3989	4.9722	0.2101	4.2105	5.1846	0.9741
74920331	680.0	456.0	1505.0	2.776	0.341	0.127	0.02	9.0	0.7	101.0	100.0	20.5059	4.0335	8.8287	30.3931	21.5644	5.0838	5.0505	0.2444	4.3577	5.5329	1.1752
77390767	685.0	470.0	1324.0	2.673	0.498	0.123	0.023	10.0	0.7	101.0	100.0	19.7752	5.1482	0.8927	36.7607	35.868	3.8412	4.6571	0.1401	4.3973	5.018	0.6206
78982423	558.0	373.0	1368.0	2.953	0.448	0.136	0.031	9.0	0.7	101.0	100.0	20.9516	5.9958	5.7893	35.5846	29.7953	3.4944	4.7613	0.1571	4.2623	4.9659	0.7036
80982198	775.0	501.0	2083.0	3.156	0.383	0.148	0.039	16.0	1.2	101.0	100.0	19.6613	5.8056	0.6892	35.4025	34.7133	3.3866	4.8185	0.2761	4.2424	5.3495	1.1071
82699044	742.0	506.0	1692.0	3.005	0.365	0.15	0.03	12.0	0.9	101.0	100.0	21.1677	5.4651	3.0936	36.1239	33.0303	3.8732	5.019	0.2793	4.1345	5.4342	1.2997
84407714	492.0	331.0	1070.0	2.77	0.43	0.099	0.026	6.0	0.5	101.0	100.0	20.6388	5.7695	3.2723	31.2901	28.0178	3.5772	4.7803	0.148	4.3234	4.9222	0.5987
86226939	607.0	408.0	1386.0	2.889	0.526	0.143	0.029	8.0	0.7	101.0	100.0	19.5361	5.4242	3.6683	36.8406	33.1723	3.6017	4.6452	0.2219	4.1654	5.1541	0.9887
