participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	952.0	639.0	1964.0	2.67	0.411	0.128	0.023	14.0	0.9	28.0	27.0	20.5858	4.9772	2.6964	34.2715	31.5751	4.1361	2.7642	0.1252	2.5012	3.0123	0.5111
8454119	435.0	304.0	1138.0	2.932	0.718	0.131	0.029	7.0	0.6	28.0	27.0	21.9859	6.2648	1.0098	37.1465	36.1367	3.5094	3.697	0.2864	3.1465	4.4548	1.3083
11407866	476.0	342.0	1049.0	2.732	0.582	0.12	0.022	5.0	0.4	28.0	27.0	23.6465	4.1535	9.9982	35.2008	25.2026	5.6932	2.7433	0.0966	2.5674	2.9563	0.3889
11574123	522.0	350.0	749.0	2.31	0.428	0.094	0.015	3.0	0.4	28.0	27.0	26.2012	4.5135	11.1516	37.41	26.2584	5.8051	3.0174	0.0796	2.6877	3.2349	0.5472
16684978	487.0	313.0	1042.0	2.68	0.531	0.159	0.058	9.0	1.2	28.0	27.0	20.9407	6.4186	-4.0121	36.0589	40.071	3.2625	2.7538	0.1203	2.5271	2.9452	0.4181
25354225	428.0	292.0	1128.0	3.316	0.427	0.159	0.043	7.0	0.8	28.0	27.0	24.2641	5.7643	7.182	37.5443	30.3624	4.2094	2.7964	0.1685	2.5424	3.1421	0.5996
25811472	688.0	472.0	1861.0	2.906	0.672	0.144	0.04	14.0	1.2	28.0	27.0	20.1531	6.4303	-1.0194	41.2083	42.2277	3.1341	3.0127	0.2319	2.6829	3.6777	0.9948
27876862	304.0	218.0	594.0	2.706	0.469	0.144	0.031	3.0	0.4	28.0	27.0	22.8582	4.9298	9.0624	32.7024	23.64	4.6368	2.6067	0.0371	2.525	2.6835	0.1584
29811890	595.0	424.0	1167.0	2.524	0.509	0.12	0.028	6.0	0.8	28.0	27.0	25.9319	6.0492	8.4882	40.383	31.8948	4.2868	2.7137	0.0585	2.5498	2.9278	0.3781
31361606	391.0	262.0	736.0	2.376	0.629	0.117	0.024	6.0	0.3	28.0	27.0	21.2935	4.4381	8.0967	31.9518	23.8552	4.7979	2.479	0.0441	2.3878	2.6107	0.2229
