participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	466.0	329.0	794.0	2.714	0.406	0.101	0.017	2.0	0.3	12.0	11.0	21.0021	2.7711	11.5728	30.0225	18.4496	7.5791	3.7791	0.0604	3.5372	3.8393	0.3021
8454119	345.0	225.0	356.0	1.648	0.401	0.112	0.019	4.0	0.3	12.0	11.0	20.6366	5.2336	8.0361	33.9587	25.9226	3.9431	3.8091	0.1942	3.5165	4.3819	0.8654
11407866	415.0	284.0	752.0	2.827	0.415	0.097	0.013	2.0	0.3	12.0	11.0	24.2536	3.4552	14.9609	32.8338	17.8729	7.0193	3.6743	0.1342	3.5444	3.9749	0.4305
11574123	376.0	244.0	679.0	2.793	0.491	0.081	0.014	1.0	0.2	12.0	11.0	24.8041	4.2768	12.3209	35.511	23.1901	5.7997	3.9884	0.0907	3.8261	4.268	0.4419
16684978	286.0	194.0	567.0	2.57	0.415	0.105	0.025	3.0	0.2	12.0	11.0	21.4675	3.8118	9.915	30.4857	20.5707	5.6318	3.8727	0.1145	3.6798	4.1288	0.4489
25354225	304.0	219.0	584.0	2.616	0.469	0.078	0.013	1.0	0.1	12.0	11.0	23.9283	3.8828	12.7786	32.8534	20.0748	6.1627	4.1347	0.1745	3.8427	4.3969	0.5542
25811472	465.0	327.0	765.0	2.555	0.339	0.077	0.009	1.0	0.2	12.0	11.0	25.1785	2.897	15.7378	32.7401	17.0023	8.6913	4.158	0.1297	3.9564	4.5192	0.5628
27876862	350.0	239.0	576.0	2.694	0.618	0.242	0.099	19.0	1.4	12.0	11.0	16.8391	5.7658	-0.283	30.296	30.5791	2.9205	3.3779	0.0455	3.2649	3.4949	0.2301
29811890	567.0	368.0	816.0	2.526	0.276	0.084	0.011	3.0	0.3	12.0	11.0	26.6399	4.6606	11.0999	38.5575	27.4576	5.716	3.6697	0.0824	3.5884	4.216	0.6276
31361606	275.0	193.0	585.0	2.587	0.591	0.08	0.014	1.0	0.2	12.0	11.0	21.6204	2.9997	12.8597	28.7912	15.9315	7.2074	3.9399	0.09	3.7094	4.114	0.4046
32938469	718.0	484.0	1115.0	2.138	0.683	0.088	0.012	4.0	0.4	12.0	11.0	19.55	4.202	6.8546	33.022	26.1674	4.6525	3.9152	0.1973	3.5451	4.3312	0.786
36895554	401.0	280.0	811.0	3.077	0.328	0.127	0.024	3.0	0.4	12.0	11.0	25.0438	3.9652	15.152	35.2821	20.1301	6.3158	3.6678	0.0728	3.3945	3.7246	0.3302
37329051	465.0	307.0	857.0	2.692	0.45	0.108	0.016	5.0	0.3	12.0	11.0	24.4601	4.9149	9.3308	36.2369	26.9061	4.9768	4.0184	0.1608	3.7958	4.3094	0.5137
37835493	310.0	211.0	591.0	2.699	0.398	0.098	0.019	2.0	0.2	12.0	11.0	23.3013	3.4474	14.7016	31.8965	17.1949	6.7591	3.5327	0.0493	3.4421	3.7319	0.2899
43606631	363.0	248.0	638.0	2.476	0.434	0.136	0.037	5.0	0.5	12.0	11.0	18.2055	4.9209	5.7958	29.8622	24.0664	3.6997	4.0627	0.1547	3.8071	4.4536	0.6464
49408975	586.0	399.0	1101.0	2.682	0.486	0.096	0.016	5.0	0.3	12.0	11.0	21.1004	4.0691	6.9568	32.7641	25.8074	5.1855	3.853	0.0636	3.7362	3.9936	0.2574
51217255	441.0	307.0	944.0	2.826	0.517	0.098	0.013	3.0	0.2	12.0	11.0	24.2443	3.3275	14.5278	33.2508	18.723	7.2861	4.0156	0.2338	3.685	4.4261	0.7411
