participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	439.0	294.0	821.0	2.795	0.263	0.127	0.022	5.0	0.4	106.0	105.0	21.1305	4.6336	5.7155	29.1051	23.3896	4.5602	4.1155	0.4218	3.3868	4.6139	1.2272
8454119	375.0	266.0	596.0	2.799	0.321	0.1	0.014	1.0	0.3	106.0	105.0	26.7518	3.012	19.0821	36.7016	17.6195	8.8816	4.6681	0.3284	3.8276	5.2589	1.4313
11407866	393.0	280.0	786.0	3.093	0.393	0.135	0.03	4.0	0.5	106.0	105.0	22.6205	3.9429	13.1774	35.211	22.0336	5.7371	4.4294	0.2219	4.1086	4.7905	0.6819
11574123	407.0	265.0	858.0	2.88	0.513	0.111	0.027	4.0	0.4	106.0	105.0	20.332	4.761	8.2079	32.2407	24.0329	4.2706	4.3318	0.257	3.8777	4.7687	0.891
16684978	296.0	202.0	513.0	3.018	0.702	0.127	0.026	3.0	0.3	106.0	105.0	23.9381	4.7714	13.2733	35.553	22.2797	5.017	4.192	0.2874	3.5135	4.5668	1.0533
25354225	496.0	328.0	1077.0	3.256	0.469	0.118	0.028	6.0	0.6	106.0	105.0	23.7748	5.1454	8.4847	32.867	24.3822	4.6206	4.4333	0.5539	3.4316	4.9074	1.4758
25811472	501.0	331.0	1013.0	3.366	0.543	0.119	0.021	5.0	0.4	106.0	105.0	22.9313	4.8114	10.4587	35.9967	25.538	4.7661	4.3501	0.5398	3.742	5.2962	1.5542
27876862	211.0	143.0	444.0	3.357	0.673	0.117	0.024	2.0	0.1	106.0	105.0	23.5223	4.7775	8.5456	32.144	23.5985	4.9235	3.6313	0.0954	3.4322	3.9324	0.5002
29811890	549.0	353.0	1080.0	2.893	0.416	0.119	0.021	8.0	0.5	106.0	105.0	24.9125	5.011	10.9292	35.9374	25.0082	4.9716	4.3021	0.3722	3.5842	4.8088	1.2246
31361606	354.0	222.0	734.0	2.82	0.369	0.119	0.023	4.0	0.3	106.0	105.0	19.9255	3.8347	9.8248	34.4634	24.6386	5.1961	4.1868	0.2015	3.5486	4.3655	0.8169
32938469	319.0	213.0	551.0	2.763	0.571	0.096	0.015	1.0	0.2	106.0	105.0	24.5186	3.4632	12.7809	31.6009	18.82	7.0797	4.1532	0.1276	3.8696	4.5247	0.6551
36895554	327.0	222.0	742.0	2.898	0.525	0.114	0.023	3.0	0.3	106.0	105.0	18.4256	3.946	7.8536	29.4293	21.5758	4.6695	4.2113	0.0796	4.0555	4.7035	0.648
