participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	385.0	234.0	786.0	2.922	0.436	0.114	0.024	5.0	0.4	148.0	147.0	20.1026	4.1571	2.9146	28.8801	25.9655	4.8357	3.5996	0.1975	3.2378	4.1624	0.9246
8454119	340.0	239.0	902.0	3.206	0.437	0.144	0.031	6.0	0.4	148.0	147.0	23.3312	6.8565	4.5029	36.446	31.943	3.4028	3.868	0.1656	3.5821	4.347	0.7649
11407866	593.0	421.0	1291.0	3.034	0.476	0.132	0.024	8.0	0.5	148.0	147.0	23.4961	4.74	8.7286	33.2393	24.5106	4.957	3.9808	0.1804	3.7136	4.4685	0.7549
11574123	482.0	327.0	1053.0	2.731	0.38	0.159	0.034	9.0	0.8	148.0	147.0	21.0405	6.3444	5.8473	35.381	29.5337	3.3164	4.1592	0.1682	3.9013	4.6781	0.7768
16684978	314.0	215.0	663.0	3.023	0.408	0.154	0.038	6.0	0.4	148.0	147.0	22.0436	5.331	6.2483	32.8412	26.5929	4.135	4.1852	0.1835	3.7699	4.4527	0.6828
25354225	470.0	294.0	1357.0	3.384	0.537	0.149	0.039	10.0	0.7	148.0	147.0	21.5958	6.3278	1.8172	37.72	35.9028	3.4128	4.1573	0.2029	3.7381	4.9011	1.163
25811472	541.0	361.0	1447.0	3.332	0.64	0.127	0.029	7.0	0.6	148.0	147.0	20.9123	5.3417	4.5067	31.4736	26.9669	3.9149	4.177	0.2133	3.7453	5.2148	1.4695
27876862	239.0	177.0	710.0	2.851	0.411	0.138	0.02	3.0	0.2	148.0	147.0	21.9639	4.3305	10.1184	34.0612	23.9428	5.0719	3.4367	0.0636	3.306	3.7182	0.4122
29811890	562.0	268.0	917.0	2.852	0.472	0.132	0.048	12.0	0.9	148.0	147.0	17.8027	6.6497	-6.0127	32.2093	38.222	2.6772	4.1144	0.2569	3.5984	4.8482	1.2497
31361606	328.0	217.0	825.0	2.925	0.487	0.149	0.032	5.0	0.5	148.0	147.0	21.0105	5.127	9.8169	31.5111	21.6942	4.098	3.9233	0.1856	3.614	4.3741	0.7601
32938469	361.0	202.0	464.0	2.122	0.758	0.137	0.051	7.0	0.8	148.0	147.0	12.7678	7.6683	-8.2914	28.6324	36.9238	1.665	3.9359	0.1737	3.6167	4.3181	0.7014
36895554	493.0	315.0	951.0	2.683	0.43	0.118	0.026	6.0	0.5	148.0	147.0	20.8924	5.4418	7.0521	34.0215	26.9694	3.8393	4.2068	0.0877	3.9441	4.4318	0.4878
37329051	361.0	252.0	1081.0	3.43	0.421	0.16	0.034	7.0	0.6	148.0	147.0	21.2751	6.7029	4.6317	34.818	30.1863	3.174	4.007	0.2403	3.481	4.4944	1.0135
37835493	401.0	286.0	857.0	2.67	0.447	0.136	0.025	4.0	0.5	148.0	147.0	22.0431	3.7111	9.9455	31.908	21.9625	5.9398	3.6713	0.192	3.3273	4.5209	1.1936
43606631	513.0	326.0	807.0	2.361	0.468	0.17	0.041	10.0	0.9	148.0	147.0	19.2752	5.0765	4.3612	32.5485	28.1873	3.7969	3.9081	0.1364	3.6003	4.2138	0.6135
49408975	404.0	316.0	1371.0	3.269	0.56	0.166	0.037	7.0	0.6	148.0	147.0	21.1816	5.2764	7.4802	33.2756	25.7954	4.0144	4.0592	0.2489	3.67	4.5888	0.9187
51217255	316.0	201.0	961.0	3.329	0.34	0.139	0.031	5.0	0.3	148.0	147.0	21.7945	4.2394	11.5477	35.7522	24.2044	5.1409	4.1938	0.3278	3.5341	4.7717	1.2375
