participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	648.0	448.0	1104.0	2.549	0.331	0.107	0.023	5.0	0.5	117.0	116.0	22.7418	3.5964	10.6834	32.5371	21.8538	6.3235	3.2994	0.1152	3.1079	3.5273	0.4194
8454119	590.0	396.0	1315.0	3.095	0.866	0.134	0.027	8.0	0.6	117.0	116.0	27.4174	4.9931	6.3619	37.99	31.6281	5.4911	3.8847	0.2027	3.5225	4.1226	0.6001
11407866	1072.0	719.0	2296.0	2.878	0.551	0.12	0.021	13.0	0.9	117.0	116.0	23.7419	4.9461	6.7751	34.9462	28.171	4.8002	3.6521	0.1021	3.4657	3.9593	0.4936
11574123	640.0	452.0	1033.0	2.34	0.51	0.124	0.025	8.0	0.8	117.0	116.0	23.6329	5.7143	-9.3141	34.0102	43.3243	4.1357	3.7427	0.1063	3.5563	4.0964	0.5401
16684978	576.0	396.0	803.0	2.415	0.443	0.113	0.021	4.0	0.5	117.0	116.0	24.3122	4.0373	14.5314	36.5812	22.0498	6.0219	3.5599	0.2066	3.2604	3.9358	0.6754
25354225	844.0	511.0	1373.0	2.677	0.506	0.12	0.038	15.0	1.4	117.0	116.0	22.0204	6.1156	-2.4435	35.3557	37.7992	3.6007	3.8929	0.1024	3.732	4.0962	0.3641
25811472	804.0	566.0	1792.0	2.879	0.478	0.103	0.017	7.0	0.4	117.0	116.0	23.3116	4.6769	9.4606	35.6592	26.1987	4.9844	3.7561	0.1127	3.6137	4.0223	0.4086
27876862	367.0	238.0	716.0	2.438	0.536	0.157	0.05	11.0	1.0	117.0	116.0	19.5743	6.9194	-8.0231	32.3702	40.3933	2.8289	3.3971	0.0166	3.3365	3.4359	0.0994
29811890	724.0	384.0	1091.0	2.727	0.502	0.11	0.028	8.0	0.9	117.0	116.0	21.1123	5.9824	-0.7108	34.0487	34.7595	3.529	3.6606	0.1116	3.5409	4.0315	0.4907
31361606	546.0	365.0	881.0	2.44	0.499	0.111	0.023	4.0	0.5	117.0	116.0	22.537	3.7014	5.9984	33.5812	27.5828	6.0888	3.5308	0.1128	3.4016	3.9223	0.5208
32938469	398.0	286.0	777.0	2.67	0.541	0.149	0.039	6.0	0.8	117.0	116.0	23.3079	7.1009	1.3507	41.9061	40.5554	3.2824	3.6685	0.0234	3.6234	3.7829	0.1594
36895554	679.0	456.0	1232.0	2.711	0.55	0.154	0.034	14.0	1.2	117.0	116.0	22.3666	5.6516	-4.7796	35.1009	39.8805	3.9575	3.673	0.136	3.4756	4.1245	0.6489
37329051	626.0	430.0	1157.0	2.832	0.425	0.082	0.014	3.0	0.3	117.0	116.0	26.8274	4.6308	11.8324	39.4991	27.6667	5.7932	3.7426	0.0455	3.6122	3.9532	0.341
37835493	611.0	408.0	1237.0	2.653	0.511	0.118	0.021	7.0	0.4	117.0	116.0	22.8326	3.8856	7.7851	32.3365	24.5514	5.8762	3.4955	0.0501	3.3542	3.7708	0.4166
43606631	719.0	474.0	914.0	2.014	0.387	0.114	0.021	7.0	0.7	117.0	116.0	21.2488	4.8252	5.7438	33.1522	27.4084	4.4037	3.65	0.0476	3.5383	3.7853	0.247
49408975	641.0	429.0	1323.0	2.634	0.494	0.109	0.023	6.0	0.5	117.0	116.0	21.1814	3.6469	7.7341	31.2275	23.4935	5.8081	3.6336	0.1556	3.374	3.9949	0.6209
51217255	546.0	362.0	1150.0	2.776	0.448	0.104	0.018	4.0	0.4	117.0	116.0	23.8719	4.1867	11.0147	32.482	21.4672	5.7018	3.6288	0.14	3.4808	4.0544	0.5735
52306425	704.0	459.0	1041.0	2.476	0.424	0.115	0.022	6.0	0.7	117.0	116.0	22.3052	4.8738	4.7642	35.086	30.3217	4.5766	3.8428	0.114	3.6504	4.2019	0.5515
52835891	612.0	415.0	996.0	2.45	0.326	0.066	0.008	2.0	0.2	117.0	116.0	23.1619	3.4146	13.4961	32.6211	19.125	6.7831	3.3231	0.1317	3.192	3.6102	0.4182
55710183	527.0	336.0	1036.0	2.602	0.497	0.121	0.022	6.0	0.5	117.0	116.0	23.2233	4.8585	8.2958	35.4219	27.126	4.7799	3.7086	0.3091	3.4453	4.4334	0.9881
56162563	784.0	515.0	1805.0	2.949	0.45	0.113	0.022	9.0	0.7	117.0	116.0	24.5387	4.3377	9.9974	37.0773	27.0799	5.6571	3.4231	0.049	3.2673	3.6985	0.4312
60021964	556.0	327.0	1203.0	3.089	0.571	0.103	0.022	5.0	0.4	117.0	116.0	22.8884	5.6935	0.6385	34.1418	33.5032	4.0201	3.5351	0.0747	3.3422	3.8103	0.4681
62582335	552.0	376.0	1182.0	3.14	0.631	0.103	0.019	4.0	0.3	117.0	116.0	24.2129	4.3356	12.8068	35.5287	22.7219	5.5847	3.437	0.0671	3.3511	3.7351	0.384
65198031	751.0	503.0	1255.0	2.607	0.47	0.112	0.023	5.0	0.7	117.0	116.0	23.3025	3.8741	10.682	35.0327	24.3507	6.015	3.4803	0.078	3.3329	3.6681	0.3352
