participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1737.0	1124.0	3535.0	2.843	0.44	0.102	0.018	15.0	1.1	151.0	150.0	22.1947	3.8572	7.4796	32.1063	24.6267	5.7541	3.2803	0.0689	3.116	3.4927	0.3767
8454119	2354.0	1553.0	4837.0	2.971	0.424	0.12	0.024	32.0	2.4	151.0	150.0	22.5426	6.0081	3.3424	36.3893	33.0469	3.752	3.8951	0.081	3.648	4.0941	0.4461
11407866	1841.0	1231.0	4070.0	3.002	0.522	0.11	0.021	20.0	1.5	151.0	150.0	23.5591	5.3093	1.4616	36.0064	34.5448	4.4373	3.3313	0.0722	3.2013	3.4644	0.2631
11574123	1585.0	998.0	3149.0	2.931	0.424	0.113	0.025	17.0	1.6	151.0	150.0	22.5098	5.2455	-1.4794	34.8018	36.2813	4.2912	3.283	0.0939	3.1353	3.5408	0.4055
16684978	1400.0	947.0	2734.0	2.528	0.657	0.134	0.03	22.0	1.9	151.0	150.0	21.0281	5.2945	-1.6604	33.3228	34.9832	3.9717	3.4883	0.0534	3.3831	3.6082	0.225
25354225	1349.0	919.0	2465.0	2.768	0.483	0.1	0.018	11.0	1.0	151.0	150.0	24.501	4.4372	6.4734	38.5008	32.0274	5.5217	3.6033	0.0741	3.3566	3.7051	0.3485
25811472	1813.0	1189.0	3837.0	2.934	0.549	0.104	0.021	19.0	1.5	151.0	150.0	22.68	4.9752	-8.931	35.1546	44.0856	4.5586	3.2827	0.0718	3.1261	3.5052	0.3791
27876862	1351.0	931.0	2807.0	2.732	0.485	0.123	0.023	20.0	1.3	151.0	150.0	21.822	5.5645	3.3005	34.8254	31.5249	3.9217	3.3314	0.0804	3.1547	3.4891	0.3345
29811890	2738.0	1701.0	4782.0	2.714	0.605	0.106	0.027	24.0	3.3	151.0	150.0	20.4963	8.4346	-7.2158	38.0894	45.3052	2.43	3.5691	0.135	3.2678	3.8246	0.5567
31361606	1005.0	681.0	1899.0	2.678	0.442	0.101	0.015	9.0	0.8	151.0	150.0	23.2961	4.0946	8.7985	33.2029	24.4044	5.6895	3.0642	0.0675	2.9353	3.204	0.2687
