participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	843.0	551.0	1936.0	2.708	0.438	0.133	0.034	16.0	1.1	144.0	143.0	18.9829	6.2252	-0.2631	32.5047	32.7678	3.0494	3.0231	0.1428	2.7369	3.236	0.4991
8454119	1328.0	714.0	2612.0	2.813	0.549	0.116	0.036	23.0	2.0	144.0	143.0	18.316	6.5428	-8.6393	35.3214	43.9607	2.7994	3.3674	0.2765	2.8405	3.7975	0.957
11407866	826.0	602.0	2135.0	2.968	0.55	0.138	0.035	16.0	0.9	144.0	143.0	20.3713	6.2391	3.9632	39.1463	35.1831	3.2651	3.0175	0.1688	2.5218	3.2598	0.738
11574123	964.0	597.0	2219.0	2.76	0.584	0.149	0.055	20.0	2.3	144.0	143.0	17.0083	7.5153	-3.5097	33.5627	37.0724	2.2632	3.0303	0.0994	2.7447	3.2033	0.4585
16684978	660.0	436.0	1538.0	2.778	0.431	0.149	0.041	14.0	1.0	144.0	143.0	18.4424	6.2285	4.2456	37.9362	33.6906	2.9609	3.2913	0.1637	2.7988	3.5367	0.7379
25354225	1192.0	776.0	3082.0	3.041	0.63	0.145	0.047	29.0	2.7	144.0	143.0	19.1503	6.3381	-4.0414	35.5832	39.6246	3.0215	3.4206	0.1486	3.0931	3.7219	0.6288
25811472	759.0	520.0	1999.0	2.972	0.487	0.124	0.027	13.0	0.7	144.0	143.0	19.9123	5.7888	2.8021	33.4817	30.6796	3.4398	3.0467	0.1242	2.6896	3.2239	0.5343
27876862	667.0	447.0	1492.0	2.651	0.389	0.155	0.041	17.0	1.3	144.0	143.0	18.5858	6.5376	-5.2594	34.2669	39.5262	2.8429	2.9595	0.1448	2.7208	3.2481	0.5273
29811890	2013.0	1169.0	2879.0	2.332	0.644	0.137	0.038	33.0	3.5	144.0	143.0	17.283	9.0583	-14.1016	42.6763	56.7779	1.908	3.2194	0.1218	2.8279	3.5262	0.6984
31361606	498.0	339.0	1176.0	2.724	0.491	0.135	0.032	10.0	0.6	144.0	143.0	20.9262	4.6625	2.8681	34.7314	31.8632	4.4882	2.9084	0.0822	2.7064	3.0215	0.3151
32938469	1209.0	688.0	2103.0	2.559	0.8	0.156	0.072	28.0	3.6	144.0	143.0	13.6395	7.5892	-2.4205	33.9786	36.3991	1.7972	3.6156	0.1887	3.1753	4.0151	0.8398
