participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1079.0	722.0	2120.0	2.572	0.428	0.134	0.031	17.0	1.2	152.0	151.0	20.044	5.2772	2.9976	32.5514	29.5538	3.7982	3.1993	0.1102	2.9001	3.3522	0.452
8454119	1416.0	902.0	3077.0	2.936	0.416	0.13	0.028	20.0	1.6	152.0	151.0	22.8606	6.0057	0.9321	36.1624	35.2303	3.8065	3.8824	0.089	3.5922	4.0391	0.4469
11407866	1262.0	868.0	3428.0	3.127	0.569	0.128	0.031	20.0	1.3	152.0	151.0	21.8281	5.7076	4.7193	34.3518	29.6325	3.8244	3.2564	0.0501	3.135	3.4746	0.3395
11574123	1026.0	724.0	2888.0	3.151	0.593	0.156	0.036	22.0	1.5	152.0	151.0	21.5877	6.1306	3.2957	38.2075	34.9118	3.5213	3.2117	0.0609	3.0315	3.3419	0.3104
16684978	859.0	565.0	2235.0	2.911	0.544	0.138	0.033	14.0	1.1	152.0	151.0	20.3353	5.0633	5.4251	32.7082	27.2831	4.0162	3.4647	0.0525	3.3733	3.5872	0.2139
25354225	1034.0	718.0	3109.0	3.157	0.598	0.14	0.033	18.0	1.5	152.0	151.0	22.433	6.0429	-1.462	41.0492	42.5112	3.7123	3.3641	0.1173	2.9881	3.6556	0.6675
25811472	1275.0	865.0	3313.0	3.094	0.628	0.151	0.038	30.0	2.0	152.0	151.0	20.3769	5.3689	-0.8792	35.2855	36.1647	3.7954	3.3814	0.2179	3.0715	3.9568	0.8853
27876862	792.0	514.0	1970.0	3.042	0.61	0.152	0.045	19.0	1.2	152.0	151.0	21.0022	5.8572	3.7773	37.6257	33.8484	3.5857	3.1987	0.1415	2.9245	3.4353	0.5108
29811890	1957.0	1182.0	3389.0	2.462	0.597	0.128	0.036	31.0	3.2	152.0	151.0	20.1356	9.1318	-13.2433	43.1132	56.3565	2.205	3.3446	0.121	3.0572	3.6354	0.5782
31361606	691.0	448.0	2007.0	3.268	0.494	0.149	0.026	17.0	0.8	152.0	151.0	20.0617	5.8684	-2.325	38.536	40.861	3.4186	3.1243	0.075	2.9055	3.311	0.4055
32938469	1186.0	673.0	1821.0	2.269	0.678	0.143	0.058	21.0	2.9	152.0	151.0	12.5498	8.2395	-9.444	37.5268	46.9708	1.5231	3.801	0.0788	3.5363	4.047	0.5107
36895554	1460.0	972.0	3534.0	2.902	0.47	0.15	0.043	30.0	2.5	152.0	151.0	20.2453	5.545	-4.5838	35.9029	40.4868	3.6511	3.4175	0.1216	3.064	3.6218	0.5577
37329051	1114.0	768.0	2787.0	2.982	0.553	0.143	0.033	22.0	1.5	152.0	151.0	21.2428	5.9268	1.8501	36.784	34.934	3.5842	3.5862	0.1089	3.3618	3.7314	0.3696
37835493	1182.0	784.0	2397.0	2.697	0.54	0.141	0.03	19.0	1.6	152.0	151.0	21.6463	4.9639	-5.593	34.0431	39.6362	4.3608	3.4354	0.1578	3.0364	3.6322	0.5958
43606631	993.0	650.0	2054.0	2.651	0.395	0.129	0.027	14.0	1.0	152.0	151.0	20.2616	4.9065	6.3804	34.6997	28.3194	4.1295	3.1873	0.1366	2.8732	3.432	0.5588
