participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	240.0	178.0	366.0	2.356	0.428	0.093	0.011	1.0	0.1	156.0	155.0	22.8673	4.2379	9.2167	36.224	27.0072	5.3958	3.0103	0.0528	2.797	3.038	0.2409
8454119	339.0	235.0	496.0	2.422	0.404	0.075	0.009	1.0	0.1	156.0	155.0	22.1266	3.9103	8.9438	33.1024	24.1586	5.6585	3.3828	0.082	3.1641	3.6001	0.4359
11407866	310.0	218.0	492.0	2.683	0.43	0.071	0.009	1.0	0.1	156.0	155.0	23.7316	4.6326	9.8205	37.7437	27.9232	5.1228	2.6762	0.0276	2.6397	2.801	0.1613
11574123	298.0	205.0	440.0	2.403	0.419	0.092	0.015	1.0	0.2	156.0	155.0	23.7304	4.7585	11.23	37.6249	26.3949	4.9869	2.7814	0.0219	2.7505	2.8829	0.1324
16684978	190.0	132.0	267.0	2.324	0.315	0.078	0.008	1.0	0.0	156.0	155.0	22.9914	3.5012	13.6778	32.1648	18.487	6.5666	2.6697	0.0108	2.6406	2.6944	0.0538
25354225	267.0	196.0	423.0	2.491	0.395	0.088	0.014	1.0	0.2	156.0	155.0	19.8796	5.4216	3.2068	33.0959	29.889	3.6667	2.949	0.0361	2.8675	3.0284	0.1609
25811472	266.0	182.0	436.0	2.673	0.347	0.066	0.007	1.0	0.1	156.0	155.0	24.7791	4.1514	11.7724	35.4394	23.667	5.9689	3.0501	0.0315	2.9787	3.126	0.1473
27876862	268.0	179.0	374.0	2.383	0.288	0.066	0.007	1.0	0.1	156.0	155.0	23.0705	3.5918	14.2762	33.0893	18.8131	6.4231	2.6795	0.0374	2.5737	2.7397	0.166
29811890	290.0	196.0	453.0	2.589	0.418	0.085	0.014	1.0	0.2	156.0	155.0	21.2782	5.2779	7.314	35.0302	27.7162	4.0316	3.0199	0.0477	2.9471	3.1634	0.2163
31361606	213.0	147.0	244.0	1.999	0.307	0.072	0.012	1.0	0.1	156.0	155.0	16.5167	11.0293	-68.9677	35.7223	104.6899	1.4975	2.5788	0.0126	2.5533	2.6242	0.0709
32938469	195.0	135.0	315.0	2.745	0.33	0.062	0.01	0.0	0.1	156.0	155.0	24.0211	3.1551	17.547	32.7645	15.2175	7.6133	3.0476	0.0159	3.0224	3.1033	0.0809
36895554	233.0	169.0	336.0	2.181	0.503	0.074	0.008	1.0	0.1	156.0	155.0	19.0578	3.8162	7.9235	28.0332	20.1097	4.994	2.8591	0.0433	2.7288	2.9433	0.2145
37329051	331.0	212.0	424.0	2.4	0.326	0.077	0.012	1.0	0.2	156.0	155.0	18.9256	5.1365	5.6724	34.4661	28.7938	3.6845	2.8132	0.0219	2.7537	2.8516	0.0979
