participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	798.0	533.0	2195.0	3.183	0.411	0.133	0.026	12.0	0.7	138.0	137.0	21.0293	5.1745	0.4009	34.2619	33.861	4.064	3.0493	0.3533	2.3954	3.7378	1.3424
8454119	1261.0	770.0	3024.0	2.795	0.826	0.134	0.053	33.0	3.1	138.0	137.0	17.7007	7.5637	-25.4598	34.0967	59.5564	2.3402	3.6422	0.3267	2.9805	4.2209	1.2404
11407866	991.0	652.0	2860.0	3.207	0.77	0.121	0.023	15.0	0.9	138.0	137.0	21.1993	5.5155	6.2553	36.3692	30.1139	3.8436	3.2655	0.1611	2.7995	3.507	0.7075
11574123	835.0	488.0	2033.0	3.076	0.866	0.138	0.052	15.0	2.0	138.0	137.0	18.1092	7.9596	-6.2714	33.884	40.1554	2.2751	3.3722	0.2186	2.8804	3.7102	0.8298
16684978	616.0	431.0	1454.0	2.847	0.578	0.128	0.026	9.0	0.6	138.0	137.0	20.9549	5.4319	3.6956	34.3267	30.6311	3.8578	3.2385	0.1618	2.9585	3.516	0.5574
25354225	1220.0	654.0	2658.0	3.108	0.874	0.111	0.047	19.0	2.6	138.0	137.0	16.0844	8.6171	-51.2735	36.9616	88.2351	1.8666	3.738	0.2378	3.0372	4.0645	1.0273
25811472	963.0	604.0	2774.0	3.186	0.793	0.133	0.04	18.0	1.6	138.0	137.0	18.4954	6.975	-3.609	33.0625	36.6715	2.6517	3.4119	0.2032	2.9913	3.8721	0.8808
27876862	700.0	489.0	1776.0	2.901	0.566	0.159	0.045	15.0	1.2	138.0	137.0	20.812	5.4025	-4.4714	34.3063	38.7777	3.8523	3.0167	0.2011	2.5671	3.5543	0.9872
29811890	1776.0	882.0	3140.0	2.822	0.72	0.116	0.054	45.0	4.1	138.0	137.0	16.5465	8.6239	-12.2807	35.5433	47.824	1.9187	3.4136	0.1796	3.0438	3.8397	0.7959
31361606	472.0	317.0	1202.0	2.967	0.585	0.122	0.023	6.0	0.4	138.0	137.0	21.6465	4.4924	5.4544	31.9191	26.4646	4.8185	2.7029	0.1335	2.4478	2.9574	0.5096
