participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	872.0	562.0	1894.0	2.908	0.423	0.136	0.03	13.0	1.0	139.0	138.0	20.7402	5.2629	5.6967	33.8178	28.1211	3.9408	2.5786	0.1024	2.3819	2.9897	0.6078
8454119	1136.0	784.0	2207.0	2.839	0.42	0.107	0.018	7.0	1.0	139.0	138.0	24.4426	3.9259	12.8879	34.4232	21.5353	6.226	3.126	0.0995	2.967	3.4231	0.4561
11407866	1013.0	662.0	2512.0	3.059	0.599	0.111	0.023	10.0	0.8	139.0	138.0	21.8892	5.0319	4.3316	37.0509	32.7193	4.3501	2.9065	0.1787	2.5144	3.3399	0.8255
11574123	907.0	583.0	1867.0	2.83	0.435	0.147	0.031	18.0	1.2	139.0	138.0	21.2245	6.3064	-10.0254	33.7361	43.7615	3.3655	3.0444	0.1007	2.8606	3.1954	0.3348
16684978	727.0	474.0	1371.0	2.58	0.499	0.146	0.037	12.0	1.0	139.0	138.0	21.0929	5.2083	-5.5143	30.9844	36.4987	4.0499	2.9347	0.0681	2.7216	3.0669	0.3453
25354225	1445.0	954.0	3036.0	3.005	0.522	0.118	0.024	21.0	1.4	139.0	138.0	21.3178	5.8306	4.0029	35.8044	31.8015	3.6562	3.1886	0.0742	3.0139	3.4222	0.4084
25811472	994.0	654.0	2432.0	3.293	0.563	0.131	0.031	11.0	1.2	139.0	138.0	21.4175	5.7012	6.4048	37.3346	30.9298	3.7567	3.0359	0.0558	2.8771	3.2336	0.3565
27876862	713.0	452.0	1743.0	2.937	0.586	0.114	0.027	9.0	0.7	139.0	138.0	20.5074	4.0399	5.1734	31.105	25.9316	5.0762	2.5636	0.1199	2.3597	2.8565	0.4968
29811890	1590.0	955.0	2889.0	2.817	0.449	0.113	0.035	25.0	2.7	139.0	138.0	21.2015	8.2399	-5.9093	37.0189	42.9282	2.573	3.1433	0.0464	2.987	3.3163	0.3293
31361606	555.0	389.0	882.0	2.62	0.349	0.117	0.023	4.0	0.5	139.0	138.0	23.5572	3.1173	12.021	32.6213	20.6003	7.5569	2.493	0.0476	2.4091	2.6336	0.2246
