participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	400.0	253.0	754.0	2.819	0.35	0.123	0.032	5.0	0.5	23.0	22.0	20.0065	4.3104	5.0102	31.4764	26.4662	4.6415	2.5373	0.0499	2.4842	2.6964	0.2122
8454119	568.0	349.0	1000.0	2.446	0.746	0.125	0.03	8.0	0.6	23.0	22.0	19.1282	6.4491	2.283	33.1049	30.8218	2.966	2.8014	0.1743	2.5529	3.2957	0.7428
11407866	412.0	256.0	841.0	2.609	0.466	0.124	0.018	6.0	0.3	23.0	22.0	18.8153	5.2209	0.1619	31.1773	31.0155	3.6039	2.5653	0.1034	2.4033	2.8537	0.4504
11574123	471.0	303.0	1046.0	2.887	0.516	0.121	0.023	5.0	0.4	23.0	22.0	18.8098	5.0966	10.1055	36.2889	26.1835	3.6907	2.7494	0.1323	2.4612	3.0544	0.5932
16684978	429.0	277.0	818.0	2.35	0.496	0.141	0.031	6.0	0.6	23.0	22.0	18.0774	5.8173	-4.1422	30.9254	35.0676	3.1076	2.618	0.0559	2.5293	2.8121	0.2828
25354225	702.0	360.0	1562.0	3.053	0.656	0.124	0.04	12.0	0.9	23.0	22.0	16.8407	5.1712	-4.8538	30.9943	35.8481	3.2566	2.8814	0.1595	2.6402	3.1952	0.555
25811472	560.0	309.0	1085.0	2.923	0.77	0.129	0.039	8.0	0.9	23.0	22.0	19.3877	6.4866	-3.0293	33.4312	36.4605	2.9889	2.7446	0.0974	2.5361	3.0179	0.4818
27876862	351.0	217.0	641.0	2.325	0.61	0.149	0.064	8.0	1.0	23.0	22.0	15.1356	7.0129	-4.4814	28.9957	33.4772	2.1583	2.3214	0.0464	2.2421	2.4144	0.1722
29811890	634.0	337.0	963.0	2.445	0.438	0.106	0.043	9.0	0.9	23.0	22.0	16.0099	6.5665	-4.3431	31.73	36.0731	2.4381	2.9174	0.0813	2.6152	3.0741	0.4589
31361606	282.0	201.0	624.0	2.679	0.54	0.13	0.018	3.0	0.3	23.0	22.0	20.8196	4.1284	8.2893	32.0637	23.7744	5.0431	2.3656	0.0287	2.2791	2.4205	0.1414
