participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	878.0	584.0	1610.0	2.585	0.395	0.119	0.024	8.0	0.8	16.0	15.0	19.7436	3.4972	5.639	28.6451	23.0061	5.6455	3.0034	0.1382	2.8105	3.3735	0.5629
8454119	1233.0	797.0	2425.0	2.778	0.416	0.116	0.022	15.0	1.1	16.0	15.0	22.2197	4.6291	2.8862	39.95	37.0638	4.8	3.907	0.456	3.0466	4.7252	1.6786
11407866	1272.0	848.0	2228.0	2.529	0.466	0.132	0.031	21.0	1.4	16.0	15.0	21.4505	5.3096	-12.5093	34.2559	46.7652	4.0399	3.1777	0.1203	2.9353	3.3652	0.4299
11574123	1354.0	899.0	2032.0	2.283	0.465	0.116	0.021	13.0	1.2	16.0	15.0	22.7482	4.5644	6.0763	38.299	32.2227	4.9838	3.57	0.1282	3.2535	3.7941	0.5406
16684978	844.0	564.0	1553.0	2.48	0.51	0.133	0.025	12.0	0.8	16.0	15.0	21.2244	4.3982	7.7433	35.5138	27.7705	4.8257	3.2106	0.0326	3.0696	3.2681	0.1985
25354225	1008.0	666.0	2151.0	2.763	0.706	0.123	0.025	11.0	1.1	16.0	15.0	22.5473	5.3492	6.6539	40.0679	33.414	4.2151	3.1938	0.24	2.7249	3.6218	0.8969
25811472	1135.0	768.0	1942.0	2.459	0.53	0.123	0.028	13.0	1.4	16.0	15.0	20.6582	5.388	-1.251	33.5447	34.7957	3.8341	3.4171	0.1873	3.1274	3.8045	0.6771
27876862	839.0	556.0	1587.0	2.649	0.512	0.146	0.029	13.0	1.0	16.0	15.0	20.9634	4.7516	5.5577	36.5585	31.0008	4.4118	2.9183	0.0717	2.7341	3.0346	0.3005
29811890	1486.0	1048.0	2364.0	2.267	0.437	0.132	0.023	20.0	1.5	16.0	15.0	23.0039	5.3537	-0.7919	40.8633	41.6552	4.2968	3.1697	0.0472	3.0681	3.2613	0.1932
31361606	897.0	619.0	1500.0	2.302	0.442	0.128	0.03	12.0	1.2	16.0	15.0	20.48	5.1972	-2.6201	35.0544	37.6745	3.9406	2.8735	0.0977	2.6621	3.0214	0.3593
32938469	770.0	541.0	1500.0	2.636	0.612	0.143	0.044	11.0	1.3	16.0	15.0	18.9172	6.6482	-1.4044	34.1988	35.6032	2.8455	3.494	0.1825	3.2612	3.9288	0.6676
36895554	936.0	673.0	1765.0	2.539	0.499	0.145	0.039	17.0	1.3	16.0	15.0	18.3878	5.6985	-6.4723	30.9575	37.4298	3.2267	3.1446	0.1433	2.8152	3.3531	0.5379
37329051	936.0	647.0	1893.0	2.812	0.541	0.133	0.031	17.0	1.0	16.0	15.0	22.9474	5.861	-0.6941	38.6077	39.3018	3.9153	3.3909	0.0521	3.2416	3.5374	0.2958
37835493	937.0	605.0	1672.0	2.48	0.344	0.155	0.032	18.0	1.2	16.0	15.0	19.3936	4.734	7.0	30.998	23.998	4.0967	2.9113	0.0171	2.8346	2.9622	0.1276
43606631	1030.0	679.0	1581.0	2.145	0.407	0.143	0.028	18.0	1.2	16.0	15.0	19.1928	4.6013	4.3031	31.8822	27.5791	4.1712	3.098	0.1574	2.7434	3.2956	0.5522
49408975	899.0	613.0	1913.0	2.917	0.446	0.132	0.032	12.0	1.1	16.0	15.0	20.6921	4.7408	-12.7817	35.0043	47.786	4.3647	3.0753	0.1259	2.8678	3.3695	0.5017
51217255	1061.0	699.0	2031.0	2.625	0.447	0.118	0.022	13.0	1.0	16.0	15.0	21.7151	4.832	4.7154	37.9857	33.2703	4.4941	3.3894	0.2795	2.743	3.8024	1.0594
52306425	1204.0	797.0	2077.0	2.534	0.388	0.131	0.029	17.0	1.5	16.0	15.0	20.3402	4.9097	3.187	32.6796	29.4926	4.1429	3.416	0.0482	3.225	3.5185	0.2935
52835891	951.0	650.0	1758.0	2.582	0.353	0.107	0.019	9.0	0.7	16.0	15.0	21.9939	3.79	5.3359	32.5875	27.2516	5.8032	2.9427	0.0929	2.7746	3.0831	0.3085
55710183	1187.0	805.0	1915.0	2.228	0.411	0.13	0.026	15.0	1.3	16.0	15.0	19.9924	4.2822	4.8466	35.259	30.4124	4.6687	3.1184	0.1311	2.8587	3.4255	0.5668
56162563	1243.0	818.0	2219.0	2.517	0.399	0.143	0.031	20.0	1.5	16.0	15.0	20.9001	4.6103	-12.7253	34.1371	46.8624	4.5333	3.1361	0.1838	2.8328	3.5724	0.7397
60021964	1113.0	754.0	2026.0	2.442	0.504	0.137	0.031	18.0	1.3	16.0	15.0	20.7715	5.2637	-1.3109	33.7883	35.0992	3.9462	3.4806	0.2106	3.0839	3.9132	0.8292
62582335	760.0	530.0	1696.0	2.759	0.444	0.126	0.024	9.0	0.7	16.0	15.0	20.397	5.3497	-0.7985	30.7249	31.5235	3.8128	3.2354	0.2028	2.8311	3.5686	0.7375
65198031	1081.0	728.0	1812.0	2.359	0.39	0.13	0.027	15.0	1.2	16.0	15.0	20.2298	4.831	6.7989	36.4249	29.626	4.1875	2.9957	0.268	2.6431	3.4345	0.7914
